#code_ligand_num    score   
1a30_ligand_101     4.46    
1a30_ligand_102     4.21    
1a30_ligand_103     3.98    
1a30_ligand_107     4.62    
1a30_ligand_109     2.12    
1a30_ligand_110     0.81    
1a30_ligand_112     2.1     
1a30_ligand_115     4.72    
1a30_ligand_117     -999.9  
1a30_ligand_12      4.91    
1a30_ligand_120     5.61    
1a30_ligand_128     4.59    
1a30_ligand_13      4.82    
1a30_ligand_131     4.64    
1a30_ligand_133     3.8     
1a30_ligand_134     3.68    
1a30_ligand_136     4.92    
1a30_ligand_140     5.63    
1a30_ligand_141     4.98    
1a30_ligand_142     5.52    
1a30_ligand_15      5.03    
1a30_ligand_179     -44.33  
1a30_ligand_183     -8.03   
1a30_ligand_188     -1.94   
1a30_ligand_193     -19.54  
1a30_ligand_2       4.92    
1a30_ligand_202     3.55    
1a30_ligand_203     3.46    
1a30_ligand_204     4.3     
1a30_ligand_207     -3.46   
1a30_ligand_209     2.12    
1a30_ligand_211     2.82    
1a30_ligand_212     -0.82   
1a30_ligand_216     3.93    
1a30_ligand_219     1.51    
1a30_ligand_221     -1.02   
1a30_ligand_224     3.4     
1a30_ligand_228     3.4     
1a30_ligand_230     -10.48  
1a30_ligand_231     -0.86   
1a30_ligand_232     0.99    
1a30_ligand_233     -4.6    
1a30_ligand_234     -2.25   
1a30_ligand_235     0.73    
1a30_ligand_238     0.66    
1a30_ligand_245     -0.28   
1a30_ligand_247     1.33    
1a30_ligand_248     -2.42   
1a30_ligand_254     -8.45   
1a30_ligand_26      3.66    
1a30_ligand_274     -0.4    
1a30_ligand_275     -16.18  
1a30_ligand_28      4.02    
1a30_ligand_281     -23.26  
1a30_ligand_286     -17.23  
1a30_ligand_289     -3.95   
1a30_ligand_294     -8.34   
1a30_ligand_295     -6.86   
1a30_ligand_3       -999.9  
1a30_ligand_301     -39.18  
1a30_ligand_309     -9.9    
1a30_ligand_312     -999.9  
1a30_ligand_316     -1.21   
1a30_ligand_320     -0.72   
1a30_ligand_328     -4.59   
1a30_ligand_33      -999.9  
