#code_ligand_num    score   
1a30_ligand_104     -999.9  
1a30_ligand_113     5.66    
1a30_ligand_116     3.26    
1a30_ligand_118     -1.13   
1a30_ligand_122     3.47    
1a30_ligand_123     -999.9  
1a30_ligand_130     2.57    
1a30_ligand_132     -999.9  
1a30_ligand_133     2.09    
1a30_ligand_136     3.97    
1a30_ligand_137     1.47    
1a30_ligand_14      3.44    
1a30_ligand_147     4.11    
1a30_ligand_148     3.7     
1a30_ligand_15      -999.9  
1a30_ligand_150     4.5     
1a30_ligand_152     -38.66  
1a30_ligand_154     -53.58  
1a30_ligand_164     -32.43  
1a30_ligand_167     -24.78  
1a30_ligand_168     -57.61  
1a30_ligand_169     -41.41  
1a30_ligand_170     -49.15  
1a30_ligand_174     -22.34  
1a30_ligand_181     -83.42  
1a30_ligand_183     -17.64  
1a30_ligand_199     -58.31  
1a30_ligand_200     -24.87  
1a30_ligand_203     0.86    
1a30_ligand_204     3.11    
1a30_ligand_209     2.64    
1a30_ligand_21      -999.9  
1a30_ligand_210     3.61    
1a30_ligand_211     3.07    
1a30_ligand_213     2.92    
1a30_ligand_215     -0.42   
1a30_ligand_218     -0.72   
1a30_ligand_219     -999.9  
1a30_ligand_222     0.85    
1a30_ligand_224     4.04    
1a30_ligand_225     1.21    
1a30_ligand_226     -0.78   
1a30_ligand_227     -999.9  
1a30_ligand_229     2.62    
1a30_ligand_230     -3.65   
1a30_ligand_232     -7.65   
1a30_ligand_233     2.42    
1a30_ligand_238     -999.9  
1a30_ligand_239     3.53    
1a30_ligand_243     -999.9  
1a30_ligand_247     -4.56   
1a30_ligand_248     -10.35  
1a30_ligand_266     -3.14   
1a30_ligand_267     -5.36   
1a30_ligand_27      4.05    
1a30_ligand_276     -36.22  
1a30_ligand_284     -14.59  
1a30_ligand_287     -8.34   
1a30_ligand_297     -15.34  
1a30_ligand_299     -24.21  
1a30_ligand_30      4.02    
1a30_ligand_309     -1.8    
1a30_ligand_31      2.45    
1a30_ligand_311     -16.76  
1a30_ligand_317     -14.57  
1a30_ligand_32      3.59    
1a30_ligand_320     -31.6   
1a30_ligand_321     -8.95   
1a30_ligand_323     -20.6   
1a30_ligand_325     2.34    
1a30_ligand_331     -20.9   
1a30_ligand_333     -15.86  
1a30_ligand_336     -3.66   
1a30_ligand_337     -28.86  
1a30_ligand_338     -30.97  
1a30_ligand_339     0.15    
1a30_ligand_34      3.39    
1a30_ligand_343     -17.89  
1a30_ligand_36      2.61    
1a30_ligand_363     2.93    
1a30_ligand_367     3.92    
1a30_ligand_372     -2.9    
1a30_ligand_375     2.33    
1a30_ligand_39      4.4     
1a30_ligand_4       4.57    
1a30_ligand_48      2.6     
1a30_ligand_487     3.06    
1a30_ligand_49      4.26    
1a30_ligand_54      3.14    
1a30_ligand_57      4.16    
1a30_ligand_60      -999.9  
1a30_ligand_66      3.69    
1a30_ligand_69      2.71    
1a30_ligand_76      4.5     
1a30_ligand_77      2.86    
1a30_ligand_83      4.94    
1a30_ligand_88      -4.82   
1a30_ligand_9       -999.9  
1a30_ligand_91      -3.34   
1a30_ligand_99      -999.9  
1bcu_ligand_105     4.17    
1bcu_ligand_158     1.44    
1bcu_ligand_162     0.86    
1bcu_ligand_165     -3.76   
1bcu_ligand_169     2.23    
1bcu_ligand_177     3.87    
1bcu_ligand_183     2.72    
1bcu_ligand_187     4       
1bcu_ligand_188     -3.72   
1bcu_ligand_197     2.48    
1bcu_ligand_199     -3.64   
1bcu_ligand_212     3.14    
1bcu_ligand_214     3.86    
1bcu_ligand_215     2.54    
1bcu_ligand_223     1.99    
1bcu_ligand_229     4.35    
1bcu_ligand_231     -0.13   
1bcu_ligand_235     -3.3    
1bcu_ligand_237     3       
1bcu_ligand_240     3.22    
1bcu_ligand_249     2.32    
1bcu_ligand_251     4.73    
1bcu_ligand_257     -10.28  
1bcu_ligand_258     1.42    
1bcu_ligand_259     0.31    
1bcu_ligand_267     3.7     
1bcu_ligand_268     2.8     
1bcu_ligand_269     3.2     
1bcu_ligand_271     0.15    
1bcu_ligand_273     -1.75   
1bcu_ligand_276     2.43    
1bcu_ligand_278     3.42    
1bcu_ligand_279     3.61    
1bcu_ligand_280     -5.39   
1bcu_ligand_282     2.33    
1bcu_ligand_284     2.73    
1bcu_ligand_286     3.48    
1bcu_ligand_287     -1.8    
1bcu_ligand_296     3.52    
1bcu_ligand_298     -4.92   
1bcu_ligand_300     0.92    
1bcu_ligand_303     -9.41   
1bcu_ligand_308     -10.53  
1bcu_ligand_317     -1.42   
1bcu_ligand_322     -21.53  
1bcu_ligand_326     -1.2    
1bcu_ligand_328     3.05    
1bcu_ligand_338     0.59    
1bcu_ligand_339     -6.13   
1bcu_ligand_340     -0.5    
1bcu_ligand_343     1.99    
1bcu_ligand_349     2.21    
1bcu_ligand_352     4.09    
1bcu_ligand_353     3.53    
1bcu_ligand_356     3.27    
1bcu_ligand_361     3.69    
1bcu_ligand_362     3.03    
1bcu_ligand_363     3.6     
1bcu_ligand_367     3.87    
1bcu_ligand_371     3.67    
1bcu_ligand_375     -999.9  
1bcu_ligand_376     3.5     
1bcu_ligand_377     2.82    
1bcu_ligand_378     3.29    
1bcu_ligand_380     -999.9  
1bcu_ligand_384     -999.9  
1bcu_ligand_385     -999.9  
1bcu_ligand_386     -999.9  
1bcu_ligand_387     -999.9  
