#code_ligand_num    score   
1a30_ligand_10      -10.651121
1a30_ligand_100     -11.598295
1a30_ligand_104     -11.510125
1a30_ligand_106     -15.050725
1a30_ligand_110     -11.490421
1a30_ligand_115     -10.982072
1a30_ligand_120     -9.5962687
1a30_ligand_121     -11.548905
1a30_ligand_122     -11.175128
1a30_ligand_124     -12.850544
1a30_ligand_125     -11.488044
1a30_ligand_127     -12.234864
1a30_ligand_14      -11.093296
1a30_ligand_140     -13.922786
1a30_ligand_15      -9.3019056
1a30_ligand_152     -7.9633098
1a30_ligand_16      -10.120485
1a30_ligand_162     -6.1543317
1a30_ligand_164     -7.6710386
1a30_ligand_171     -11.10195
1a30_ligand_173     -5.9459419
1a30_ligand_179     -10.22657
1a30_ligand_183     -7.5483136
1a30_ligand_19      -10.588599
1a30_ligand_197     -12.695927
1a30_ligand_203     -10.774248
1a30_ligand_204     -8.6781702
1a30_ligand_205     -8.3553839
1a30_ligand_207     -9.5018272
1a30_ligand_209     -8.193347
1a30_ligand_215     -8.0245504
1a30_ligand_220     -13.667518
1a30_ligand_222     -7.8239698
1a30_ligand_224     -9.3426895
1a30_ligand_226     -7.0913296
1a30_ligand_227     -9.5725365
1a30_ligand_229     -7.3360524
1a30_ligand_231     -9.9215603
1a30_ligand_235     -10.688388
1a30_ligand_236     -11.400645
1a30_ligand_24      -11.557585
1a30_ligand_240     -8.6991377
1a30_ligand_241     -10.324214
1a30_ligand_262     -12.97076
1a30_ligand_265     -9.1766291
1a30_ligand_268     -9.8314533
1a30_ligand_27      -10.811491
1a30_ligand_279     -10.377203
1a30_ligand_28      -9.9790173
1a30_ligand_283     -9.3001556
1a30_ligand_285     -9.7504549
1a30_ligand_289     -10.377374
1a30_ligand_290     -9.4897156
1a30_ligand_296     -11.675533
1a30_ligand_30      -11.676538
1a30_ligand_300     -10.792458
1a30_ligand_301     -15.44581
1a30_ligand_302     -15.492477
1a30_ligand_31      -7.5983477
1a30_ligand_310     -11.742272
1a30_ligand_313     -13.119596
1a30_ligand_314     -11.593624
1a30_ligand_317     -11.894993
1a30_ligand_319     -11.717213
1a30_ligand_320     -12.112894
1a30_ligand_323     -12.344502
1a30_ligand_327     -11.940956
1a30_ligand_33      -10.108879
1a30_ligand_330     -11.826376
1a30_ligand_332     -12.367244
1a30_ligand_335     -12.059842
1a30_ligand_337     -12.142836
1a30_ligand_341     -10.496236
1a30_ligand_346     -11.758032
1a30_ligand_349     -11.333962
1a30_ligand_35      -12.164403
1a30_ligand_369     -12.773142
1a30_ligand_378     -13.634344
1a30_ligand_38      -10.314315
1a30_ligand_387     -11.657078
1a30_ligand_4       -8.4836655
1a30_ligand_403     -16.120419
1a30_ligand_42      -8.6574345
1a30_ligand_441     -9.8080454
1a30_ligand_446     -11.645944
1a30_ligand_463     -13.457278
1a30_ligand_48      -11.09064
1a30_ligand_490     -10.926768
1a30_ligand_5       -10.802114
1a30_ligand_54      -9.9667244
1a30_ligand_59      -14.113606
1a30_ligand_61      -10.970019
1a30_ligand_64      -9.7495499
1a30_ligand_66      -7.294641
1a30_ligand_68      -12.847567
1a30_ligand_70      -9.9106216
1a30_ligand_8       -8.5948715
1a30_ligand_86      -12.676538
1a30_ligand_87      -12.298801
1a30_ligand_9       -10.600041
1bcu_ligand_122     -8.2643661
1bcu_ligand_137     -9.4575853
1bcu_ligand_154     -7.5058742
1bcu_ligand_158     -8.2483511
1bcu_ligand_160     -7.0494251
1bcu_ligand_167     -7.6738992
1bcu_ligand_168     -7.0360117
1bcu_ligand_199     -8.2768745
1bcu_ligand_202     -9.1847754
1bcu_ligand_214     -7.8092175
1bcu_ligand_215     -9.7401943
1bcu_ligand_223     -8.3193893
1bcu_ligand_227     -8.7731285
1bcu_ligand_231     -8.1964617
1bcu_ligand_233     -8.0106525
1bcu_ligand_234     -8.7615299
1bcu_ligand_241     -9.1255035
1bcu_ligand_259     -8.6310244
1bcu_ligand_277     -7.3560743
1bcu_ligand_283     -7.8735919
1bcu_ligand_284     -6.4733868
1bcu_ligand_285     -8.2005606
1bcu_ligand_301     -9.5253754
1bcu_ligand_309     -8.7376804
1bcu_ligand_310     -8.2453032
1bcu_ligand_328     -7.9846249
1bcu_ligand_335     -8.4156046
1bcu_ligand_351     -8.5792141
1bcu_ligand_352     -7.4896784
1bcu_ligand_354     -6.6427894
1bcu_ligand_357     -5.9289098
1bcu_ligand_358     -6.7237802
1bcu_ligand_364     -6.5863233
1bcu_ligand_365     -6.7370415
1bcu_ligand_366     -7.295279
1bcu_ligand_367     -5.7647929
1bcu_ligand_368     -6.3951397
1bcu_ligand_369     -6.391499
1bcu_ligand_370     -5.9723063
1bcu_ligand_371     -7.1636271
1bcu_ligand_372     -4.9861655
1bcu_ligand_373     -5.8514757
1bcu_ligand_374     -5.8484092
1bcu_ligand_376     -5.8783474
1bcu_ligand_377     -5.3715205
1bcu_ligand_378     -5.0879841
1bcu_ligand_379     -5.2097573
1bcu_ligand_380     -6.3831358
1bcu_ligand_381     -5.6794972
1bcu_ligand_384     -5.4736767
1bcu_ligand_385     -4.8840623
1bcu_ligand_386     -5.985095
1bcu_ligand_387     -5.7441707
1bcu_ligand_388     -7.2787142
1bcu_ligand_389     -6.9380264
1bcu_ligand_390     -4.6439624
1bcu_ligand_391     -4.6597295
1bcu_ligand_392     -5.6478686
1bcu_ligand_393     -6.400785
1bcu_ligand_395     -5.6513615
1bcu_ligand_397     -4.9371777
1bcu_ligand_398     -5.1117768
1bcu_ligand_399     -4.9791369
1bcu_ligand_400     -6.2289648
1bcu_ligand_407     -9.3045835
1bcu_ligand_409     -7.9381528
1bcu_ligand_415     -7.9966149
1bcu_ligand_417     -8.1899643
1bcu_ligand_418     -8.15623
1bcu_ligand_419     -7.7825985
1bcu_ligand_421     -6.2449884
1bcu_ligand_424     -7.2453446
1bcu_ligand_426     -7.0498209
1bcu_ligand_428     -6.4924059
1bcu_ligand_429     -6.5765972
1bcu_ligand_432     -4.9008365
1bcu_ligand_433     -6.4332929
1bcu_ligand_435     -5.3341107
1bcu_ligand_438     -8.6022196
1bcu_ligand_442     -6.3347383
1bcu_ligand_444     -6.9153252
1bcu_ligand_446     -5.9666619
1bcu_ligand_448     -5.517199
1bcu_ligand_450     -4.3515615
1bcu_ligand_452     -9.6773672
1bcu_ligand_453     -8.3717804
1bcu_ligand_456     -8.7534027
1bcu_ligand_458     -7.6862168
1bcu_ligand_466     -8.2511425
1bcu_ligand_467     -7.6211963
1bcu_ligand_468     -8.7008066
1bcu_ligand_473     -7.9408603
1bcu_ligand_474     -7.5756235
1bcu_ligand_481     -7.7366385
1bcu_ligand_485     -8.3834782
1bcu_ligand_488     -8.1778812
1bcu_ligand_493     -8.0277767
1bcu_ligand_497     -7.8206172
1bcu_ligand_499     -5.7127223
1bcu_ligand_64      -9.1074553
1bzc_ligand_1       -11.138413
1bzc_ligand_100     -10.800765
1bzc_ligand_105     -11.531941
1bzc_ligand_110     -11.319226
1bzc_ligand_115     -13.316742
1bzc_ligand_122     -9.0374718
1bzc_ligand_149     -10.70847
1bzc_ligand_154     -9.2325344
1bzc_ligand_157     -9.0350571
1bzc_ligand_158     -8.8478346
1bzc_ligand_161     -8.3815975
1bzc_ligand_163     -9.906909
1bzc_ligand_166     -9.1896315
1bzc_ligand_167     -7.2478008
1bzc_ligand_170     -7.7172461
1bzc_ligand_173     -9.6982851
1bzc_ligand_177     -9.8086147
1bzc_ligand_179     -7.8886619
1bzc_ligand_18      -10.725771
1bzc_ligand_180     -9.1643581
1bzc_ligand_181     -10.783307
1bzc_ligand_182     -3.7771933
1bzc_ligand_183     -10.720781
1bzc_ligand_187     -10.54571
1bzc_ligand_19      -12.094035
1bzc_ligand_190     -8.3311996
1bzc_ligand_196     -6.5447779
1bzc_ligand_198     -10.249182
1bzc_ligand_201     -9.0805511
1bzc_ligand_206     -9.2884588
1bzc_ligand_212     -9.3408928
1bzc_ligand_217     -10.04678
1bzc_ligand_220     -9.7881203
1bzc_ligand_223     -8.4582911
1bzc_ligand_225     -7.7965021
1bzc_ligand_226     -7.3068399
1bzc_ligand_230     -8.6875229
1bzc_ligand_231     -8.3906517
1bzc_ligand_238     -8.4572554
1bzc_ligand_239     -9.2631598
1bzc_ligand_242     -9.1855049
1bzc_ligand_244     -8.2589922
1bzc_ligand_245     -6.7510295
1bzc_ligand_246     -8.3729343
1bzc_ligand_247     -6.7345319
1bzc_ligand_248     -8.8157129
1bzc_ligand_249     -7.5949144
1bzc_ligand_250     -8.8224592
1bzc_ligand_251     -12.481169
1bzc_ligand_258     -10.136075
1bzc_ligand_260     -10.599233
1bzc_ligand_262     -11.044476
1bzc_ligand_264     -7.5797291
1bzc_ligand_267     -7.1845808
1bzc_ligand_271     -10.948002
1bzc_ligand_272     -8.9793301
1bzc_ligand_274     -8.8117151
1bzc_ligand_276     -10.608165
1bzc_ligand_277     -9.2319717
1bzc_ligand_278     -11.96729
1bzc_ligand_28      -11.34246
1bzc_ligand_284     -8.7236958
1bzc_ligand_287     -11.274637
1bzc_ligand_291     -9.2351637
1bzc_ligand_296     -11.384686
1bzc_ligand_297     -8.5705662
1bzc_ligand_298     -9.2798681
1bzc_ligand_30      -10.085269
1bzc_ligand_300     -11.049514
1bzc_ligand_301     -14.136317
1bzc_ligand_302     -13.551223
1bzc_ligand_306     -13.056257
1bzc_ligand_310     -12.970671
1bzc_ligand_313     -12.179312
1bzc_ligand_318     -11.804486
1bzc_ligand_321     -11.222998
1bzc_ligand_322     -11.232133
1bzc_ligand_323     -12.098108
1bzc_ligand_325     -11.328948
1bzc_ligand_33      -9.6333952
1bzc_ligand_339     -11.206986
1bzc_ligand_341     -11.168735
1bzc_ligand_342     -11.24875
1bzc_ligand_36      -11.26895
1bzc_ligand_37      -13.058038
1bzc_ligand_38      -11.973364
1bzc_ligand_380     -12.038921
1bzc_ligand_386     -10.678685
1bzc_ligand_4       -11.603541
1bzc_ligand_40      -13.40524
1bzc_ligand_62      -10.851459
1bzc_ligand_67      -10.910579
1bzc_ligand_69      -11.134344
1bzc_ligand_7       -8.0439301
1bzc_ligand_75      -9.751029
1bzc_ligand_80      -10.920391
1bzc_ligand_81      -10.680273
1bzc_ligand_90      -9.6040573
1bzc_ligand_95      -10.144539
1bzc_ligand_98      -11.355184
1c5z_ligand_125     -7.0169091
1c5z_ligand_134     -6.5670362
1c5z_ligand_153     -6.3534207
1c5z_ligand_160     -5.4231424
1c5z_ligand_161     -5.5431705
1c5z_ligand_162     -5.7370877
1c5z_ligand_164     -6.3820591
1c5z_ligand_169     -6.0797467
1c5z_ligand_173     -5.9217815
1c5z_ligand_183     -5.6269197
1c5z_ligand_184     -6.0389109
1c5z_ligand_185     -5.5265231
1c5z_ligand_192     -6.3082538
1c5z_ligand_193     -6.5761647
1c5z_ligand_198     -6.38237
1c5z_ligand_199     -6.7717237
1c5z_ligand_202     -6.7523937
1c5z_ligand_203     -6.5696425
1c5z_ligand_204     -6.6865411
1c5z_ligand_205     -6.5527983
1c5z_ligand_206     -7.1842294
1c5z_ligand_207     -6.1558385
1c5z_ligand_208     -6.7807975
1c5z_ligand_219     -6.7525854
1c5z_ligand_220     -5.9231124
1c5z_ligand_225     -6.966835
1c5z_ligand_229     -6.2715764
1c5z_ligand_232     -6.1867499
1c5z_ligand_235     -6.6090422
1c5z_ligand_236     -6.3240447
1c5z_ligand_237     -6.7091966
1c5z_ligand_238     -6.0036592
1c5z_ligand_239     -8.2172079
1c5z_ligand_240     -8.0147295
1c5z_ligand_241     -8.0785961
1c5z_ligand_242     -6.1320772
1c5z_ligand_251     -7.3513346
1c5z_ligand_252     -6.6253948
1c5z_ligand_257     -5.9941688
1c5z_ligand_267     -6.8049836
1c5z_ligand_269     -6.2990875
1c5z_ligand_271     -5.7218623
1c5z_ligand_272     -6.1775346
1c5z_ligand_273     -5.192019
1c5z_ligand_276     -6.5079856
1c5z_ligand_278     -5.7303233
1c5z_ligand_281     -6.4289236
1c5z_ligand_287     -5.1108646
1c5z_ligand_289     -6.6620164
1c5z_ligand_291     -6.0319519
1c5z_ligand_292     -6.3749366
1c5z_ligand_294     -5.6918821
1c5z_ligand_296     -5.9571772
1c5z_ligand_297     -5.7546802
1c5z_ligand_298     -7.0134521
1c5z_ligand_299     -6.0086503
1c5z_ligand_301     -9.6740723
1c5z_ligand_302     -8.828783
1c5z_ligand_305     -8.0697489
1c5z_ligand_311     -7.8904772
1c5z_ligand_313     -7.7533717
1c5z_ligand_314     -8.0288744
1c5z_ligand_315     -8.0946789
1c5z_ligand_318     -7.3987722
1c5z_ligand_320     -7.2598243
1c5z_ligand_322     -7.3848529
1c5z_ligand_323     -7.4290214
1c5z_ligand_324     -7.5549827
1c5z_ligand_325     -7.7423625
1c5z_ligand_328     -7.436759
1c5z_ligand_329     -7.3534179
1c5z_ligand_330     -7.4350629
1c5z_ligand_334     -6.9419851
1c5z_ligand_335     -7.2583942
1c5z_ligand_338     -7.3851104
1c5z_ligand_341     -7.1711969
1c5z_ligand_343     -7.2900319
1c5z_ligand_344     -7.2738485
1c5z_ligand_346     -7.219418
1c5z_ligand_347     -7.0926061
1c5z_ligand_348     -7.1234908
1c5z_ligand_367     -7.6551666
1c5z_ligand_371     -6.2917223
1c5z_ligand_376     -5.6870604
1c5z_ligand_377     -6.1430922
1c5z_ligand_380     -7.4942689
1c5z_ligand_383     -5.8950162
1c5z_ligand_384     -6.479229
1c5z_ligand_388     -6.9856939
1c5z_ligand_391     -6.5498528
1c5z_ligand_396     -8.2136383
1c5z_ligand_397     -6.4586067
1c5z_ligand_428     -6.6347771
1c5z_ligand_437     -7.4323678
1c5z_ligand_445     -8.2368231
1c5z_ligand_446     -7.376595
1c5z_ligand_72      -7.232378
1c5z_ligand_90      -6.5301361
1c5z_ligand_92      -6.776289
1c5z_ligand_98      -6.7021837
1e66_ligand_123     -8.925478
1e66_ligand_129     -9.5737696
1e66_ligand_162     -6.5006189
1e66_ligand_173     -6.29914
1e66_ligand_176     -6.590498
1e66_ligand_18      -8.1066847
1e66_ligand_184     -6.5418725
1e66_ligand_185     -7.0484757
1e66_ligand_192     -5.9703546
1e66_ligand_193     -5.3008065
