#code_ligand_num    score   
1a30_ligand_100     -11.046886
1a30_ligand_103     -10.956889
1a30_ligand_104     -12.611085
1a30_ligand_11      -11.253633
1a30_ligand_114     -15.166908
1a30_ligand_123     -11.871373
1a30_ligand_128     -13.223287
1a30_ligand_130     -14.487089
1a30_ligand_137     -11.654264
1a30_ligand_146     -11.776868
1a30_ligand_15      -13.542521
1a30_ligand_150     -13.038876
1a30_ligand_153     -8.0603399
1a30_ligand_155     -8.9193583
1a30_ligand_169     -7.875174
1a30_ligand_174     -7.9267087
1a30_ligand_18      -11.292927
1a30_ligand_194     -8.1257753
1a30_ligand_201     -10.254933
1a30_ligand_204     -11.624801
1a30_ligand_208     -11.256941
1a30_ligand_209     -11.707601
1a30_ligand_211     -11.922001
1a30_ligand_212     -10.255494
1a30_ligand_213     -10.33513
1a30_ligand_218     -10.04199
1a30_ligand_220     -8.2296257
1a30_ligand_221     -12.430082
1a30_ligand_222     -13.255371
1a30_ligand_224     -9.6444836
1a30_ligand_229     -10.260426
1a30_ligand_234     -10.779146
1a30_ligand_240     -10.266283
1a30_ligand_25      -11.800935
1a30_ligand_250     -11.35302
1a30_ligand_257     -8.151556
1a30_ligand_26      -10.234081
1a30_ligand_261     -10.428453
1a30_ligand_266     -11.320933
1a30_ligand_267     -9.5034752
1a30_ligand_268     -12.971758
1a30_ligand_27      -10.606656
1a30_ligand_270     -12.146851
1a30_ligand_273     -11.249386
1a30_ligand_275     -10.839643
1a30_ligand_289     -8.9724197
1a30_ligand_29      -9.6522188
1a30_ligand_291     -10.20818
1a30_ligand_292     -10.247383
1a30_ligand_295     -9.3364639
1a30_ligand_298     -9.2965565
1a30_ligand_3       -11.733706
1a30_ligand_30      -11.589591
1a30_ligand_301     -14.107613
1a30_ligand_303     -13.795334
1a30_ligand_304     -13.752545
1a30_ligand_307     -13.335653
1a30_ligand_326     -12.343299
1a30_ligand_337     -12.031096
1a30_ligand_338     -12.026157
1a30_ligand_34      -11.632679
1a30_ligand_341     -11.912441
1a30_ligand_346     -11.845776
1a30_ligand_348     -11.709229
1a30_ligand_353     -12.293217
1a30_ligand_356     -13.594261
1a30_ligand_36      -13.544005
1a30_ligand_362     -15.361585
1a30_ligand_369     -15.070168
1a30_ligand_370     -11.375094
