#code_ligand_num    score   
1a30_ligand_1       -11.061714
1a30_ligand_109     -12.814296
1a30_ligand_11      -10.373928
1a30_ligand_122     -9.3398495
1a30_ligand_125     -10.27232
1a30_ligand_126     -10.007381
1a30_ligand_13      -13.852975
1a30_ligand_130     -12.310816
1a30_ligand_138     -9.592103
1a30_ligand_139     -12.310311
1a30_ligand_142     -12.540462
1a30_ligand_149     -12.280429
1a30_ligand_15      -12.439862
1a30_ligand_16      -7.8157835
1a30_ligand_163     -7.5268669
1a30_ligand_165     -8.1743975
1a30_ligand_17      -9.3335028
1a30_ligand_18      -13.478431
1a30_ligand_188     -9.4124756
1a30_ligand_192     -12.816749
1a30_ligand_194     -9.8204794
1a30_ligand_197     -12.030399
1a30_ligand_202     -9.0759439
1a30_ligand_205     -9.6676636
1a30_ligand_207     -8.5308409
1a30_ligand_21      -7.5550904
1a30_ligand_212     -8.3361521
1a30_ligand_226     -12.537656
1a30_ligand_228     -8.156805
1a30_ligand_234     -12.423988
1a30_ligand_239     -9.4911013
1a30_ligand_240     -9.0205717
1a30_ligand_241     -7.8818078
1a30_ligand_243     -6.8128076
1a30_ligand_244     -11.372146
1a30_ligand_249     -10.661632
1a30_ligand_262     -10.180007
1a30_ligand_264     -11.932692
1a30_ligand_265     -9.5922422
1a30_ligand_27      -8.7123137
1a30_ligand_274     -8.3951015
1a30_ligand_28      -12.599347
1a30_ligand_284     -10.631759
1a30_ligand_286     -9.5086088
1a30_ligand_288     -12.055937
1a30_ligand_29      -10.308224
1a30_ligand_296     -12.513738
1a30_ligand_298     -10.743872
1a30_ligand_3       -8.566824
1a30_ligand_307     -15.804325
1a30_ligand_309     -13.974753
1a30_ligand_311     -13.789168
1a30_ligand_313     -13.357056
1a30_ligand_317     -13.433048
1a30_ligand_318     -12.478793
1a30_ligand_319     -13.15011
1a30_ligand_323     -11.695226
1a30_ligand_326     -13.529543
1a30_ligand_328     -13.369858
1a30_ligand_33      -11.693556
1a30_ligand_332     -13.693067
1a30_ligand_335     -11.81884
1a30_ligand_347     -11.682042
1a30_ligand_349     -12.128438
1a30_ligand_35      -12.437559
1a30_ligand_355     -14.752803
1a30_ligand_36      -12.413669
1a30_ligand_37      -14.032927
1a30_ligand_377     -12.444874
1a30_ligand_398     -10.822828
1a30_ligand_40      -11.136869
1a30_ligand_402     -17.204664
1a30_ligand_41      -8.711174
1a30_ligand_42      -10.212287
