#code_ligand_num    score   
1a30_ligand_1       -13.332726
1a30_ligand_101     -13.50198
1a30_ligand_106     -14.868748
1a30_ligand_108     -10.770934
1a30_ligand_11      -10.841857
1a30_ligand_113     -13.517469
1a30_ligand_124     -13.529112
1a30_ligand_126     -13.996455
1a30_ligand_133     -11.0068
1a30_ligand_139     -13.466473
1a30_ligand_140     -10.946425
1a30_ligand_142     -12.439699
1a30_ligand_148     -14.806949
1a30_ligand_167     -10.308615
1a30_ligand_185     -9.5479946
1a30_ligand_187     -6.5097952
1a30_ligand_188     -7.8226414
1a30_ligand_190     -15.21929
1a30_ligand_191     -10.651655
1a30_ligand_192     -10.295018
1a30_ligand_199     -11.427723
1a30_ligand_204     -13.527516
1a30_ligand_208     -8.8168945
1a30_ligand_211     -10.324841
1a30_ligand_213     -9.2737999
1a30_ligand_215     -9.9207468
1a30_ligand_216     -10.609134
1a30_ligand_217     -8.3842764
1a30_ligand_22      -13.989602
1a30_ligand_224     -11.796487
1a30_ligand_227     -8.9399891
1a30_ligand_23      -13.702679
1a30_ligand_231     -11.773812
1a30_ligand_233     -9.5460339
1a30_ligand_240     -13.586746
1a30_ligand_245     -10.331716
1a30_ligand_246     -8.9617176
1a30_ligand_248     -12.979091
1a30_ligand_249     -10.259022
1a30_ligand_25      -12.03798
1a30_ligand_250     -9.040102
1a30_ligand_261     -11.059217
1a30_ligand_267     -10.768759
1a30_ligand_27      -13.293812
1a30_ligand_271     -10.683271
1a30_ligand_272     -12.704659
1a30_ligand_283     -12.693498
1a30_ligand_290     -14.102488
1a30_ligand_293     -10.414486
1a30_ligand_299     -9.138588
1a30_ligand_300     -8.5963507
1a30_ligand_308     -14.666447
1a30_ligand_309     -13.67335
1a30_ligand_310     -13.59392
1a30_ligand_315     -13.979686
1a30_ligand_316     -12.769478
1a30_ligand_317     -14.059124
1a30_ligand_318     -12.981199
1a30_ligand_319     -13.472993
1a30_ligand_32      -11.136173
1a30_ligand_323     -12.83772
1a30_ligand_327     -12.678396
1a30_ligand_337     -13.776982
1a30_ligand_344     -12.454705
1a30_ligand_345     -12.579844
1a30_ligand_350     -11.723447
1a30_ligand_353     -13.085924
1a30_ligand_37      -9.986927
1a30_ligand_370     -14.778916
1a30_ligand_374     -14.171712
1a30_ligand_378     -12.283413
1a30_ligand_380     -15.118674
1a30_ligand_382     -16.327171
1a30_ligand_39      -10.689453
1a30_ligand_393     -13.672195
1a30_ligand_401     -16.289465
1a30_ligand_411     -16.592598
1a30_ligand_43      -11.372736
1a30_ligand_45      -11.695728
1a30_ligand_462     -13.028304
1a30_ligand_467     -13.751355
1a30_ligand_47      -12.428905
1a30_ligand_474     -13.692169
1a30_ligand_477     -15.573587
1a30_ligand_49      -14.126299
1a30_ligand_5       -13.626635
