#code_ligand_num    score   
1a30_ligand_100     -8.8387814
1a30_ligand_104     -10.053017
1a30_ligand_107     -10.648327
1a30_ligand_110     -11.560049
1a30_ligand_111     -8.97507
1a30_ligand_113     -10.497153
1a30_ligand_127     -13.16329
1a30_ligand_13      -13.485459
1a30_ligand_134     -12.085896
1a30_ligand_136     -9.1109095
1a30_ligand_138     -8.9034386
1a30_ligand_140     -11.952167
1a30_ligand_144     -10.65321
1a30_ligand_145     -8.3402901
1a30_ligand_149     -9.6177597
1a30_ligand_15      -9.7395315
1a30_ligand_151     -9.8496418
1a30_ligand_153     -8.6124134
1a30_ligand_154     -5.5743876
1a30_ligand_160     -9.9783611
1a30_ligand_161     -9.6394997
1a30_ligand_163     -4.7459188
1a30_ligand_168     -10.679891
1a30_ligand_173     -7.2381868
1a30_ligand_188     -8.7091713
1a30_ligand_19      -9.0463915
1a30_ligand_195     -6.8412242
1a30_ligand_197     -8.6585426
1a30_ligand_2       -9.1691113
1a30_ligand_20      -10.611833
1a30_ligand_21      -14.443484
1a30_ligand_218     -12.223978
1a30_ligand_22      -8.7824364
1a30_ligand_223     -8.334487
1a30_ligand_226     -6.7122407
1a30_ligand_229     -10.055358
1a30_ligand_23      -13.68098
1a30_ligand_231     -8.6857615
1a30_ligand_235     -8.129467
1a30_ligand_237     -7.1426558
1a30_ligand_239     -6.5280457
1a30_ligand_24      -11.219978
1a30_ligand_246     -6.4259391
1a30_ligand_247     -8.4448624
1a30_ligand_25      -10.491145
1a30_ligand_26      -8.6914091
1a30_ligand_271     -7.4558516
1a30_ligand_274     -11.395433
1a30_ligand_275     -11.602417
1a30_ligand_287     -9.5212736
1a30_ligand_288     -10.152952
1a30_ligand_293     -8.7015553
1a30_ligand_297     -8.9048882
1a30_ligand_31      -11.77388
1a30_ligand_310     -13.049009
1a30_ligand_316     -12.525845
1a30_ligand_323     -12.104453
1a30_ligand_327     -12.226336
1a30_ligand_335     -11.891515
1a30_ligand_34      -10.968946
1a30_ligand_37      -10.213108
1a30_ligand_375     -13.67382
1a30_ligand_38      -12.922048
1a30_ligand_388     -14.321245
1a30_ligand_394     -13.008982
1a30_ligand_395     -14.24847
1a30_ligand_4       -11.006157
1a30_ligand_41      -13.640456
1a30_ligand_411     -14.601088
1a30_ligand_418     -14.222001
1a30_ligand_42      -10.242498
1a30_ligand_427     -14.811913
1a30_ligand_439     -15.449025
1a30_ligand_453     -13.558882
1a30_ligand_46      -10.783986
1a30_ligand_471     -14.393717
1a30_ligand_48      -8.7987776
1a30_ligand_488     -11.562858
1a30_ligand_49      -12.227852
1a30_ligand_497     -12.370109
1a30_ligand_51      -11.262066
1a30_ligand_54      -11.272257
1a30_ligand_55      -9.0227203
1a30_ligand_59      -8.0693092
1a30_ligand_61      -12.676506
1a30_ligand_62      -9.7081518
1a30_ligand_63      -13.468513
1a30_ligand_65      -7.1612635
1a30_ligand_66      -9.7235374
1a30_ligand_71      -9.2756739
1a30_ligand_72      -8.6297369
1a30_ligand_73      -11.856181
1a30_ligand_76      -11.095959
1a30_ligand_85      -10.777184
