#code_ligand_num    score   
1a30_ligand_100     -10.166276
1a30_ligand_105     -12.743557
1a30_ligand_106     -9.1893396
1a30_ligand_108     -13.032534
1a30_ligand_119     -11.284494
1a30_ligand_13      -10.046676
1a30_ligand_134     -12.250896
1a30_ligand_138     -11.644564
1a30_ligand_14      -13.555427
1a30_ligand_141     -12.089742
1a30_ligand_148     -10.73486
1a30_ligand_15      -11.417419
1a30_ligand_158     -6.3001337
1a30_ligand_159     -5.3980446
1a30_ligand_16      -11.16174
1a30_ligand_166     -7.8372321
1a30_ligand_167     -8.5666399
1a30_ligand_169     -9.4716234
1a30_ligand_171     -6.118351
1a30_ligand_182     -9.3757172
1a30_ligand_196     -3.9981971
1a30_ligand_197     -11.797238
1a30_ligand_2       -11.647451
1a30_ligand_202     -12.854012
1a30_ligand_203     -11.305694
1a30_ligand_206     -9.5402546
1a30_ligand_207     -11.169972
1a30_ligand_21      -11.506855
1a30_ligand_215     -8.3278217
1a30_ligand_216     -10.939687
1a30_ligand_217     -11.636453
1a30_ligand_218     -11.487615
1a30_ligand_219     -9.8676996
1a30_ligand_22      -12.700561
1a30_ligand_220     -10.226632
1a30_ligand_225     -10.766347
1a30_ligand_23      -11.397182
1a30_ligand_233     -12.2549
1a30_ligand_239     -10.419209
1a30_ligand_243     -9.4939404
1a30_ligand_246     -10.657286
1a30_ligand_248     -9.5518026
1a30_ligand_253     -10.209538
1a30_ligand_26      -12.940537
1a30_ligand_27      -11.31155
1a30_ligand_274     -10.250787
1a30_ligand_275     -12.169469
1a30_ligand_279     -9.8574047
1a30_ligand_282     -9.5154972
1a30_ligand_29      -9.0383596
1a30_ligand_290     -11.591692
1a30_ligand_291     -11.698005
1a30_ligand_294     -11.623732
1a30_ligand_310     -13.352987
1a30_ligand_314     -12.994072
1a30_ligand_315     -13.053076
1a30_ligand_318     -12.878558
1a30_ligand_323     -12.792706
1a30_ligand_326     -12.591801
1a30_ligand_329     -12.571719
1a30_ligand_34      -12.366289
1a30_ligand_353     -12.986122
1a30_ligand_356     -13.194646
1a30_ligand_357     -13.689792
1a30_ligand_36      -12.194557
1a30_ligand_363     -15.073013
1a30_ligand_366     -11.499406
1a30_ligand_372     -14.356469
1a30_ligand_379     -11.946342
1a30_ligand_38      -14.762051
1a30_ligand_39      -10.661185
1a30_ligand_391     -14.164865
1a30_ligand_395     -11.390334
1a30_ligand_398     -14.45309
1a30_ligand_411     -13.145046
1a30_ligand_42      -10.956461
1a30_ligand_421     -12.7173
1a30_ligand_45      -9.8208265
1a30_ligand_467     -14.977259
1a30_ligand_481     -15.136267
1a30_ligand_49      -9.555501
1a30_ligand_496     -13.773549
1a30_ligand_52      -13.811471
1a30_ligand_56      -11.279308
1a30_ligand_59      -10.687613
1a30_ligand_6       -11.963279
1a30_ligand_63      -13.598735
1a30_ligand_64      -10.327495
1a30_ligand_68      -13.063415
1a30_ligand_7       -11.255315
1a30_ligand_73      -10.752843
1a30_ligand_76      -12.583226
1a30_ligand_81      -12.428008
1a30_ligand_82      -11.815143
