#code_ligand_num    score   
1a30_ligand_10      -8.7673407
1a30_ligand_101     -10.375948
1a30_ligand_102     -8.3073683
1a30_ligand_107     -10.628079
1a30_ligand_110     -9.8933372
1a30_ligand_113     -9.5499954
1a30_ligand_114     -8.2529364
1a30_ligand_119     -7.8400736
1a30_ligand_12      -9.0193253
1a30_ligand_120     -7.6714387
1a30_ligand_122     -7.424027
1a30_ligand_128     -6.869988
1a30_ligand_132     -10.247642
1a30_ligand_137     -8.0312967
1a30_ligand_166     -6.7960224
1a30_ligand_174     -4.1120539
1a30_ligand_187     -5.8279796
1a30_ligand_191     -5.6129608
1a30_ligand_193     -3.8384929
1a30_ligand_194     -5.2686591
1a30_ligand_20      -9.0685472
1a30_ligand_206     -6.2826099
1a30_ligand_207     -8.9994364
1a30_ligand_210     -6.5132813
1a30_ligand_211     -7.9339237
1a30_ligand_213     -6.5322809
1a30_ligand_214     -6.2719021
1a30_ligand_219     -8.0824928
1a30_ligand_22      -8.6855278
1a30_ligand_220     -7.9070406
1a30_ligand_222     -7.4988661
1a30_ligand_225     -6.8353071
1a30_ligand_227     -6.1314998
1a30_ligand_229     -5.1177411
1a30_ligand_230     -6.4966283
1a30_ligand_231     -6.2621951
1a30_ligand_232     -8.3881474
1a30_ligand_234     -6.5178943
1a30_ligand_236     -6.281765
1a30_ligand_237     -7.3812861
1a30_ligand_241     -7.3750415
1a30_ligand_244     -5.7870016
1a30_ligand_245     -7.0114722
1a30_ligand_249     -8.1085901
1a30_ligand_25      -9.1721077
1a30_ligand_255     -8.3025818
1a30_ligand_259     -6.8094077
1a30_ligand_263     -7.210773
1a30_ligand_264     -7.0461264
1a30_ligand_266     -7.0965271
1a30_ligand_272     -7.5341187
1a30_ligand_273     -7.574111
1a30_ligand_279     -7.6575418
1a30_ligand_287     -7.3280668
1a30_ligand_289     -7.7361064
1a30_ligand_29      -9.2408171
1a30_ligand_290     -6.3319492
1a30_ligand_291     -7.1752677
1a30_ligand_293     -6.0639992
1a30_ligand_30      -7.9141912
1a30_ligand_300     -5.7594934
1a30_ligand_305     -9.6180897
1a30_ligand_31      -8.5867672
1a30_ligand_312     -9.2493782
1a30_ligand_32      -8.2318182
1a30_ligand_323     -9.4435234
1a30_ligand_327     -9.2110996
1a30_ligand_338     -8.8926144
1a30_ligand_346     -8.7038689
1a30_ligand_35      -8.9163179
1a30_ligand_360     -11.424829
1a30_ligand_385     -10.329974
1a30_ligand_387     -10.860016
1a30_ligand_391     -11.587419
1a30_ligand_397     -13.186122
1a30_ligand_402     -13.846804
1a30_ligand_42      -8.6684189
1a30_ligand_423     -8.9783411
1a30_ligand_424     -10.813545
1a30_ligand_429     -12.322212
1a30_ligand_439     -11.247247
1a30_ligand_440     -11.360752
1a30_ligand_441     -10.116936
1a30_ligand_450     -9.7353201
1a30_ligand_52      -7.8755288
1a30_ligand_53      -9.2552071
1a30_ligand_56      -12.560214
1a30_ligand_58      -9.607398
1a30_ligand_61      -10.398026
1a30_ligand_64      -8.9439306
1a30_ligand_65      -8.7025976
1a30_ligand_70      -9.8213263
1a30_ligand_74      -7.6334105
1a30_ligand_81      -9.7225962
1a30_ligand_83      -9.2578611
1a30_ligand_87      -9.279336
1a30_ligand_92      -7.7617669
1a30_ligand_93      -9.6426239
1a30_ligand_96      -8.871768
1a30_ligand_99      -11.688682
1bcu_ligand_122     -4.5840416
1bcu_ligand_153     -6.3767786
1bcu_ligand_183     -7.2931685
1bcu_ligand_184     -6.9921165
1bcu_ligand_188     -7.9101954
1bcu_ligand_189     -8.7647295
1bcu_ligand_198     -7.627789
1bcu_ligand_203     -8.0927706
1bcu_ligand_210     -8.7319765
1bcu_ligand_211     -8.2753048
1bcu_ligand_214     -7.9037871
1bcu_ligand_218     -8.9892321
1bcu_ligand_222     -8.0330067
1bcu_ligand_225     -8.2811661
1bcu_ligand_226     -8.1839304
1bcu_ligand_232     -7.6496844
1bcu_ligand_237     -8.0226831
1bcu_ligand_240     -7.9975867
1bcu_ligand_249     -7.7590914
1bcu_ligand_250     -8.9745741
1bcu_ligand_270     -7.4776902
1bcu_ligand_277     -8.4299917
1bcu_ligand_288     -7.9612603
1bcu_ligand_289     -7.6233759
1bcu_ligand_294     -7.964922
1bcu_ligand_302     -9.0697145
1bcu_ligand_304     -9.1208792
1bcu_ligand_305     -8.9214611
1bcu_ligand_309     -8.9770193
1bcu_ligand_310     -8.8060646
1bcu_ligand_321     -8.5955734
1bcu_ligand_326     -8.40623
1bcu_ligand_334     -8.6927385
1bcu_ligand_337     -8.6731663
1bcu_ligand_340     -8.6853924
1bcu_ligand_347     -8.2743835
1bcu_ligand_349     -8.3642426
1bcu_ligand_351     -7.2537031
1bcu_ligand_352     -7.1984916
1bcu_ligand_353     -7.5821123
1bcu_ligand_354     -6.408989
1bcu_ligand_356     -6.857728
1bcu_ligand_358     -7.0856881
1bcu_ligand_359     -5.8854604
1bcu_ligand_362     -6.3946781
1bcu_ligand_363     -6.6188526
1bcu_ligand_365     -6.3343801
1bcu_ligand_367     -6.5293994
1bcu_ligand_368     -5.6154685
1bcu_ligand_369     -6.4198999
1bcu_ligand_371     -6.4505534
1bcu_ligand_372     -7.0097208
1bcu_ligand_374     -6.0277472
1bcu_ligand_375     -5.5113211
1bcu_ligand_376     -5.7277961
1bcu_ligand_378     -6.6917396
1bcu_ligand_379     -5.8303308
1bcu_ligand_380     -6.1350579
1bcu_ligand_381     -5.9184451
1bcu_ligand_382     -5.6344514
1bcu_ligand_383     -6.0078697
1bcu_ligand_384     -5.7387152
1bcu_ligand_385     -6.2143226
1bcu_ligand_386     -5.405849
1bcu_ligand_389     -6.2364683
1bcu_ligand_390     -5.2219739
1bcu_ligand_391     -5.7595706
1bcu_ligand_392     -5.9996214
1bcu_ligand_393     -5.6949115
1bcu_ligand_394     -4.3290768
1bcu_ligand_396     -5.9712024
1bcu_ligand_397     -4.8607249
1bcu_ligand_398     -5.9039288
1bcu_ligand_399     -4.8857436
1bcu_ligand_400     -6.1856575
1bcu_ligand_401     -8.2828016
1bcu_ligand_405     -7.7877507
1bcu_ligand_409     -7.7962322
1bcu_ligand_410     -6.7647781
1bcu_ligand_411     -7.1026497
1bcu_ligand_422     -5.9062061
1bcu_ligand_423     -6.5180006
1bcu_ligand_425     -7.0410981
1bcu_ligand_428     -6.0033665
1bcu_ligand_431     -6.4772096
1bcu_ligand_433     -6.8860636
1bcu_ligand_434     -5.5802274
1bcu_ligand_435     -5.053843
1bcu_ligand_436     -6.7045412
1bcu_ligand_440     -7.2807198
1bcu_ligand_441     -6.8914633
1bcu_ligand_443     -6.3464808
1bcu_ligand_448     -6.37925
1bcu_ligand_450     -6.3352399
1bcu_ligand_453     -8.2238178
1bcu_ligand_454     -6.8310952
1bcu_ligand_466     -8.0116491
1bcu_ligand_479     -7.1732726
1bcu_ligand_480     -5.3825908
1bcu_ligand_492     -7.4624033
1bzc_ligand_101     -9.7386227
1bzc_ligand_102     -8.0606537
1bzc_ligand_103     -8.3257217
1bzc_ligand_11      -9.9929686
1bzc_ligand_115     -9.9298925
1bzc_ligand_119     -9.8047791
1bzc_ligand_126     -10.146509
1bzc_ligand_139     -9.5449886
1bzc_ligand_142     -9.37323
1bzc_ligand_144     -10.17507
1bzc_ligand_145     -9.8701258
1bzc_ligand_149     -9.3891821
1bzc_ligand_152     -6.9596448
