#code_ligand_num    score   
1a30_ligand_1       55.29   
1a30_ligand_10      43.53   
1a30_ligand_102     63.16   
1a30_ligand_107     61.35   
1a30_ligand_109     42.37   
1a30_ligand_11      69.55   
1a30_ligand_112     96.14   
1a30_ligand_114     76.54   
1a30_ligand_12      60.65   
1a30_ligand_120     72.37   
1a30_ligand_123     88.31   
1a30_ligand_128     80.55   
1a30_ligand_129     85.48   
1a30_ligand_13      59.48   
1a30_ligand_136     81.49   
1a30_ligand_14      75.93   
1a30_ligand_144     103.83  
1a30_ligand_17      89.12   
1a30_ligand_176     11.77   
1a30_ligand_177     16.73   
1a30_ligand_180     9.41    
1a30_ligand_184     -7.69   
1a30_ligand_185     5.57    
1a30_ligand_191     -10.86  
1a30_ligand_193     -46.55  
1a30_ligand_200     -47.55  
1a30_ligand_201     32.1    
1a30_ligand_206     34.66   
1a30_ligand_209     32.07   
1a30_ligand_210     44.62   
1a30_ligand_216     23.97   
1a30_ligand_22      58.34   
1a30_ligand_222     28.72   
1a30_ligand_225     29.85   
1a30_ligand_226     24.62   
1a30_ligand_230     34.38   
1a30_ligand_233     21.71   
1a30_ligand_240     18.24   
1a30_ligand_243     35.05   
1a30_ligand_244     27      
1a30_ligand_250     35.3    
1a30_ligand_254     36.36   
1a30_ligand_257     45.49   
1a30_ligand_261     7.06    
1a30_ligand_262     42.04   
1a30_ligand_27      64.56   
1a30_ligand_271     8.49    
1a30_ligand_274     45.14   
1a30_ligand_277     24.11   
1a30_ligand_28      80.75   
1a30_ligand_281     23.06   
1a30_ligand_283     3.07    
1a30_ligand_284     28.75   
1a30_ligand_285     8.07    
1a30_ligand_286     13.67   
1a30_ligand_293     54.26   
1a30_ligand_297     8.87    
1a30_ligand_298     37.41   
1a30_ligand_299     -2.51   
1a30_ligand_31      85.35   
1a30_ligand_312     15.95   
1a30_ligand_313     -11.65  
1a30_ligand_314     -4.3    
1a30_ligand_32      52.34   
1a30_ligand_329     -24.83  
1a30_ligand_330     24.03   
1a30_ligand_341     32.06   
1a30_ligand_345     7.87    
1a30_ligand_368     40.17   
1a30_ligand_37      67.65   
1a30_ligand_375     53.82   
1a30_ligand_387     48.81   
1a30_ligand_395     61.17   
1a30_ligand_405     83.12   
1a30_ligand_426     72.65   
1a30_ligand_434     81.85   
1a30_ligand_45      50.09   
1a30_ligand_46      46.11   
1a30_ligand_50      77.92   
1a30_ligand_52      47.93   
1a30_ligand_55      34.86   
1a30_ligand_56      38.24   
1a30_ligand_57      39.93   
1a30_ligand_59      48.59   
1a30_ligand_61      35.19   
1a30_ligand_63      45.23   
1a30_ligand_69      58.98   
1a30_ligand_70      61.13   
1a30_ligand_75      73.7    
1a30_ligand_76      38.85   
1a30_ligand_77      36.56   
1a30_ligand_78      44.78   
1a30_ligand_79      30.94   
1a30_ligand_81      71.1    
1a30_ligand_82      52.67   
1a30_ligand_86      27.33   
1a30_ligand_89      66.6    
1a30_ligand_94      68.99   
1a30_ligand_96      40.38   
1a30_ligand_99      46.16   
1bcu_ligand_13      43.55   
1bcu_ligand_159     -38.23  
1bcu_ligand_176     33.2    
1bcu_ligand_183     -2.06   
1bcu_ligand_191     -4.19   
1bcu_ligand_199     26.6    
1bcu_ligand_209     26.02   
1bcu_ligand_212     35.66   
1bcu_ligand_215     54.55   
1bcu_ligand_220     38.45   
1bcu_ligand_224     35.76   
1bcu_ligand_227     34.01   
1bcu_ligand_231     6.59    
