#code_ligand_num    score   
1a30_ligand_102     67.57   
1a30_ligand_104     57.54   
1a30_ligand_105     59.42   
1a30_ligand_107     65.58   
1a30_ligand_111     46.67   
1a30_ligand_116     69.39   
1a30_ligand_122     81.92   
1a30_ligand_123     60.93   
1a30_ligand_124     78.82   
1a30_ligand_130     72.56   
1a30_ligand_141     53.52   
1a30_ligand_144     81.43   
1a30_ligand_147     68.22   
1a30_ligand_15      64.62   
1a30_ligand_150     78.77   
1a30_ligand_153     -20.73  
1a30_ligand_161     15.32   
1a30_ligand_173     -12.45  
1a30_ligand_174     28.45   
1a30_ligand_175     4.76    
1a30_ligand_178     29.37   
1a30_ligand_18      58.44   
1a30_ligand_181     0.52    
1a30_ligand_185     13.18   
1a30_ligand_186     -45.21  
1a30_ligand_201     28.53   
1a30_ligand_202     41.33   
1a30_ligand_206     30.28   
1a30_ligand_207     28.4    
1a30_ligand_208     39.47   
1a30_ligand_209     40.35   
1a30_ligand_21      75.58   
1a30_ligand_210     30.5    
1a30_ligand_211     21.64   
1a30_ligand_213     39.5    
1a30_ligand_216     38.16   
1a30_ligand_217     22.71   
1a30_ligand_221     14.16   
1a30_ligand_222     38.95   
1a30_ligand_223     39.11   
1a30_ligand_226     38.21   
1a30_ligand_228     31.11   
1a30_ligand_231     23.02   
1a30_ligand_232     24.83   
1a30_ligand_237     34.34   
1a30_ligand_238     33.75   
1a30_ligand_241     22.56   
1a30_ligand_243     27.71   
1a30_ligand_245     43.6    
1a30_ligand_246     18.61   
1a30_ligand_247     28.31   
1a30_ligand_249     34.47   
1a30_ligand_250     25.84   
1a30_ligand_259     1.04    
1a30_ligand_26      47.76   
1a30_ligand_261     38.31   
1a30_ligand_278     13.48   
1a30_ligand_280     12.38   
1a30_ligand_287     41.94   
1a30_ligand_292     2.21    
1a30_ligand_294     49.69   
1a30_ligand_297     -39.69  
1a30_ligand_301     -5.53   
1a30_ligand_322     22.73   
1a30_ligand_328     -23.88  
1a30_ligand_329     6.61    
1a30_ligand_33      43.31   
1a30_ligand_339     19.6    
1a30_ligand_34      63.4    
1a30_ligand_340     -15.47  
1a30_ligand_345     29.51   
1a30_ligand_350     -14.28  
1a30_ligand_351     73.89   
1a30_ligand_38      53.66   
1a30_ligand_388     54.56   
1a30_ligand_395     59.64   
1a30_ligand_398     70.64   
1a30_ligand_412     76.88   
1a30_ligand_43      53.2    
1a30_ligand_441     73.29   
1a30_ligand_448     34.6    
1a30_ligand_449     57.7    
1a30_ligand_452     87.25   
1a30_ligand_46      64.54   
1a30_ligand_469     91.55   
1a30_ligand_484     53.69   
1a30_ligand_488     72.74   
1a30_ligand_500     37.89   
1a30_ligand_59      52.4    
1a30_ligand_60      69.72   
1a30_ligand_62      39.67   
1a30_ligand_63      64.91   
1a30_ligand_76      66.84   
1a30_ligand_78      58.4    
1a30_ligand_82      66.27   
1a30_ligand_84      75.34   
1a30_ligand_85      50.14   
1a30_ligand_88      63.48   
1a30_ligand_95      55.54   
1a30_ligand_99      62.03   
1bcu_ligand_152     28.93   
1bcu_ligand_156     34.56   
1bcu_ligand_173     20.58   
1bcu_ligand_175     17.14   
1bcu_ligand_181     20.22   
1bcu_ligand_184     29.24   
1bcu_ligand_19      60.81   
1bcu_ligand_191     -2.15   
1bcu_ligand_194     37.96   
1bcu_ligand_196     3.29    
1bcu_ligand_197     21.79   
1bcu_ligand_202     52.56   
1bcu_ligand_210     55.04   
1bcu_ligand_216     44.23   
1bcu_ligand_217     56.7    
1bcu_ligand_220     28.78   
1bcu_ligand_226     47.03   
1bcu_ligand_228     52.37   
1bcu_ligand_229     33.06   
1bcu_ligand_230     47.15   
1bcu_ligand_232     49.22   
1bcu_ligand_241     17.19   
1bcu_ligand_243     29.71   
1bcu_ligand_244     36.43   
1bcu_ligand_245     38.24   
1bcu_ligand_247     41.99   
1bcu_ligand_248     31.04   
1bcu_ligand_250     30.7    
1bcu_ligand_251     22.86   
1bcu_ligand_254     20.4    
1bcu_ligand_263     32.66   
1bcu_ligand_264     49.83   
1bcu_ligand_272     15.72   
1bcu_ligand_274     33.28   
1bcu_ligand_276     22.52   
1bcu_ligand_277     9.15    
1bcu_ligand_279     24.45   
1bcu_ligand_281     22      
1bcu_ligand_285     12.87   
1bcu_ligand_287     34.74   
1bcu_ligand_292     33.55   
1bcu_ligand_293     30.26   
1bcu_ligand_299     26.83   
1bcu_ligand_301     24.2    
1bcu_ligand_314     17.28   
1bcu_ligand_329     8.78    
1bcu_ligand_332     6.6     
1bcu_ligand_333     30.6    
1bcu_ligand_338     37.96   
1bcu_ligand_340     18.98   
1bcu_ligand_346     22.48   
1bcu_ligand_351     37.66   
1bcu_ligand_354     34.57   
1bcu_ligand_356     33.07   
1bcu_ligand_357     32.64   
1bcu_ligand_358     19.04   
1bcu_ligand_360     26.11   
1bcu_ligand_363     34.55   
1bcu_ligand_368     31.1    
1bcu_ligand_369     9.65    
1bcu_ligand_372     32.59   
1bcu_ligand_374     19.16   
1bcu_ligand_375     13.29   
1bcu_ligand_376     19.4    
1bcu_ligand_377     23.72   
1bcu_ligand_378     24.6    
1bcu_ligand_379     33.95   
