#code_ligand_num    score   
1a30_ligand_1       55.38   
1a30_ligand_109     62.76   
1a30_ligand_11      61.15   
1a30_ligand_122     68.87   
1a30_ligand_125     52.39   
1a30_ligand_126     82.08   
1a30_ligand_13      64.24   
1a30_ligand_130     43.9    
1a30_ligand_138     51.4    
1a30_ligand_139     66.99   
1a30_ligand_142     90.31   
1a30_ligand_149     64.79   
1a30_ligand_15      66.8    
1a30_ligand_16      43.99   
1a30_ligand_163     1.03    
1a30_ligand_165     -16.8   
1a30_ligand_17      51.45   
1a30_ligand_18      52.86   
1a30_ligand_188     24.91   
1a30_ligand_192     30.55   
1a30_ligand_194     21.13   
1a30_ligand_197     21.03   
1a30_ligand_202     30.23   
1a30_ligand_205     40.09   
1a30_ligand_207     49.06   
1a30_ligand_21      51.28   
1a30_ligand_212     40.94   
1a30_ligand_226     34.89   
1a30_ligand_228     38.85   
1a30_ligand_234     38.63   
1a30_ligand_239     17.25   
1a30_ligand_240     29.32   
1a30_ligand_241     40.46   
1a30_ligand_243     26.52   
1a30_ligand_244     38.89   
1a30_ligand_249     26.42   
1a30_ligand_262     8.98    
1a30_ligand_264     25.57   
1a30_ligand_265     17.95   
1a30_ligand_27      39.98   
1a30_ligand_274     35.44   
1a30_ligand_28      65.05   
1a30_ligand_284     39.32   
1a30_ligand_286     21.41   
1a30_ligand_288     19.94   
1a30_ligand_29      53.66   
1a30_ligand_296     21.27   
1a30_ligand_298     13.16   
1a30_ligand_3       52.66   
1a30_ligand_307     -24.67  
1a30_ligand_309     24.55   
1a30_ligand_311     15.37   
1a30_ligand_313     7.72    
1a30_ligand_317     15.47   
1a30_ligand_318     -0.75   
1a30_ligand_319     29.14   
1a30_ligand_323     -15.4   
1a30_ligand_326     9.45    
1a30_ligand_328     -0.32   
1a30_ligand_33      70.02   
1a30_ligand_332     27.85   
1a30_ligand_335     5.36    
1a30_ligand_347     -12.9   
1a30_ligand_349     7.58    
1a30_ligand_35      59.44   
1a30_ligand_355     41.62   
1a30_ligand_36      38.35   
1a30_ligand_37      60.62   
1a30_ligand_377     57.79   
1a30_ligand_398     70.27   
1a30_ligand_40      59.57   
1a30_ligand_402     68.76   
1a30_ligand_41      58.68   
1a30_ligand_42      59.23   
1a30_ligand_437     57.77   
1a30_ligand_447     63.02   
1a30_ligand_46      51.8    
1a30_ligand_468     50.31   
1a30_ligand_47      54.31   
1a30_ligand_48      63.65   
1a30_ligand_499     45.4    
1a30_ligand_50      75.34   
1a30_ligand_51      61.93   
1a30_ligand_55      49.8    
1a30_ligand_57      50.79   
1a30_ligand_6       39.83   
1a30_ligand_60      60.31   
1a30_ligand_61      42.8    
1a30_ligand_66      57.95   
1a30_ligand_68      46.72   
1a30_ligand_73      79.32   
1a30_ligand_76      53.64   
1a30_ligand_81      50.3    
1a30_ligand_83      65.97   
1a30_ligand_88      56.99   
1a30_ligand_89      58.84   
1a30_ligand_95      63.66   
1a30_ligand_96      52.48   
1a30_ligand_97      46.01   
1a30_ligand_98      62.42   
1bcu_ligand_14      50.53   
1bcu_ligand_154     27.13   
1bcu_ligand_155     24.96   
1bcu_ligand_166     36.57   
1bcu_ligand_170     34.76   
1bcu_ligand_179     37.42   
1bcu_ligand_183     41.23   
1bcu_ligand_188     29.41   
1bcu_ligand_191     30.48   
1bcu_ligand_196     -18.55  
1bcu_ligand_199     34.41   
1bcu_ligand_210     32.3    
1bcu_ligand_217     41.9    
1bcu_ligand_229     39.05   
1bcu_ligand_236     32.08   
1bcu_ligand_246     26.16   
1bcu_ligand_258     34.15   
1bcu_ligand_271     28.33   
1bcu_ligand_275     37.15   
1bcu_ligand_276     17.37   
1bcu_ligand_278     30.67   
1bcu_ligand_279     35.39   
1bcu_ligand_280     44.74   
1bcu_ligand_283     33.08   
1bcu_ligand_290     -2.99   
1bcu_ligand_294     24.76   
1bcu_ligand_299     29.08   
1bcu_ligand_303     31.88   
1bcu_ligand_322     12.33   
1bcu_ligand_325     9.62    
1bcu_ligand_327     30.82   
1bcu_ligand_328     30.86   
1bcu_ligand_330     31.03   
1bcu_ligand_333     38.49   
1bcu_ligand_337     41.39   
1bcu_ligand_344     36.09   
1bcu_ligand_347     16.62   
1bcu_ligand_354     34.03   
1bcu_ligand_358     35.5    
1bcu_ligand_359     32.26   
1bcu_ligand_361     31.31   
1bcu_ligand_362     25.28   
1bcu_ligand_363     27.09   
1bcu_ligand_364     29.41   
1bcu_ligand_366     22.05   
1bcu_ligand_367     26.71   
1bcu_ligand_368     23.17   
1bcu_ligand_369     28.91   
1bcu_ligand_371     14.18   
1bcu_ligand_372     7.6     
1bcu_ligand_373     14.21   
1bcu_ligand_374     33.06   
1bcu_ligand_375     16.06   
1bcu_ligand_378     34.68   
1bcu_ligand_381     20.4    
1bcu_ligand_382     20.55   
1bcu_ligand_388     21.76   
1bcu_ligand_389     20.18   
1bcu_ligand_390     20.58   
1bcu_ligand_391     19.3    
1bcu_ligand_392     16.85   
1bcu_ligand_393     11.67   
1bcu_ligand_394     10.96   
1bcu_ligand_395     10.75   
1bcu_ligand_396     12.54   
1bcu_ligand_397     10.26   
1bcu_ligand_398     10.09   
1bcu_ligand_399     24.08   
1bcu_ligand_400     11.62   
1bcu_ligand_402     46.95   
1bcu_ligand_409     25.26   
1bcu_ligand_412     24.64   
1bcu_ligand_415     21.58   
1bcu_ligand_417     26.73   
1bcu_ligand_418     34.28   
1bcu_ligand_423     35.63   
1bcu_ligand_429     22.48   
1bcu_ligand_431     42.27   
1bcu_ligand_432     18.36   
1bcu_ligand_433     23.73   
1bcu_ligand_435     9.13    
1bcu_ligand_436     6.25    
1bcu_ligand_438     20.5    
1bcu_ligand_443     7.1     
1bcu_ligand_444     29.73   
1bcu_ligand_445     21.44   
1bcu_ligand_447     21.78   
1bcu_ligand_448     17.18   
1bcu_ligand_456     55.99   
1bcu_ligand_458     47.33   
1bcu_ligand_473     20.78   
1bcu_ligand_479     32.92   
1bcu_ligand_483     38.9    
1bcu_ligand_491     40.48   
1bcu_ligand_494     41.43   
1bcu_ligand_495     13.97   
1bcu_ligand_497     32.48   
1bcu_ligand_499     37.66   
1bcu_ligand_76      42.05   
1bcu_ligand_85      47.98   
1bzc_ligand_103     78.77   
1bzc_ligand_106     71.67   
1bzc_ligand_108     87.11   
1bzc_ligand_111     68.73   
1bzc_ligand_123     61.57   
1bzc_ligand_139     67.25   
1bzc_ligand_141     37.03   
1bzc_ligand_142     92.68   
1bzc_ligand_145     67.81   
1bzc_ligand_153     -13.8   
1bzc_ligand_157     -35.53  
1bzc_ligand_161     12.63   
1bzc_ligand_164     22.27   
1bzc_ligand_170     -38.47  
1bzc_ligand_176     -32.26  
1bzc_ligand_189     -17.94  
1bzc_ligand_197     -14.86  
1bzc_ligand_2       49.76   
1bzc_ligand_20      70.24   
1bzc_ligand_202     43.57   
1bzc_ligand_208     53.49   
1bzc_ligand_21      72.13   
1bzc_ligand_213     21.67   
1bzc_ligand_214     27.16   
1bzc_ligand_215     47.7    
1bzc_ligand_216     23.84   
1bzc_ligand_218     38.03   
1bzc_ligand_219     37.61   
1bzc_ligand_228     29.92   
1bzc_ligand_230     37.38   
1bzc_ligand_231     32.83   
1bzc_ligand_232     32.23   
1bzc_ligand_243     24.25   
1bzc_ligand_245     36.77   
1bzc_ligand_248     40.91   
1bzc_ligand_249     38.81   
1bzc_ligand_252     32.99   
1bzc_ligand_262     23.61   
1bzc_ligand_265     50.55   
1bzc_ligand_268     55.38   
1bzc_ligand_269     40.64   
1bzc_ligand_277     49.47   
1bzc_ligand_278     32.39   
1bzc_ligand_29      60.96   
1bzc_ligand_291     20.1    
1bzc_ligand_296     0.2     
1bzc_ligand_297     18.11   
1bzc_ligand_298     -9.23   
1bzc_ligand_301     27.35   
1bzc_ligand_303     -1      
1bzc_ligand_306     17.44   
1bzc_ligand_31      66.44   
1bzc_ligand_310     20.98   
1bzc_ligand_311     6.05    
1bzc_ligand_316     15.66   
1bzc_ligand_319     8.02    
1bzc_ligand_320     -2.31   
1bzc_ligand_321     1.33    
1bzc_ligand_322     -9.63   
1bzc_ligand_323     37.44   
1bzc_ligand_328     -8.12   
1bzc_ligand_33      48.78   
1bzc_ligand_332     11.56   
1bzc_ligand_334     8.69    
1bzc_ligand_335     -0.48   
1bzc_ligand_336     29.18   
1bzc_ligand_337     -30.86  
1bzc_ligand_338     1.15    
1bzc_ligand_34      67.84   
1bzc_ligand_340     -8.55   
1bzc_ligand_343     17.09   
1bzc_ligand_346     16.57   
1bzc_ligand_347     29.34   
1bzc_ligand_348     6.37    
1bzc_ligand_349     26.64   
1bzc_ligand_367     58.37   
1bzc_ligand_389     30.14   
1bzc_ligand_391     64.95   
1bzc_ligand_392     32.62   
1bzc_ligand_396     66.05   
1bzc_ligand_398     56.77   
1bzc_ligand_45      57.2    
1bzc_ligand_481     61.85   
1bzc_ligand_486     44.56   
1bzc_ligand_49      59.1    
1bzc_ligand_54      62.43   
1bzc_ligand_58      68.67   
1bzc_ligand_60      37.54   
