#code_ligand_num    score   
1a30_ligand_107     70.81   
1a30_ligand_108     59.31   
1a30_ligand_109     61.16   
1a30_ligand_11      84.97   
1a30_ligand_124     83.34   
1a30_ligand_126     61.8    
1a30_ligand_127     78.23   
1a30_ligand_130     72.51   
1a30_ligand_136     74.53   
1a30_ligand_138     75.32   
1a30_ligand_143     65.1    
1a30_ligand_145     62.27   
1a30_ligand_146     59.18   
1a30_ligand_154     -4.53   
1a30_ligand_157     -27.9   
1a30_ligand_159     17.27   
1a30_ligand_160     27.79   
1a30_ligand_165     -9.03   
1a30_ligand_168     -41.77  
1a30_ligand_169     -37.19  
1a30_ligand_172     -2.62   
1a30_ligand_176     -104.01 
1a30_ligand_179     -28.62  
1a30_ligand_181     -24.92  
1a30_ligand_190     -24.35  
1a30_ligand_193     -15.85  
1a30_ligand_195     16.44   
1a30_ligand_196     44.89   
1a30_ligand_20      72.93   
1a30_ligand_204     50.17   
1a30_ligand_205     46.57   
1a30_ligand_210     32.39   
1a30_ligand_214     43.78   
1a30_ligand_219     32.35   
1a30_ligand_221     21.31   
1a30_ligand_222     43.28   
1a30_ligand_224     26.98   
1a30_ligand_226     53.66   
1a30_ligand_227     33.42   
1a30_ligand_228     31.96   
1a30_ligand_230     7.34    
1a30_ligand_239     45.64   
1a30_ligand_245     38.96   
1a30_ligand_247     25.45   
1a30_ligand_255     11.51   
1a30_ligand_258     -6.69   
1a30_ligand_264     17.97   
1a30_ligand_272     -29.67  
1a30_ligand_280     -54.25  
1a30_ligand_282     7.92    
1a30_ligand_283     14.38   
1a30_ligand_288     -26.29  
1a30_ligand_289     22.99   
1a30_ligand_29      86.05   
1a30_ligand_294     0.18    
1a30_ligand_298     -32.86  
1a30_ligand_299     -62.5   
1a30_ligand_30      84.47   
1a30_ligand_301     -29.44  
1a30_ligand_304     7.18    
1a30_ligand_306     -72.26  
1a30_ligand_31      72.25   
1a30_ligand_310     -17.21  
1a30_ligand_311     -2.35   
1a30_ligand_314     -24.33  
1a30_ligand_315     -22.2   
1a30_ligand_316     -28.66  
1a30_ligand_317     -46.21  
1a30_ligand_318     -36.47  
1a30_ligand_32      66.45   
1a30_ligand_332     -48.89  
1a30_ligand_334     15.16   
1a30_ligand_336     -79.5   
1a30_ligand_345     -32.41  
1a30_ligand_346     -60.07  
1a30_ligand_348     38.72   
1a30_ligand_35      87.6    
1a30_ligand_356     68.72   
1a30_ligand_360     50.02   
1a30_ligand_373     67.06   
1a30_ligand_39      70.25   
1a30_ligand_399     69.9    
1a30_ligand_4       64.65   
1a30_ligand_400     44.46   
1a30_ligand_407     60.12   
1a30_ligand_43      58.71   
1a30_ligand_440     47.9    
1a30_ligand_441     70.34   
1a30_ligand_459     70.57   
1a30_ligand_485     71.83   
1a30_ligand_5       82.31   
1a30_ligand_50      68.82   
1a30_ligand_72      54.18   
1a30_ligand_78      75.63   
1a30_ligand_8       80.65   
1a30_ligand_84      58.29   
1a30_ligand_87      73.37   
1a30_ligand_89      62.04   
1a30_ligand_95      60.77   
1a30_ligand_96      52.66   
1bcu_ligand_1       56.42   
1bcu_ligand_155     7.51    
1bcu_ligand_160     7.27    
1bcu_ligand_166     -49.92  
1bcu_ligand_176     26.64   
1bcu_ligand_178     -124.69 
1bcu_ligand_179     -5.44   
1bcu_ligand_180     -88.47  
1bcu_ligand_189     -70.31  
1bcu_ligand_190     -109.41 
1bcu_ligand_191     40.05   
1bcu_ligand_192     -37.78  
1bcu_ligand_196     -52.11  
1bcu_ligand_197     -17.85  
1bcu_ligand_2       49.54   
1bcu_ligand_204     33.05   
1bcu_ligand_207     33.46   
1bcu_ligand_208     40.12   
1bcu_ligand_211     29.94   
1bcu_ligand_212     37.35   
1bcu_ligand_219     34.24   
1bcu_ligand_224     31.48   
1bcu_ligand_227     44.79   
1bcu_ligand_228     24.83   
1bcu_ligand_230     14.69   
1bcu_ligand_231     33.53   
1bcu_ligand_233     25.03   
1bcu_ligand_235     31.42   
1bcu_ligand_238     33.31   
1bcu_ligand_240     33.22   
1bcu_ligand_241     30.23   
1bcu_ligand_242     32.51   
1bcu_ligand_246     27.19   
1bcu_ligand_250     29.15   
1bcu_ligand_252     45.85   
1bcu_ligand_253     35.33   
1bcu_ligand_257     26.98   
1bcu_ligand_258     14.21   
1bcu_ligand_264     34.26   
1bcu_ligand_267     24.32   
1bcu_ligand_268     12.8    
1bcu_ligand_275     36.84   
1bcu_ligand_286     25.08   
1bcu_ligand_287     29.34   
1bcu_ligand_289     11.19   
1bcu_ligand_295     23.29   
1bcu_ligand_297     23.57   
1bcu_ligand_298     23.85   
1bcu_ligand_307     36.29   
1bcu_ligand_319     9.19    
1bcu_ligand_338     24.05   
1bcu_ligand_341     26.32   
1bcu_ligand_344     23.86   
1bcu_ligand_348     34.38   
1bcu_ligand_357     23.94   
1bcu_ligand_359     35.55   
1bcu_ligand_364     30      
1bcu_ligand_366     24.61   
1bcu_ligand_371     23.19   
1bcu_ligand_372     28.32   
1bcu_ligand_373     24.2    
1bcu_ligand_374     19.11   
1bcu_ligand_375     25.37   
1bcu_ligand_376     25.33   
1bcu_ligand_379     14.65   
1bcu_ligand_380     16.91   
1bcu_ligand_381     30.73   
1bcu_ligand_386     30.72   
1bcu_ligand_388     21.06   
1bcu_ligand_389     12.63   
1bcu_ligand_390     23.96   
1bcu_ligand_391     27.73   
1bcu_ligand_392     18.68   
1bcu_ligand_393     17.16   
1bcu_ligand_395     26.6    
1bcu_ligand_396     22.27   
1bcu_ligand_397     22.18   
1bcu_ligand_398     12.63   
1bcu_ligand_399     15      
1bcu_ligand_400     12.93   
1bcu_ligand_401     31.76   
1bcu_ligand_403     15.27   
1bcu_ligand_409     22.63   
1bcu_ligand_410     33.32   
1bcu_ligand_421     32.56   
1bcu_ligand_426     22.99   
1bcu_ligand_427     21.27   
1bcu_ligand_429     26.56   
1bcu_ligand_432     26.68   
1bcu_ligand_445     27.22   
1bcu_ligand_447     17.63   
1bcu_ligand_450     20.63   
1bcu_ligand_452     41.31   
1bcu_ligand_461     45.6    
1bcu_ligand_462     29.68   
1bcu_ligand_467     31.43   
1bcu_ligand_468     32      
1bcu_ligand_487     23.14   
1bcu_ligand_496     37.28   
1bcu_ligand_500     30.9    
1bzc_ligand_102     54.44   
1bzc_ligand_106     46.2    
1bzc_ligand_107     50.06   
1bzc_ligand_109     83.98   
1bzc_ligand_11      44.42   
1bzc_ligand_110     72.27   
1bzc_ligand_111     50.4    
1bzc_ligand_112     41.6    
1bzc_ligand_115     59.48   
1bzc_ligand_117     64.32   
1bzc_ligand_118     68.85   
1bzc_ligand_120     68.23   
1bzc_ligand_122     84.17   
1bzc_ligand_128     58.09   
1bzc_ligand_130     78.74   
1bzc_ligand_133     77.1    
1bzc_ligand_137     62.62   
1bzc_ligand_140     33.24   
1bzc_ligand_143     73.41   
1bzc_ligand_146     58.86   
1bzc_ligand_147     60.62   
1bzc_ligand_152     0.47    
1bzc_ligand_153     -17.72  
1bzc_ligand_155     11.52   
1bzc_ligand_159     37.97   
1bzc_ligand_161     -7.6    
1bzc_ligand_173     -28.5   
