#code_ligand_num    score   
1a30_ligand_100     48.98   
1a30_ligand_104     56.04   
1a30_ligand_107     70.43   
1a30_ligand_110     74.82   
1a30_ligand_111     69.87   
1a30_ligand_113     56.94   
1a30_ligand_127     84.89   
1a30_ligand_13      72.79   
1a30_ligand_134     94.08   
1a30_ligand_136     74.39   
1a30_ligand_138     56.75   
1a30_ligand_140     68.97   
1a30_ligand_144     66.78   
1a30_ligand_145     52.67   
1a30_ligand_149     67.63   
1a30_ligand_15      63.34   
1a30_ligand_151     3.47    
1a30_ligand_153     -34.75  
1a30_ligand_154     -38.42  
1a30_ligand_160     -34.05  
1a30_ligand_161     5.96    
1a30_ligand_163     -39.76  
1a30_ligand_168     36.69   
1a30_ligand_173     -46.73  
1a30_ligand_188     -3.37   
1a30_ligand_19      66.09   
1a30_ligand_195     -36.57  
1a30_ligand_197     0.78    
1a30_ligand_2       62.71   
1a30_ligand_20      54.11   
1a30_ligand_21      80.19   
1a30_ligand_218     49.82   
1a30_ligand_22      68.69   
1a30_ligand_223     26.69   
1a30_ligand_226     27.13   
1a30_ligand_229     31.02   
1a30_ligand_23      63.61   
1a30_ligand_231     19.41   
1a30_ligand_235     56.89   
1a30_ligand_237     25.68   
1a30_ligand_239     24.45   
1a30_ligand_24      75.17   
1a30_ligand_246     35.69   
1a30_ligand_247     23.12   
1a30_ligand_25      76.42   
1a30_ligand_26      64.92   
1a30_ligand_271     7.61    
1a30_ligand_274     19.85   
1a30_ligand_275     44.4    
1a30_ligand_287     12.93   
1a30_ligand_288     23.57   
1a30_ligand_293     25.91   
1a30_ligand_297     44.76   
1a30_ligand_31      78.35   
1a30_ligand_310     6.3     
1a30_ligand_316     37.85   
1a30_ligand_323     10.93   
1a30_ligand_327     21.11   
1a30_ligand_335     18.09   
1a30_ligand_34      73.46   
1a30_ligand_37      69.59   
1a30_ligand_375     81.91   
1a30_ligand_38      63.45   
1a30_ligand_388     90.65   
1a30_ligand_394     76.07   
1a30_ligand_395     87.87   
1a30_ligand_4       71.5    
1a30_ligand_41      93.77   
1a30_ligand_411     71.8    
1a30_ligand_418     45.82   
1a30_ligand_42      49.81   
1a30_ligand_427     86.05   
1a30_ligand_439     63.78   
1a30_ligand_453     83.88   
1a30_ligand_46      74.58   
1a30_ligand_471     78.95   
1a30_ligand_48      62.12   
1a30_ligand_488     65.22   
1a30_ligand_49      83.3    
1a30_ligand_497     63.63   
1a30_ligand_51      67.19   
1a30_ligand_54      53.29   
1a30_ligand_55      57.81   
1a30_ligand_59      52.84   
1a30_ligand_61      74.58   
1a30_ligand_62      57.76   
1a30_ligand_63      63.8    
1a30_ligand_65      43.29   
1a30_ligand_66      47.5    
1a30_ligand_71      52.4    
1a30_ligand_72      58.4    
1a30_ligand_73      83.43   
1a30_ligand_76      62.18   
1a30_ligand_85      49.4    
1a30_ligand_86      59.63   
1a30_ligand_9       67.97   
1a30_ligand_90      46.07   
1a30_ligand_94      48.79   
1a30_ligand_96      49.86   
1a30_ligand_98      53.35   
1bcu_ligand_155     67.9    
1bcu_ligand_156     53.56   
1bcu_ligand_171     74.04   
1bcu_ligand_172     58      
1bcu_ligand_185     39.75   
1bcu_ligand_187     48.52   
1bcu_ligand_192     40.25   
1bcu_ligand_194     64.78   
1bcu_ligand_199     37.52   
1bcu_ligand_200     34.97   
1bcu_ligand_202     49.77   
1bcu_ligand_207     51.14   
1bcu_ligand_208     45.32   
1bcu_ligand_210     62.34   
1bcu_ligand_211     46.02   
1bcu_ligand_232     42.04   
1bcu_ligand_235     36.93   
1bcu_ligand_239     54.68   
1bcu_ligand_240     81.67   
1bcu_ligand_243     50.11   
1bcu_ligand_244     46.89   
1bcu_ligand_249     53.89   
1bcu_ligand_259     47.38   
1bcu_ligand_272     42.1    
1bcu_ligand_278     57.97   
1bcu_ligand_281     75.14   
1bcu_ligand_286     61.95   
1bcu_ligand_292     62.96   
1bcu_ligand_296     53.21   
1bcu_ligand_299     42.76   
1bcu_ligand_303     42.37   
1bcu_ligand_311     70.04   
1bcu_ligand_328     67.86   
1bcu_ligand_329     49.3    
1bcu_ligand_330     54.13   
1bcu_ligand_334     55.65   
1bcu_ligand_338     54.86   
1bcu_ligand_341     32.7    
1bcu_ligand_344     37.63   
1bcu_ligand_349     63.67   
1bcu_ligand_356     47.28   
1bcu_ligand_359     49.24   
1bcu_ligand_361     48.18   
1bcu_ligand_362     53.3    
1bcu_ligand_364     42.19   
1bcu_ligand_365     53.39   
1bcu_ligand_366     53.65   
1bcu_ligand_367     28.3    
1bcu_ligand_368     46.91   
1bcu_ligand_369     41.17   
1bcu_ligand_370     29.31   
1bcu_ligand_371     21.59   
1bcu_ligand_372     25.27   
1bcu_ligand_373     17.3    
1bcu_ligand_374     14.96   
1bcu_ligand_375     25.71   
1bcu_ligand_376     14.6    
1bcu_ligand_377     19.11   
1bcu_ligand_378     22.98   
1bcu_ligand_380     29.79   
1bcu_ligand_381     20.23   
1bcu_ligand_382     15.78   
1bcu_ligand_383     19.37   
1bcu_ligand_385     18.61   
1bcu_ligand_387     23.82   
1bcu_ligand_388     33.69   
1bcu_ligand_389     20.04   
1bcu_ligand_390     7.83    
1bcu_ligand_391     26.51   
1bcu_ligand_392     12.84   
1bcu_ligand_393     13.25   
1bcu_ligand_394     8.96    
1bcu_ligand_396     22.77   
1bcu_ligand_397     17.32   
1bcu_ligand_398     8.82    
1bcu_ligand_400     15.32   
1bcu_ligand_409     58.91   
1bcu_ligand_416     48.22   
1bcu_ligand_417     39.03   
1bcu_ligand_418     52.49   
1bcu_ligand_421     54.83   
1bcu_ligand_423     33.23   
1bcu_ligand_424     41.9    
1bcu_ligand_427     35.85   
1bcu_ligand_428     39.42   
1bcu_ligand_429     50.94   
1bcu_ligand_430     37.17   
1bcu_ligand_432     27.88   
1bcu_ligand_434     41.92   
1bcu_ligand_435     58.26   
1bcu_ligand_441     19.83   
1bcu_ligand_445     35.31   
1bcu_ligand_446     50.03   
1bcu_ligand_448     45.71   
1bcu_ligand_449     28.02   
1bcu_ligand_482     39.12   
1bcu_ligand_484     40.67   
1bcu_ligand_486     45.28   
1bcu_ligand_488     53.29   
1bcu_ligand_490     36.44   
1bzc_ligand_112     101.85  
1bzc_ligand_124     89.16   
1bzc_ligand_130     100.01  
1bzc_ligand_133     73.66   
1bzc_ligand_138     91.86   
1bzc_ligand_146     110.73  
1bzc_ligand_150     82.96   
1bzc_ligand_158     -55.03  
1bzc_ligand_159     21.91   
1bzc_ligand_164     -15.57  
1bzc_ligand_17      105.52  
1bzc_ligand_171     -4.01   
1bzc_ligand_173     -30.35  
1bzc_ligand_174     -8.9    
1bzc_ligand_177     -16.39  
1bzc_ligand_178     -2.05   
1bzc_ligand_185     -20.41  
1bzc_ligand_189     -12.26  
1bzc_ligand_190     -26.72  
1bzc_ligand_193     44.17   
1bzc_ligand_197     -27.96  
1bzc_ligand_198     -21.04  
1bzc_ligand_2       42.42   
1bzc_ligand_201     46.84   
1bzc_ligand_202     52.7    
1bzc_ligand_208     44.44   
1bzc_ligand_209     40.57   
1bzc_ligand_210     52.96   
1bzc_ligand_213     12.74   
1bzc_ligand_215     26.2    
1bzc_ligand_217     34.46   
1bzc_ligand_218     40.83   
1bzc_ligand_221     20.75   
1bzc_ligand_222     28.27   
1bzc_ligand_225     26.44   
1bzc_ligand_226     28.69   
1bzc_ligand_227     10.7    
1bzc_ligand_228     32.08   
1bzc_ligand_229     22.49   
1bzc_ligand_23      93.2    
1bzc_ligand_230     59.16   
1bzc_ligand_234     -1.47   
1bzc_ligand_235     41.38   
1bzc_ligand_236     24.33   
1bzc_ligand_238     14.62   
1bzc_ligand_240     59.99   
1bzc_ligand_241     37.11   
1bzc_ligand_242     27.25   
1bzc_ligand_244     51.72   
1bzc_ligand_245     25.55   
1bzc_ligand_246     15.98   
1bzc_ligand_248     48.78   
1bzc_ligand_250     69.91   
1bzc_ligand_252     13.72   
1bzc_ligand_257     40.76   
1bzc_ligand_26      92.03   
1bzc_ligand_263     33.9    
1bzc_ligand_267     35.24   
1bzc_ligand_272     23.97   
1bzc_ligand_277     -27.76  
1bzc_ligand_282     -10.75  
1bzc_ligand_285     12.69   
1bzc_ligand_287     32.23   
1bzc_ligand_289     -5.6    
1bzc_ligand_29      87.67   
1bzc_ligand_291     41.74   
1bzc_ligand_293     15.54   
1bzc_ligand_294     24.3    
1bzc_ligand_295     29.83   
1bzc_ligand_296     -3      
1bzc_ligand_297     22.34   
1bzc_ligand_298     -0.72   
1bzc_ligand_318     50.87   
1bzc_ligand_319     36.01   
1bzc_ligand_320     25.02   
1bzc_ligand_322     10.66   
1bzc_ligand_324     6.79    
1bzc_ligand_326     3.29    
1bzc_ligand_331     40.27   
1bzc_ligand_333     -8.74   
1bzc_ligand_334     8.4     
1bzc_ligand_337     52.22   
1bzc_ligand_341     39.94   
1bzc_ligand_345     30.11   
1bzc_ligand_35      68.83   
1bzc_ligand_36      94.84   
1bzc_ligand_362     63.43   
1bzc_ligand_365     48.3    
1bzc_ligand_392     79.66   
1bzc_ligand_4       77.38   
1bzc_ligand_445     67.64   
1bzc_ligand_448     36.86   
1bzc_ligand_488     109.33  
1bzc_ligand_58      94.15   
1bzc_ligand_65      62.03   
1bzc_ligand_69      96.06   
1bzc_ligand_76      87.74   
1bzc_ligand_80      67.44   
1bzc_ligand_85      59.6    
1bzc_ligand_88      84.04   
1c5z_ligand_107     51.92   
1c5z_ligand_129     51      
1c5z_ligand_147     51.82   
1c5z_ligand_153     51.24   
1c5z_ligand_154     29.38   
1c5z_ligand_155     35.35   
1c5z_ligand_164     47.01   
1c5z_ligand_168     38.4    
1c5z_ligand_169     36.28   
1c5z_ligand_171     17.81   
1c5z_ligand_176     35.32   
1c5z_ligand_178     39.27   
1c5z_ligand_181     29.19   
1c5z_ligand_182     21.51   
1c5z_ligand_184     18.61   
1c5z_ligand_185     17.13   
1c5z_ligand_186     11.44   
1c5z_ligand_190     39.75   
1c5z_ligand_191     37.91   
1c5z_ligand_192     24.43   
1c5z_ligand_195     43.29   
1c5z_ligand_197     33.29   
1c5z_ligand_198     35.75   
1c5z_ligand_199     47.09   
1c5z_ligand_200     17.81   
1c5z_ligand_202     37.46   
