#code_ligand_num    score   
1a30_ligand_10      68.47   
1a30_ligand_101     76.66   
1a30_ligand_107     61.11   
1a30_ligand_108     76.85   
1a30_ligand_115     72.33   
1a30_ligand_128     75.89   
1a30_ligand_129     65.71   
1a30_ligand_131     49.98   
1a30_ligand_135     54.73   
1a30_ligand_152     27.91   
1a30_ligand_154     -29.89  
1a30_ligand_163     -66.08  
1a30_ligand_171     -60.06  
1a30_ligand_190     -86.98  
1a30_ligand_191     -33.3   
1a30_ligand_193     -5.45   
1a30_ligand_200     -6.21   
1a30_ligand_201     33.39   
1a30_ligand_203     37.54   
1a30_ligand_206     30.24   
1a30_ligand_207     34.04   
1a30_ligand_209     28.96   
1a30_ligand_21      85.91   
1a30_ligand_210     35.23   
1a30_ligand_216     35.51   
1a30_ligand_217     23.93   
1a30_ligand_218     37.07   
1a30_ligand_219     33.34   
1a30_ligand_220     39.32   
1a30_ligand_222     31.51   
1a30_ligand_224     30.17   
1a30_ligand_225     37.49   
1a30_ligand_230     40.12   
1a30_ligand_231     48.25   
1a30_ligand_233     31.04   
1a30_ligand_235     27.96   
1a30_ligand_237     42.03   
1a30_ligand_238     24.86   
1a30_ligand_239     49.11   
1a30_ligand_240     26.01   
1a30_ligand_241     34.07   
1a30_ligand_242     20.5    
1a30_ligand_243     55.03   
1a30_ligand_244     40.94   
1a30_ligand_245     39.35   
1a30_ligand_246     17.5    
1a30_ligand_248     21.61   
1a30_ligand_253     36.24   
1a30_ligand_272     6.24    
1a30_ligand_274     45.15   
1a30_ligand_275     44.47   
1a30_ligand_280     -34.17  
1a30_ligand_282     -21.72  
1a30_ligand_283     -5.33   
1a30_ligand_284     -118.77 
1a30_ligand_287     30.12   
1a30_ligand_29      82.99   
1a30_ligand_291     31.53   
1a30_ligand_292     -105.21 
1a30_ligand_294     39.13   
1a30_ligand_300     -1.61   
1a30_ligand_303     -61.32  
1a30_ligand_307     -39.11  
1a30_ligand_31      69.66   
1a30_ligand_311     -42.23  
1a30_ligand_319     6.25    
1a30_ligand_327     4.72    
1a30_ligand_338     -38.9   
1a30_ligand_34      69.58   
1a30_ligand_342     -41.01  
1a30_ligand_35      73.87   
1a30_ligand_351     33.82   
1a30_ligand_354     50.53   
1a30_ligand_366     52.05   
1a30_ligand_377     32.23   
1a30_ligand_387     50.36   
1a30_ligand_397     29.09   
1a30_ligand_402     44.66   
1a30_ligand_428     66.99   
1a30_ligand_445     56.17   
1a30_ligand_51      50.41   
1a30_ligand_52      59.45   
1a30_ligand_55      48.57   
1a30_ligand_60      39.94   
1a30_ligand_63      52.87   
1a30_ligand_65      46.35   
