#code_ligand_num    score   
1a30_ligand_1       45.03   
1a30_ligand_10      77.1    
1a30_ligand_106     56.32   
1a30_ligand_109     60.39   
1a30_ligand_110     61.47   
1a30_ligand_111     90.9    
1a30_ligand_115     69.55   
1a30_ligand_116     65.91   
1a30_ligand_118     93.66   
1a30_ligand_121     66.17   
1a30_ligand_126     60.6    
1a30_ligand_130     81.27   
1a30_ligand_147     96.32   
1a30_ligand_15      81.39   
1a30_ligand_151     34.95   
1a30_ligand_152     24.13   
1a30_ligand_167     1.48    
1a30_ligand_171     8.94    
1a30_ligand_180     -2.02   
1a30_ligand_201     34.9    
1a30_ligand_202     18.51   
1a30_ligand_203     26.6    
1a30_ligand_205     31.96   
1a30_ligand_206     21.24   
1a30_ligand_208     43.87   
1a30_ligand_210     51.58   
1a30_ligand_211     21.27   
1a30_ligand_213     14.57   
1a30_ligand_214     44.03   
1a30_ligand_218     25.26   
1a30_ligand_219     47.48   
1a30_ligand_220     33.32   
1a30_ligand_222     19.71   
1a30_ligand_223     41.46   
1a30_ligand_224     19.88   
1a30_ligand_226     2.94    
1a30_ligand_227     26.86   
1a30_ligand_228     27.38   
1a30_ligand_229     33.6    
1a30_ligand_230     29.91   
1a30_ligand_232     15.96   
1a30_ligand_233     35.63   
1a30_ligand_234     31.53   
1a30_ligand_243     19.06   
1a30_ligand_244     18.66   
1a30_ligand_245     19.62   
1a30_ligand_247     30.22   
1a30_ligand_248     28.7    
1a30_ligand_249     37.66   
1a30_ligand_250     42.68   
1a30_ligand_252     14.22   
1a30_ligand_253     36.61   
1a30_ligand_255     27.82   
1a30_ligand_256     62.48   
1a30_ligand_257     65.11   
1a30_ligand_259     51.19   
1a30_ligand_262     65.08   
1a30_ligand_263     45.95   
1a30_ligand_269     59.51   
1a30_ligand_27      49.89   
1a30_ligand_270     35.42   
1a30_ligand_276     -3.83   
1a30_ligand_281     45.95   
1a30_ligand_282     47.32   
1a30_ligand_289     -15.28  
1a30_ligand_292     -15.28  
1a30_ligand_296     2.06    
1a30_ligand_298     22.48   
1a30_ligand_300     -1.69   
1a30_ligand_305     -20.04  
1a30_ligand_312     14.08   
1a30_ligand_314     37.82   
1a30_ligand_322     7.42    
1a30_ligand_325     21.67   
1a30_ligand_33      41.4    
1a30_ligand_34      75.32   
1a30_ligand_340     -20.13  
1a30_ligand_345     -16.88  
1a30_ligand_346     28.46   
1a30_ligand_348     33.18   
1a30_ligand_35      80.65   
1a30_ligand_42      43      
1a30_ligand_44      66.9    
1a30_ligand_46      55.99   
1a30_ligand_5       41.25   
1a30_ligand_53      46.2    
1a30_ligand_55      82.41   
1a30_ligand_58      56.32   
1a30_ligand_59      31.9    
1a30_ligand_69      50.46   
1a30_ligand_70      51.14   
1a30_ligand_75      92.55   
1a30_ligand_76      40.43   
1a30_ligand_77      55.08   
1a30_ligand_79      43.11   
1a30_ligand_8       57.71   
1a30_ligand_82      40.25   
1a30_ligand_95      55.57   
1a30_ligand_96      56.25   
1a30_ligand_98      65.07   
1bcu_ligand_151     59.65   
1bcu_ligand_155     32.69   
1bcu_ligand_162     51.5    
1bcu_ligand_179     29.31   
1bcu_ligand_180     53.34   
1bcu_ligand_182     48.98   
1bcu_ligand_187     55.82   
1bcu_ligand_188     45.86   
1bcu_ligand_196     49.5    
