#code_ligand_num    score   
1a30_ligand_10      58.96   
1a30_ligand_100     69.95   
1a30_ligand_104     77.89   
1a30_ligand_106     66.35   
1a30_ligand_110     62.58   
1a30_ligand_115     64.77   
1a30_ligand_120     43.41   
1a30_ligand_121     74.24   
1a30_ligand_122     77.65   
1a30_ligand_124     77.64   
1a30_ligand_125     66.88   
1a30_ligand_127     73.31   
1a30_ligand_14      46.5    
1a30_ligand_140     73.83   
1a30_ligand_15      49.23   
1a30_ligand_152     5.73    
1a30_ligand_16      52.47   
1a30_ligand_162     24.35   
1a30_ligand_164     27.71   
1a30_ligand_171     31.23   
1a30_ligand_173     12.25   
1a30_ligand_179     23.91   
1a30_ligand_183     -8.87   
1a30_ligand_19      51.5    
1a30_ligand_197     19.31   
1a30_ligand_203     20.97   
1a30_ligand_204     21.06   
1a30_ligand_205     28.01   
1a30_ligand_207     36.4    
1a30_ligand_209     12.11   
1a30_ligand_215     26.72   
1a30_ligand_220     29.87   
1a30_ligand_222     28.58   
1a30_ligand_224     31.91   
1a30_ligand_226     24.77   
1a30_ligand_227     19.76   
1a30_ligand_229     34.46   
1a30_ligand_231     26.51   
1a30_ligand_235     12.8    
1a30_ligand_236     11.66   
1a30_ligand_24      50.94   
1a30_ligand_240     16.62   
1a30_ligand_241     27.1    
1a30_ligand_262     22.07   
1a30_ligand_265     31.27   
1a30_ligand_268     6.68    
1a30_ligand_27      62.38   
1a30_ligand_279     39.84   
1a30_ligand_28      59.45   
1a30_ligand_283     33.48   
1a30_ligand_285     10.86   
1a30_ligand_289     38.84   
1a30_ligand_290     11.73   
1a30_ligand_296     29.08   
1a30_ligand_30      45.59   
1a30_ligand_300     26.07   
1a30_ligand_301     -0.13   
1a30_ligand_302     -22.96  
1a30_ligand_31      38.45   
1a30_ligand_310     21.14   
1a30_ligand_313     -6.78   
1a30_ligand_314     -0.94   
1a30_ligand_317     28.01   
1a30_ligand_319     16.07   
1a30_ligand_320     34.88   
1a30_ligand_323     22.11   
1a30_ligand_327     20.17   
1a30_ligand_33      60.85   
1a30_ligand_330     10.56   
1a30_ligand_332     31.16   
1a30_ligand_335     20.06   
1a30_ligand_337     11.97   
1a30_ligand_341     10.87   
1a30_ligand_346     25.86   
1a30_ligand_349     -5.48   
1a30_ligand_35      59.15   
1a30_ligand_369     67.05   
1a30_ligand_378     69.69   
1a30_ligand_38      51.73   
1a30_ligand_387     50.57   
1a30_ligand_4       51.96   
1a30_ligand_403     44.04   
1a30_ligand_42      41.76   
1a30_ligand_441     34.27   
1a30_ligand_446     68.71   
1a30_ligand_463     78.79   
1a30_ligand_48      58.73   
1a30_ligand_490     39.61   
1a30_ligand_5       43.7    
1a30_ligand_54      53.51   
1a30_ligand_59      45.46   
1a30_ligand_61      57.62   
