#code_ligand_num    score   
1a30_ligand_112     64.19   
1a30_ligand_116     71.07   
1a30_ligand_117     73.8    
1a30_ligand_120     74.24   
1a30_ligand_124     64.88   
1a30_ligand_126     58.26   
1a30_ligand_127     68.1    
1a30_ligand_129     59.78   
1a30_ligand_131     45.32   
1a30_ligand_135     60.91   
1a30_ligand_141     68.36   
1a30_ligand_143     58.3    
1a30_ligand_147     70.27   
1a30_ligand_151     30.93   
1a30_ligand_162     -13.18  
1a30_ligand_163     50.38   
1a30_ligand_170     27.93   
1a30_ligand_176     40.38   
1a30_ligand_185     20      
1a30_ligand_195     19.73   
1a30_ligand_197     37.93   
1a30_ligand_20      48.23   
1a30_ligand_201     50.58   
1a30_ligand_202     27.56   
1a30_ligand_206     23.2    
1a30_ligand_210     34.54   
1a30_ligand_212     11.64   
1a30_ligand_220     40.43   
1a30_ligand_223     25.27   
1a30_ligand_226     42.4    
1a30_ligand_228     38.4    
1a30_ligand_23      72.59   
1a30_ligand_232     43.68   
1a30_ligand_233     27.42   
1a30_ligand_234     36.58   
1a30_ligand_236     20      
1a30_ligand_237     18.81   
1a30_ligand_238     41.36   
1a30_ligand_241     31.01   
1a30_ligand_242     27.15   
1a30_ligand_244     28.98   
1a30_ligand_245     37.64   
1a30_ligand_247     30.5    
1a30_ligand_248     20.6    
1a30_ligand_250     21.58   
1a30_ligand_255     3.07    
1a30_ligand_259     14.96   
1a30_ligand_26      59.69   
1a30_ligand_265     11.73   
1a30_ligand_266     35.04   
1a30_ligand_267     25.6    
1a30_ligand_276     29.62   
1a30_ligand_28      76.94   
1a30_ligand_282     20.07   
1a30_ligand_283     37.46   
1a30_ligand_284     24.98   
1a30_ligand_286     2.94    
1a30_ligand_289     27.81   
1a30_ligand_291     21.04   
1a30_ligand_295     -3.05   
1a30_ligand_297     44.18   
1a30_ligand_304     25.42   
1a30_ligand_306     34.41   
1a30_ligand_31      68.02   
1a30_ligand_316     39.85   
1a30_ligand_325     32.92   
1a30_ligand_335     40.69   
1a30_ligand_346     45.33   
1a30_ligand_349     6.16    
1a30_ligand_359     61.89   
1a30_ligand_368     65.02   
1a30_ligand_369     43.36   
1a30_ligand_381     51.36   
1a30_ligand_384     66.28   
1a30_ligand_408     66.32   
1a30_ligand_412     51.11   
1a30_ligand_427     62.93   
1a30_ligand_429     53.79   
1a30_ligand_443     60.91   
1a30_ligand_444     62.43   
1a30_ligand_446     77.96   
1a30_ligand_45      70.63   
1a30_ligand_458     74.02   
1a30_ligand_479     82.89   
1a30_ligand_480     70.05   
1a30_ligand_49      59.55   
1a30_ligand_51      43.81   
1a30_ligand_53      72.02   
1a30_ligand_54      46.29   
1a30_ligand_56      53.71   
1a30_ligand_57      61.64   
1a30_ligand_66      71.82   
1a30_ligand_68      51.8    
1a30_ligand_7       76.76   
1a30_ligand_71      47.36   
1a30_ligand_75      59.6    
1a30_ligand_78      46.89   
1a30_ligand_79      62.5    
1a30_ligand_83      47.71   
1a30_ligand_91      57.55   
1bcu_ligand_138     51.64   
1bcu_ligand_140     54.16   
1bcu_ligand_146     55.07   
1bcu_ligand_149     55.86   
1bcu_ligand_151     47.69   
1bcu_ligand_152     47.34   
1bcu_ligand_163     39.91   
1bcu_ligand_166     21.46   
1bcu_ligand_186     40.98   
1bcu_ligand_213     46.05   
1bcu_ligand_214     33.65   
1bcu_ligand_216     40.65   
1bcu_ligand_218     28.42   
1bcu_ligand_223     27.21   
1bcu_ligand_224     36.27   
1bcu_ligand_233     33.48   
1bcu_ligand_234     30.48   
1bcu_ligand_237     44.06   
1bcu_ligand_246     44.31   
1bcu_ligand_249     40.57   
1bcu_ligand_266     30.94   
1bcu_ligand_270     24.5    
1bcu_ligand_274     36.1    
1bcu_ligand_280     43.48   
1bcu_ligand_289     16.19   
1bcu_ligand_291     33.77   
1bcu_ligand_302     54.29   
1bcu_ligand_303     43.06   
1bcu_ligand_305     21.91   
1bcu_ligand_311     37.16   
1bcu_ligand_313     35.35   
1bcu_ligand_314     27.57   
1bcu_ligand_328     22.69   
1bcu_ligand_332     45.31   
1bcu_ligand_335     38.7    
1bcu_ligand_337     23.77   
1bcu_ligand_342     42.12   
1bcu_ligand_353     43.22   
1bcu_ligand_356     42.14   
1bcu_ligand_357     33.85   
1bcu_ligand_359     42.04   
1bcu_ligand_363     28.94   
1bcu_ligand_366     27.49   
1bcu_ligand_367     45.74   
1bcu_ligand_368     35.38   
1bcu_ligand_369     30.74   
1bcu_ligand_371     24.48   
1bcu_ligand_372     35.77   
1bcu_ligand_373     35.48   
1bcu_ligand_375     28.39   
1bcu_ligand_376     27.91   
1bcu_ligand_377     29.78   
1bcu_ligand_379     30.98   
1bcu_ligand_380     27      
1bcu_ligand_382     28.8    
1bcu_ligand_383     31.55   
1bcu_ligand_385     19.18   
1bcu_ligand_386     26.08   
1bcu_ligand_387     27.05   
1bcu_ligand_388     21.48   
1bcu_ligand_389     19.6    
1bcu_ligand_390     21.7    
1bcu_ligand_392     17.73   
1bcu_ligand_393     27.5    
1bcu_ligand_396     22.68   
1bcu_ligand_398     17.81   
1bcu_ligand_400     28.47   
1bcu_ligand_406     40.34   
1bcu_ligand_407     51.21   
1bcu_ligand_42      62.94   
1bcu_ligand_430     40.99   
1bcu_ligand_432     35.9    
1bcu_ligand_433     34.87   
1bcu_ligand_438     33.62   
1bcu_ligand_439     35.39   
1bcu_ligand_440     35.31   
1bcu_ligand_441     29.67   
1bcu_ligand_445     37.62   
1bcu_ligand_446     24.95   
1bcu_ligand_448     30.94   
1bcu_ligand_456     36.21   
1bcu_ligand_458     39.83   
1bcu_ligand_462     51.61   
1bcu_ligand_465     44.32   
1bcu_ligand_468     55.54   
1bcu_ligand_471     35.18   
1bcu_ligand_473     31.83   
1bcu_ligand_475     34.29   
1bcu_ligand_477     34.61   
1bcu_ligand_478     31.98   
1bcu_ligand_480     38.36   
1bcu_ligand_481     37.93   
1bcu_ligand_483     40.09   
1bcu_ligand_484     43.93   
