#code_ligand_num    score   
1a30_ligand_1       75.28   
1a30_ligand_104     75.64   
1a30_ligand_117     87.37   
1a30_ligand_120     84.18   
1a30_ligand_138     74.89   
1a30_ligand_139     75.31   
1a30_ligand_15      73.94   
1a30_ligand_152     34.06   
1a30_ligand_153     12.02   
1a30_ligand_155     5.09    
1a30_ligand_157     24.4    
1a30_ligand_158     15.69   
1a30_ligand_16      81.49   
1a30_ligand_170     15.08   
1a30_ligand_171     5.86    
1a30_ligand_187     26.56   
1a30_ligand_188     25.5    
1a30_ligand_191     29.85   
1a30_ligand_192     28.95   
1a30_ligand_196     46.92   
1a30_ligand_197     10.37   
1a30_ligand_198     8.3     
1a30_ligand_200     36.84   
1a30_ligand_21      80.16   
1a30_ligand_210     42.79   
1a30_ligand_215     36.36   
1a30_ligand_218     27.37   
1a30_ligand_219     56.99   
1a30_ligand_22      72.9    
1a30_ligand_220     37.16   
1a30_ligand_223     54.96   
1a30_ligand_225     46.32   
1a30_ligand_226     41.99   
1a30_ligand_228     42.28   
1a30_ligand_229     49.34   
1a30_ligand_230     30.18   
1a30_ligand_231     41.41   
1a30_ligand_232     56.05   
1a30_ligand_233     40.69   
1a30_ligand_234     28.26   
1a30_ligand_235     38.18   
1a30_ligand_236     29.23   
1a30_ligand_237     37.19   
1a30_ligand_238     30.28   
1a30_ligand_239     41.77   
1a30_ligand_240     35.13   
1a30_ligand_242     33.42   
1a30_ligand_243     27.7    
1a30_ligand_245     23.33   
1a30_ligand_248     39.15   
1a30_ligand_250     36.58   
1a30_ligand_253     47.52   
1a30_ligand_255     36.88   
1a30_ligand_260     35.78   
1a30_ligand_261     35.03   
1a30_ligand_263     47.71   
1a30_ligand_265     50.33   
1a30_ligand_270     38.46   
1a30_ligand_271     25.79   
1a30_ligand_273     38.37   
1a30_ligand_274     34.52   
1a30_ligand_275     14.7    
1a30_ligand_278     39.09   
1a30_ligand_283     30.35   
1a30_ligand_284     42.86   
1a30_ligand_291     45.45   
1a30_ligand_292     33.77   
1a30_ligand_294     17.78   
1a30_ligand_295     29.1    
1a30_ligand_297     30.46   
1a30_ligand_298     26.36   
1a30_ligand_3       91.41   
1a30_ligand_301     23.77   
1a30_ligand_31      68.48   
1a30_ligand_311     24.61   
1a30_ligand_316     33      
1a30_ligand_317     42.79   
1a30_ligand_323     30.46   
1a30_ligand_327     19.68   
1a30_ligand_329     36.39   
1a30_ligand_338     22.15   
1a30_ligand_341     28.08   
1a30_ligand_348     42.1    
1a30_ligand_361     60      
1a30_ligand_364     66.39   
1a30_ligand_374     67.12   
1a30_ligand_393     59.28   
1a30_ligand_400     68.42   
1a30_ligand_412     67.39   
1a30_ligand_42      82.33   
1a30_ligand_420     70.71   
1a30_ligand_44      74.73   
1a30_ligand_52      71.45   
1a30_ligand_59      69.37   
1a30_ligand_62      75.95   
1a30_ligand_66      75.29   
1a30_ligand_70      79.75   
1a30_ligand_74      71.05   
1a30_ligand_86      64.29   
1a30_ligand_98      64.95   
1bcu_ligand_103     49.78   
1bcu_ligand_11      50.53   
1bcu_ligand_111     55.84   
1bcu_ligand_115     52.34   
1bcu_ligand_117     55.83   
1bcu_ligand_12      43.59   
1bcu_ligand_13      61.03   
1bcu_ligand_140     36.3    
1bcu_ligand_15      49.22   
1bcu_ligand_161     45.49   
1bcu_ligand_164     44.96   
1bcu_ligand_175     49.04   
1bcu_ligand_180     31.16   
1bcu_ligand_186     22.61   
1bcu_ligand_191     52.89   
1bcu_ligand_193     51.62   
1bcu_ligand_202     42.68   
1bcu_ligand_205     38.09   
1bcu_ligand_208     53.31   
1bcu_ligand_210     44.86   
1bcu_ligand_211     39.86   
1bcu_ligand_217     36.29   
1bcu_ligand_221     43.17   
1bcu_ligand_224     40.32   
1bcu_ligand_231     40.7    
1bcu_ligand_239     45.22   
1bcu_ligand_240     47.7    
1bcu_ligand_246     37.72   
1bcu_ligand_247     41.93   
1bcu_ligand_248     49.59   
1bcu_ligand_255     40.42   
1bcu_ligand_26      58.48   
1bcu_ligand_263     29.4    
1bcu_ligand_264     53.24   
1bcu_ligand_269     37.73   
1bcu_ligand_271     35.02   
1bcu_ligand_272     41      
1bcu_ligand_281     45.1    
1bcu_ligand_283     36.37   
1bcu_ligand_286     47.96   
1bcu_ligand_287     38.3    
1bcu_ligand_288     43.87   
1bcu_ligand_294     33.92   
1bcu_ligand_295     47.85   
1bcu_ligand_3       48.57   
1bcu_ligand_300     32.98   
1bcu_ligand_301     53.62   
1bcu_ligand_303     32.09   
1bcu_ligand_304     37.65   
1bcu_ligand_305     44.93   
1bcu_ligand_308     37.87   
1bcu_ligand_318     48.07   
1bcu_ligand_320     33.2    
1bcu_ligand_321     46.33   
1bcu_ligand_325     33.58   
1bcu_ligand_326     36.74   
1bcu_ligand_331     43.7    
1bcu_ligand_332     41.87   
1bcu_ligand_335     43.81   
1bcu_ligand_337     40.75   
1bcu_ligand_341     45.75   
1bcu_ligand_342     43.86   
1bcu_ligand_345     41.46   
1bcu_ligand_346     42.96   
1bcu_ligand_347     34.77   
1bcu_ligand_348     25.92   
1bcu_ligand_349     29.81   
1bcu_ligand_361     50.19   
1bcu_ligand_362     48.29   
1bcu_ligand_368     49.98   
1bcu_ligand_369     54.64   
1bcu_ligand_380     50.77   
1bcu_ligand_382     35.56   
1bcu_ligand_383     44.13   
1bcu_ligand_384     45.96   
1bcu_ligand_386     30.68   
1bcu_ligand_387     52.36   
1bcu_ligand_390     53.05   
1bcu_ligand_393     41.39   
1bcu_ligand_394     54.46   
1bcu_ligand_395     59.01   
1bcu_ligand_396     33.46   
1bcu_ligand_398     42.19   
1bcu_ligand_400     44.45   
1bcu_ligand_401     44.55   
1bcu_ligand_412     38.44   
1bcu_ligand_413     42.92   
1bcu_ligand_428     38.78   
1bcu_ligand_436     46.77   
1bcu_ligand_440     44.14   
1bcu_ligand_445     44.28   
1bcu_ligand_450     50.34   
1bcu_ligand_461     51.49   
1bcu_ligand_56      45.63   
1bcu_ligand_57      49.92   
1bcu_ligand_61      45.08   
1bcu_ligand_62      47.75   
1bcu_ligand_77      52.65   
1bcu_ligand_8       49.64   
1bcu_ligand_81      51.18   
1bzc_ligand_10      84.51   
1bzc_ligand_105     79.59   
1bzc_ligand_107     80.57   
1bzc_ligand_11      79.35   
1bzc_ligand_114     87.89   
1bzc_ligand_115     76.94   
1bzc_ligand_120     89.57   
1bzc_ligand_128     87.24   
1bzc_ligand_136     84.11   
1bzc_ligand_146     103.42  
1bzc_ligand_153     52.85   
1bzc_ligand_165     40.85   
1bzc_ligand_167     59.74   
1bzc_ligand_170     45.26   
1bzc_ligand_173     27.67   
1bzc_ligand_174     49.01   
1bzc_ligand_178     33.1    
1bzc_ligand_18      82.6    
1bzc_ligand_184     40.24   
1bzc_ligand_187     -13.09  
1bzc_ligand_188     20.37   
1bzc_ligand_189     59.28   
1bzc_ligand_190     58.92   
1bzc_ligand_193     47.71   
1bzc_ligand_194     62.84   
1bzc_ligand_195     -5.93   
1bzc_ligand_197     58.56   
1bzc_ligand_198     15.03   
1bzc_ligand_199     32.72   
1bzc_ligand_200     32.34   
1bzc_ligand_203     63.13   
1bzc_ligand_207     69.87   
1bzc_ligand_208     50.56   
1bzc_ligand_209     61.5    
1bzc_ligand_210     63.65   
1bzc_ligand_213     64.42   
1bzc_ligand_219     43.47   
1bzc_ligand_223     57.82   
1bzc_ligand_224     56.29   
1bzc_ligand_225     35.61   
1bzc_ligand_228     53.54   
1bzc_ligand_229     42.36   
1bzc_ligand_233     62.59   
1bzc_ligand_234     67      
1bzc_ligand_236     48.28   
1bzc_ligand_237     55.07   
1bzc_ligand_239     51.04   
1bzc_ligand_243     46.61   
1bzc_ligand_244     47.07   
1bzc_ligand_247     46.35   
1bzc_ligand_249     59.65   
1bzc_ligand_255     31.45   
1bzc_ligand_256     21.94   
1bzc_ligand_258     42.2    
1bzc_ligand_263     46.81   
1bzc_ligand_268     44.66   
1bzc_ligand_273     40.67   
1bzc_ligand_274     44.61   
1bzc_ligand_280     38.23   
1bzc_ligand_283     34.44   
1bzc_ligand_286     38.95   
1bzc_ligand_287     42.68   
1bzc_ligand_289     54.96   
1bzc_ligand_292     36.84   
1bzc_ligand_293     45.05   
1bzc_ligand_294     40.3    
1bzc_ligand_296     47.78   
1bzc_ligand_299     24.67   
1bzc_ligand_307     26.98   
1bzc_ligand_310     53.59   
1bzc_ligand_319     56.64   
1bzc_ligand_324     58.63   
1bzc_ligand_326     -17.81  
1bzc_ligand_331     35.49   
1bzc_ligand_337     57.83   
1bzc_ligand_341     34.33   
1bzc_ligand_342     34.82   
1bzc_ligand_348     27.22   
1bzc_ligand_349     35.59   
1bzc_ligand_36      77.33   
1bzc_ligand_377     63.97   
1bzc_ligand_380     66.59   
1bzc_ligand_384     50.11   
1bzc_ligand_387     53.33   
1bzc_ligand_392     33.53   
1bzc_ligand_393     31.99   
1bzc_ligand_395     38.39   
1bzc_ligand_398     37.14   
1bzc_ligand_399     29.99   
1bzc_ligand_400     38.09   
1bzc_ligand_44      83.03   
1bzc_ligand_449     70.37   
1bzc_ligand_452     79      
1bzc_ligand_477     75.01   
1bzc_ligand_59      70.63   
1bzc_ligand_62      77.13   
1bzc_ligand_65      85.41   
1bzc_ligand_70      66.56   
1bzc_ligand_86      77.46   
1bzc_ligand_89      82.62   
1c5z_ligand_113     38.74   
1c5z_ligand_148     44.19   
1c5z_ligand_151     27.33   
1c5z_ligand_154     14.51   
1c5z_ligand_155     18.64   
1c5z_ligand_157     16.77   
1c5z_ligand_160     16.94   
1c5z_ligand_161     18.37   
1c5z_ligand_162     20.04   
1c5z_ligand_167     14.64   
1c5z_ligand_168     37.71   
1c5z_ligand_169     33.45   
1c5z_ligand_170     21.47   
1c5z_ligand_171     14.51   
1c5z_ligand_173     20.19   
1c5z_ligand_174     34.16   
1c5z_ligand_180     16.8    
1c5z_ligand_186     16.61   
1c5z_ligand_187     12.22   
1c5z_ligand_189     32.09   
1c5z_ligand_19      39.07   
1c5z_ligand_194     29.19   
1c5z_ligand_198     15.26   
1c5z_ligand_199     30.52   
1c5z_ligand_200     17.1    
1c5z_ligand_202     24.82   
1c5z_ligand_204     32.5    
1c5z_ligand_205     28.31   
1c5z_ligand_206     31.36   
1c5z_ligand_209     19.12   
1c5z_ligand_21      38.52   
1c5z_ligand_210     25.23   
1c5z_ligand_212     34.2    
1c5z_ligand_214     15.23   
1c5z_ligand_216     17.45   
1c5z_ligand_218     16.73   
1c5z_ligand_222     18.16   
1c5z_ligand_223     26.22   
1c5z_ligand_225     24.49   
1c5z_ligand_227     5.49    
1c5z_ligand_228     27.47   
1c5z_ligand_229     16.08   
1c5z_ligand_23      45.68   
1c5z_ligand_232     14.34   
1c5z_ligand_233     25.33   
1c5z_ligand_234     10.76   
1c5z_ligand_235     23.09   
1c5z_ligand_236     32.27   
1c5z_ligand_237     25.7    
1c5z_ligand_238     25.62   
1c5z_ligand_240     16.59   
1c5z_ligand_241     37.25   
1c5z_ligand_242     27.42   
1c5z_ligand_243     12.85   
1c5z_ligand_244     20.44   
1c5z_ligand_245     24.2    
1c5z_ligand_246     22.65   
1c5z_ligand_255     30.16   
1c5z_ligand_260     23.21   
1c5z_ligand_261     27.46   
1c5z_ligand_266     31.48   
1c5z_ligand_275     34.49   
1c5z_ligand_276     17.55   
1c5z_ligand_280     13.72   
1c5z_ligand_285     10.79   
1c5z_ligand_286     43.26   
1c5z_ligand_288     16.3    
1c5z_ligand_290     34.69   
1c5z_ligand_293     13.36   
1c5z_ligand_296     19.68   
1c5z_ligand_298     10.06   
1c5z_ligand_299     29.43   
1c5z_ligand_302     38.95   
1c5z_ligand_304     45.02   
1c5z_ligand_305     40.54   
1c5z_ligand_314     27.02   
1c5z_ligand_317     21.79   
1c5z_ligand_323     26.48   
1c5z_ligand_324     31.36   
1c5z_ligand_325     34.77   
1c5z_ligand_326     17.1    
1c5z_ligand_328     36.47   
1c5z_ligand_331     32.79   
1c5z_ligand_333     25.09   
1c5z_ligand_334     32.36   
1c5z_ligand_335     16.82   
1c5z_ligand_337     33.41   
1c5z_ligand_338     35.85   
1c5z_ligand_339     28.78   
1c5z_ligand_340     19.77   
1c5z_ligand_341     23.88   
1c5z_ligand_342     29.2    
1c5z_ligand_346     22.24   
1c5z_ligand_348     31.5    
1c5z_ligand_349     25.55   
1c5z_ligand_385     27.36   
1c5z_ligand_387     27.71   
1c5z_ligand_389     21.78   
1c5z_ligand_390     38.81   
1c5z_ligand_95      37.69   
1e66_ligand_144     64.45   
1e66_ligand_165     38.86   
1e66_ligand_170     42.2    
1e66_ligand_182     14.44   
1e66_ligand_184     31.36   
1e66_ligand_185     46.17   
1e66_ligand_187     39.52   
1e66_ligand_189     44.14   
1e66_ligand_190     39.52   
1e66_ligand_191     26.42   
1e66_ligand_193     37.72   
1e66_ligand_195     27.01   
1e66_ligand_197     56.32   
1e66_ligand_199     39.1    
1e66_ligand_200     41.42   
1e66_ligand_203     57.71   
1e66_ligand_206     49.9    
1e66_ligand_208     51.44   
1e66_ligand_216     47.03   
1e66_ligand_222     55.49   
1e66_ligand_223     62.06   
1e66_ligand_226     49.36   
1e66_ligand_228     46.49   
1e66_ligand_229     46.2    
1e66_ligand_231     47.63   
1e66_ligand_232     54.52   
1e66_ligand_234     51.19   
1e66_ligand_235     62.54   
1e66_ligand_237     48.87   
1e66_ligand_243     45.45   
1e66_ligand_245     52.33   
1e66_ligand_248     63.77   
1e66_ligand_259     48.79   
1e66_ligand_261     51.31   
1e66_ligand_266     45.68   
1e66_ligand_267     49.78   
1e66_ligand_27      63.78   
1e66_ligand_272     55.7    
1e66_ligand_276     45.23   
1e66_ligand_287     51.04   
1e66_ligand_290     40.67   
1e66_ligand_294     49.44   
1e66_ligand_299     65.35   
1e66_ligand_300     43.11   
1e66_ligand_303     56.82   
1e66_ligand_304     30.62   
1e66_ligand_306     33.13   
1e66_ligand_307     44.34   
1e66_ligand_309     30.82   
1e66_ligand_310     50.16   
1e66_ligand_311     46.59   
1e66_ligand_313     43.8    
1e66_ligand_314     52.41   
1e66_ligand_315     52.19   
1e66_ligand_316     56.92   
1e66_ligand_319     42.46   
1e66_ligand_320     49.61   
1e66_ligand_321     29.07   
1e66_ligand_323     43.23   
1e66_ligand_326     56.45   
1e66_ligand_330     44.12   
1e66_ligand_333     49.12   
1e66_ligand_334     46.27   
1e66_ligand_335     52.86   
1e66_ligand_336     47.65   
1e66_ligand_337     36.44   
1e66_ligand_340     49.64   
1e66_ligand_341     49.35   
1e66_ligand_343     49.17   
1e66_ligand_344     38.09   
1e66_ligand_347     47.1    
1e66_ligand_358     49.27   
1e66_ligand_361     61.13   
1e66_ligand_362     58.24   
1e66_ligand_364     51.81   
1e66_ligand_378     60      
1e66_ligand_382     50.22   
1e66_ligand_386     51.27   
1e66_ligand_388     48.66   
1e66_ligand_389     50.2    
1e66_ligand_390     47.36   
1e66_ligand_391     44.15   
1e66_ligand_393     57.21   
1e66_ligand_394     53.02   
1e66_ligand_398     52.81   
1e66_ligand_402     52.38   
1e66_ligand_404     63.15   
1e66_ligand_423     67.99   
1e66_ligand_429     57.17   
1e66_ligand_440     60.12   
1e66_ligand_444     58.78   
1e66_ligand_447     52.02   
1e66_ligand_56      51.9    
1e66_ligand_74      54.85   
1e66_ligand_77      62.63   
1e66_ligand_80      59.16   
1e66_ligand_88      61.24   
1e66_ligand_94      65.68   
1e66_ligand_95      61.83   
1e66_ligand_99      64.34   
1eby_ligand_105     104.32  
1eby_ligand_106     70.75   
1eby_ligand_109     84      
1eby_ligand_11      78.57   
1eby_ligand_111     62.82   
1eby_ligand_114     76.61   
1eby_ligand_123     81.87   
1eby_ligand_124     64.63   
1eby_ligand_126     102.16  
1eby_ligand_129     87.61   
1eby_ligand_130     90.83   
1eby_ligand_133     64.62   
1eby_ligand_134     97.26   
1eby_ligand_135     77.86   
1eby_ligand_136     69.56   
1eby_ligand_146     68.86   
1eby_ligand_147     61.7    
1eby_ligand_150     75.82   
1eby_ligand_162     -117.71 
1eby_ligand_163     -220.28 
1eby_ligand_165     -154.97 
1eby_ligand_167     -122.12 
1eby_ligand_169     -119.35 
1eby_ligand_170     -128.1  
1eby_ligand_174     -165.77 
1eby_ligand_176     -121.78 
1eby_ligand_178     -196.72 
1eby_ligand_180     -103.56 
1eby_ligand_181     -159.54 
1eby_ligand_182     -169.25 
1eby_ligand_185     -167.38 
1eby_ligand_186     -163.66 
1eby_ligand_188     -174.54 
1eby_ligand_189     -173.48 
1eby_ligand_191     -20.05  
1eby_ligand_192     -162.89 
1eby_ligand_193     -79.4   
1eby_ligand_194     -42.27  
1eby_ligand_198     -179.72 
1eby_ligand_199     -116.35 
1eby_ligand_205     -26.99  
1eby_ligand_210     -27.17  
1eby_ligand_214     -40.41  
1eby_ligand_216     -43.53  
1eby_ligand_217     -47.11  
1eby_ligand_219     -42.56  
1eby_ligand_220     -47.74  
1eby_ligand_223     -52.75  
1eby_ligand_224     -42.83  
1eby_ligand_225     -41.79  
1eby_ligand_226     -49.81  
1eby_ligand_227     -52.78  
1eby_ligand_228     -77.18  
1eby_ligand_229     -68.33  
1eby_ligand_230     -58.98  
1eby_ligand_231     -62.55  
1eby_ligand_232     -84     
1eby_ligand_235     -56.79  
1eby_ligand_238     -89.21  
1eby_ligand_239     -84.63  
1eby_ligand_241     -60.75  
1eby_ligand_242     -85.87  
1eby_ligand_244     -53.65  
1eby_ligand_245     -55.07  
1eby_ligand_247     -40.36  
1eby_ligand_248     -87.66  
1eby_ligand_249     -90.04  
1eby_ligand_250     -84.05  
1eby_ligand_289     -96.58  
1eby_ligand_290     -84.35  
1eby_ligand_291     -122.06 
1eby_ligand_293     -80.04  
1eby_ligand_295     -82.78  
1eby_ligand_296     -103.01 
1eby_ligand_300     -119.92 
1eby_ligand_317     -57.36  
1eby_ligand_322     -68.95  
1eby_ligand_330     -93.3   
1eby_ligand_333     -118.77 
1eby_ligand_334     -87.48  
1eby_ligand_337     -110.17 
1eby_ligand_338     -87.79  
1eby_ligand_345     -82.57  
1eby_ligand_346     -62.67  
1eby_ligand_348     -92.22  
1eby_ligand_350     -54.08  
1eby_ligand_359     134.52  
1eby_ligand_381     104.8   
1eby_ligand_398     81.57   
1eby_ligand_4       96.32   
1eby_ligand_407     126.67  
1eby_ligand_427     105.54  
1eby_ligand_436     135.29  
1eby_ligand_441     105.43  
1eby_ligand_56      64.96   
1eby_ligand_58      95.74   
1eby_ligand_73      78.83   
1eby_ligand_85      62.48   
1eby_ligand_96      40.12   
1eby_ligand_98      36.16   
1g2k_ligand_1       91.97   
1g2k_ligand_104     81.08   
1g2k_ligand_105     81.01   
1g2k_ligand_106     97.31   
1g2k_ligand_115     96.13   
1g2k_ligand_122     100.17  
1g2k_ligand_135     76      
1g2k_ligand_146     101.54  
1g2k_ligand_152     3.35    
1g2k_ligand_154     -58.5   
1g2k_ligand_157     -0.44   
1g2k_ligand_159     -53.45  
1g2k_ligand_162     -40.68  
1g2k_ligand_172     1.11    
1g2k_ligand_173     -133.11 
1g2k_ligand_174     -22.94  
1g2k_ligand_175     -88.83  
1g2k_ligand_177     -100.64 
1g2k_ligand_178     -101.75 
1g2k_ligand_181     -103.35 
1g2k_ligand_182     -130.48 
1g2k_ligand_183     -47.74  
1g2k_ligand_184     -69.94  
1g2k_ligand_185     -149.64 
1g2k_ligand_187     -101.65 
1g2k_ligand_189     -137.63 
1g2k_ligand_190     -114.35 
1g2k_ligand_192     -137.9  
1g2k_ligand_193     9.36    
1g2k_ligand_194     -133.99 
1g2k_ligand_195     -47.2   
1g2k_ligand_198     -70.91  
1g2k_ligand_211     1.61    
1g2k_ligand_216     -16.86  
1g2k_ligand_218     -26.41  
1g2k_ligand_226     -30.16  
1g2k_ligand_228     -13.21  
1g2k_ligand_235     -26.61  
1g2k_ligand_236     -28.18  
1g2k_ligand_239     -64.16  
1g2k_ligand_243     -31.01  
1g2k_ligand_244     -34.45  
1g2k_ligand_249     -67.79  
1g2k_ligand_250     -35.1   
1g2k_ligand_256     -29.97  
1g2k_ligand_264     -24.56  
1g2k_ligand_266     -68.07  
1g2k_ligand_271     -66.76  
1g2k_ligand_272     -61.36  
1g2k_ligand_273     -64.52  
1g2k_ligand_274     -48.64  
1g2k_ligand_277     -41.99  
1g2k_ligand_278     -66.56  
1g2k_ligand_282     -32.64  
1g2k_ligand_283     -46.03  
1g2k_ligand_284     -100.6  
1g2k_ligand_289     -71.89  
1g2k_ligand_291     -88.76  
1g2k_ligand_293     -71.78  
1g2k_ligand_294     -79.35  
1g2k_ligand_298     -73.76  
1g2k_ligand_299     -79.33  
1g2k_ligand_301     21.42   
1g2k_ligand_303     -16.02  
1g2k_ligand_304     -23.92  
1g2k_ligand_312     -27.67  
1g2k_ligand_314     -20.87  
1g2k_ligand_318     -51.69  
1g2k_ligand_320     -38.51  
1g2k_ligand_323     -67.11  
1g2k_ligand_327     -71.45  
1g2k_ligand_333     -52.77  
1g2k_ligand_334     -63.5   
1g2k_ligand_336     -40.06  
1g2k_ligand_340     -54.52  
1g2k_ligand_341     -76.92  
1g2k_ligand_343     -58.16  
1g2k_ligand_345     -64.53  
1g2k_ligand_348     -55.05  
1g2k_ligand_349     -54.72  
1g2k_ligand_350     -80.69  
1g2k_ligand_373     58.72   
1g2k_ligand_380     90.26   
1g2k_ligand_381     87.78   
1g2k_ligand_397     66.84   
1g2k_ligand_407     109.25  
1g2k_ligand_417     118.39  
1g2k_ligand_427     97.02   
1g2k_ligand_446     99.38   
1g2k_ligand_448     90.61   
1g2k_ligand_480     110.48  
1g2k_ligand_491     126.23  
1g2k_ligand_496     96.66   
1g2k_ligand_500     95.59   
1g2k_ligand_65      55.35   
1g2k_ligand_70      90.63   
1g2k_ligand_72      56.44   
1g2k_ligand_76      61.28   
1g2k_ligand_78      75.98   
1g2k_ligand_98      65.94   
1gpk_ligand_104     43.85   
1gpk_ligand_115     46.22   
1gpk_ligand_14      57.23   
1gpk_ligand_151     36.37   
1gpk_ligand_158     30.34   
1gpk_ligand_160     24.89   
1gpk_ligand_164     21.6    
1gpk_ligand_165     28.1    
1gpk_ligand_179     22.08   
1gpk_ligand_182     22.72   
1gpk_ligand_186     36.3    
1gpk_ligand_189     16.73   
1gpk_ligand_191     30.52   
1gpk_ligand_193     44.08   
1gpk_ligand_194     29.26   
1gpk_ligand_198     22.24   
1gpk_ligand_199     20.64   
1gpk_ligand_200     37.09   
1gpk_ligand_204     45.73   
1gpk_ligand_208     37.58   
1gpk_ligand_209     43.85   
1gpk_ligand_210     48.9    
1gpk_ligand_213     40.13   
1gpk_ligand_214     52.05   
1gpk_ligand_215     43.55   
1gpk_ligand_216     34.67   
1gpk_ligand_217     41.13   
1gpk_ligand_219     41.94   
1gpk_ligand_220     38.98   
1gpk_ligand_221     37.63   
1gpk_ligand_224     39.54   
1gpk_ligand_225     35.21   
1gpk_ligand_229     39.87   
1gpk_ligand_230     40.55   
1gpk_ligand_232     39.09   
1gpk_ligand_233     38.26   
1gpk_ligand_239     43.6    
1gpk_ligand_240     35.85   
1gpk_ligand_242     41.63   
1gpk_ligand_243     37.5    
1gpk_ligand_246     38.84   
1gpk_ligand_247     38.29   
1gpk_ligand_248     32.46   
1gpk_ligand_249     44.34   
1gpk_ligand_254     44.11   
1gpk_ligand_255     42.5    
1gpk_ligand_256     39.21   
1gpk_ligand_261     24.69   
1gpk_ligand_265     31.1    
1gpk_ligand_268     18.04   
1gpk_ligand_269     38.07   
1gpk_ligand_270     31.99   
1gpk_ligand_271     34.07   
1gpk_ligand_273     36.91   
1gpk_ligand_275     22.46   
1gpk_ligand_279     25.4    
1gpk_ligand_281     31.27   
1gpk_ligand_282     34.73   
1gpk_ligand_283     36.7    
1gpk_ligand_288     30.02   
1gpk_ligand_290     41.9    
1gpk_ligand_292     29.62   
1gpk_ligand_297     21.76   
1gpk_ligand_299     40.37   
1gpk_ligand_307     41      
1gpk_ligand_310     49.06   
1gpk_ligand_312     22.93   
1gpk_ligand_318     29.78   
1gpk_ligand_322     41.35   
1gpk_ligand_324     22.56   
1gpk_ligand_325     41.28   
1gpk_ligand_326     35.61   
1gpk_ligand_329     38.38   
1gpk_ligand_335     36.92   
1gpk_ligand_337     33.29   
1gpk_ligand_338     40.95   
1gpk_ligand_339     22.03   
1gpk_ligand_341     36.9    
1gpk_ligand_342     31.47   
1gpk_ligand_344     30.63   
1gpk_ligand_345     27.59   
1gpk_ligand_346     27.43   
1gpk_ligand_347     16.38   
1gpk_ligand_350     25.62   
1gpk_ligand_363     55.53   
1gpk_ligand_364     32.77   
1gpk_ligand_367     39.96   
1gpk_ligand_386     33.01   
1gpk_ligand_390     36.11   
1gpk_ligand_392     46.04   
1gpk_ligand_394     56.03   
1gpk_ligand_397     34.85   
1gpk_ligand_398     39.35   
1gpk_ligand_425     37.71   
1gpk_ligand_440     47.21   
1gpk_ligand_444     45.49   
1gpk_ligand_451     39.96   
1gpk_ligand_473     44.58   
1gpk_ligand_5       49.22   
1gpk_ligand_57      47.8    
1gpn_ligand_127     50.75   
1gpn_ligand_132     52.61   
1gpn_ligand_142     50.3    
1gpn_ligand_155     25.51   
1gpn_ligand_156     31.02   
1gpn_ligand_157     18.21   
1gpn_ligand_161     29.21   
1gpn_ligand_166     38.7    
1gpn_ligand_168     44.61   
1gpn_ligand_176     28.17   
1gpn_ligand_177     33.18   
1gpn_ligand_179     33.84   
1gpn_ligand_185     14      
1gpn_ligand_187     24.68   
1gpn_ligand_188     31.26   
1gpn_ligand_193     27.19   
1gpn_ligand_199     33.36   
1gpn_ligand_203     44.58   
1gpn_ligand_204     37.67   
1gpn_ligand_205     40.65   
1gpn_ligand_206     43.75   
1gpn_ligand_207     39.27   
1gpn_ligand_208     49.22   
1gpn_ligand_209     47.07   
1gpn_ligand_210     41      
1gpn_ligand_211     37.9    
1gpn_ligand_212     46.54   
1gpn_ligand_214     44.13   
1gpn_ligand_216     41.85   
1gpn_ligand_220     41.87   
1gpn_ligand_221     30.15   
1gpn_ligand_225     35.6    
1gpn_ligand_226     40.11   
1gpn_ligand_230     40.97   
1gpn_ligand_232     40.85   
1gpn_ligand_235     34      
1gpn_ligand_237     39.18   
1gpn_ligand_238     40.53   
1gpn_ligand_239     47.88   
1gpn_ligand_242     42.06   
1gpn_ligand_246     35.89   
1gpn_ligand_248     48.94   
1gpn_ligand_250     48.27   
1gpn_ligand_254     28.87   
1gpn_ligand_256     47.19   
1gpn_ligand_258     12.7    
1gpn_ligand_264     30.68   
1gpn_ligand_267     31.67   
1gpn_ligand_269     26.3    
