#code_ligand_num    score   
1a30_ligand_100     55.6    
1a30_ligand_103     60.99   
1a30_ligand_104     47.97   
1a30_ligand_11      55.05   
1a30_ligand_114     43.07   
1a30_ligand_123     60.84   
1a30_ligand_128     48.09   
1a30_ligand_130     65.28   
1a30_ligand_137     53.11   
1a30_ligand_146     62.8    
1a30_ligand_15      60.65   
1a30_ligand_150     64.28   
1a30_ligand_153     3.21    
1a30_ligand_155     36.38   
1a30_ligand_169     11.26   
1a30_ligand_174     33.31   
1a30_ligand_18      54.76   
1a30_ligand_194     30.26   
1a30_ligand_201     25.84   
1a30_ligand_204     17.2    
1a30_ligand_208     24.82   
1a30_ligand_209     29.23   
1a30_ligand_211     49.96   
1a30_ligand_212     33.31   
1a30_ligand_213     24.62   
1a30_ligand_218     26.89   
1a30_ligand_220     22.74   
1a30_ligand_221     34.42   
1a30_ligand_222     36.99   
1a30_ligand_224     29.89   
1a30_ligand_229     16.6    
1a30_ligand_234     26.71   
1a30_ligand_240     8.81    
1a30_ligand_25      61.89   
1a30_ligand_250     16.57   
1a30_ligand_257     29.86   
1a30_ligand_26      39.23   
1a30_ligand_261     16.67   
1a30_ligand_266     21.22   
1a30_ligand_267     16.71   
1a30_ligand_268     26.19   
1a30_ligand_27      38.81   
1a30_ligand_270     35.35   
1a30_ligand_273     27.99   
1a30_ligand_275     44.66   
1a30_ligand_289     24.87   
1a30_ligand_29      44.22   
1a30_ligand_291     16.78   
1a30_ligand_292     18.32   
1a30_ligand_295     26.81   
1a30_ligand_298     24.42   
1a30_ligand_3       51.61   
1a30_ligand_30      46.24   
1a30_ligand_301     9.64    
1a30_ligand_303     32.7    
1a30_ligand_304     34.74   
1a30_ligand_307     27.95   
1a30_ligand_326     0.19    
1a30_ligand_337     25.37   
1a30_ligand_338     19.48   
1a30_ligand_34      34.52   
1a30_ligand_341     27.13   
1a30_ligand_346     -7.94   
1a30_ligand_348     51.65   
1a30_ligand_353     40.7    
1a30_ligand_356     71.26   
