#code_ligand_num    score   
1a30_ligand_105     44.56   
1a30_ligand_106     90.18   
1a30_ligand_108     42.72   
1a30_ligand_109     83.2    
1a30_ligand_111     56.71   
1a30_ligand_114     56.08   
1a30_ligand_115     40.93   
1a30_ligand_120     103.49  
1a30_ligand_125     94.39   
1a30_ligand_127     36.21   
1a30_ligand_128     85.71   
1a30_ligand_13      84.34   
1a30_ligand_136     114.9   
1a30_ligand_140     90.41   
1a30_ligand_141     90.59   
1a30_ligand_143     54.98   
1a30_ligand_148     61.86   
1a30_ligand_153     12.94   
1a30_ligand_16      72.22   
1a30_ligand_165     19.71   
1a30_ligand_17      54.19   
1a30_ligand_171     18.99   
1a30_ligand_180     26.36   
1a30_ligand_197     11.6    
1a30_ligand_198     -4.98   
1a30_ligand_200     -24.3   
1a30_ligand_206     62.81   
1a30_ligand_215     43.82   
1a30_ligand_218     32.85   
1a30_ligand_219     12.89   
1a30_ligand_222     26.7    
1a30_ligand_223     29.75   
1a30_ligand_225     41.46   
1a30_ligand_232     58.83   
1a30_ligand_234     39.7    
1a30_ligand_235     36.97   
1a30_ligand_237     42.92   
1a30_ligand_240     21.45   
1a30_ligand_242     7.9     
1a30_ligand_243     42.52   
1a30_ligand_244     28.9    
1a30_ligand_247     24.29   
1a30_ligand_253     27.45   
1a30_ligand_254     45.25   
1a30_ligand_259     18.18   
1a30_ligand_264     15.45   
1a30_ligand_278     28.13   
1a30_ligand_29      36.85   
1a30_ligand_293     5.88    
1a30_ligand_294     9.81    
1a30_ligand_296     33.76   
1a30_ligand_30      87.75   
1a30_ligand_306     3.66    
1a30_ligand_309     50.06   
1a30_ligand_311     -6.37   
1a30_ligand_331     10.8    
1a30_ligand_339     -17     
1a30_ligand_341     29.88   
1a30_ligand_346     -40.57  
1a30_ligand_349     22.41   
1a30_ligand_36      79.37   
1a30_ligand_364     85.31   
1a30_ligand_371     87.33   
1a30_ligand_372     77.9    
1a30_ligand_374     61.29   
1a30_ligand_375     73.96   
1a30_ligand_377     56.15   
1a30_ligand_383     57.53   
1a30_ligand_385     93.06   
1a30_ligand_394     84.3    
1a30_ligand_395     84.95   
1a30_ligand_4       74.76   
1a30_ligand_400     68.01   
1a30_ligand_401     88.84   
1a30_ligand_42      59.15   
1a30_ligand_437     81.69   
1a30_ligand_440     71.54   
1a30_ligand_492     86.8    
1a30_ligand_52      41      
1a30_ligand_53      28.9    
1a30_ligand_54      50.92   
1a30_ligand_56      33.94   
1a30_ligand_58      56.89   
1a30_ligand_59      40.64   
1a30_ligand_60      38.44   
1a30_ligand_61      37.24   
1a30_ligand_62      37.9    
1a30_ligand_63      40.73   
1a30_ligand_70      90.13   
1a30_ligand_71      42.46   
1a30_ligand_74      58.23   
1a30_ligand_75      45.41   
1a30_ligand_77      42.5    
1a30_ligand_80      42.54   
1a30_ligand_84      45.33   
1a30_ligand_85      34.07   
1a30_ligand_86      47.19   
1a30_ligand_88      72.19   
1a30_ligand_90      77.47   
1a30_ligand_99      48.17   
1bcu_ligand_142     75.44   
1bcu_ligand_159     50.66   
1bcu_ligand_165     41.16   
1bcu_ligand_169     41.61   
1bcu_ligand_170     75.04   
1bcu_ligand_171     39.02   
1bcu_ligand_172     47.11   
1bcu_ligand_178     48.53   
1bcu_ligand_189     61.44   
1bcu_ligand_190     54.83   
1bcu_ligand_191     50.44   
1bcu_ligand_195     64.35   
1bcu_ligand_196     48.17   
1bcu_ligand_197     49.02   
1bcu_ligand_198     53.68   
1bcu_ligand_201     72.57   
1bcu_ligand_207     55.07   
1bcu_ligand_210     66.94   
1bcu_ligand_217     66.27   
1bcu_ligand_224     69.1    
1bcu_ligand_226     67.75   
1bcu_ligand_228     68.18   
1bcu_ligand_232     79.64   
1bcu_ligand_233     58.47   
1bcu_ligand_238     65.39   
1bcu_ligand_239     53.4    
1bcu_ligand_241     48.02   
1bcu_ligand_244     55.86   
1bcu_ligand_247     48.47   
1bcu_ligand_248     54.9    
1bcu_ligand_250     64.31   
1bcu_ligand_256     74.65   
1bcu_ligand_264     61.95   
1bcu_ligand_265     46.37   
1bcu_ligand_267     36.29   
1bcu_ligand_270     55.05   
1bcu_ligand_274     44.36   
1bcu_ligand_275     40.83   
1bcu_ligand_283     43.53   
1bcu_ligand_284     50.94   
1bcu_ligand_285     60.08   
1bcu_ligand_286     43.67   
1bcu_ligand_298     42.41   
1bcu_ligand_299     43.52   
1bcu_ligand_3       65.98   
1bcu_ligand_300     47.96   
1bcu_ligand_301     58.14   
1bcu_ligand_305     58.07   
1bcu_ligand_308     59.69   
1bcu_ligand_309     44.97   
1bcu_ligand_310     72.25   
1bcu_ligand_313     64.36   
1bcu_ligand_314     65.39   
1bcu_ligand_316     39.16   
1bcu_ligand_319     63.12   
1bcu_ligand_32      69.84   
1bcu_ligand_325     44.54   
1bcu_ligand_327     54.06   
1bcu_ligand_328     61.06   
1bcu_ligand_341     69.42   
1bcu_ligand_343     58.4    
1bcu_ligand_346     49.99   
1bcu_ligand_347     70.55   
1bcu_ligand_348     48.19   
1bcu_ligand_352     43.26   
1bcu_ligand_355     50.36   
1bcu_ligand_357     57.89   
1bcu_ligand_363     63.18   
1bcu_ligand_365     57.64   
1bcu_ligand_366     53.25   
1bcu_ligand_37      70.81   
1bcu_ligand_371     37.05   
1bcu_ligand_381     25.93   
1bcu_ligand_385     48.71   
1bcu_ligand_386     61.01   
1bcu_ligand_388     45.72   
1bcu_ligand_389     50.58   
1bcu_ligand_390     68.42   
1bcu_ligand_391     24.84   
1bcu_ligand_394     58.69   
1bcu_ligand_395     49.18   
1bcu_ligand_396     27.32   
1bcu_ligand_398     48.93   
1bcu_ligand_399     26.21   
1bcu_ligand_400     51.75   
1bcu_ligand_447     44.13   
1bcu_ligand_45      70.93   
1bcu_ligand_450     48.19   
1bcu_ligand_454     55.47   
1bcu_ligand_456     53.65   
1bcu_ligand_459     65.48   
1bcu_ligand_464     51.51   
1bcu_ligand_476     59.13   
1bcu_ligand_49      74.06   
1bcu_ligand_492     40.85   
1bcu_ligand_495     67.18   
1bcu_ligand_499     59.33   
1bcu_ligand_500     61.37   
1bcu_ligand_57      78.83   
1bcu_ligand_72      83.99   
1bzc_ligand_1       79.81   
1bzc_ligand_100     72.73   
1bzc_ligand_102     64.02   
1bzc_ligand_11      62.96   
1bzc_ligand_114     87.54   
1bzc_ligand_119     87.24   
1bzc_ligand_122     71.08   
1bzc_ligand_123     72.77   
1bzc_ligand_124     73.2    
1bzc_ligand_132     66.22   
1bzc_ligand_136     73.18   
1bzc_ligand_144     69.67   
1bzc_ligand_145     82.61   
1bzc_ligand_149     74.38   
1bzc_ligand_152     6.14    
1bzc_ligand_158     -18.7   
1bzc_ligand_159     -26.52  
1bzc_ligand_161     -4.72   
1bzc_ligand_162     -18.63  
1bzc_ligand_172     -4.48   
1bzc_ligand_175     -18.27  
1bzc_ligand_180     -69.58  
1bzc_ligand_181     32.21   
1bzc_ligand_183     -31.59  
1bzc_ligand_184     -31.38  
1bzc_ligand_186     -15.76  
1bzc_ligand_187     -22.39  
