#code_ligand_num    score   
1a30_ligand_1       77.49   
1a30_ligand_102     70.23   
1a30_ligand_106     78.84   
1a30_ligand_111     81.9    
1a30_ligand_112     81.1    
1a30_ligand_114     88.26   
1a30_ligand_118     81.48   
1a30_ligand_119     80.5    
1a30_ligand_126     88.66   
1a30_ligand_128     88.66   
1a30_ligand_13      70.96   
1a30_ligand_15      78.55   
1a30_ligand_157     -18.92  
1a30_ligand_162     -11.5   
1a30_ligand_165     -30.38  
1a30_ligand_166     -12.37  
1a30_ligand_172     24.41   
1a30_ligand_173     16.87   
1a30_ligand_175     12.51   
1a30_ligand_176     -5.16   
1a30_ligand_179     -0.29   
1a30_ligand_185     4.31    
1a30_ligand_187     7.98    
1a30_ligand_192     12.59   
1a30_ligand_193     33.2    
1a30_ligand_20      66.92   
1a30_ligand_202     52.31   
1a30_ligand_203     64.63   
1a30_ligand_207     43.88   
1a30_ligand_209     46.01   
1a30_ligand_210     25.7    
1a30_ligand_212     33.43   
1a30_ligand_215     23.68   
1a30_ligand_217     48.3    
1a30_ligand_220     31      
1a30_ligand_223     34.91   
1a30_ligand_225     29.39   
1a30_ligand_226     10.44   
1a30_ligand_227     27.74   
1a30_ligand_229     26.58   
1a30_ligand_23      84.17   
1a30_ligand_232     0.41    
1a30_ligand_235     9.87    
1a30_ligand_236     31.43   
1a30_ligand_242     2.96    
1a30_ligand_243     26.39   
1a30_ligand_244     8.57    
1a30_ligand_246     16.39   
1a30_ligand_249     31.68   
1a30_ligand_260     5.92    
1a30_ligand_267     15.43   
1a30_ligand_270     33.65   
1a30_ligand_272     7.21    
1a30_ligand_274     39.94   
1a30_ligand_275     10.05   
1a30_ligand_277     2.94    
1a30_ligand_28      65.06   
1a30_ligand_280     37.51   
1a30_ligand_281     27.94   
1a30_ligand_287     10.11   
1a30_ligand_289     -3.21   
1a30_ligand_294     17.96   
1a30_ligand_295     33.75   
1a30_ligand_296     -12.49  
1a30_ligand_298     25.62   
1a30_ligand_300     19.29   
1a30_ligand_306     12.69   
1a30_ligand_33      67.23   
1a30_ligand_330     17.23   
1a30_ligand_338     7.23    
1a30_ligand_340     -5.83   
1a30_ligand_342     26.12   
1a30_ligand_350     2.47    
1a30_ligand_36      84.01   
1a30_ligand_360     90.97   
1a30_ligand_373     62.54   
1a30_ligand_379     71.21   
1a30_ligand_381     74.85   
1a30_ligand_389     76.41   
1a30_ligand_391     86.3    
1a30_ligand_399     62.64   
1a30_ligand_400     74.27   
1a30_ligand_416     60.66   
1a30_ligand_425     66.19   
1a30_ligand_427     63.95   
1a30_ligand_43      89.18   
1a30_ligand_431     58.23   
1a30_ligand_445     69.61   
1a30_ligand_446     55.53   
1a30_ligand_456     68.98   
1a30_ligand_46      82.5    
1a30_ligand_473     75.67   
1a30_ligand_493     68.49   
1a30_ligand_56      66.77   
1a30_ligand_59      57.1    
1a30_ligand_64      85.22   
1a30_ligand_71      71.17   
1a30_ligand_73      71.87   
1a30_ligand_75      81.11   
1a30_ligand_99      79.91   
1bcu_ligand_10      68.62   
1bcu_ligand_13      71.28   
1bcu_ligand_130     71.65   
1bcu_ligand_136     71.3    
1bcu_ligand_156     47.7    
1bcu_ligand_157     41.18   
1bcu_ligand_159     51.23   
1bcu_ligand_17      68      
1bcu_ligand_173     54.63   
1bcu_ligand_177     60.61   
1bcu_ligand_178     51.69   
1bcu_ligand_179     52.35   
1bcu_ligand_184     31.83   
1bcu_ligand_186     55.53   
1bcu_ligand_187     48.93   
1bcu_ligand_190     31.72   
1bcu_ligand_191     51.1    
1bcu_ligand_192     37.5    
1bcu_ligand_195     39.52   
1bcu_ligand_197     56.39   
1bcu_ligand_200     67.55   
1bcu_ligand_202     57.39   
1bcu_ligand_204     65.38   
1bcu_ligand_213     65.39   
1bcu_ligand_214     62.63   
1bcu_ligand_215     70.04   
1bcu_ligand_219     53.37   
1bcu_ligand_222     54.86   
1bcu_ligand_224     63.91   
1bcu_ligand_226     57.86   
1bcu_ligand_230     57.09   
1bcu_ligand_233     48.48   
1bcu_ligand_234     49.7    
1bcu_ligand_236     53.76   
1bcu_ligand_237     53.61   
1bcu_ligand_239     47      
1bcu_ligand_244     61.18   
1bcu_ligand_247     51.1    
1bcu_ligand_248     53.62   
1bcu_ligand_249     50.22   
1bcu_ligand_250     48.65   
1bcu_ligand_257     51.89   
1bcu_ligand_259     50.62   
1bcu_ligand_260     52.35   
1bcu_ligand_264     42.55   
1bcu_ligand_270     47.14   
1bcu_ligand_274     37.15   
1bcu_ligand_277     50.64   
1bcu_ligand_284     50.92   
1bcu_ligand_285     66.6    
1bcu_ligand_286     42.92   
1bcu_ligand_287     51.68   
1bcu_ligand_289     41.3    
1bcu_ligand_292     54.98   
1bcu_ligand_296     45.89   
1bcu_ligand_297     58.71   
1bcu_ligand_298     44.94   
1bcu_ligand_299     49.2    
1bcu_ligand_300     48.52   
1bcu_ligand_301     44.47   
1bcu_ligand_303     36.9    
1bcu_ligand_306     35.42   
1bcu_ligand_309     52.51   
1bcu_ligand_310     36.6    
1bcu_ligand_311     37.55   
1bcu_ligand_315     30.32   
1bcu_ligand_319     50.34   
1bcu_ligand_320     50.22   
1bcu_ligand_323     43.77   
1bcu_ligand_326     57.44   
1bcu_ligand_328     51.32   
1bcu_ligand_329     54.8    
1bcu_ligand_330     47.28   
1bcu_ligand_331     56.68   
1bcu_ligand_333     50.36   
1bcu_ligand_335     51.86   
1bcu_ligand_336     52.54   
1bcu_ligand_337     58.09   
1bcu_ligand_338     50.01   
1bcu_ligand_339     38.09   
1bcu_ligand_343     50.91   
1bcu_ligand_344     51.99   
1bcu_ligand_346     54.93   
1bcu_ligand_348     46.67   
1bcu_ligand_35      67.84   
1bcu_ligand_363     55.01   
1bcu_ligand_374     53.4    
1bcu_ligand_377     58.13   
1bcu_ligand_383     55.81   
1bcu_ligand_385     56.4    
1bcu_ligand_392     57.4    
1bcu_ligand_395     48.8    
1bcu_ligand_399     51.39   
1bcu_ligand_414     53.43   
1bcu_ligand_438     64.66   
1bcu_ligand_445     59.23   
1bcu_ligand_446     53.17   
1bcu_ligand_448     56.56   
1bcu_ligand_76      65.03   
1bcu_ligand_9       69.16   
1bzc_ligand_114     64.81   
1bzc_ligand_127     68.87   
1bzc_ligand_128     42.19   
1bzc_ligand_152     1.08    
1bzc_ligand_155     -15.88  
1bzc_ligand_157     -7.6    
