#code_ligand_num    score   
1a30_ligand_101     50.65   
1a30_ligand_102     99.51   
1a30_ligand_107     52.64   
1a30_ligand_109     61.62   
1a30_ligand_110     58.62   
1a30_ligand_111     71.06   
1a30_ligand_112     88.17   
1a30_ligand_124     68.73   
1a30_ligand_125     51.37   
1a30_ligand_127     97.77   
1a30_ligand_131     94.9    
1a30_ligand_139     70.43   
1a30_ligand_142     53.94   
1a30_ligand_144     54.96   
1a30_ligand_145     68.82   
1a30_ligand_148     89.3    
1a30_ligand_150     69.81   
1a30_ligand_159     2.91    
1a30_ligand_16      79.52   
1a30_ligand_160     -35.69  
1a30_ligand_17      86.18   
1a30_ligand_184     -36.52  
1a30_ligand_196     14.87   
1a30_ligand_201     47.92   
1a30_ligand_202     45.54   
1a30_ligand_203     27.55   
1a30_ligand_205     26.7    
1a30_ligand_207     49.82   
1a30_ligand_208     10.93   
1a30_ligand_209     13.07   
1a30_ligand_21      51.43   
1a30_ligand_211     29.24   
1a30_ligand_220     25.91   
1a30_ligand_227     -2.85   
1a30_ligand_228     7.3     
1a30_ligand_230     12      
1a30_ligand_232     26.69   
1a30_ligand_234     26.66   
1a30_ligand_235     27.2    
1a30_ligand_237     38.77   
1a30_ligand_238     15.82   
1a30_ligand_242     13.18   
1a30_ligand_248     20.33   
1a30_ligand_273     43.68   
1a30_ligand_28      58.87   
1a30_ligand_285     18.22   
1a30_ligand_287     13.83   
1a30_ligand_295     56.53   
1a30_ligand_30      53.13   
1a30_ligand_301     20.83   
1a30_ligand_308     23.05   
1a30_ligand_313     14.05   
1a30_ligand_326     14.69   
1a30_ligand_336     31.64   
1a30_ligand_339     -1.34   
1a30_ligand_34      69.4    
1a30_ligand_348     17      
1a30_ligand_351     85.37   
1a30_ligand_366     90.14   
1a30_ligand_378     71.8    
1a30_ligand_382     68.28   
1a30_ligand_383     73.23   
1a30_ligand_385     67.19   
1a30_ligand_387     82.32   
1a30_ligand_39      52.76   
1a30_ligand_419     78.71   
1a30_ligand_421     64.11   
1a30_ligand_428     50.85   
1a30_ligand_43      44.8    
1a30_ligand_435     30.42   
1a30_ligand_436     77.2    
1a30_ligand_439     46.54   
1a30_ligand_444     73.27   
1a30_ligand_447     50.53   
1a30_ligand_45      61.47   
1a30_ligand_47      43.64   
1a30_ligand_474     85.84   
1a30_ligand_5       64.64   
1a30_ligand_50      81.02   
1a30_ligand_51      48.72   
1a30_ligand_55      51.87   
1a30_ligand_57      65.88   
1a30_ligand_58      39.96   
1a30_ligand_60      48.5    
1a30_ligand_64      63.18   
1a30_ligand_67      42.63   
1a30_ligand_68      47.17   
1a30_ligand_7       87.17   
1a30_ligand_71      57.12   
1a30_ligand_72      53.42   
1a30_ligand_74      81.73   
1a30_ligand_77      49.5    
1a30_ligand_79      31.96   
1a30_ligand_82      57.99   
1a30_ligand_9       46.82   
1a30_ligand_93      53.44   
1a30_ligand_94      78.7    
1a30_ligand_95      43.18   
1a30_ligand_98      61.36   
1a30_ligand_99      48.38   
1bcu_ligand_168     59.66   
1bcu_ligand_191     53.4    
1bcu_ligand_196     73.39   
1bcu_ligand_2       80.34   
1bcu_ligand_203     69.78   
1bcu_ligand_204     42.8    
1bcu_ligand_205     58.62   
1bcu_ligand_210     71.26   
1bcu_ligand_213     87.16   
1bcu_ligand_216     48.36   
1bcu_ligand_217     41.49   
1bcu_ligand_222     73.84   
1bcu_ligand_223     31.73   
1bcu_ligand_225     60.05   
1bcu_ligand_227     51.35   
1bcu_ligand_229     68.2    
1bcu_ligand_230     67.49   
1bcu_ligand_231     48.23   
1bcu_ligand_234     51      
1bcu_ligand_237     72.37   
1bcu_ligand_242     67.34   
1bcu_ligand_243     50.81   
1bcu_ligand_250     67.11   
1bcu_ligand_255     62.1    
1bcu_ligand_267     74.54   
1bcu_ligand_269     33.41   
1bcu_ligand_277     45.27   
1bcu_ligand_284     48.1    
1bcu_ligand_285     52.94   
1bcu_ligand_294     62.42   
1bcu_ligand_297     78.95   
1bcu_ligand_298     48.28   
1bcu_ligand_299     58.41   
1bcu_ligand_300     53.4    
1bcu_ligand_309     65.14   
1bcu_ligand_318     66.89   
1bcu_ligand_319     70.11   
1bcu_ligand_321     61.05   
1bcu_ligand_333     59.33   
1bcu_ligand_354     69.57   
1bcu_ligand_355     67.18   
1bcu_ligand_358     48.94   
1bcu_ligand_360     53.12   
1bcu_ligand_361     41.62   
1bcu_ligand_364     55.86   
1bcu_ligand_365     53.49   
1bcu_ligand_366     62.1    
1bcu_ligand_367     41.99   
1bcu_ligand_368     52.96   
1bcu_ligand_369     43.86   
1bcu_ligand_370     42.68   
1bcu_ligand_371     29.96   
1bcu_ligand_373     45.38   
1bcu_ligand_374     25.4    
1bcu_ligand_375     31.29   
1bcu_ligand_376     38.01   
1bcu_ligand_377     22.17   
1bcu_ligand_379     32.23   
1bcu_ligand_381     33.99   
1bcu_ligand_382     33.91   
1bcu_ligand_383     25.24   
1bcu_ligand_384     41.03   
1bcu_ligand_385     42.79   
1bcu_ligand_387     36.19   
1bcu_ligand_388     20.5    
1bcu_ligand_389     18.38   
1bcu_ligand_390     33.3    
1bcu_ligand_391     24.46   
1bcu_ligand_392     24.96   
1bcu_ligand_393     18.7    
1bcu_ligand_394     28.09   
1bcu_ligand_395     16.42   
1bcu_ligand_396     20.69   
1bcu_ligand_397     18.49   
1bcu_ligand_398     20.85   
1bcu_ligand_400     30.12   
1bcu_ligand_404     66.45   
1bcu_ligand_408     66.34   
1bcu_ligand_413     41.99   
1bcu_ligand_415     43.61   
1bcu_ligand_420     45.51   
1bcu_ligand_421     42.36   
1bcu_ligand_425     47.85   
1bcu_ligand_431     38.2    
1bcu_ligand_432     51.01   
1bcu_ligand_435     45.95   
1bcu_ligand_439     42.22   
1bcu_ligand_440     33.43   
1bcu_ligand_442     31.95   
1bcu_ligand_444     32.36   
1bcu_ligand_445     39.96   
1bcu_ligand_448     40.34   
1bcu_ligand_449     34.5    
1bcu_ligand_453     77.01   
1bcu_ligand_456     61.27   
1bcu_ligand_465     65.14   
1bcu_ligand_489     34.84   
1bcu_ligand_491     26.72   
1bcu_ligand_496     46.17   
1bcu_ligand_70      86      
1bzc_ligand_107     84.02   
1bzc_ligand_11      72.65   
1bzc_ligand_110     93.1    
1bzc_ligand_117     102.41  
1bzc_ligand_120     94.23   
1bzc_ligand_123     77.97   
1bzc_ligand_135     71.66   
1bzc_ligand_138     109.66  
1bzc_ligand_142     94.52   
1bzc_ligand_145     94.06   
1bzc_ligand_149     112.07  
1bzc_ligand_155     28.24   
1bzc_ligand_16      97.81   
1bzc_ligand_160     15.75   
1bzc_ligand_161     30.24   
1bzc_ligand_162     45.49   
1bzc_ligand_166     36.16   
1bzc_ligand_167     12.26   
1bzc_ligand_169     -29.79  
1bzc_ligand_170     30.84   
