#code_ligand_num    score   
1a30_ligand_10      25.8    
1a30_ligand_102     56.09   
1a30_ligand_106     63.05   
1a30_ligand_108     41.23   
1a30_ligand_111     60.11   
1a30_ligand_116     47.57   
1a30_ligand_117     39.49   
1a30_ligand_12      23.42   
1a30_ligand_122     54.75   
1a30_ligand_127     60.06   
1a30_ligand_129     58.79   
1a30_ligand_131     46.41   
1a30_ligand_132     48.81   
1a30_ligand_141     50.12   
1a30_ligand_147     55.5    
1a30_ligand_15      35.67   
1a30_ligand_162     -7.04   
1a30_ligand_168     -14.9   
1a30_ligand_169     5.83    
1a30_ligand_170     -1.21   
1a30_ligand_181     19.89   
1a30_ligand_182     -8.86   
1a30_ligand_185     2.18    
1a30_ligand_19      30.18   
1a30_ligand_197     -2.85   
1a30_ligand_204     27.17   
1a30_ligand_205     10.13   
1a30_ligand_206     21.42   
1a30_ligand_208     23.37   
1a30_ligand_209     22.19   
1a30_ligand_210     21.3    
1a30_ligand_211     16.03   
1a30_ligand_216     23.94   
1a30_ligand_223     25.69   
1a30_ligand_224     8.24    
1a30_ligand_228     26.57   
1a30_ligand_229     21.88   
1a30_ligand_232     19.29   
1a30_ligand_235     15.29   
1a30_ligand_236     9.19    
1a30_ligand_237     16.46   
1a30_ligand_240     18.88   
1a30_ligand_241     34.61   
1a30_ligand_247     -0.44   
1a30_ligand_248     5.78    
1a30_ligand_249     20.07   
1a30_ligand_259     42.93   
1a30_ligand_261     22.21   
1a30_ligand_264     24.49   
1a30_ligand_270     -0.23   
1a30_ligand_273     45.14   
1a30_ligand_274     18.04   
1a30_ligand_28      32.22   
1a30_ligand_282     22.38   
1a30_ligand_287     19.03   
1a30_ligand_289     -6.39   
1a30_ligand_292     22.79   
1a30_ligand_295     12.91   
1a30_ligand_297     14.73   
1a30_ligand_299     20.22   
1a30_ligand_300     24.51   
1a30_ligand_31      39.8    
1a30_ligand_316     33.98   
1a30_ligand_319     21.41   
1a30_ligand_32      35.15   
1a30_ligand_320     16.5    
1a30_ligand_33      45.14   
1a30_ligand_330     43.82   
1a30_ligand_336     22.08   
1a30_ligand_338     13.1    
1a30_ligand_340     8.16    
1a30_ligand_342     2.05    
1a30_ligand_346     24.97   
1a30_ligand_350     29.22   
1a30_ligand_353     74.28   
1a30_ligand_40      32.49   
1a30_ligand_42      32.9    
1a30_ligand_43      53.09   
1a30_ligand_46      37.06   
1a30_ligand_5       44.72   
1a30_ligand_50      43.57   
1a30_ligand_53      34.18   
1a30_ligand_6       33.82   
1a30_ligand_64      19.14   
1a30_ligand_65      36.31   
1a30_ligand_66      39.94   
1a30_ligand_68      29.94   
1a30_ligand_70      31.44   
1a30_ligand_71      44.93   
1a30_ligand_73      37.37   
1a30_ligand_76      49.72   
1a30_ligand_8       33.56   
1a30_ligand_83      43.87   
1a30_ligand_86      39.56   
1a30_ligand_87      46.78   
1a30_ligand_89      39.08   
1a30_ligand_90      45.25   
1a30_ligand_96      30.28   
1a30_ligand_98      27.66   
1a30_ligand_99      27.92   
1bcu_ligand_160     29.84   
1bcu_ligand_168     56.93   
1bcu_ligand_169     38.11   
1bcu_ligand_178     31.29   
1bcu_ligand_179     62.14   
1bcu_ligand_188     11.13   
1bcu_ligand_197     54.22   
1bcu_ligand_198     54.45   
1bcu_ligand_209     38.5    
1bcu_ligand_211     44.73   
1bcu_ligand_213     47.59   
1bcu_ligand_215     44.8    
1bcu_ligand_216     56.39   
1bcu_ligand_217     32.11   
1bcu_ligand_219     73.67   
1bcu_ligand_221     56.96   
1bcu_ligand_222     58.68   
1bcu_ligand_223     50.91   
1bcu_ligand_226     40.28   
1bcu_ligand_231     29.12   
1bcu_ligand_235     52.59   
1bcu_ligand_236     38.29   
1bcu_ligand_239     29.51   
1bcu_ligand_245     58.11   
1bcu_ligand_247     46.07   
1bcu_ligand_248     46.04   
1bcu_ligand_249     33.39   
1bcu_ligand_250     41.71   
1bcu_ligand_257     69.68   
1bcu_ligand_259     36.6    
1bcu_ligand_274     41.49   
1bcu_ligand_277     58.56   
1bcu_ligand_278     56.81   
1bcu_ligand_280     70.07   
1bcu_ligand_282     51.64   
1bcu_ligand_285     73.12   
1bcu_ligand_290     30.2    
1bcu_ligand_293     55.58   
1bcu_ligand_315     63.86   
1bcu_ligand_322     34.68   
1bcu_ligand_328     37.92   
1bcu_ligand_336     46.22   
1bcu_ligand_337     55.86   
1bcu_ligand_339     51.56   
1bcu_ligand_340     46.97   
1bcu_ligand_353     41.84   
1bcu_ligand_357     30.29   
1bcu_ligand_362     36.86   
1bcu_ligand_363     15.92   
1bcu_ligand_365     28.3    
1bcu_ligand_366     26.58   
1bcu_ligand_367     27.52   
1bcu_ligand_368     16.75   
1bcu_ligand_369     14.71   
1bcu_ligand_370     21.18   
1bcu_ligand_371     40.15   
1bcu_ligand_373     11.51   
1bcu_ligand_377     18.31   
1bcu_ligand_378     17.71   
1bcu_ligand_379     8.58    
1bcu_ligand_380     18.03   
1bcu_ligand_384     8.76    
1bcu_ligand_385     23.96   
1bcu_ligand_389     13.01   
1bcu_ligand_391     17.1    
1bcu_ligand_392     9.34    
1bcu_ligand_393     32.77   
1bcu_ligand_394     20.11   
1bcu_ligand_395     18.61   
1bcu_ligand_396     3.86    
1bcu_ligand_398     30.91   
1bcu_ligand_399     4.48    
1bcu_ligand_400     4.75    
1bcu_ligand_406     31.84   
1bcu_ligand_411     37.67   
1bcu_ligand_421     22.43   
1bcu_ligand_426     24.9    
1bcu_ligand_427     33.87   
1bcu_ligand_429     29.75   
1bcu_ligand_430     17.01   
1bcu_ligand_433     21.84   
1bcu_ligand_435     20.07   
1bcu_ligand_443     23.82   
1bcu_ligand_445     24.17   
1bcu_ligand_448     22.41   
1bcu_ligand_450     8.2     
1bcu_ligand_457     35.75   
1bcu_ligand_458     28.89   
1bcu_ligand_461     38.38   
1bcu_ligand_468     28.89   
1bcu_ligand_472     32.08   
1bcu_ligand_477     26.68   
1bcu_ligand_478     36.56   
