#code_ligand_num    score   
1a30_ligand_100     44.82   
1a30_ligand_102     82.24   
1a30_ligand_104     57.01   
1a30_ligand_110     53.35   
1a30_ligand_113     93.95   
1a30_ligand_115     37.81   
1a30_ligand_119     72.82   
1a30_ligand_12      60.97   
1a30_ligand_121     94.1    
1a30_ligand_124     68.14   
1a30_ligand_125     97.38   
1a30_ligand_127     72.6    
1a30_ligand_132     46.69   
1a30_ligand_133     56.87   
1a30_ligand_134     52.46   
1a30_ligand_137     91.81   
1a30_ligand_15      74.5    
1a30_ligand_16      50.88   
1a30_ligand_160     -17.46  
1a30_ligand_18      32.34   
1a30_ligand_185     20.94   
1a30_ligand_19      48.01   
1a30_ligand_2       53.41   
1a30_ligand_20      33.42   
1a30_ligand_201     20.52   
1a30_ligand_202     41.07   
1a30_ligand_204     32.74   
1a30_ligand_206     39.22   
1a30_ligand_208     17.52   
1a30_ligand_209     14.42   
1a30_ligand_212     30.6    
1a30_ligand_216     35.09   
1a30_ligand_217     21.58   
1a30_ligand_218     25.73   
1a30_ligand_219     25.72   
1a30_ligand_22      47.8    
1a30_ligand_220     17.48   
1a30_ligand_221     18.69   
1a30_ligand_223     23.8    
1a30_ligand_224     23.01   
1a30_ligand_226     14.52   
1a30_ligand_227     18.33   
1a30_ligand_228     16.76   
1a30_ligand_230     18.92   
1a30_ligand_231     17.16   
1a30_ligand_236     10.82   
1a30_ligand_24      55.6    
1a30_ligand_240     25.01   
1a30_ligand_244     34      
1a30_ligand_245     22.96   
1a30_ligand_246     23.73   
1a30_ligand_247     18.23   
1a30_ligand_249     7.22    
1a30_ligand_253     37.91   
1a30_ligand_26      41.92   
1a30_ligand_267     41.75   
1a30_ligand_27      61.76   
1a30_ligand_270     10.37   
1a30_ligand_272     56.97   
1a30_ligand_278     14.48   
1a30_ligand_281     42.57   
1a30_ligand_289     26.75   
1a30_ligand_297     22.33   
1a30_ligand_298     19.1    
1a30_ligand_299     24.9    
1a30_ligand_300     11.49   
1a30_ligand_313     32.84   
1a30_ligand_32      42.65   
1a30_ligand_322     37.06   
1a30_ligand_327     -12.89  
1a30_ligand_341     34.83   
1a30_ligand_343     16.67   
1a30_ligand_347     33.86   
1a30_ligand_348     30.63   
1a30_ligand_357     76.47   
1a30_ligand_38      49.54   
1a30_ligand_384     62.35   
1a30_ligand_389     55.63   
1a30_ligand_40      32.33   
1a30_ligand_42      34.27   
1a30_ligand_46      53.39   
1a30_ligand_49      44.03   
1a30_ligand_5       32.49   
1a30_ligand_50      42.19   
1a30_ligand_51      43.05   
1a30_ligand_52      47.25   
1a30_ligand_54      42.66   
1a30_ligand_56      50.46   
1a30_ligand_62      41.99   
1a30_ligand_64      42.53   
1a30_ligand_65      57.83   
1a30_ligand_67      43.93   
1a30_ligand_70      37.66   
1a30_ligand_76      56.37   
1a30_ligand_78      42.69   
1a30_ligand_79      38.56   
1a30_ligand_86      66.25   
1a30_ligand_90      34.55   
1a30_ligand_92      48.37   
1a30_ligand_98      57.85   
1bcu_ligand_126     54.66   
1bcu_ligand_158     40.96   
1bcu_ligand_161     50.85   
1bcu_ligand_166     33.88   
1bcu_ligand_168     43.86   
1bcu_ligand_171     41.69   
1bcu_ligand_174     45.63   
1bcu_ligand_175     41.09   
1bcu_ligand_177     47.67   
1bcu_ligand_180     31.25   
1bcu_ligand_182     50.78   
1bcu_ligand_185     41.55   
1bcu_ligand_19      49.14   
1bcu_ligand_193     39.57   
1bcu_ligand_194     17      
1bcu_ligand_196     24.24   
1bcu_ligand_199     23.51   
1bcu_ligand_21      54.83   
1bcu_ligand_210     49.39   
1bcu_ligand_214     50.34   
1bcu_ligand_225     36.13   
1bcu_ligand_226     45.89   
1bcu_ligand_230     43.76   
1bcu_ligand_233     38.41   
1bcu_ligand_234     36.27   
1bcu_ligand_237     36.73   
1bcu_ligand_240     43.43   
1bcu_ligand_243     41.95   
1bcu_ligand_244     54.43   
1bcu_ligand_248     40.19   
1bcu_ligand_250     34.15   
1bcu_ligand_273     48.34   
1bcu_ligand_276     35.12   
1bcu_ligand_286     20.24   
1bcu_ligand_297     35      
1bcu_ligand_302     64.36   
1bcu_ligand_303     37.89   
1bcu_ligand_314     50.99   
1bcu_ligand_315     51.84   
1bcu_ligand_317     35.96   
1bcu_ligand_33      54.51   
1bcu_ligand_330     31.76   
1bcu_ligand_333     64.56   
1bcu_ligand_337     33.14   
1bcu_ligand_338     47.11   
1bcu_ligand_339     40.77   
1bcu_ligand_343     48.04   
1bcu_ligand_349     32.58   
1bcu_ligand_363     40.22   
1bcu_ligand_366     19.36   
1bcu_ligand_369     14.74   
1bcu_ligand_370     21.51   
1bcu_ligand_372     22.93   
1bcu_ligand_373     30.56   
1bcu_ligand_374     17.97   
1bcu_ligand_375     48.98   
1bcu_ligand_376     13.96   
1bcu_ligand_377     38.36   
1bcu_ligand_38      53.99   
1bcu_ligand_380     24.38   
1bcu_ligand_381     15.22   
1bcu_ligand_383     24.89   
1bcu_ligand_384     26.46   
1bcu_ligand_385     19.53   
1bcu_ligand_386     17.81   
1bcu_ligand_387     17.82   
1bcu_ligand_388     21.21   
1bcu_ligand_389     15.34   
1bcu_ligand_392     22.93   
1bcu_ligand_393     18.57   
1bcu_ligand_396     27.46   
1bcu_ligand_398     32.56   
1bcu_ligand_400     19.26   
1bcu_ligand_402     39.28   
1bcu_ligand_403     52.53   
1bcu_ligand_409     32.21   
1bcu_ligand_424     33.03   
1bcu_ligand_425     35.84   
1bcu_ligand_426     29.38   
1bcu_ligand_43      53.51   
1bcu_ligand_430     33.36   
1bcu_ligand_432     39.87   
1bcu_ligand_437     44.98   
1bcu_ligand_44      51.23   
1bcu_ligand_443     35.82   
1bcu_ligand_445     22.78   
1bcu_ligand_447     29.57   
1bcu_ligand_450     34.14   
1bcu_ligand_454     38.12   
1bcu_ligand_459     32.09   
1bcu_ligand_462     13.18   
1bcu_ligand_479     77.57   
1bcu_ligand_481     26.78   
1bcu_ligand_485     37.45   
1bcu_ligand_488     37.09   
1bcu_ligand_492     26.2    
1bcu_ligand_494     40.07   
1bcu_ligand_497     23.6    
1bcu_ligand_53      55.98   
1bcu_ligand_92      58.44   
1bzc_ligand_117     91.87   
1bzc_ligand_133     98.08   
1bzc_ligand_137     84.08   
1bzc_ligand_139     86.13   
1bzc_ligand_144     74.46   
1bzc_ligand_154     27      
1bzc_ligand_155     30.23   
1bzc_ligand_160     -12.71  
1bzc_ligand_164     -3.13   
1bzc_ligand_167     35.21   
1bzc_ligand_169     24.04   
1bzc_ligand_171     35.81   
1bzc_ligand_172     -17.55  
