#code_ligand_num    score   
1a30_ligand_100     47.74   
1a30_ligand_102     58.2    
1a30_ligand_108     58.7    
1a30_ligand_12      35.21   
1a30_ligand_121     64.89   
1a30_ligand_13      38.6    
1a30_ligand_130     62      
1a30_ligand_135     62.34   
1a30_ligand_138     54.85   
1a30_ligand_148     49.49   
1a30_ligand_149     39.69   
1a30_ligand_15      47.9    
1a30_ligand_150     48.32   
1a30_ligand_153     30.53   
1a30_ligand_161     14.57   
1a30_ligand_162     28.39   
1a30_ligand_169     -2.62   
1a30_ligand_173     27.41   
1a30_ligand_18      31.85   
1a30_ligand_198     38.14   
1a30_ligand_199     13.85   
1a30_ligand_20      33.22   
1a30_ligand_203     14.95   
1a30_ligand_204     33.39   
1a30_ligand_209     25.34   
1a30_ligand_21      35.77   
1a30_ligand_210     15.05   
1a30_ligand_212     22.27   
1a30_ligand_217     38.38   
1a30_ligand_218     41.71   
1a30_ligand_22      44.34   
1a30_ligand_222     35.15   
1a30_ligand_223     28.92   
1a30_ligand_224     30.58   
1a30_ligand_226     28.07   
1a30_ligand_23      40.07   
1a30_ligand_232     25.2    
1a30_ligand_233     17.89   
1a30_ligand_237     29.21   
1a30_ligand_240     30.74   
1a30_ligand_241     30.41   
1a30_ligand_244     21.39   
1a30_ligand_251     19.74   
1a30_ligand_252     42.44   
1a30_ligand_253     27.28   
1a30_ligand_256     23.89   
1a30_ligand_257     29.75   
1a30_ligand_261     23.31   
1a30_ligand_269     19.27   
1a30_ligand_270     55.67   
1a30_ligand_272     7.59    
1a30_ligand_277     30.03   
1a30_ligand_278     27.65   
1a30_ligand_28      39.95   
1a30_ligand_281     17.24   
1a30_ligand_286     17.13   
1a30_ligand_288     -2.57   
1a30_ligand_296     19.37   
1a30_ligand_297     27.83   
1a30_ligand_30      66.08   
1a30_ligand_302     31.57   
1a30_ligand_306     29.04   
1a30_ligand_307     28.9    
1a30_ligand_309     19.75   
1a30_ligand_31      44.92   
1a30_ligand_311     15.03   
1a30_ligand_312     16.62   
1a30_ligand_315     32.92   
1a30_ligand_320     27.48   
1a30_ligand_321     10.27   
1a30_ligand_322     37.5    
1a30_ligand_324     34.08   
1a30_ligand_325     11.8    
1a30_ligand_327     27.66   
1a30_ligand_33      34.78   
1a30_ligand_334     20.76   
1a30_ligand_338     18.84   
1a30_ligand_340     28.38   
1a30_ligand_345     29.17   
1a30_ligand_347     43.85   
1a30_ligand_350     36.74   
1a30_ligand_364     71.91   
1a30_ligand_381     68.22   
1a30_ligand_384     62.91   
1a30_ligand_397     66.57   
1a30_ligand_400     56.68   
1a30_ligand_406     83.86   
1a30_ligand_43      56.29   
1a30_ligand_52      31.59   
1a30_ligand_55      41.86   
1a30_ligand_6       49.47   
1a30_ligand_64      46.32   
1a30_ligand_68      40.81   
1a30_ligand_73      48.37   
1a30_ligand_81      45.7    
1a30_ligand_86      51.73   
1a30_ligand_89      29.06   
1a30_ligand_90      59.7    
1a30_ligand_98      46.18   
1a30_ligand_99      29.12   
1bcu_ligand_12      39.85   
1bcu_ligand_151     44.68   
1bcu_ligand_154     21.71   
1bcu_ligand_155     56.42   
1bcu_ligand_162     56.54   
1bcu_ligand_167     36.51   
