#code_ligand_num    score   
1a30_ligand_1       9.79    
1a30_ligand_101     21.36   
1a30_ligand_104     28.5    
1a30_ligand_108     36.75   
1a30_ligand_109     27.68   
1a30_ligand_114     30.48   
1a30_ligand_121     24.95   
1a30_ligand_126     29.11   
1a30_ligand_132     22.77   
1a30_ligand_135     29.73   
1a30_ligand_139     11.42   
1a30_ligand_145     21.92   
1a30_ligand_16      22.18   
1a30_ligand_160     -3.64   
1a30_ligand_163     -29     
1a30_ligand_165     -4.15   
1a30_ligand_167     -34.29  
1a30_ligand_17      21.03   
1a30_ligand_18      16.1    
1a30_ligand_184     -13.73  
1a30_ligand_194     -13.69  
1a30_ligand_198     -1.61   
1a30_ligand_201     16.48   
1a30_ligand_202     6.88    
1a30_ligand_203     19.3    
1a30_ligand_204     9.71    
1a30_ligand_207     13.19   
1a30_ligand_217     0.53    
1a30_ligand_219     6.31    
1a30_ligand_22      26.45   
1a30_ligand_220     7.16    
1a30_ligand_221     18.52   
1a30_ligand_227     5.59    
1a30_ligand_230     21.03   
1a30_ligand_236     -5.26   
1a30_ligand_240     16.99   
1a30_ligand_242     15.89   
1a30_ligand_249     14.85   
1a30_ligand_250     15.88   
1a30_ligand_255     9.29    
1a30_ligand_26      22.58   
1a30_ligand_264     13.57   
1a30_ligand_265     -8.58   
1a30_ligand_266     -1.99   
1a30_ligand_269     -18.79  
1a30_ligand_27      39.39   
1a30_ligand_278     4.88    
1a30_ligand_280     -10.37  
1a30_ligand_285     -18.71  
1a30_ligand_291     2.94    
1a30_ligand_294     -12.74  
1a30_ligand_295     3.57    
1a30_ligand_296     -10.37  
1a30_ligand_297     -1.15   
1a30_ligand_3       35.52   
1a30_ligand_302     -15.24  
1a30_ligand_304     -21.75  
1a30_ligand_310     22.89   
1a30_ligand_314     4.32    
1a30_ligand_315     -0.95   
1a30_ligand_319     -6.99   
1a30_ligand_320     -11     
1a30_ligand_321     -2.06   
1a30_ligand_322     -19.16  
1a30_ligand_324     -20.64  
1a30_ligand_327     -8.5    
1a30_ligand_330     1.96    
1a30_ligand_334     -4.37   
1a30_ligand_335     -9.65   
1a30_ligand_338     -12.04  
1a30_ligand_339     18.58   
1a30_ligand_347     -3.84   
1a30_ligand_349     -19.69  
1a30_ligand_35      23.75   
1a30_ligand_372     16.3    
1a30_ligand_380     23.72   
1a30_ligand_393     28.15   
1a30_ligand_395     16.14   
1a30_ligand_40      22.43   
1a30_ligand_41      25.66   
1a30_ligand_413     31.92   
1a30_ligand_416     33.27   
1a30_ligand_439     12.41   
1a30_ligand_443     20.67   
1a30_ligand_451     17.97   
1a30_ligand_454     36.52   
1a30_ligand_474     15.86   
1a30_ligand_49      21.66   
1a30_ligand_490     22.13   
1a30_ligand_56      34.75   
1a30_ligand_58      25.09   
1a30_ligand_6       26.3    
1a30_ligand_67      22.29   
1a30_ligand_71      28.19   
1a30_ligand_72      26.58   
1a30_ligand_86      11.64   
1a30_ligand_94      11.6    
1a30_ligand_96      10.56   
1a30_ligand_98      16.56   
1a30_ligand_99      30.83   
1bcu_ligand_153     20.22   
1bcu_ligand_172     7.92    
1bcu_ligand_179     13.83   
1bcu_ligand_180     9.54    
1bcu_ligand_197     24.94   
1bcu_ligand_205     22.3    
1bcu_ligand_218     19.73   
1bcu_ligand_220     22.39   
1bcu_ligand_221     19.05   
1bcu_ligand_223     28.4    
1bcu_ligand_227     21.49   
1bcu_ligand_244     11.65   
1bcu_ligand_247     14.67   
1bcu_ligand_248     17.43   
1bcu_ligand_253     19.84   
1bcu_ligand_255     22.38   
1bcu_ligand_259     14.76   
1bcu_ligand_269     16.04   
1bcu_ligand_272     17.49   
1bcu_ligand_276     6.18    
1bcu_ligand_277     23.83   
1bcu_ligand_280     18.05   
1bcu_ligand_282     23.02   
1bcu_ligand_284     -19.04  
1bcu_ligand_285     12.17   
1bcu_ligand_287     -12.94  
1bcu_ligand_29      23.97   
1bcu_ligand_290     12.72   
1bcu_ligand_295     -4.99   
1bcu_ligand_300     -14.72  
1bcu_ligand_304     14.67   
1bcu_ligand_317     -1.06   
1bcu_ligand_320     -24.07  
1bcu_ligand_321     5.08    
1bcu_ligand_328     -0.7    
1bcu_ligand_330     2.31    
1bcu_ligand_331     0.26    
1bcu_ligand_337     3.06    
1bcu_ligand_338     -5.46   
1bcu_ligand_341     9.59    
1bcu_ligand_342     3.29    
1bcu_ligand_343     9.24    
1bcu_ligand_345     14.79   
1bcu_ligand_349     10.69   
1bcu_ligand_351     33.31   
1bcu_ligand_356     13.67   
1bcu_ligand_359     18.98   
1bcu_ligand_364     25.58   
1bcu_ligand_366     7.78    
1bcu_ligand_367     17.05   
1bcu_ligand_369     14.56   
1bcu_ligand_370     17.29   
1bcu_ligand_372     13.17   
1bcu_ligand_373     2.02    
1bcu_ligand_374     14.57   
1bcu_ligand_375     14.86   
1bcu_ligand_376     21.37   
