#code_ligand_num    score   
1a30_ligand_10      22.24   
1a30_ligand_101     0.28    
1a30_ligand_103     -2.9    
1a30_ligand_106     -3.4    
1a30_ligand_11      20.47   
1a30_ligand_12      18.48   
1a30_ligand_128     18.67   
1a30_ligand_135     -9.32   
1a30_ligand_144     3.41    
1a30_ligand_146     10.23   
1a30_ligand_149     7.21    
1a30_ligand_18      10.01   
1a30_ligand_195     -5.67   
1a30_ligand_205     -17.61  
1a30_ligand_206     -7.41   
1a30_ligand_207     -15.27  
1a30_ligand_210     1.85    
1a30_ligand_212     -8.57   
1a30_ligand_213     -3.26   
1a30_ligand_22      30.64   
1a30_ligand_220     6.15    
1a30_ligand_221     1.77    
1a30_ligand_223     13.37   
1a30_ligand_227     0.91    
1a30_ligand_228     11.21   
1a30_ligand_233     -7.22   
1a30_ligand_237     5.22    
1a30_ligand_239     9.42    
1a30_ligand_240     3.42    
1a30_ligand_242     11.57   
1a30_ligand_245     3.8     
1a30_ligand_246     -4.89   
1a30_ligand_247     -0.08   
1a30_ligand_255     10.98   
1a30_ligand_257     7.48    
1a30_ligand_258     -15.17  
1a30_ligand_261     -3.96   
1a30_ligand_262     -55.28  
1a30_ligand_264     15.19   
1a30_ligand_270     -27.63  
1a30_ligand_28      7.7     
1a30_ligand_281     -2.2    
1a30_ligand_283     -27.79  
1a30_ligand_289     -8.31   
1a30_ligand_290     -21.76  
1a30_ligand_294     3.76    
1a30_ligand_295     -9.98   
1a30_ligand_296     -41.95  
1a30_ligand_299     -20.47  
1a30_ligand_30      14.35   
1a30_ligand_302     -32.67  
1a30_ligand_310     -12.85  
1a30_ligand_311     -10.15  
1a30_ligand_318     0.55    
1a30_ligand_319     0.34    
1a30_ligand_322     -0.4    
1a30_ligand_323     -16.31  
1a30_ligand_328     2.44    
1a30_ligand_33      21.11   
1a30_ligand_331     -9.59   
1a30_ligand_334     -33.22  
1a30_ligand_337     -5.12   
1a30_ligand_338     -17.03  
1a30_ligand_341     -25.5   
1a30_ligand_347     -9.07   
1a30_ligand_349     12.73   
1a30_ligand_350     19.67   
1a30_ligand_355     4.79    
1a30_ligand_376     -2      
1a30_ligand_38      22.77   
1a30_ligand_387     1.78    
1a30_ligand_388     -4.75   
1a30_ligand_4       28.36   
1a30_ligand_43      32.61   
1a30_ligand_449     -12.94  
1a30_ligand_48      23.39   
1a30_ligand_498     10.38   
1a30_ligand_5       15.09   
1a30_ligand_51      8.55    
1a30_ligand_52      8.04    
1a30_ligand_54      11.63   
1a30_ligand_57      13.42   
1a30_ligand_6       17.77   
1a30_ligand_61      11.09   
1a30_ligand_62      7.37    
1a30_ligand_63      19.34   
1a30_ligand_65      13.43   
1a30_ligand_69      3.97    
1a30_ligand_70      9.1     
1a30_ligand_76      8.71    
1a30_ligand_8       4.5     
1a30_ligand_81      16.8    
1a30_ligand_83      1.68    
1a30_ligand_84      16.73   
1a30_ligand_87      9.6     
1a30_ligand_9       24.12   
1a30_ligand_91      7.06    
1a30_ligand_93      -2.18   
1a30_ligand_98      25.07   
1a30_ligand_99      5.11    
1bcu_ligand_10      17.01   
1bcu_ligand_109     -4.42   
1bcu_ligand_119     -5.8    
1bcu_ligand_127     5.64    
1bcu_ligand_157     -18.61  
1bcu_ligand_167     -5.07   
1bcu_ligand_17      22.29   
1bcu_ligand_170     -28.85  
1bcu_ligand_182     7.1     
1bcu_ligand_183     -18.74  
1bcu_ligand_187     -28.84  
1bcu_ligand_190     5.65    
1bcu_ligand_194     -14.34  
1bcu_ligand_195     5.24    
1bcu_ligand_207     10.8    
1bcu_ligand_213     16.03   
1bcu_ligand_216     12.57   
1bcu_ligand_223     8.22    
1bcu_ligand_225     17.38   
1bcu_ligand_234     -7.7    
1bcu_ligand_239     0.93    
1bcu_ligand_247     3.79    
1bcu_ligand_286     2.37    
1bcu_ligand_287     -14.69  
1bcu_ligand_290     -15.16  
1bcu_ligand_292     19.66   
1bcu_ligand_296     -30.28  
1bcu_ligand_300     -51.82  
1bcu_ligand_311     -10.01  
1bcu_ligand_312     -37.74  
1bcu_ligand_324     -19.87  
1bcu_ligand_326     12.86   
1bcu_ligand_329     -17.57  
1bcu_ligand_332     -42.7   
1bcu_ligand_334     26.05   
1bcu_ligand_338     -10.78  
1bcu_ligand_339     -22.19  
1bcu_ligand_341     -24.51  
1bcu_ligand_344     -19.82  
1bcu_ligand_348     3.22    
1bcu_ligand_355     -1.57   
1bcu_ligand_356     -2.58   
1bcu_ligand_357     -3      
1bcu_ligand_358     -3.03   
1bcu_ligand_359     1.1     
1bcu_ligand_360     9.59    
1bcu_ligand_361     5.14    
1bcu_ligand_362     0.56    
1bcu_ligand_364     1.26    
1bcu_ligand_366     0.15    
1bcu_ligand_367     -1.96   
1bcu_ligand_368     -4.44   
1bcu_ligand_369     -0.42   
1bcu_ligand_370     5.74    
1bcu_ligand_371     -2.54   
1bcu_ligand_373     -9.91   
1bcu_ligand_376     -3.45   
1bcu_ligand_378     1.4     
1bcu_ligand_380     -5.09   
1bcu_ligand_384     -0.33   
1bcu_ligand_388     -6.4    
1bcu_ligand_389     -3.91   
1bcu_ligand_390     8.34    
1bcu_ligand_391     -4.83   
1bcu_ligand_392     -3.3    
1bcu_ligand_393     5.02    
1bcu_ligand_394     -3.76   
1bcu_ligand_397     0.76    
1bcu_ligand_407     9.65    
1bcu_ligand_411     7.05    
1bcu_ligand_412     5.96    
1bcu_ligand_415     -22.94  
