#code_ligand_num    score   
1a30_ligand_1       30.87   
1a30_ligand_100     26.93   
1a30_ligand_101     39.85   
1a30_ligand_108     32.69   
1a30_ligand_120     12.02   
1a30_ligand_121     58.21   
1a30_ligand_127     63.09   
1a30_ligand_13      12.31   
1a30_ligand_132     38.45   
1a30_ligand_140     50.75   
1a30_ligand_145     27.65   
1a30_ligand_151     25.8    
1a30_ligand_161     27.77   
1a30_ligand_162     35.54   
1a30_ligand_165     17.9    
1a30_ligand_171     2.63    
1a30_ligand_178     6.52    
1a30_ligand_185     -6.08   
1a30_ligand_19      23.26   
1a30_ligand_191     0.12    
1a30_ligand_194     -3.49   
1a30_ligand_198     34.43   
1a30_ligand_199     20.35   
1a30_ligand_200     -17.17  
1a30_ligand_202     25.27   
1a30_ligand_210     -8.68   
1a30_ligand_211     19.03   
1a30_ligand_215     0.35    
1a30_ligand_216     -23.28  
1a30_ligand_218     3.06    
1a30_ligand_219     7.04    
1a30_ligand_223     21.83   
1a30_ligand_229     -10.7   
1a30_ligand_231     -9.47   
1a30_ligand_233     -15.74  
1a30_ligand_236     -4.32   
1a30_ligand_241     23.07   
1a30_ligand_245     5.42    
1a30_ligand_246     1.99    
1a30_ligand_248     -0.73   
1a30_ligand_253     51.34   
1a30_ligand_258     33.43   
1a30_ligand_266     -2.04   
1a30_ligand_27      46.95   
1a30_ligand_276     -18.08  
1a30_ligand_277     25.72   
1a30_ligand_278     7.08    
1a30_ligand_279     7.37    
1a30_ligand_290     -0.36   
1a30_ligand_295     3.52    
1a30_ligand_302     30.79   
1a30_ligand_303     46.97   
1a30_ligand_309     -52.68  
1a30_ligand_31      27.86   
1a30_ligand_316     -14.71  
1a30_ligand_320     -33.14  
1a30_ligand_323     -23.6   
1a30_ligand_328     -1.22   
1a30_ligand_332     -10.89  
1a30_ligand_335     -8.73   
1a30_ligand_338     -19.82  
1a30_ligand_34      35.98   
1a30_ligand_344     -9.86   
1a30_ligand_346     -59.64  
