#code_ligand_num    score   
1a30_ligand_10      51.43   
1a30_ligand_102     59.96   
1a30_ligand_105     46.73   
1a30_ligand_108     44.03   
1a30_ligand_109     39.9    
1a30_ligand_114     23.78   
1a30_ligand_116     59.74   
1a30_ligand_124     59.01   
1a30_ligand_128     47.79   
1a30_ligand_129     62.05   
1a30_ligand_13      55.46   
1a30_ligand_133     59.07   
1a30_ligand_135     63      
1a30_ligand_141     53.68   
1a30_ligand_15      47.76   
1a30_ligand_151     20.15   
1a30_ligand_157     38.66   
1a30_ligand_158     16.36   
1a30_ligand_168     41.35   
1a30_ligand_17      75.07   
1a30_ligand_174     -18.07  
1a30_ligand_179     28.69   
1a30_ligand_184     6.42    
1a30_ligand_193     16.5    
1a30_ligand_204     -10.66  
1a30_ligand_211     7.36    
1a30_ligand_212     40.84   
1a30_ligand_214     23.87   
1a30_ligand_217     -1.17   
1a30_ligand_219     12.24   
1a30_ligand_220     -20.44  
1a30_ligand_222     55.61   
1a30_ligand_225     41.73   
1a30_ligand_226     55.46   
1a30_ligand_232     27.79   
1a30_ligand_233     24.9    
1a30_ligand_234     42.27   
1a30_ligand_235     -6.23   
1a30_ligand_236     58.75   
1a30_ligand_237     -11.1   
1a30_ligand_240     33.16   
1a30_ligand_241     31.42   
1a30_ligand_242     19.46   
1a30_ligand_244     -16.39  
1a30_ligand_245     -35.4   
1a30_ligand_246     11.66   
1a30_ligand_248     58.46   
1a30_ligand_249     5.52    
1a30_ligand_251     4.48    
1a30_ligand_257     50.98   
1a30_ligand_258     24.28   
1a30_ligand_267     8.67    
1a30_ligand_275     44.32   
1a30_ligand_279     28.3    
1a30_ligand_283     23.85   
1a30_ligand_287     0.36    
1a30_ligand_289     -0.04   
1a30_ligand_290     14.17   
1a30_ligand_293     -0.06   
1a30_ligand_296     2.13    
1a30_ligand_298     19.25   
1a30_ligand_299     36.79   
1a30_ligand_3       52.61   
1a30_ligand_30      56.72   
1a30_ligand_306     32.51   
1a30_ligand_308     48.15   
1a30_ligand_309     15.4    
1a30_ligand_312     -8.98   
1a30_ligand_317     38.01   
1a30_ligand_319     -5.24   
1a30_ligand_320     24.69   
1a30_ligand_324     43.75   
1a30_ligand_326     23.73   
1a30_ligand_328     43.2    
1a30_ligand_329     34.31   
1a30_ligand_334     -2.49   
1a30_ligand_336     3.46    
1a30_ligand_337     5.19    
1a30_ligand_339     9.43    
1a30_ligand_340     11.48   
1a30_ligand_343     24.02   
1a30_ligand_346     9.19    
1a30_ligand_364     30.36   
1a30_ligand_366     58.39   
1a30_ligand_376     45.68   
1a30_ligand_387     47.81   
1a30_ligand_390     21.13   
1a30_ligand_419     59.94   
1a30_ligand_426     37.45   
1a30_ligand_49      67.83   
1a30_ligand_5       65.32   
1a30_ligand_60      51.62   
1a30_ligand_61      32.23   
1a30_ligand_76      51.45   
1a30_ligand_79      62.07   
1a30_ligand_86      47.33   
1a30_ligand_90      39.83   
1a30_ligand_93      53.99   
1a30_ligand_96      -9.6    
1a30_ligand_98      47.43   
1bcu_ligand_149     -5.59   
1bcu_ligand_153     48.97   
1bcu_ligand_155     46.62   
1bcu_ligand_156     33.37   
1bcu_ligand_157     40.81   
1bcu_ligand_161     20.82   
1bcu_ligand_164     40.07   
1bcu_ligand_170     34.6    
1bcu_ligand_174     12.17   
1bcu_ligand_189     37.72   
1bcu_ligand_192     18.34   
1bcu_ligand_198     24.28   
1bcu_ligand_203     14.98   
1bcu_ligand_208     14.72   
1bcu_ligand_215     29.64   
1bcu_ligand_217     17.62   
1bcu_ligand_219     29.23   
1bcu_ligand_224     11.35   
1bcu_ligand_229     18.25   
1bcu_ligand_233     26.64   
1bcu_ligand_241     27.32   
1bcu_ligand_242     15.97   
1bcu_ligand_250     23.51   
1bcu_ligand_256     2.05    
1bcu_ligand_261     -0.3    
1bcu_ligand_268     7.95    
1bcu_ligand_272     22.66   
1bcu_ligand_274     15.94   
1bcu_ligand_278     11.4    
1bcu_ligand_282     -16.71  
1bcu_ligand_284     3.77    
1bcu_ligand_287     8.84    
1bcu_ligand_290     15.56   
1bcu_ligand_293     1.73    
1bcu_ligand_294     28.98   
1bcu_ligand_297     -3.31   
1bcu_ligand_302     5.34    
1bcu_ligand_303     17.82   
1bcu_ligand_304     2.39    
1bcu_ligand_307     22.63   
1bcu_ligand_312     4.67    
1bcu_ligand_322     20.49   
1bcu_ligand_326     11.29   
1bcu_ligand_336     14.63   
1bcu_ligand_342     -0.62   
1bcu_ligand_347     4.86    
1bcu_ligand_352     -0.25   
1bcu_ligand_355     32.18   
1bcu_ligand_357     18.51   
1bcu_ligand_358     7.26    
1bcu_ligand_360     16.15   
1bcu_ligand_361     17.27   
1bcu_ligand_365     0.44    
1bcu_ligand_366     16.92   
1bcu_ligand_368     12.4    
1bcu_ligand_369     25.66   
1bcu_ligand_371     0.37    
1bcu_ligand_372     23.38   
1bcu_ligand_374     6.89    
1bcu_ligand_375     -1.11   
1bcu_ligand_376     13.43   
1bcu_ligand_378     -3.89   
1bcu_ligand_379     27.57   
1bcu_ligand_380     -18.35  
1bcu_ligand_382     21.39   
1bcu_ligand_383     -4.42   
1bcu_ligand_385     -12.71  
1bcu_ligand_386     -13.82  
1bcu_ligand_388     -11.97  
1bcu_ligand_389     20.42   
1bcu_ligand_391     27.12   
1bcu_ligand_392     -7.21   
1bcu_ligand_393     5.76    
1bcu_ligand_396     -3.05   
1bcu_ligand_397     14.15   
1bcu_ligand_398     18.79   
1bcu_ligand_399     17.02   
1bcu_ligand_400     20.89   
1bcu_ligand_402     13.17   
1bcu_ligand_403     -9.88   
1bcu_ligand_404     17.75   
1bcu_ligand_410     -9.85   
1bcu_ligand_411     21.07   
1bcu_ligand_419     -12.33  
1bcu_ligand_422     25.05   
1bcu_ligand_423     -11.83  
1bcu_ligand_426     19.74   
1bcu_ligand_428     -3.2    
1bcu_ligand_432     4.38    
1bcu_ligand_435     9.44    
1bcu_ligand_439     3.33    
1bcu_ligand_446     2.34    
1bcu_ligand_447     27.62   
1bcu_ligand_456     31.39   
1bcu_ligand_460     17.19   
1bcu_ligand_469     13.83   
1bcu_ligand_474     13.92   
1bcu_ligand_488     17.96   
1bcu_ligand_493     27.2    
1bcu_ligand_500     19.2    
1bzc_ligand_115     40.58   
1bzc_ligand_121     27.56   
1bzc_ligand_128     40.19   
1bzc_ligand_154     20.05   
1bzc_ligand_156     31.49   
1bzc_ligand_159     42.16   
1bzc_ligand_161     -20.53  
1bzc_ligand_167     32.9    
1bzc_ligand_168     -5      
1bzc_ligand_173     61.14   
1bzc_ligand_176     -6.29   
1bzc_ligand_178     32.53   
1bzc_ligand_179     18      
1bzc_ligand_180     23.71   
1bzc_ligand_190     7.09    
1bzc_ligand_195     20.47   
1bzc_ligand_200     36.69   
1bzc_ligand_201     38.92   
1bzc_ligand_204     49.83   
1bzc_ligand_206     28.56   
1bzc_ligand_209     3.33    
1bzc_ligand_213     15.31   
1bzc_ligand_216     15.41   
1bzc_ligand_217     51.63   
1bzc_ligand_218     29.07   
1bzc_ligand_219     27.22   
1bzc_ligand_221     53.19   
1bzc_ligand_222     4.69    
1bzc_ligand_223     45.2    
1bzc_ligand_225     35.66   
1bzc_ligand_226     39.09   
1bzc_ligand_227     23.3    
1bzc_ligand_228     23.42   
1bzc_ligand_229     49.78   
1bzc_ligand_230     60.88   
1bzc_ligand_231     37.93   
1bzc_ligand_233     17.27   
1bzc_ligand_234     33.78   
1bzc_ligand_235     16.94   
1bzc_ligand_236     13.94   
1bzc_ligand_237     25.53   
1bzc_ligand_238     19.72   
1bzc_ligand_240     36.86   
1bzc_ligand_241     -10.55  
1bzc_ligand_242     51.76   
1bzc_ligand_243     40.49   
1bzc_ligand_244     -4.68   
1bzc_ligand_245     33.01   
1bzc_ligand_246     42.74   
1bzc_ligand_249     58.5    
1bzc_ligand_252     4.84    
1bzc_ligand_253     37.02   
1bzc_ligand_254     -22.88  
1bzc_ligand_255     9.27    
1bzc_ligand_256     -4.88   
1bzc_ligand_264     39.86   
1bzc_ligand_266     20.71   
