#code_ligand_num    score   
1a30_ligand_103     13.75   
1a30_ligand_108     2.93    
1a30_ligand_109     5.96    
1a30_ligand_110     25.49   
1a30_ligand_115     22.47   
1a30_ligand_12      2.03    
1a30_ligand_128     31.13   
1a30_ligand_131     0.88    
1a30_ligand_134     11.65   
1a30_ligand_138     14.98   
1a30_ligand_14      21.72   
1a30_ligand_145     9.61    
1a30_ligand_149     9.05    
1a30_ligand_155     -0.8    
1a30_ligand_16      21.92   
1a30_ligand_160     -87.78  
1a30_ligand_167     -63.27  
1a30_ligand_17      17.42   
1a30_ligand_173     -57.21  
1a30_ligand_174     -79.75  
1a30_ligand_175     -44.18  
1a30_ligand_178     -14.35  
1a30_ligand_18      14.77   
1a30_ligand_183     -44.44  
1a30_ligand_189     11.52   
1a30_ligand_191     -77.72  
1a30_ligand_193     -107.74 
1a30_ligand_199     39.13   
1a30_ligand_201     60.57   
1a30_ligand_203     10.91   
1a30_ligand_206     54.65   
1a30_ligand_208     36.71   
1a30_ligand_209     39.32   
1a30_ligand_212     52.17   
1a30_ligand_216     -14.37  
1a30_ligand_219     54.66   
1a30_ligand_22      36.25   
1a30_ligand_221     33.27   
1a30_ligand_222     56.89   
1a30_ligand_224     -17.39  
1a30_ligand_226     23.15   
1a30_ligand_228     -6.74   
1a30_ligand_229     52.03   
1a30_ligand_233     -15.01  
1a30_ligand_237     -17.72  
1a30_ligand_238     -8.38   
1a30_ligand_241     31.04   
1a30_ligand_244     41.67   
1a30_ligand_245     12.11   
1a30_ligand_246     44.01   
1a30_ligand_247     33.5    
1a30_ligand_248     35.38   
1a30_ligand_250     21.29   
1a30_ligand_255     -40.35  
1a30_ligand_259     -11.1   
1a30_ligand_260     -30.14  
1a30_ligand_266     16.13   
1a30_ligand_267     -36.45  
1a30_ligand_270     -14.74  
1a30_ligand_282     -39.96  
1a30_ligand_284     -28.95  
1a30_ligand_290     -19.34  
1a30_ligand_291     -12.21  
1a30_ligand_293     -47.73  
1a30_ligand_297     -28.36  
1a30_ligand_298     -32.83  
1a30_ligand_299     -22.78  
1a30_ligand_30      24.81   
1a30_ligand_312     -61.09  
1a30_ligand_315     -13.03  
1a30_ligand_316     -2.05   
1a30_ligand_320     18.25   
1a30_ligand_321     -2.28   
1a30_ligand_323     17.23   
1a30_ligand_324     -32.66  
1a30_ligand_325     -35.05  
1a30_ligand_337     14.71   
1a30_ligand_346     -5.74   
1a30_ligand_35      16.99   
1a30_ligand_358     -15.1   
1a30_ligand_374     44.64   
1a30_ligand_376     22.94   
1a30_ligand_390     63.85   
1a30_ligand_399     28.92   
1a30_ligand_45      1.77    
1a30_ligand_46      14.3    
1a30_ligand_470     50.62   
1a30_ligand_48      20.94   
1a30_ligand_480     45.91   
1a30_ligand_483     14.32   
1a30_ligand_485     53.37   
1a30_ligand_492     -4.45   
1a30_ligand_493     20.76   
1a30_ligand_5       32.93   
1a30_ligand_500     28.64   
1a30_ligand_56      5.66    
1a30_ligand_60      4.12    
1a30_ligand_63      6.63    
1a30_ligand_65      31.19   
1a30_ligand_95      0.34    
1bcu_ligand_120     -7.87   
1bcu_ligand_162     -25.22  
1bcu_ligand_164     2.87    
1bcu_ligand_172     -38.49  
1bcu_ligand_174     -21.41  
1bcu_ligand_183     21.78   
1bcu_ligand_184     -45.57  
1bcu_ligand_186     8.2     
1bcu_ligand_189     23.15   
1bcu_ligand_190     -46.72  
1bcu_ligand_193     -1.7    
1bcu_ligand_196     14.59   
1bcu_ligand_204     28.33   
1bcu_ligand_206     -22.79  
1bcu_ligand_212     -14.08  
1bcu_ligand_217     23.47   
1bcu_ligand_230     43.28   
1bcu_ligand_234     15.23   
1bcu_ligand_243     20.4    
1bcu_ligand_245     38.56   
1bcu_ligand_250     14.67   
1bcu_ligand_258     -5.89   
1bcu_ligand_260     -23.66  
1bcu_ligand_275     -7.76   
1bcu_ligand_280     10.89   
1bcu_ligand_282     -11.28  
1bcu_ligand_286     -6.71   
1bcu_ligand_287     -22.69  
1bcu_ligand_295     -10.74  
1bcu_ligand_297     29.88   
1bcu_ligand_302     9.48    
1bcu_ligand_320     10.5    
1bcu_ligand_329     19.02   
1bcu_ligand_336     -28.08  
1bcu_ligand_339     -19.08  
1bcu_ligand_341     0.28    
1bcu_ligand_342     -3.05   
1bcu_ligand_345     -5.83   
1bcu_ligand_347     6.73    
1bcu_ligand_348     -17     
1bcu_ligand_349     -10.87  
1bcu_ligand_354     20.36   
1bcu_ligand_357     36.88   
1bcu_ligand_364     -14.95  
1bcu_ligand_365     30.9    
1bcu_ligand_366     -19.28  
1bcu_ligand_367     16.5    
1bcu_ligand_368     -13.46  
1bcu_ligand_369     -3.54   
1bcu_ligand_37      39.45   
1bcu_ligand_371     19.16   
1bcu_ligand_372     37.23   
1bcu_ligand_373     38.13   
1bcu_ligand_374     30.25   
1bcu_ligand_377     -11.61  
1bcu_ligand_380     -2.52   
1bcu_ligand_381     6.56    
1bcu_ligand_382     -6.26   
1bcu_ligand_383     -3.4    
1bcu_ligand_384     -1.66   
1bcu_ligand_387     -4.62   
1bcu_ligand_388     -2.18   
1bcu_ligand_389     15.05   
1bcu_ligand_392     27.28   
1bcu_ligand_393     -0.64   
1bcu_ligand_394     19.82   
1bcu_ligand_395     26.97   
1bcu_ligand_397     3.26    
1bcu_ligand_399     7.15    
1bcu_ligand_400     13.47   
1bcu_ligand_413     17.47   
1bcu_ligand_416     -6.84   
1bcu_ligand_418     23.94   
1bcu_ligand_421     -2.09   
1bcu_ligand_422     -14.89  
1bcu_ligand_427     -17.67  
1bcu_ligand_429     -19.34  
1bcu_ligand_432     25.05   
1bcu_ligand_433     16.38   
1bcu_ligand_434     -16.01  
1bcu_ligand_438     -0.45   
1bcu_ligand_439     11.21   
1bcu_ligand_445     -3.82   
1bcu_ligand_446     -11.3   
1bcu_ligand_448     24.31   
1bcu_ligand_450     27.8    
1bcu_ligand_451     -1.99   
1bcu_ligand_453     2.26    
1bcu_ligand_461     33.93   
1bcu_ligand_469     -14.64  
1bcu_ligand_470     3.19    
1bcu_ligand_477     -7.35   
1bcu_ligand_479     33.72   
1bcu_ligand_480     5.8     
1bcu_ligand_484     9.94    
1bcu_ligand_486     35.32   
1bcu_ligand_492     35.54   
1bcu_ligand_495     8.34    
1bcu_ligand_497     9.98    
1bcu_ligand_500     11.95   
1bzc_ligand_105     20.14   
1bzc_ligand_112     31.8    
1bzc_ligand_132     38.98   
1bzc_ligand_136     18.87   
1bzc_ligand_16      41.1    
1bzc_ligand_160     -0.39   
1bzc_ligand_165     17.08   
1bzc_ligand_166     -57.63  
1bzc_ligand_167     31.65   
1bzc_ligand_169     12.73   
1bzc_ligand_172     2.25    
1bzc_ligand_175     -15.96  
1bzc_ligand_179     6.7     
1bzc_ligand_18      35.49   
1bzc_ligand_180     -21.89  
1bzc_ligand_181     35.27   
1bzc_ligand_186     -73.06  
1bzc_ligand_190     11.86   
1bzc_ligand_192     8.39    
1bzc_ligand_193     16.69   
1bzc_ligand_194     11.87   
1bzc_ligand_195     -76.09  
1bzc_ligand_196     9.23    
1bzc_ligand_197     -22.21  
1bzc_ligand_198     -22.45  
1bzc_ligand_199     -19.51  
1bzc_ligand_205     3.34    
1bzc_ligand_206     47.4    
1bzc_ligand_207     20.97   
1bzc_ligand_209     2.05    
1bzc_ligand_210     7.66    
1bzc_ligand_211     8.73    
1bzc_ligand_212     -20.42  
1bzc_ligand_213     38.06   
1bzc_ligand_214     -19.17  
1bzc_ligand_215     2.72    
1bzc_ligand_217     -2.18   
1bzc_ligand_218     21.35   
1bzc_ligand_220     33.04   
1bzc_ligand_223     32.6    
1bzc_ligand_225     23.51   
1bzc_ligand_227     -10.38  
1bzc_ligand_228     5.92    
1bzc_ligand_230     19.94   
1bzc_ligand_233     0.88    
1bzc_ligand_234     44.34   
1bzc_ligand_236     -5.28   
1bzc_ligand_238     2.23    
1bzc_ligand_240     6.52    
1bzc_ligand_244     25.86   
1bzc_ligand_245     -10.96  
1bzc_ligand_249     -31.54  
1bzc_ligand_250     27.48   
1bzc_ligand_252     -13.85  
1bzc_ligand_261     -33.29  
1bzc_ligand_263     0.28    
1bzc_ligand_264     4.37    
1bzc_ligand_265     -1.05   
1bzc_ligand_266     -11.22  
1bzc_ligand_268     2.39    
1bzc_ligand_275     9.91    
1bzc_ligand_279     6.09    
1bzc_ligand_280     -19.8   
1bzc_ligand_281     5.05    
1bzc_ligand_286     -5.73   
1bzc_ligand_291     -37.86  
1bzc_ligand_295     -17.16  
1bzc_ligand_296     -20.06  
1bzc_ligand_299     33.88   
1bzc_ligand_300     -11.06  
1bzc_ligand_302     -43.53  
1bzc_ligand_303     -4.3    
1bzc_ligand_305     -0.2    
1bzc_ligand_310     -6.78   
1bzc_ligand_315     23.65   
1bzc_ligand_318     -30.34  
1bzc_ligand_319     -21.42  
1bzc_ligand_320     -19.34  
1bzc_ligand_328     -11.3   
1bzc_ligand_33      53.02   
1bzc_ligand_331     -27.16  
1bzc_ligand_333     -15.52  
1bzc_ligand_335     -27.7   
1bzc_ligand_337     -11.2   
1bzc_ligand_340     -30.55  
1bzc_ligand_348     24.13   
1bzc_ligand_349     1.78    
1bzc_ligand_350     15.08   
1bzc_ligand_383     22.7    
1bzc_ligand_389     14.02   
1bzc_ligand_399     16.61   
1bzc_ligand_415     -13.44  
1bzc_ligand_421     35.16   
1bzc_ligand_436     17.03   
1bzc_ligand_46      32.07   
1bzc_ligand_499     58.7    
1bzc_ligand_62      1.42    
1bzc_ligand_64      34.72   
1bzc_ligand_73      26.24   
1bzc_ligand_85      29.88   
1c5z_ligand_142     4.69    
1c5z_ligand_144     12.65   
1c5z_ligand_152     -32.63  
1c5z_ligand_153     -24.05  
1c5z_ligand_156     -34.19  
1c5z_ligand_159     -36.57  
1c5z_ligand_160     -26.59  
1c5z_ligand_162     -30.24  
1c5z_ligand_163     -21     
1c5z_ligand_164     -35.9   
1c5z_ligand_165     18.88   
1c5z_ligand_166     -28.26  
1c5z_ligand_168     12.18   
1c5z_ligand_175     11.39   
1c5z_ligand_177     -20.25  
1c5z_ligand_179     -29.29  
1c5z_ligand_181     6.33    
1c5z_ligand_184     2.34    
1c5z_ligand_189     5.43    
1c5z_ligand_190     14.27   
1c5z_ligand_193     -37.97  
1c5z_ligand_194     12.67   
1c5z_ligand_198     10.76   
1c5z_ligand_199     -30.7   
1c5z_ligand_202     5.96    
1c5z_ligand_204     15.96   
1c5z_ligand_205     20.69   
1c5z_ligand_211     12.64   
1c5z_ligand_212     15.13   
1c5z_ligand_215     13.39   
1c5z_ligand_220     -6.62   
1c5z_ligand_230     16.2    
1c5z_ligand_235     12.14   
1c5z_ligand_238     25.21   
1c5z_ligand_241     -4.32   
1c5z_ligand_242     8.43    
1c5z_ligand_244     11.04   
1c5z_ligand_249     12.83   
1c5z_ligand_250     -8.69   
1c5z_ligand_253     -3.32   
1c5z_ligand_258     8.13    
1c5z_ligand_260     -1.98   
1c5z_ligand_262     -2.09   
1c5z_ligand_263     17.2    
1c5z_ligand_265     20.4    
1c5z_ligand_266     9.17    
1c5z_ligand_271     7.79    
1c5z_ligand_272     -1.68   
1c5z_ligand_275     12.76   
1c5z_ligand_281     -7.93   
1c5z_ligand_285     14.87   
1c5z_ligand_287     -10.58  
1c5z_ligand_288     -4.51   
1c5z_ligand_291     11.05   
1c5z_ligand_292     13.17   
1c5z_ligand_293     -6.79   
1c5z_ligand_294     7.64    
1c5z_ligand_295     -1.23   
1c5z_ligand_298     -12.82  
1c5z_ligand_299     -3.34   
1c5z_ligand_305     6.05    
1c5z_ligand_306     5.7     
1c5z_ligand_309     0.95    
1c5z_ligand_310     -8.26   
1c5z_ligand_311     -0.17   
1c5z_ligand_317     -1.89   
1c5z_ligand_320     12.57   
1c5z_ligand_321     5.78    
1c5z_ligand_328     -1.05   
1c5z_ligand_329     4.07    
1c5z_ligand_330     -2.23   
1c5z_ligand_331     10.69   
1c5z_ligand_332     3.11    
1c5z_ligand_334     -8.16   
1c5z_ligand_338     -5.55   
1c5z_ligand_340     10.73   
1c5z_ligand_341     10.5    
1c5z_ligand_342     -6.52   
1c5z_ligand_345     8.3     
1c5z_ligand_347     7.12    
1c5z_ligand_348     24.03   
1c5z_ligand_350     17.81   
1c5z_ligand_365     -30.27  
1c5z_ligand_372     7.34    
1c5z_ligand_375     21.56   
1c5z_ligand_38      22.11   
1c5z_ligand_380     -11.1   
1c5z_ligand_384     -4.88   
1c5z_ligand_398     9.91    
1c5z_ligand_400     -7.92   
1c5z_ligand_424     21.2    
1c5z_ligand_425     2.87    
1c5z_ligand_447     5.01    
1c5z_ligand_49      27.08   
1c5z_ligand_50      23.23   
1c5z_ligand_52      21.36   
1c5z_ligand_68      21.03   
1c5z_ligand_73      8.24    
1c5z_ligand_88      18.18   
1c5z_ligand_89      26.95   
1e66_ligand_139     -16.87  
1e66_ligand_157     -46.29  
1e66_ligand_160     -61.05  
1e66_ligand_162     -57.5   
1e66_ligand_163     -73.38  
1e66_ligand_164     -51.84  
1e66_ligand_173     -83.91  
1e66_ligand_174     -26.43  
