#code_ligand_num    score   
1a30_ligand_112     194.88  
1a30_ligand_116     175.24  
1a30_ligand_117     180.1   
1a30_ligand_120     203.14  
1a30_ligand_124     150     
1a30_ligand_126     146.74  
1a30_ligand_127     116.29  
1a30_ligand_129     193.01  
1a30_ligand_131     102.3   
1a30_ligand_135     105.24  
1a30_ligand_141     183.91  
1a30_ligand_143     108.25  
1a30_ligand_147     170.09  
1a30_ligand_151     215.54  
1a30_ligand_162     136.95  
1a30_ligand_163     109.21  
1a30_ligand_170     192.75  
1a30_ligand_176     159.39  
1a30_ligand_185     125.06  
1a30_ligand_195     184.51  
1a30_ligand_197     161.79  
1a30_ligand_20      185.88  
1a30_ligand_201     187.91  
1a30_ligand_202     76.07   
1a30_ligand_206     131.43  
1a30_ligand_210     97.64   
1a30_ligand_212     81.35   
1a30_ligand_220     157.46  
1a30_ligand_223     108.38  
1a30_ligand_226     58.21   
1a30_ligand_228     89.06   
1a30_ligand_23      211.44  
1a30_ligand_232     119.24  
1a30_ligand_233     107.51  
1a30_ligand_234     131.69  
1a30_ligand_236     153.58  
1a30_ligand_237     89.7    
1a30_ligand_238     87.26   
1a30_ligand_241     73.95   
1a30_ligand_242     149.5   
1a30_ligand_244     136.87  
1a30_ligand_245     126.37  
1a30_ligand_247     164.98  
1a30_ligand_248     94.55   
1a30_ligand_250     143.41  
1a30_ligand_255     173.38  
1a30_ligand_259     99      
1a30_ligand_26      211.23  
1a30_ligand_265     141.16  
1a30_ligand_266     150.45  
1a30_ligand_267     215.86  
1a30_ligand_276     141.02  
1a30_ligand_28      220.08  
1a30_ligand_282     85.84   
1a30_ligand_283     135.91  
1a30_ligand_284     143.85  
1a30_ligand_286     113.96  
1a30_ligand_289     86.81   
1a30_ligand_291     195.9   
1a30_ligand_295     174.33  
1a30_ligand_297     145.92  
1a30_ligand_304     193.2   
1a30_ligand_306     121.99  
1a30_ligand_31      189.51  
1a30_ligand_316     212.02  
1a30_ligand_325     160.58  
1a30_ligand_335     74.15   
1a30_ligand_346     153.49  
1a30_ligand_349     120.17  
1a30_ligand_359     170.74  
1a30_ligand_368     180.06  
1a30_ligand_369     207.41  
1a30_ligand_381     204.1   
1a30_ligand_384     219.1   
1a30_ligand_408     190.6   
1a30_ligand_412     142.01  
1a30_ligand_427     169.38  
1a30_ligand_429     199.19  
1a30_ligand_443     184.86  
1a30_ligand_444     154.44  
1a30_ligand_446     150.75  
1a30_ligand_45      204.62  
1a30_ligand_458     187.96  
1a30_ligand_479     168.04  
1a30_ligand_480     155.12  
1a30_ligand_49      216     
1a30_ligand_51      98.9    
1a30_ligand_53      183.48  
1a30_ligand_54      82.73   
1a30_ligand_56      194.55  
1a30_ligand_57      186.12  
1a30_ligand_66      168.31  
1a30_ligand_68      126.53  
1a30_ligand_7       210.94  
1a30_ligand_71      124.36  
1a30_ligand_75      111.26  
1a30_ligand_78      161.5   
1a30_ligand_79      194.81  
1a30_ligand_83      60.69   
1a30_ligand_91      157.89  
