#code_ligand_num    score   
1a30_ligand_1       48.21   
1a30_ligand_102     49.59   
1a30_ligand_104     57.76   
1a30_ligand_105     48.45   
1a30_ligand_108     51.35   
1a30_ligand_109     74.06   
1a30_ligand_110     47.31   
1a30_ligand_111     70.78   
1a30_ligand_112     40.8    
1a30_ligand_113     56.15   
1a30_ligand_115     27.6    
1a30_ligand_117     32.42   
1a30_ligand_125     63.14   
1a30_ligand_128     49.24   
1a30_ligand_129     67.19   
1a30_ligand_131     58.38   
1a30_ligand_132     92.45   
1a30_ligand_134     49.5    
1a30_ligand_146     77.76   
1a30_ligand_150     76.52   
1a30_ligand_155     -5.35   
1a30_ligand_158     96.26   
1a30_ligand_159     3.24    
1a30_ligand_16      62.5    
1a30_ligand_165     8.04    
1a30_ligand_172     -16.55  
1a30_ligand_178     26.52   
1a30_ligand_18      133.88  
1a30_ligand_185     42.47   
1a30_ligand_188     36.87   
1a30_ligand_19      50.72   
1a30_ligand_194     68.6    
1a30_ligand_2       60.95   
1a30_ligand_200     38.53   
1a30_ligand_203     35.18   
1a30_ligand_205     25.83   
1a30_ligand_209     51.62   
1a30_ligand_22      37.99   
1a30_ligand_225     29.37   
1a30_ligand_228     -8.13   
1a30_ligand_229     20.82   
1a30_ligand_235     12.72   
1a30_ligand_243     79.71   
1a30_ligand_247     34.66   
1a30_ligand_248     14.2    
1a30_ligand_257     21.01   
1a30_ligand_269     40.57   
1a30_ligand_27      87.91   
1a30_ligand_271     19.64   
1a30_ligand_273     39.71   
1a30_ligand_274     23.72   
1a30_ligand_275     14.84   
1a30_ligand_279     -20.56  
1a30_ligand_28      37.16   
1a30_ligand_283     32.28   
1a30_ligand_294     48.06   
1a30_ligand_299     13.45   
1a30_ligand_306     37.86   
1a30_ligand_315     57.05   
1a30_ligand_317     48.31   
1a30_ligand_321     37.54   
1a30_ligand_322     46.52   
1a30_ligand_323     13.89   
1a30_ligand_326     25.83   
1a30_ligand_330     59.73   
1a30_ligand_336     27.17   
1a30_ligand_337     64.07   
1a30_ligand_340     71.5    
1a30_ligand_341     6.15    
1a30_ligand_349     20.2    
1a30_ligand_357     74.45   
1a30_ligand_372     54.62   
1a30_ligand_376     71.82   
1a30_ligand_378     45.63   
1a30_ligand_382     53.7    
1a30_ligand_385     49.54   
1a30_ligand_392     50.93   
1a30_ligand_398     43.3    
1a30_ligand_433     44.28   
1a30_ligand_44      97.12   
1a30_ligand_45      87.17   
1a30_ligand_455     104.45  
1a30_ligand_47      96.13   
1a30_ligand_489     87.93   
1a30_ligand_497     110.07  
1a30_ligand_51      45.62   
1a30_ligand_55      62.86   
1a30_ligand_57      24.91   
1a30_ligand_6       32      
1a30_ligand_60      35.28   
1a30_ligand_61      66.6    
1a30_ligand_63      56.72   
1a30_ligand_64      73.92   
1a30_ligand_69      71.41   
1a30_ligand_70      44.42   
1a30_ligand_75      66.69   
1a30_ligand_80      42.3    
1a30_ligand_82      27.44   
1a30_ligand_86      81.9    
1a30_ligand_87      60.98   
1bcu_ligand_124     37.11   
1bcu_ligand_136     34.58   
1bcu_ligand_142     32.45   
1bcu_ligand_147     50.76   
1bcu_ligand_153     52.4    
1bcu_ligand_155     57.49   
1bcu_ligand_180     46.86   
1bcu_ligand_188     62.7    
1bcu_ligand_196     45.36   
1bcu_ligand_208     56.43   
1bcu_ligand_210     45.52   
1bcu_ligand_211     37.96   
1bcu_ligand_225     48.71   
1bcu_ligand_231     40.79   
1bcu_ligand_232     25.5    
1bcu_ligand_238     60.46   
1bcu_ligand_239     61.8    
1bcu_ligand_245     37.82   
1bcu_ligand_246     54.96   
1bcu_ligand_247     79.46   
1bcu_ligand_25      128.43  
1bcu_ligand_257     52.1    
1bcu_ligand_259     27.37   
1bcu_ligand_261     40.68   
1bcu_ligand_262     47.31   
1bcu_ligand_276     39.92   
1bcu_ligand_281     13.04   
1bcu_ligand_284     51.2    
1bcu_ligand_302     52.73   
1bcu_ligand_303     55.43   
1bcu_ligand_304     47.49   
1bcu_ligand_305     45.51   
1bcu_ligand_307     -0.74   
1bcu_ligand_309     11.69   
1bcu_ligand_310     20.42   
1bcu_ligand_311     32      
1bcu_ligand_312     4.19    
1bcu_ligand_321     44.84   
1bcu_ligand_327     49.85   
1bcu_ligand_328     45.89   
1bcu_ligand_330     -0.59   
1bcu_ligand_332     32.73   
1bcu_ligand_333     33.76   
1bcu_ligand_336     46.57   
1bcu_ligand_339     38.64   
1bcu_ligand_342     43.1    
1bcu_ligand_35      68.97   
1bcu_ligand_351     49.2    
1bcu_ligand_354     58.83   
1bcu_ligand_355     25.95   
1bcu_ligand_356     46.79   
1bcu_ligand_361     28.13   
1bcu_ligand_365     62.48   
1bcu_ligand_366     47.7    
1bcu_ligand_367     8.59    
1bcu_ligand_370     18.75   
1bcu_ligand_373     33.79   
1bcu_ligand_374     31.33   
1bcu_ligand_376     18.6    
1bcu_ligand_377     70.63   
1bcu_ligand_379     54.71   
1bcu_ligand_380     48.81   
1bcu_ligand_381     84.31   
1bcu_ligand_382     17.19   
1bcu_ligand_383     91.09   
1bcu_ligand_384     65.52   
1bcu_ligand_386     22.25   
1bcu_ligand_387     29.45   
1bcu_ligand_388     55.2    
1bcu_ligand_389     17.25   
1bcu_ligand_390     74.13   
1bcu_ligand_391     28.5    
1bcu_ligand_392     13.64   
1bcu_ligand_393     51.03   
1bcu_ligand_394     20.62   
1bcu_ligand_395     21.41   
1bcu_ligand_396     42.76   
1bcu_ligand_397     47.66   
1bcu_ligand_398     24.14   
1bcu_ligand_399     58.22   
1bcu_ligand_400     19.68   
1bcu_ligand_401     53.39   
1bcu_ligand_408     49.56   
1bcu_ligand_409     53.19   
