#code_ligand_num    score   
1a30_ligand_100     88.53   
1a30_ligand_103     82.97   
1a30_ligand_104     85.97   
1a30_ligand_11      102.16  
1a30_ligand_114     82.32   
1a30_ligand_123     86.29   
1a30_ligand_128     51.68   
1a30_ligand_130     65.57   
1a30_ligand_137     88.8    
1a30_ligand_146     85.3    
1a30_ligand_15      73.77   
1a30_ligand_150     100.83  
1a30_ligand_153     1.37    
1a30_ligand_155     56.75   
1a30_ligand_169     56.7    
1a30_ligand_174     12.28   
1a30_ligand_18      80.11   
1a30_ligand_194     39.47   
1a30_ligand_201     37.63   
1a30_ligand_204     75.42   
1a30_ligand_208     94.5    
1a30_ligand_209     32.93   
1a30_ligand_211     68.7    
1a30_ligand_212     75.3    
1a30_ligand_213     73.4    
1a30_ligand_218     66.01   
1a30_ligand_220     45.96   
1a30_ligand_221     48.3    
1a30_ligand_222     37.17   
1a30_ligand_224     68.1    
1a30_ligand_229     60.23   
1a30_ligand_234     -1.99   
1a30_ligand_240     89.53   
1a30_ligand_25      84.18   
1a30_ligand_250     64.27   
1a30_ligand_257     46.38   
1a30_ligand_26      104.22  
1a30_ligand_261     39.4    
1a30_ligand_266     65.95   
1a30_ligand_267     41.21   
1a30_ligand_268     42.52   
1a30_ligand_27      80.68   
1a30_ligand_270     85.82   
1a30_ligand_273     35.41   
1a30_ligand_275     27.17   
1a30_ligand_289     73.26   
1a30_ligand_29      94.66   
1a30_ligand_291     44.13   
1a30_ligand_292     28.51   
1a30_ligand_295     39.28   
1a30_ligand_298     48.01   
1a30_ligand_3       86.52   
1a30_ligand_30      77.12   
1a30_ligand_301     31.51   
1a30_ligand_303     16.6    
1a30_ligand_304     57.52   
1a30_ligand_307     9.01    
1a30_ligand_326     35.94   
1a30_ligand_337     92.1    
1a30_ligand_338     13.8    
1a30_ligand_34      84.22   
1a30_ligand_341     80.21   
1a30_ligand_346     42.85   
1a30_ligand_348     48.31   
1a30_ligand_353     58.26   
1a30_ligand_356     83.36   
1a30_ligand_36      93.65   
1a30_ligand_362     46.49   
1a30_ligand_369     57.66   
