#code_ligand_num    score   
1a30_ligand_10      192.2   
1a30_ligand_103     148.05  
1a30_ligand_106     149.61  
1a30_ligand_107     151.77  
1a30_ligand_111     125.8   
1a30_ligand_119     131.55  
1a30_ligand_121     141.19  
1a30_ligand_123     109.98  
1a30_ligand_128     133.47  
1a30_ligand_130     162.25  
1a30_ligand_159     98.04   
1a30_ligand_163     145.26  
1a30_ligand_167     68.57   
1a30_ligand_173     107.85  
1a30_ligand_176     169.44  
1a30_ligand_179     127.15  
1a30_ligand_181     131.61  
1a30_ligand_182     110.32  
1a30_ligand_195     143.71  
1a30_ligand_209     148.49  
1a30_ligand_214     151.1   
1a30_ligand_217     117.24  
1a30_ligand_22      173.52  
1a30_ligand_220     128.02  
1a30_ligand_221     137.06  
1a30_ligand_222     110.51  
1a30_ligand_223     148.16  
1a30_ligand_224     152.49  
1a30_ligand_228     100.52  
1a30_ligand_230     142.43  
1a30_ligand_232     161.62  
1a30_ligand_235     131.04  
1a30_ligand_236     109.25  
1a30_ligand_238     145.38  
1a30_ligand_239     123.33  
1a30_ligand_247     128.58  
1a30_ligand_257     154.16  
1a30_ligand_258     86.39   
1a30_ligand_259     165.15  
1a30_ligand_264     132.51  
1a30_ligand_266     134.69  
1a30_ligand_279     103.24  
1a30_ligand_284     103.3   
1a30_ligand_288     135.73  
1a30_ligand_29      159.27  
1a30_ligand_291     78.17   
1a30_ligand_292     122.53  
1a30_ligand_294     156.61  
1a30_ligand_300     98.93   
1a30_ligand_305     174.72  
1a30_ligand_306     122.97  
1a30_ligand_313     135.32  
1a30_ligand_315     142.71  
1a30_ligand_321     135.03  
1a30_ligand_324     98.54   
1a30_ligand_325     146.02  
1a30_ligand_326     135.38  
1a30_ligand_33      182.95  
1a30_ligand_330     137.03  
1a30_ligand_336     118.34  
1a30_ligand_34      159.16  
1a30_ligand_340     159.21  
1a30_ligand_342     150.25  
1a30_ligand_349     159.01  
1a30_ligand_352     166.42  
1a30_ligand_36      144.01  
1a30_ligand_364     161.99  
1a30_ligand_365     169.98  
1a30_ligand_366     153.64  
1a30_ligand_370     142.95  
1a30_ligand_371     134.85  
1a30_ligand_38      167.75  
1a30_ligand_382     130.79  
1a30_ligand_383     185.84  
1a30_ligand_387     146.16  
