#code_ligand_num    score   
1a30_ligand_1       99      
1a30_ligand_109     84.3    
1a30_ligand_11      100.45  
1a30_ligand_122     46.57   
1a30_ligand_125     39.51   
1a30_ligand_126     55      
1a30_ligand_13      119.46  
1a30_ligand_130     47.47   
1a30_ligand_138     27.71   
1a30_ligand_139     63      
1a30_ligand_142     94.84   
1a30_ligand_149     42.92   
1a30_ligand_15      119.21  
1a30_ligand_16      120.17  
1a30_ligand_163     103.27  
1a30_ligand_165     11.26   
1a30_ligand_17      99.96   
1a30_ligand_18      115.1   
1a30_ligand_188     12.24   
1a30_ligand_192     79.66   
1a30_ligand_194     78.48   
1a30_ligand_197     79.92   
1a30_ligand_202     50.02   
1a30_ligand_205     43.84   
1a30_ligand_207     54.98   
1a30_ligand_21      69.97   
1a30_ligand_212     45.32   
1a30_ligand_226     108.03  
1a30_ligand_228     55.29   
1a30_ligand_234     65.57   
1a30_ligand_239     95.94   
1a30_ligand_240     78.78   
1a30_ligand_241     64.07   
1a30_ligand_243     49.16   
1a30_ligand_244     38.13   
1a30_ligand_249     62.46   
1a30_ligand_262     98.86   
1a30_ligand_264     99.02   
1a30_ligand_265     66.88   
1a30_ligand_27      50.59   
1a30_ligand_274     47.71   
1a30_ligand_28      99.86   
1a30_ligand_284     89.54   
1a30_ligand_286     33.8    
1a30_ligand_288     52.59   
1a30_ligand_29      88.56   
1a30_ligand_296     25.8    
1a30_ligand_298     66.29   
1a30_ligand_3       44.44   
1a30_ligand_307     136.55  
1a30_ligand_309     99.47   
1a30_ligand_311     51.43   
1a30_ligand_313     69.88   
1a30_ligand_317     84.97   
1a30_ligand_318     19.8    
1a30_ligand_319     30.2    
1a30_ligand_323     58.78   
1a30_ligand_326     116.67  
1a30_ligand_328     82.6    
1a30_ligand_33      79.33   
1a30_ligand_332     48.68   
1a30_ligand_335     17.42   
1a30_ligand_347     26.81   
1a30_ligand_349     34.64   
1a30_ligand_35      130.52  
1a30_ligand_355     54.12   
1a30_ligand_36      76.78   
1a30_ligand_37      87.42   
1a30_ligand_377     79.36   
1a30_ligand_398     45.48   
1a30_ligand_40      69.87   
1a30_ligand_402     62.21   
1a30_ligand_41      64.69   
1a30_ligand_42      100.83  
1a30_ligand_437     76.18   
