#code_ligand_num    score   
1a30_ligand_10      80.59   
1a30_ligand_100     78.93   
1a30_ligand_103     43.04   
1a30_ligand_107     35.7    
1a30_ligand_110     81.21   
1a30_ligand_111     101.5   
1a30_ligand_118     34.32   
1a30_ligand_12      88.23   
1a30_ligand_128     29.09   
1a30_ligand_130     26.75   
1a30_ligand_136     53.6    
1a30_ligand_140     65.04   
1a30_ligand_142     55.71   
1a30_ligand_143     55.19   
1a30_ligand_146     48.39   
1a30_ligand_148     75.42   
1a30_ligand_149     56.32   
1a30_ligand_16      82.09   
1a30_ligand_17      60.82   
1a30_ligand_187     -4.25   
1a30_ligand_191     33.46   
1a30_ligand_194     35.44   
1a30_ligand_214     19.17   
1a30_ligand_215     35.78   
1a30_ligand_219     56.45   
1a30_ligand_229     24.56   
1a30_ligand_23      71.44   
1a30_ligand_232     66.04   
1a30_ligand_238     47.8    
1a30_ligand_24      39.86   
1a30_ligand_240     66.14   
1a30_ligand_244     42.38   
1a30_ligand_251     66.83   
1a30_ligand_256     36.31   
1a30_ligand_265     -7.16   
1a30_ligand_269     48.1    
1a30_ligand_275     60.68   
1a30_ligand_277     41.19   
1a30_ligand_285     32.91   
1a30_ligand_287     61.58   
1a30_ligand_289     4.08    
1a30_ligand_290     65.32   
1a30_ligand_291     33.33   
1a30_ligand_299     10.24   
1a30_ligand_3       93.63   
1a30_ligand_30      44.48   
1a30_ligand_301     68.83   
1a30_ligand_302     0.17    
1a30_ligand_305     67.67   
1a30_ligand_310     10.45   
1a30_ligand_311     56.93   
1a30_ligand_319     64.72   
1a30_ligand_321     55.8    
1a30_ligand_322     41.9    
1a30_ligand_324     32.06   
1a30_ligand_325     16.63   
1a30_ligand_33      26.13   
1a30_ligand_335     68.11   
1a30_ligand_337     45.4    
1a30_ligand_340     77.07   
1a30_ligand_341     61.25   
1a30_ligand_342     56.27   
1a30_ligand_344     67.19   
1a30_ligand_345     48.17   
1a30_ligand_349     30.07   
1a30_ligand_354     30.38   
1a30_ligand_361     10.18   
1a30_ligand_372     27.17   
1a30_ligand_38      110.53  
1a30_ligand_382     45.95   
1a30_ligand_385     25.03   
1a30_ligand_39      98.66   
1a30_ligand_394     11.16   
1a30_ligand_401     40.29   
1a30_ligand_41      100.03  
1a30_ligand_412     45.27   
1a30_ligand_414     62.76   
1a30_ligand_424     81.43   
1a30_ligand_429     35.15   
1a30_ligand_45      77.85   
1a30_ligand_46      49.22   
1a30_ligand_48      65.54   
1a30_ligand_5       79.05   
1a30_ligand_50      68.13   
1a30_ligand_51      56.07   
1a30_ligand_55      88.69   
1a30_ligand_58      46.8    
1a30_ligand_63      63.62   
1a30_ligand_70      51.35   
1a30_ligand_74      80.55   
1a30_ligand_76      73.1    
1a30_ligand_79      43.76   
1a30_ligand_8       99.62   
1a30_ligand_82      58.95   
1a30_ligand_83      74.46   
1a30_ligand_85      76.51   
1a30_ligand_88      56.6    
1a30_ligand_92      76.2    
1a30_ligand_96      116.05  
1a30_ligand_98      80.65   
1bcu_ligand_104     15.79   
1bcu_ligand_119     32.83   
1bcu_ligand_155     19.58   
1bcu_ligand_160     24.16   
1bcu_ligand_169     42.51   
1bcu_ligand_181     6.11    
1bcu_ligand_184     15.24   
1bcu_ligand_186     20.94   
1bcu_ligand_189     8.15    
1bcu_ligand_196     38.28   
1bcu_ligand_197     -41.28  
1bcu_ligand_204     40.78   
1bcu_ligand_209     28.25   
1bcu_ligand_224     17.22   
1bcu_ligand_232     3.3     
1bcu_ligand_242     25.85   
1bcu_ligand_243     33.84   
1bcu_ligand_247     27.04   
1bcu_ligand_258     39.77   
1bcu_ligand_264     21.96   
1bcu_ligand_276     -16.43  
1bcu_ligand_285     -1.18   
1bcu_ligand_294     51.44   
1bcu_ligand_296     -31.91  
1bcu_ligand_299     39.03   
1bcu_ligand_300     42.83   
1bcu_ligand_302     53.51   
1bcu_ligand_308     61.93   
1bcu_ligand_319     40.27   
1bcu_ligand_322     42.9    
1bcu_ligand_332     7.46    
1bcu_ligand_341     62.17   
1bcu_ligand_343     33.8    
1bcu_ligand_349     21.19   
1bcu_ligand_352     38.61   
1bcu_ligand_354     57.05   
1bcu_ligand_356     71.26   
1bcu_ligand_357     32.74   
1bcu_ligand_359     36.12   
1bcu_ligand_360     -24.4   
1bcu_ligand_361     27.5    
1bcu_ligand_362     44.89   
1bcu_ligand_364     43.94   
1bcu_ligand_365     42.04   
1bcu_ligand_367     18      
1bcu_ligand_368     19.95   
1bcu_ligand_369     52.81   
1bcu_ligand_370     46.5    
1bcu_ligand_371     43.05   
1bcu_ligand_372     24.48   
