#code_ligand_num    score   
1a30_ligand_10      49.39   
1a30_ligand_102     65.47   
1a30_ligand_113     52.55   
1a30_ligand_118     19.7    
1a30_ligand_119     18.01   
1a30_ligand_12      67.55   
1a30_ligand_123     37.85   
1a30_ligand_127     37.32   
1a30_ligand_128     36.91   
1a30_ligand_13      68.45   
1a30_ligand_131     35.68   
1a30_ligand_134     98.38   
1a30_ligand_138     101.5   
1a30_ligand_139     36.83   
1a30_ligand_140     67.84   
1a30_ligand_143     49.59   
1a30_ligand_145     81.99   
1a30_ligand_147     40.17   
1a30_ligand_148     67.97   
1a30_ligand_160     37.49   
1a30_ligand_166     27.75   
1a30_ligand_17      87.37   
1a30_ligand_19      51.95   
1a30_ligand_194     -0.37   
1a30_ligand_197     4.48    
1a30_ligand_2       51      
1a30_ligand_20      87.06   
1a30_ligand_204     50.16   
1a30_ligand_205     12.24   
1a30_ligand_207     12.19   
1a30_ligand_209     33.64   
1a30_ligand_21      37.7    
1a30_ligand_210     32.71   
1a30_ligand_214     35.43   
1a30_ligand_215     10.01   
1a30_ligand_216     61.92   
1a30_ligand_219     42.59   
1a30_ligand_22      60.56   
1a30_ligand_223     48.68   
1a30_ligand_224     22.99   
1a30_ligand_23      81.22   
1a30_ligand_232     16.58   
1a30_ligand_235     26.03   
1a30_ligand_238     13.06   
1a30_ligand_244     24.08   
1a30_ligand_245     23.86   
1a30_ligand_247     9.63    
1a30_ligand_248     29.3    
1a30_ligand_25      68.07   
1a30_ligand_250     30.68   
1a30_ligand_270     39.15   
1a30_ligand_271     11.31   
1a30_ligand_273     32.68   
1a30_ligand_278     50.08   
1a30_ligand_28      45.96   
1a30_ligand_290     26.53   
1a30_ligand_292     34.53   
1a30_ligand_293     22.61   
1a30_ligand_294     29.8    
1a30_ligand_3       56.28   
1a30_ligand_307     28.77   
1a30_ligand_310     83.56   
1a30_ligand_311     25.98   
1a30_ligand_321     65.87   
1a30_ligand_335     82.46   
1a30_ligand_343     64.72   
1a30_ligand_349     19.27   
1a30_ligand_354     65.02   
1a30_ligand_36      75.76   
1a30_ligand_386     110.65  
1a30_ligand_390     44.85   
1a30_ligand_391     81.64   
1a30_ligand_399     43.18   
1a30_ligand_4       74.61   
1a30_ligand_40      71.57   
1a30_ligand_402     52.01   
1a30_ligand_428     41.53   
1a30_ligand_43      64.54   
1a30_ligand_454     124.46  
1a30_ligand_455     157.55  
1a30_ligand_464     45.85   
1a30_ligand_478     102.17  
1a30_ligand_48      108.79  
1a30_ligand_481     26.37   
1a30_ligand_490     23.21   
1a30_ligand_52      63.82   
1a30_ligand_55      42.09   
1a30_ligand_58      25.14   
1a30_ligand_63      46.48   
1a30_ligand_65      50.29   
1a30_ligand_67      19.51   
1a30_ligand_78      105.42  
1a30_ligand_8       75.66   
1a30_ligand_81      53.53   
1a30_ligand_86      42.52   
1a30_ligand_87      48.69   
1a30_ligand_89      42.15   
1a30_ligand_91      30.28   
1a30_ligand_96      48.81   
1a30_ligand_98      20.17   
1bcu_ligand_147     38.3    
1bcu_ligand_159     25.92   
1bcu_ligand_171     63.78   
1bcu_ligand_177     34.36   
1bcu_ligand_185     41.71   
1bcu_ligand_187     46.82   
1bcu_ligand_202     40.2    
1bcu_ligand_215     38.8    
1bcu_ligand_225     39.52   
1bcu_ligand_236     43.82   
1bcu_ligand_240     74.55   
1bcu_ligand_259     13.31   
1bcu_ligand_265     40.21   
1bcu_ligand_267     50.26   
1bcu_ligand_268     39.61   
1bcu_ligand_272     41.56   
1bcu_ligand_273     9.77    
1bcu_ligand_276     42.29   
1bcu_ligand_280     39.42   
1bcu_ligand_281     69.21   
1bcu_ligand_283     44.17   
1bcu_ligand_289     17.96   
1bcu_ligand_301     24.35   
1bcu_ligand_313     53.97   
1bcu_ligand_314     74.96   
1bcu_ligand_318     33.85   
1bcu_ligand_320     35.91   
1bcu_ligand_331     79.86   
1bcu_ligand_337     74.97   
1bcu_ligand_341     67.17   
1bcu_ligand_345     76.43   
1bcu_ligand_347     72.47   
1bcu_ligand_348     51.28   
1bcu_ligand_351     79.73   
1bcu_ligand_352     102.83  
