#code_ligand_num    score   
1a30_ligand_1       38.1    
1a30_ligand_11      26.99   
1a30_ligand_112     43.2    
1a30_ligand_114     35.63   
1a30_ligand_115     20.03   
1a30_ligand_117     54.49   
1a30_ligand_128     47.88   
1a30_ligand_129     45.13   
1a30_ligand_131     37.59   
1a30_ligand_14      38.42   
1a30_ligand_141     37.09   
1a30_ligand_146     6.89    
1a30_ligand_148     45.22   
1a30_ligand_149     51.27   
1a30_ligand_155     -0.19   
1a30_ligand_16      41.9    
1a30_ligand_161     -12.39  
1a30_ligand_164     -2.54   
1a30_ligand_166     -7.82   
1a30_ligand_168     -0.07   
1a30_ligand_169     -7.44   
1a30_ligand_173     -24.77  
1a30_ligand_175     21.35   
1a30_ligand_177     6.53    
1a30_ligand_178     -27.58  
1a30_ligand_180     -14.06  
1a30_ligand_184     -30.19  
1a30_ligand_19      26.94   
1a30_ligand_190     -7.28   
1a30_ligand_195     -19.08  
1a30_ligand_198     -20.09  
1a30_ligand_200     -40.6   
1a30_ligand_204     34.56   
1a30_ligand_206     47      
1a30_ligand_212     37.31   
1a30_ligand_217     9.97    
1a30_ligand_221     46.16   
1a30_ligand_225     23.54   
1a30_ligand_227     -0.54   
1a30_ligand_232     -0.14   
1a30_ligand_234     17.84   
1a30_ligand_235     28.63   
1a30_ligand_241     36.91   
1a30_ligand_246     12.1    
1a30_ligand_255     28.38   
1a30_ligand_265     10.57   
1a30_ligand_267     9.68    
1a30_ligand_277     0.91    
1a30_ligand_279     -6.64   
1a30_ligand_28      46.58   
1a30_ligand_280     7.9     
1a30_ligand_286     -13     
1a30_ligand_291     20.3    
1a30_ligand_305     -1.06   
1a30_ligand_31      38.2    
1a30_ligand_316     1.41    
1a30_ligand_320     11.27   
1a30_ligand_327     15.76   
1a30_ligand_333     5.22    
1a30_ligand_335     -8.77   
1a30_ligand_34      34.24   
1a30_ligand_345     -15.65  
1a30_ligand_349     38.39   
1a30_ligand_359     30.16   
1a30_ligand_36      23.47   
1a30_ligand_360     22.02   
1a30_ligand_362     5.63    
1a30_ligand_371     16.63   
1a30_ligand_374     38.52   
1a30_ligand_376     19.64   
1a30_ligand_381     2.43    
1a30_ligand_388     41.43   
1a30_ligand_397     23.11   
1a30_ligand_399     15.96   
1a30_ligand_400     -0.99   
1a30_ligand_422     25.57   
1a30_ligand_434     41.23   
1a30_ligand_45      29.47   
1a30_ligand_488     33.63   
1a30_ligand_493     45.27   
1a30_ligand_495     50.54   
1a30_ligand_5       25.36   
1a30_ligand_50      13.36   
1a30_ligand_53      47.31   
1a30_ligand_56      49.23   
1a30_ligand_59      27.06   
1a30_ligand_6       28.77   
1a30_ligand_60      5.87    
1a30_ligand_62      55.61   
1a30_ligand_68      9.39    
1a30_ligand_69      47.84   
1a30_ligand_73      55.46   
1a30_ligand_75      22.8    
1a30_ligand_76      29.87   
1a30_ligand_77      33.34   
1a30_ligand_83      15.32   
1a30_ligand_86      27.73   
1a30_ligand_87      56.71   
1a30_ligand_89      19.85   
1a30_ligand_99      44.7    
1bcu_ligand_106     54.96   
1bcu_ligand_113     62.1    
1bcu_ligand_118     43.49   
1bcu_ligand_123     57.88   
1bcu_ligand_131     47.63   
1bcu_ligand_137     45.02   
1bcu_ligand_155     37.45   
1bcu_ligand_156     39.23   
1bcu_ligand_159     45.25   
1bcu_ligand_169     45.26   
1bcu_ligand_171     45.02   
1bcu_ligand_177     45.74   
1bcu_ligand_182     41.27   
1bcu_ligand_187     36.78   
1bcu_ligand_189     55.85   
1bcu_ligand_190     44.23   
1bcu_ligand_194     34.64   
1bcu_ligand_199     44.36   
1bcu_ligand_20      54.9    
1bcu_ligand_200     32.66   
1bcu_ligand_202     43.6    
1bcu_ligand_21      62.93   
1bcu_ligand_212     55.52   
1bcu_ligand_220     57.63   
1bcu_ligand_230     44.59   
1bcu_ligand_241     41.93   
1bcu_ligand_251     38.67   
1bcu_ligand_260     57.01   
1bcu_ligand_261     33.72   
1bcu_ligand_262     29.92   
1bcu_ligand_269     41.49   
1bcu_ligand_274     39.26   
1bcu_ligand_280     34.97   
1bcu_ligand_284     34.96   
1bcu_ligand_285     50.82   
1bcu_ligand_286     21.73   
1bcu_ligand_290     42.47   
1bcu_ligand_291     43.73   
1bcu_ligand_294     55.26   
1bcu_ligand_296     8.69    
1bcu_ligand_298     27.55   
1bcu_ligand_300     45.21   
1bcu_ligand_303     41.33   
1bcu_ligand_307     58.42   
1bcu_ligand_311     47.89   
1bcu_ligand_312     44.13   
1bcu_ligand_315     13.99   
1bcu_ligand_340     42.17   
1bcu_ligand_343     27.86   
1bcu_ligand_345     45.95   
1bcu_ligand_350     29.07   
1bcu_ligand_353     -4.86   
1bcu_ligand_357     48.03   
1bcu_ligand_359     2.31    
1bcu_ligand_360     52.71   
1bcu_ligand_362     60.27   
1bcu_ligand_363     38.37   
1bcu_ligand_365     34.66   
1bcu_ligand_366     59.85   
1bcu_ligand_370     1.81    
1bcu_ligand_371     48.37   
1bcu_ligand_372     32.41   
1bcu_ligand_373     23.92   
1bcu_ligand_374     44.8    
1bcu_ligand_375     40.56   
1bcu_ligand_376     18.85   
1bcu_ligand_377     21.29   
1bcu_ligand_378     29.08   
1bcu_ligand_379     9.34    
1bcu_ligand_380     28.3    
1bcu_ligand_381     18.88   
1bcu_ligand_382     37.31   
1bcu_ligand_384     35.55   
1bcu_ligand_385     20.59   
1bcu_ligand_388     15.25   
1bcu_ligand_389     35.33   
1bcu_ligand_390     34.76   
1bcu_ligand_391     36.1    
1bcu_ligand_392     31.02   
1bcu_ligand_393     29.39   
1bcu_ligand_394     0.68    
1bcu_ligand_395     28.72   
1bcu_ligand_396     41.32   
1bcu_ligand_397     22.68   
1bcu_ligand_398     39.19   
1bcu_ligand_400     23.9    
