#code_ligand_num    score   
1a30_ligand_1       -54.5132
1a30_ligand_10      -20.7973
1a30_ligand_105     -46.8182
1a30_ligand_106     15.1058 
1a30_ligand_107     8.5034  
1a30_ligand_111     33.0894 
1a30_ligand_113     -69.6602
1a30_ligand_114     -1.3376 
1a30_ligand_115     13.7493 
1a30_ligand_117     -9.1954 
1a30_ligand_119     -9.8699 
1a30_ligand_12      -21.4422
1a30_ligand_126     -10.6254
1a30_ligand_127     51.1109 
1a30_ligand_131     -7.6081 
1a30_ligand_134     -12.1160
1a30_ligand_136     1.0362  
1a30_ligand_139     31.4286 
1a30_ligand_14      -23.2699
1a30_ligand_144     1.2952  
1a30_ligand_145     1.4166  
1a30_ligand_148     -20.4008
1a30_ligand_150     -0.4211 
1a30_ligand_16      -61.2604
1a30_ligand_169     84.8833 
1a30_ligand_17      -46.3937
1a30_ligand_179     68.4765 
1a30_ligand_19      6.5328  
1a30_ligand_192     80.6358 
1a30_ligand_199     85.2386 
1a30_ligand_2       -9.7617 
1a30_ligand_20      -32.1812
1a30_ligand_204     -31.5994
1a30_ligand_21      -34.7873
1a30_ligand_218     8.3909  
1a30_ligand_221     -7.0548 
1a30_ligand_232     6.8101  
1a30_ligand_24      -18.8380
1a30_ligand_242     -3.5303 
1a30_ligand_244     3.4038  
1a30_ligand_245     -14.7512
1a30_ligand_26      -59.1163
1a30_ligand_268     42.3215 
1a30_ligand_27      -4.3483 
1a30_ligand_28      -28.3718
1a30_ligand_282     37.2926 
1a30_ligand_29      -66.3974
1a30_ligand_292     -18.6991
1a30_ligand_31      -39.7393
1a30_ligand_316     39.7766 
1a30_ligand_319     24.0651 
1a30_ligand_326     15.1315 
1a30_ligand_33      -41.1565
1a30_ligand_335     56.9713 
1a30_ligand_343     99.1049 
1a30_ligand_35      -43.8903
1a30_ligand_350     1.2566  
1a30_ligand_356     20.7926 
1a30_ligand_36      -7.4240 
1a30_ligand_379     33.6809 
1a30_ligand_38      -53.6999
1a30_ligand_385     29.6860 
1a30_ligand_388     22.8824 
1a30_ligand_39      -34.3016
1a30_ligand_4       -26.8560
1a30_ligand_40      -13.3179
1a30_ligand_400     20.8340 
1a30_ligand_411     8.3664  
