#code_ligand_num    score   
1a30_ligand_1       -93.2711
1a30_ligand_105     -62.8436
1a30_ligand_106     -18.3924
1a30_ligand_119     -71.1446
1a30_ligand_122     -65.2638
1a30_ligand_134     -68.2058
1a30_ligand_142     -62.8182
1a30_ligand_144     -72.0192
1a30_ligand_147     -60.0859
1a30_ligand_15      -69.3081
1a30_ligand_156     -13.5136
1a30_ligand_166     30.1672 
1a30_ligand_18      -89.8149
1a30_ligand_190     -4.5356 
1a30_ligand_191     13.6967 
1a30_ligand_20      -78.0769
1a30_ligand_200     -46.4382
1a30_ligand_202     -57.2444
1a30_ligand_204     -50.0502
1a30_ligand_206     10.2133 
1a30_ligand_208     -9.6302 
1a30_ligand_21      -82.8863
1a30_ligand_210     -10.1948
1a30_ligand_211     -21.6218
1a30_ligand_212     -7.9465 
1a30_ligand_214     -3.7258 
1a30_ligand_215     -14.3042
1a30_ligand_216     -27.5726
1a30_ligand_217     -13.4039
1a30_ligand_218     -3.3556 
1a30_ligand_219     11.0618 
1a30_ligand_220     8.1990  
1a30_ligand_221     -47.4760
1a30_ligand_223     -37.8764
1a30_ligand_226     1.1470  
1a30_ligand_227     -32.2502
1a30_ligand_229     -55.5293
1a30_ligand_23      -27.7378
1a30_ligand_232     -11.0519
1a30_ligand_234     19.1499 
1a30_ligand_236     -1.0135 
1a30_ligand_237     -20.6628
1a30_ligand_238     -41.8372
1a30_ligand_240     -0.3006 
1a30_ligand_241     4.9261  
1a30_ligand_243     -6.7290 
1a30_ligand_244     8.3958  
1a30_ligand_245     -2.8287 
1a30_ligand_259     -21.1287
1a30_ligand_26      -79.4477
1a30_ligand_265     -2.5720 
1a30_ligand_266     -12.5999
1a30_ligand_272     -29.1956
1a30_ligand_273     -34.5178
1a30_ligand_274     -1.4404 
1a30_ligand_278     0.3108  
1a30_ligand_29      -22.1693
1a30_ligand_296     -50.9246
1a30_ligand_3       -86.7303
1a30_ligand_302     -28.0956
1a30_ligand_305     0.4518  
1a30_ligand_307     -34.6977
1a30_ligand_310     -19.0992
1a30_ligand_315     -53.1270
1a30_ligand_317     -14.0196
1a30_ligand_327     12.6051 
1a30_ligand_33      -43.4291
1a30_ligand_333     -45.8688
1a30_ligand_340     -33.4391
1a30_ligand_341     -0.7480 
1a30_ligand_342     -54.7793
1a30_ligand_346     -8.7112 
1a30_ligand_350     31.9620 
1a30_ligand_352     -58.9842
1a30_ligand_39      -31.3763
1a30_ligand_393     -40.7156
1a30_ligand_395     -22.0305
1a30_ligand_396     -51.3818
1a30_ligand_397     -61.6568
1a30_ligand_399     -39.0055
1a30_ligand_419     -39.8021
1a30_ligand_427     -85.5275
1a30_ligand_430     -35.2353
1a30_ligand_436     -55.3143
1a30_ligand_447     -73.8811
1a30_ligand_456     -66.8826
1a30_ligand_46      -74.5944
1a30_ligand_495     -77.5116
1a30_ligand_52      -7.6560 
1a30_ligand_67      -79.6460
1a30_ligand_7       -75.4427
1a30_ligand_71      -25.0351
1a30_ligand_72      -18.6699
1a30_ligand_73      -8.5597 
1a30_ligand_8       -31.5413
1a30_ligand_84      -61.9244
1a30_ligand_86      -58.8109
1a30_ligand_88      -25.6214
1a30_ligand_94      -39.4275
1a30_ligand_99      -73.2060
1bcu_ligand_195     -42.6427
1bcu_ligand_202     -50.6723
1bcu_ligand_213     -58.3726
1bcu_ligand_214     -45.4695
1bcu_ligand_217     -33.0309
1bcu_ligand_219     -54.6186
1bcu_ligand_221     -46.3982
1bcu_ligand_222     -30.5759
1bcu_ligand_229     -50.2152
1bcu_ligand_231     -49.2244
1bcu_ligand_240     -33.3117
1bcu_ligand_268     -44.0241
1bcu_ligand_271     -44.1424
1bcu_ligand_277     -44.6953
1bcu_ligand_285     -42.1633
1bcu_ligand_287     -24.8526
1bcu_ligand_289     -52.7462
1bcu_ligand_300     -37.2257
1bcu_ligand_301     -30.9398
1bcu_ligand_302     -33.2945
1bcu_ligand_308     -37.5301
1bcu_ligand_310     -36.3404
1bcu_ligand_311     -38.5904
1bcu_ligand_323     -37.7084
1bcu_ligand_332     -42.6717
1bcu_ligand_335     -39.6804
1bcu_ligand_341     -37.8536
1bcu_ligand_345     -37.8795
1bcu_ligand_350     -43.6969
1bcu_ligand_351     -24.9160
1bcu_ligand_352     -14.6027
1bcu_ligand_353     -41.7037
1bcu_ligand_355     -30.2186
1bcu_ligand_356     -48.2764
1bcu_ligand_358     -31.1347
1bcu_ligand_359     -45.4077
1bcu_ligand_360     -32.3763
1bcu_ligand_362     -32.4718
1bcu_ligand_363     -32.1456
1bcu_ligand_365     -8.9733 
1bcu_ligand_367     -35.9293
1bcu_ligand_368     -23.5668
1bcu_ligand_370     -18.4291
1bcu_ligand_371     -18.9832
1bcu_ligand_372     -10.8519
1bcu_ligand_373     -11.8783
1bcu_ligand_374     -17.3245
1bcu_ligand_375     -1.5262 
1bcu_ligand_376     -12.6278
1bcu_ligand_378     0.1828  
1bcu_ligand_380     -21.3451
1bcu_ligand_381     -17.8806
1bcu_ligand_383     4.0628  
1bcu_ligand_385     -42.2505
1bcu_ligand_386     -13.6848
1bcu_ligand_387     -11.9762
1bcu_ligand_388     -30.0318
1bcu_ligand_389     -36.7764
1bcu_ligand_390     -7.1624 
1bcu_ligand_392     -4.2988 
1bcu_ligand_393     -15.8401
1bcu_ligand_394     -22.7047
1bcu_ligand_395     -11.2891
1bcu_ligand_396     -23.1034
1bcu_ligand_397     -9.1942 
1bcu_ligand_398     -13.9009
1bcu_ligand_407     -42.9528
1bcu_ligand_412     -47.0253
1bcu_ligand_414     -44.7929
1bcu_ligand_417     -28.6183
1bcu_ligand_420     -45.4149
1bcu_ligand_421     -48.4397
1bcu_ligand_422     -34.1521
1bcu_ligand_425     -37.1839
1bcu_ligand_432     -29.7010
1bcu_ligand_435     -56.1086
1bcu_ligand_436     -36.4575
1bcu_ligand_437     -28.5020
1bcu_ligand_442     -32.4766
1bcu_ligand_445     -36.0736
1bcu_ligand_446     -37.6600
1bcu_ligand_447     -31.3160
1bcu_ligand_448     -41.3087
1bcu_ligand_449     -10.9346
1bcu_ligand_45      -59.5602
1bcu_ligand_450     -41.5043
1bcu_ligand_451     -44.5221
1bcu_ligand_454     -43.5812
1bcu_ligand_464     -45.3831
1bcu_ligand_467     -33.9699
1bcu_ligand_471     -52.8407
1bcu_ligand_479     -32.4687
1bcu_ligand_480     -31.3350
1bcu_ligand_485     -52.3470
1bcu_ligand_49      -55.9277
1bcu_ligand_493     -41.6328
1bcu_ligand_495     -40.0264
1bcu_ligand_497     -26.2630
1bcu_ligand_79      -58.5315
1bcu_ligand_88      -58.7963
1bzc_ligand_108     -59.4823
1bzc_ligand_132     -55.1907
1bzc_ligand_142     -72.4180
1bzc_ligand_151     21.5716 
1bzc_ligand_163     18.0270 
1bzc_ligand_164     -5.3294 
1bzc_ligand_165     11.8811 
1bzc_ligand_166     4.6389  
1bzc_ligand_167     10.4769 
1bzc_ligand_170     25.6346 
1bzc_ligand_173     22.9460 
1bzc_ligand_174     -27.3472
1bzc_ligand_177     4.2366  
1bzc_ligand_178     -3.9437 
1bzc_ligand_179     1.5987  
1bzc_ligand_18      -76.9243
1bzc_ligand_181     24.8083 
1bzc_ligand_183     -27.3092
1bzc_ligand_185     -30.5743
1bzc_ligand_190     -4.5255 
1bzc_ligand_192     -33.0755
1bzc_ligand_196     5.5478  
1bzc_ligand_198     50.1921 
1bzc_ligand_201     -55.8035
1bzc_ligand_203     -29.4123
1bzc_ligand_204     -63.4911
1bzc_ligand_205     -13.9723
1bzc_ligand_206     -46.1365
1bzc_ligand_208     -14.1918
1bzc_ligand_209     -20.2223
1bzc_ligand_212     -50.0815
1bzc_ligand_215     -22.3359
1bzc_ligand_217     -43.3076
1bzc_ligand_219     -33.6504
1bzc_ligand_221     -27.2683
1bzc_ligand_222     -44.7723
1bzc_ligand_223     -22.9132
1bzc_ligand_224     -28.5450
1bzc_ligand_226     -41.9592
1bzc_ligand_228     -14.6044
1bzc_ligand_229     -29.5546
1bzc_ligand_230     -22.4886
