#code_ligand_num    score   
1a30_ligand_100     -60.8691
1a30_ligand_118     -77.5909
1a30_ligand_119     -9.3014 
1a30_ligand_12      -80.9871
1a30_ligand_120     -83.5400
1a30_ligand_121     -80.1199
1a30_ligand_123     -52.8950
1a30_ligand_126     -40.6571
1a30_ligand_13      -79.5188
1a30_ligand_130     -38.8867
1a30_ligand_131     -82.8429
1a30_ligand_14      -82.4430
1a30_ligand_140     -73.1941
1a30_ligand_143     -53.6329
1a30_ligand_148     -57.9723
1a30_ligand_15      -74.1339
1a30_ligand_152     70.2506 
1a30_ligand_155     45.7072 
1a30_ligand_159     18.5838 
1a30_ligand_16      -124.3842
1a30_ligand_160     16.2144 
1a30_ligand_164     25.4769 
1a30_ligand_17      -86.7190
1a30_ligand_171     40.9971 
1a30_ligand_175     72.3427 
1a30_ligand_176     9.9994  
1a30_ligand_177     21.5865 
1a30_ligand_178     88.7653 
1a30_ligand_182     15.1614 
1a30_ligand_183     55.8445 
1a30_ligand_194     68.6912 
1a30_ligand_200     10.6224 
1a30_ligand_201     -82.9619
1a30_ligand_203     -92.0619
1a30_ligand_209     0.3943  
1a30_ligand_210     -70.1961
1a30_ligand_213     -75.0845
1a30_ligand_216     -78.3334
1a30_ligand_220     -68.0889
1a30_ligand_221     -64.2903
1a30_ligand_222     -68.2603
1a30_ligand_223     -83.4944
1a30_ligand_232     -57.1526
1a30_ligand_235     -12.6733
1a30_ligand_236     -59.9307
1a30_ligand_237     -71.8411
1a30_ligand_238     -55.8206
1a30_ligand_239     -96.2719
1a30_ligand_240     -61.3755
1a30_ligand_241     -32.9328
1a30_ligand_243     -71.0354
1a30_ligand_244     -22.3338
1a30_ligand_245     -78.3032
1a30_ligand_246     -66.1812
1a30_ligand_247     -27.7189
1a30_ligand_250     -57.4530
1a30_ligand_251     -26.1148
1a30_ligand_259     -13.2287
1a30_ligand_261     -8.5620 
1a30_ligand_267     -51.4881
1a30_ligand_27      -68.2761
1a30_ligand_274     4.9821  
1a30_ligand_283     -77.2655
1a30_ligand_289     24.3259 
1a30_ligand_292     32.3191 
1a30_ligand_296     22.0047 
1a30_ligand_301     -44.8295
1a30_ligand_303     -27.9409
1a30_ligand_306     -11.9768
1a30_ligand_311     -21.8990
1a30_ligand_314     -33.5520
1a30_ligand_32      -65.1842
1a30_ligand_326     -9.1588 
1a30_ligand_330     -30.2287
1a30_ligand_331     -34.1092
1a30_ligand_335     -72.5903
1a30_ligand_338     21.4803 
1a30_ligand_34      -109.1129
1a30_ligand_340     -10.2919
1a30_ligand_350     -88.3565
1a30_ligand_369     -49.3616
1a30_ligand_38      -84.5453
1a30_ligand_383     -68.5343
1a30_ligand_40      -84.1326
1a30_ligand_443     -75.8806
1a30_ligand_48      -75.2414
1a30_ligand_52      -50.5952
1a30_ligand_54      -61.8746
1a30_ligand_58      -38.0588
1a30_ligand_69      -67.5791
1a30_ligand_7       -90.4522
1a30_ligand_71      -39.6792
1a30_ligand_77      -26.6933
1a30_ligand_8       -63.2600
1a30_ligand_83      -66.4856
1a30_ligand_84      -93.3493
1a30_ligand_86      -55.6872
1a30_ligand_97      -60.7847
1a30_ligand_98      -62.0129
1a30_ligand_99      -51.3825
1bcu_ligand_106     -33.0993
1bcu_ligand_110     7.3244  
1bcu_ligand_131     -42.6512
1bcu_ligand_136     -42.6028
