#code_ligand_num    score   
1a30_ligand_10      -173.4724
1a30_ligand_101     -59.4257
1a30_ligand_102     -114.4992
1a30_ligand_103     -115.1487
1a30_ligand_110     -112.8224
1a30_ligand_126     -100.9926
1a30_ligand_129     -93.6480
1a30_ligand_130     -189.8794
1a30_ligand_132     -85.0204
1a30_ligand_134     -153.1336
1a30_ligand_139     -113.3115
1a30_ligand_140     -145.7639
1a30_ligand_142     -87.0382
1a30_ligand_145     -101.2298
1a30_ligand_146     -78.1070
1a30_ligand_148     -108.4000
1a30_ligand_15      -152.4876
1a30_ligand_150     -132.7299
1a30_ligand_153     -143.6555
1a30_ligand_158     -121.5540
1a30_ligand_162     -155.9991
1a30_ligand_163     -173.7462
1a30_ligand_166     -182.2661
1a30_ligand_167     -170.1976
1a30_ligand_17      -131.9960
1a30_ligand_174     -133.7228
1a30_ligand_185     -197.0474
1a30_ligand_186     -159.6413
1a30_ligand_198     -118.3544
1a30_ligand_203     -90.8104
1a30_ligand_208     -55.1965
1a30_ligand_209     -104.5910
1a30_ligand_21      -197.4952
1a30_ligand_212     -132.0688
1a30_ligand_213     -66.8789
1a30_ligand_214     -100.1358
1a30_ligand_215     -71.6138
1a30_ligand_217     -84.1892
1a30_ligand_218     -65.4551
1a30_ligand_223     -74.2747
1a30_ligand_224     -93.8704
1a30_ligand_225     -83.0736
1a30_ligand_228     -38.2782
1a30_ligand_23      -155.7786
1a30_ligand_230     -74.2813
1a30_ligand_231     -95.3969
1a30_ligand_232     -68.3366
1a30_ligand_235     -99.4229
1a30_ligand_240     -37.1503
1a30_ligand_242     -97.6696
1a30_ligand_243     -60.6505
1a30_ligand_245     -98.5171
1a30_ligand_246     -73.3701
1a30_ligand_248     -48.6699
1a30_ligand_254     -152.1830
1a30_ligand_259     -144.2768
1a30_ligand_260     -159.7518
1a30_ligand_263     -142.8476
1a30_ligand_265     -131.2582
1a30_ligand_266     -123.4883
1a30_ligand_267     -104.9005
1a30_ligand_27      -155.6143
1a30_ligand_273     -115.9072
1a30_ligand_278     -141.4157
1a30_ligand_28      -197.1288
1a30_ligand_282     -119.1627
1a30_ligand_289     -121.2495
1a30_ligand_291     -97.7984
1a30_ligand_292     -118.9488
1a30_ligand_293     -83.1881
1a30_ligand_298     -134.5135
1a30_ligand_300     -180.5427
1a30_ligand_301     -97.8398
1a30_ligand_305     -159.9427
1a30_ligand_309     -125.6998
1a30_ligand_31      -168.0205
1a30_ligand_310     -131.3416
1a30_ligand_319     -163.2983
1a30_ligand_32      -106.2586
1a30_ligand_324     -94.9062
1a30_ligand_326     -99.3710
1a30_ligand_328     -139.7515
1a30_ligand_335     -154.2793
1a30_ligand_345     -94.7093
1a30_ligand_35      -182.5044
1a30_ligand_44      -189.6377
1a30_ligand_47      -152.2132
1a30_ligand_51      -171.8035
1a30_ligand_59      -73.1516
1a30_ligand_61      -74.7340
1a30_ligand_63      -78.3562
1a30_ligand_67      -85.0807
1a30_ligand_68      -70.2429
1a30_ligand_73      -74.4772
1a30_ligand_77      -105.5164
1a30_ligand_78      -66.4410
1a30_ligand_85      -93.8492
1a30_ligand_87      -91.9060
1a30_ligand_94      -34.1474
1a30_ligand_96      -56.2410
1bcu_ligand_111     -49.5395
1bcu_ligand_112     -92.0359
1bcu_ligand_120     -108.1228
1bcu_ligand_124     -86.4041
1bcu_ligand_131     -82.4385
1bcu_ligand_167     -110.8472
1bcu_ligand_172     -115.6035
1bcu_ligand_179     -99.9321
1bcu_ligand_184     -104.2129
1bcu_ligand_188     -73.4162
1bcu_ligand_196     -74.8576
1bcu_ligand_2       -117.1539
1bcu_ligand_202     -90.8305
1bcu_ligand_207     -102.4435
1bcu_ligand_211     -58.9264
1bcu_ligand_213     -88.6817
1bcu_ligand_215     -51.2099
1bcu_ligand_217     -98.8902
1bcu_ligand_219     -81.4113
1bcu_ligand_221     -59.5977
1bcu_ligand_222     -60.4080
1bcu_ligand_224     -72.8930
1bcu_ligand_226     -57.1596
1bcu_ligand_227     -46.7139
1bcu_ligand_228     -91.4647
1bcu_ligand_236     -57.9641
1bcu_ligand_237     -53.0901
1bcu_ligand_239     -47.4485
1bcu_ligand_243     -58.5124
1bcu_ligand_244     -60.6977
1bcu_ligand_263     -46.9325
1bcu_ligand_265     -32.1039
1bcu_ligand_269     -46.8422
1bcu_ligand_270     -72.5628
