#code_ligand_num    score   
1a30_ligand_10      5.41    
1a30_ligand_100     5.68    
1a30_ligand_104     5.69    
1a30_ligand_106     5.61    
1a30_ligand_110     5.65    
1a30_ligand_115     5.36    
1a30_ligand_120     4.97    
1a30_ligand_121     5.60    
1a30_ligand_122     5.50    
1a30_ligand_124     5.89    
1a30_ligand_125     5.64    
1a30_ligand_127     5.86    
1a30_ligand_14      4.86    
1a30_ligand_140     5.50    
1a30_ligand_15      5.38    
1a30_ligand_152     5.26    
1a30_ligand_16      5.18    
1a30_ligand_162     5.65    
1a30_ligand_164     5.47    
1a30_ligand_171     5.43    
1a30_ligand_173     5.00    
1a30_ligand_179     5.45    
1a30_ligand_183     5.21    
1a30_ligand_19      5.24    
1a30_ligand_197     5.49    
1a30_ligand_203     4.46    
1a30_ligand_204     4.84    
1a30_ligand_205     4.67    
1a30_ligand_207     5.20    
1a30_ligand_209     5.00    
1a30_ligand_215     4.90    
1a30_ligand_220     5.12    
1a30_ligand_222     4.92    
1a30_ligand_224     4.99    
1a30_ligand_226     4.73    
1a30_ligand_227     4.65    
1a30_ligand_229     5.13    
1a30_ligand_231     5.40    
1a30_ligand_235     4.88    
1a30_ligand_236     4.94    
1a30_ligand_24      5.41    
1a30_ligand_240     5.05    
1a30_ligand_241     4.73    
1a30_ligand_262     5.28    
1a30_ligand_265     5.38    
1a30_ligand_268     4.89    
1a30_ligand_27      5.70    
1a30_ligand_279     5.51    
1a30_ligand_28      5.18    
1a30_ligand_283     5.30    
1a30_ligand_285     5.33    
1a30_ligand_289     5.33    
1a30_ligand_290     4.84    
1a30_ligand_296     5.32    
1a30_ligand_30      5.35    
1a30_ligand_300     5.13    
1a30_ligand_301     5.10    
1a30_ligand_302     5.31    
1a30_ligand_31      5.02    
1a30_ligand_310     5.30    
1a30_ligand_313     4.64    
1a30_ligand_314     5.18    
1a30_ligand_317     5.41    
1a30_ligand_319     5.04    
1a30_ligand_320     5.20    
1a30_ligand_323     5.13    
1a30_ligand_327     5.30    
1a30_ligand_33      5.57    
1a30_ligand_330     5.02    
1a30_ligand_332     5.24    
1a30_ligand_335     5.14    
1a30_ligand_337     5.38    
1a30_ligand_341     5.33    
1a30_ligand_346     5.15    
1a30_ligand_349     4.80    
1a30_ligand_35      5.49    
1a30_ligand_369     5.76    
1a30_ligand_378     5.82    
1a30_ligand_38      5.24    
1a30_ligand_387     5.72    
1a30_ligand_4       5.17    
1a30_ligand_403     5.56    
1a30_ligand_42      4.74    
1a30_ligand_441     4.63    
1a30_ligand_446     5.41    
1a30_ligand_463     5.89    
1a30_ligand_48      5.43    
1a30_ligand_490     4.94    
1a30_ligand_5       4.97    
1a30_ligand_54      5.18    
1a30_ligand_59      5.51    
1a30_ligand_61      5.40    
1a30_ligand_64      5.09    
1a30_ligand_66      4.72    
1a30_ligand_68      5.66    
1a30_ligand_70      5.02    
1a30_ligand_8       5.13    
1a30_ligand_86      5.73    
1a30_ligand_87      5.49    
1a30_ligand_9       5.29    
1bcu_ligand_122     6.21    
1bcu_ligand_137     6.35    
1bcu_ligand_154     5.98    
1bcu_ligand_158     6.02    
1bcu_ligand_160     6.10    
1bcu_ligand_167     5.89    
1bcu_ligand_168     6.03    
1bcu_ligand_199     6.17    
1bcu_ligand_202     6.31    
1bcu_ligand_214     5.98    
1bcu_ligand_215     6.33    
1bcu_ligand_223     6.11    
1bcu_ligand_227     6.18    
1bcu_ligand_231     6.05    
1bcu_ligand_233     6.12    
1bcu_ligand_234     6.23    
1bcu_ligand_241     6.11    
1bcu_ligand_259     6.10    
1bcu_ligand_277     6.14    
1bcu_ligand_283     5.93    
1bcu_ligand_284     5.68    
1bcu_ligand_285     6.04    
1bcu_ligand_301     5.71    
1bcu_ligand_309     6.05    
1bcu_ligand_310     5.81    
