#code_ligand_num    score   
1a30_ligand_100     5.48    
1a30_ligand_103     5.36    
1a30_ligand_104     5.11    
1a30_ligand_11      5.45    
1a30_ligand_114     4.60    
1a30_ligand_123     5.64    
1a30_ligand_128     4.97    
1a30_ligand_130     5.51    
1a30_ligand_137     5.44    
1a30_ligand_146     5.46    
1a30_ligand_15      5.38    
1a30_ligand_150     5.58    
1a30_ligand_153     5.34    
1a30_ligand_155     5.47    
1a30_ligand_169     5.11    
1a30_ligand_174     5.41    
1a30_ligand_18      5.07    
1a30_ligand_194     5.20    
1a30_ligand_201     5.25    
1a30_ligand_204     4.77    
1a30_ligand_208     5.03    
1a30_ligand_209     5.31    
1a30_ligand_211     5.20    
1a30_ligand_212     4.86    
1a30_ligand_213     5.20    
1a30_ligand_218     4.74    
1a30_ligand_220     4.57    
1a30_ligand_221     4.73    
1a30_ligand_222     5.00    
1a30_ligand_224     4.92    
1a30_ligand_229     4.80    
1a30_ligand_234     4.98    
1a30_ligand_240     4.70    
1a30_ligand_25      5.31    
1a30_ligand_250     4.95    
1a30_ligand_257     5.21    
1a30_ligand_26      5.31    
1a30_ligand_261     5.20    
1a30_ligand_266     4.75    
1a30_ligand_267     4.90    
1a30_ligand_268     5.11    
1a30_ligand_27      5.33    
1a30_ligand_270     5.38    
1a30_ligand_273     5.48    
1a30_ligand_275     5.20    
1a30_ligand_289     5.02    
1a30_ligand_29      5.29    
1a30_ligand_291     4.79    
1a30_ligand_292     5.27    
1a30_ligand_295     4.99    
1a30_ligand_298     5.45    
1a30_ligand_3       5.31    
1a30_ligand_30      5.05    
1a30_ligand_301     4.78    
1a30_ligand_303     5.24    
1a30_ligand_304     5.30    
1a30_ligand_307     4.98    
1a30_ligand_326     4.69    
1a30_ligand_337     4.83    
1a30_ligand_338     4.79    
1a30_ligand_34      4.64    
1a30_ligand_341     5.15    
1a30_ligand_346     5.07    
1a30_ligand_348     5.35    
1a30_ligand_353     5.63    
1a30_ligand_356     5.35    
1a30_ligand_36      5.44    
1a30_ligand_362     5.42    
1a30_ligand_369     5.68    
1a30_ligand_370     5.64    
1a30_ligand_377     5.45    
1a30_ligand_387     5.51    
1a30_ligand_39      5.32    
1a30_ligand_418     5.06    
1a30_ligand_419     5.51    
1a30_ligand_425     4.98    
1a30_ligand_428     5.53    
1a30_ligand_435     4.91    
1a30_ligand_44      5.35    
1a30_ligand_447     5.26    
1a30_ligand_449     5.23    
1a30_ligand_45      5.10    
1a30_ligand_46      5.13    
1a30_ligand_47      5.15    
1a30_ligand_48      5.36    
1a30_ligand_491     5.28    
1a30_ligand_492     5.06    
1a30_ligand_498     5.07    
1a30_ligand_50      5.20    
1a30_ligand_53      4.95    
1a30_ligand_56      5.25    
1a30_ligand_58      4.77    
1a30_ligand_61      4.55    
1a30_ligand_62      4.82    
1a30_ligand_63      5.27    
1a30_ligand_66      5.40    
1a30_ligand_81      5.04    
1a30_ligand_86      5.02    
1a30_ligand_88      5.24    
1a30_ligand_93      5.12    
1bcu_ligand_137     6.07    
1bcu_ligand_167     5.71    
1bcu_ligand_170     5.77    
1bcu_ligand_171     5.54    
1bcu_ligand_172     5.59    
1bcu_ligand_178     5.77    
1bcu_ligand_207     5.98    
1bcu_ligand_209     5.59    
1bcu_ligand_216     5.67    
1bcu_ligand_221     5.68    
1bcu_ligand_226     5.71    
1bcu_ligand_228     5.84    
1bcu_ligand_230     5.92    
1bcu_ligand_232     5.87    
1bcu_ligand_234     6.06    
1bcu_ligand_235     6.27    
1bcu_ligand_237     5.63    
1bcu_ligand_238     5.63    
1bcu_ligand_259     5.88    
1bcu_ligand_260     6.08    
1bcu_ligand_262     5.61    
1bcu_ligand_272     5.45    
1bcu_ligand_273     5.93    
1bcu_ligand_277     5.64    
1bcu_ligand_282     5.79    
1bcu_ligand_307     5.88    
1bcu_ligand_308     5.91    
1bcu_ligand_310     5.87    
1bcu_ligand_311     5.84    
1bcu_ligand_314     5.79    
1bcu_ligand_315     5.65    
1bcu_ligand_320     5.85    
1bcu_ligand_325     6.01    
1bcu_ligand_327     6.05    
1bcu_ligand_336     5.43    
1bcu_ligand_337     5.57    
1bcu_ligand_340     5.72    
1bcu_ligand_343     5.75    
1bcu_ligand_344     6.05    
1bcu_ligand_352     5.22    
1bcu_ligand_353     5.13    
1bcu_ligand_355     5.79    
1bcu_ligand_357     5.32    
1bcu_ligand_358     5.72    
1bcu_ligand_360     5.17    
1bcu_ligand_361     5.23    
1bcu_ligand_362     5.66    
1bcu_ligand_363     5.31    
1bcu_ligand_365     5.05    
1bcu_ligand_367     4.71    
1bcu_ligand_368     4.85    
1bcu_ligand_369     4.85    
1bcu_ligand_370     5.11    
1bcu_ligand_373     4.93    
1bcu_ligand_374     4.95    
1bcu_ligand_375     4.83    
1bcu_ligand_377     5.20    
1bcu_ligand_378     5.03    
1bcu_ligand_379     4.95    
1bcu_ligand_381     4.81    
1bcu_ligand_383     4.67    
1bcu_ligand_385     4.66    
1bcu_ligand_386     5.08    
1bcu_ligand_387     5.11    
1bcu_ligand_388     4.72    
1bcu_ligand_390     4.91    
1bcu_ligand_391     4.68    
1bcu_ligand_392     4.87    
1bcu_ligand_394     4.81    
1bcu_ligand_396     5.36    
1bcu_ligand_398     5.01    
1bcu_ligand_399     4.66    
1bcu_ligand_400     4.57    
1bcu_ligand_409     4.84    
1bcu_ligand_410     5.63    
1bcu_ligand_412     5.11    
1bcu_ligand_415     5.12    
1bcu_ligand_416     5.21    
1bcu_ligand_420     5.56    
1bcu_ligand_421     5.48    
1bcu_ligand_429     5.33    
1bcu_ligand_432     5.35    
1bcu_ligand_433     5.37    
1bcu_ligand_444     5.05    
1bcu_ligand_445     5.65    
1bcu_ligand_446     5.26    
1bcu_ligand_451     6.37    
1bcu_ligand_452     5.67    
1bcu_ligand_459     6.07    
1bcu_ligand_467     5.62    
1bcu_ligand_472     5.62    
1bcu_ligand_473     5.98    
1bcu_ligand_474     5.43    
1bcu_ligand_481     4.95    
1bcu_ligand_494     5.09    
1bcu_ligand_499     5.13    
1bcu_ligand_500     5.24    
1bcu_ligand_68      6.03    
1bcu_ligand_7       6.02    
1bcu_ligand_97      5.85    
1bzc_ligand_10      5.51    
1bzc_ligand_102     5.59    
1bzc_ligand_108     5.63    
1bzc_ligand_11      6.00    
1bzc_ligand_110     5.93    
1bzc_ligand_115     5.49    
1bzc_ligand_119     5.58    
1bzc_ligand_125     5.47    
1bzc_ligand_126     5.63    
1bzc_ligand_127     5.34    
1bzc_ligand_128     5.45    
1bzc_ligand_131     6.05    
1bzc_ligand_133     5.84    
1bzc_ligand_140     6.15    
1bzc_ligand_144     5.04    
1bzc_ligand_146     5.52    
1bzc_ligand_149     5.75    
1bzc_ligand_15      5.44    
1bzc_ligand_151     6.16    
1bzc_ligand_157     6.03    
1bzc_ligand_158     6.10    
1bzc_ligand_176     6.18    
1bzc_ligand_178     6.17    
1bzc_ligand_188     6.30    
1bzc_ligand_191     6.32    
1bzc_ligand_197     5.51    
1bzc_ligand_198     6.22    
1bzc_ligand_202     5.61    
1bzc_ligand_203     5.56    
1bzc_ligand_207     5.15    
1bzc_ligand_210     5.69    
1bzc_ligand_212     5.18    
1bzc_ligand_214     5.12    
1bzc_ligand_216     5.49    
1bzc_ligand_222     5.53    
1bzc_ligand_225     5.01    
1bzc_ligand_232     5.53    
1bzc_ligand_233     5.55    
1bzc_ligand_235     5.20    
1bzc_ligand_236     5.49    
1bzc_ligand_238     5.25    
1bzc_ligand_240     5.18    
1bzc_ligand_244     5.28    
1bzc_ligand_245     5.29    
1bzc_ligand_248     5.41    
1bzc_ligand_25      5.48    
1bzc_ligand_255     5.77    
1bzc_ligand_259     5.58    
1bzc_ligand_262     5.62    
1bzc_ligand_267     5.32    
1bzc_ligand_271     6.25    
1bzc_ligand_274     5.29    
1bzc_ligand_289     6.47    
1bzc_ligand_291     5.39    
1bzc_ligand_292     5.44    
1bzc_ligand_293     5.43    
1bzc_ligand_295     5.99    
1bzc_ligand_299     6.08    
1bzc_ligand_30      5.25    
1bzc_ligand_300     5.78    
1bzc_ligand_308     5.97    
1bzc_ligand_314     5.74    
1bzc_ligand_315     6.20    
1bzc_ligand_323     5.18    
1bzc_ligand_326     5.49    
1bzc_ligand_331     6.08    
1bzc_ligand_332     5.98    
1bzc_ligand_334     5.82    
1bzc_ligand_336     5.55    
1bzc_ligand_339     5.58    
1bzc_ligand_340     6.27    
1bzc_ligand_351     6.31    
1bzc_ligand_366     5.33    
1bzc_ligand_369     5.45    
1bzc_ligand_37      4.89    
1bzc_ligand_382     5.93    
1bzc_ligand_384     5.54    
1bzc_ligand_389     5.51    
1bzc_ligand_398     5.14    
1bzc_ligand_40      5.76    
1bzc_ligand_43      5.55    
1bzc_ligand_436     5.52    
1bzc_ligand_438     5.69    
1bzc_ligand_44      5.59    
1bzc_ligand_451     5.37    
1bzc_ligand_463     5.69    
1bzc_ligand_468     5.46    
1bzc_ligand_470     5.24    
1bzc_ligand_474     6.18    
1bzc_ligand_479     5.76    
1bzc_ligand_52      5.24    
1bzc_ligand_56      5.73    
1bzc_ligand_58      4.71    
1bzc_ligand_59      6.05    
1bzc_ligand_6       5.22    
1bzc_ligand_66      4.72    
1bzc_ligand_67      5.82    
1bzc_ligand_68      5.50    
1bzc_ligand_72      5.51    
1bzc_ligand_87      5.74    
1c5z_ligand_111     5.46    
1c5z_ligand_117     5.11    
1c5z_ligand_12      5.45    
1c5z_ligand_143     5.20    
1c5z_ligand_152     5.11    
1c5z_ligand_153     5.04    
1c5z_ligand_162     5.18    
1c5z_ligand_163     5.24    
1c5z_ligand_164     5.25    
1c5z_ligand_165     5.19    
1c5z_ligand_168     5.06    
1c5z_ligand_169     5.22    
1c5z_ligand_170     5.24    
1c5z_ligand_172     5.06    
1c5z_ligand_174     5.23    
1c5z_ligand_177     5.29    
1c5z_ligand_179     5.15    
1c5z_ligand_181     5.32    
1c5z_ligand_189     5.01    
1c5z_ligand_191     5.37    
1c5z_ligand_192     5.04    
1c5z_ligand_194     5.27    
1c5z_ligand_198     5.45    
1c5z_ligand_204     5.40    
1c5z_ligand_207     5.24    
1c5z_ligand_209     5.30    
1c5z_ligand_211     5.33    
1c5z_ligand_213     5.40    
1c5z_ligand_218     5.26    
1c5z_ligand_225     5.47    
1c5z_ligand_227     5.13    
1c5z_ligand_231     5.44    
1c5z_ligand_232     5.50    
1c5z_ligand_233     5.32    
1c5z_ligand_234     5.33    
1c5z_ligand_238     5.16    
1c5z_ligand_239     5.30    
1c5z_ligand_240     5.23    
1c5z_ligand_246     5.37    
