#code_ligand_num    score   
1a30_ligand_10      5.84    
1a30_ligand_103     5.21    
1a30_ligand_106     5.84    
1a30_ligand_107     5.61    
1a30_ligand_111     5.96    
1a30_ligand_119     5.87    
1a30_ligand_121     5.88    
1a30_ligand_123     5.93    
1a30_ligand_128     5.44    
1a30_ligand_130     5.67    
1a30_ligand_159     5.28    
1a30_ligand_163     5.40    
1a30_ligand_167     5.49    
1a30_ligand_173     5.51    
1a30_ligand_176     5.74    
1a30_ligand_179     5.59    
1a30_ligand_181     5.46    
1a30_ligand_182     5.48    
1a30_ligand_195     5.46    
1a30_ligand_209     5.18    
1a30_ligand_214     5.72    
1a30_ligand_217     5.18    
1a30_ligand_22      5.73    
1a30_ligand_220     5.30    
1a30_ligand_221     5.16    
1a30_ligand_222     4.67    
1a30_ligand_223     5.07    
1a30_ligand_224     5.70    
1a30_ligand_228     5.09    
1a30_ligand_230     5.17    
1a30_ligand_232     5.30    
1a30_ligand_235     4.98    
1a30_ligand_236     6.03    
1a30_ligand_238     5.52    
1a30_ligand_239     4.76    
1a30_ligand_247     5.22    
1a30_ligand_257     5.08    
1a30_ligand_258     5.64    
1a30_ligand_259     5.24    
1a30_ligand_264     5.62    
1a30_ligand_266     5.55    
1a30_ligand_279     5.49    
1a30_ligand_284     5.71    
1a30_ligand_288     5.13    
1a30_ligand_29      6.11    
1a30_ligand_291     5.15    
1a30_ligand_292     5.04    
1a30_ligand_294     5.23    
1a30_ligand_300     5.93    
1a30_ligand_305     5.13    
1a30_ligand_306     5.41    
1a30_ligand_313     5.03    
1a30_ligand_315     4.98    
1a30_ligand_321     4.93    
1a30_ligand_324     4.98    
1a30_ligand_325     5.00    
1a30_ligand_326     5.08    
1a30_ligand_33      5.83    
1a30_ligand_330     5.31    
1a30_ligand_336     4.98    
1a30_ligand_34      5.97    
1a30_ligand_340     5.22    
1a30_ligand_342     5.10    
1a30_ligand_349     5.45    
1a30_ligand_352     5.14    
1a30_ligand_36      5.74    
1a30_ligand_364     5.32    
1a30_ligand_365     5.38    
1a30_ligand_366     5.34    
1a30_ligand_370     5.71    
1a30_ligand_371     5.71    
1a30_ligand_38      5.88    
1a30_ligand_382     5.44    
1a30_ligand_383     5.67    
1a30_ligand_387     5.98    
1a30_ligand_394     5.87    
1a30_ligand_397     5.49    
1a30_ligand_399     5.79    
1a30_ligand_4       5.36    
1a30_ligand_408     5.82    
1a30_ligand_41      5.50    
1a30_ligand_417     5.77    
1a30_ligand_429     5.44    
1a30_ligand_448     5.39    
1a30_ligand_449     5.27    
1a30_ligand_45      5.57    
1a30_ligand_48      5.75    
1a30_ligand_483     5.68    
1a30_ligand_49      5.65    
1a30_ligand_50      5.90    
1a30_ligand_56      5.52    
1a30_ligand_58      5.71    
1a30_ligand_61      5.67    
1a30_ligand_71      5.79    
1a30_ligand_74      5.43    
1a30_ligand_78      5.90    
1a30_ligand_81      5.38    
1a30_ligand_83      5.67    
1a30_ligand_9       5.73    
1a30_ligand_96      5.66    
1bcu_ligand_152     5.89    
1bcu_ligand_153     5.92    
1bcu_ligand_155     5.81    
1bcu_ligand_161     5.78    
1bcu_ligand_171     5.93    
1bcu_ligand_176     5.95    
1bcu_ligand_185     5.73    
1bcu_ligand_186     6.09    
1bcu_ligand_187     6.16    
1bcu_ligand_194     5.87    
1bcu_ligand_197     6.15    
1bcu_ligand_204     6.12    
1bcu_ligand_210     6.25    
1bcu_ligand_225     6.27    
1bcu_ligand_232     6.19    
1bcu_ligand_235     6.33    
1bcu_ligand_236     6.20    
1bcu_ligand_241     6.15    
1bcu_ligand_248     6.16    
1bcu_ligand_249     6.08    
1bcu_ligand_252     5.62    
1bcu_ligand_254     5.30    
1bcu_ligand_259     5.59    
1bcu_ligand_266     6.22    
1bcu_ligand_270     6.15    
1bcu_ligand_277     5.50    
1bcu_ligand_284     6.05    
1bcu_ligand_294     5.52    
1bcu_ligand_296     5.89    
1bcu_ligand_302     5.70    
1bcu_ligand_303     6.27    
1bcu_ligand_308     5.62    
1bcu_ligand_309     5.50    
1bcu_ligand_312     5.78    
1bcu_ligand_316     6.01    
1bcu_ligand_317     6.24    
1bcu_ligand_319     6.24    
1bcu_ligand_325     6.13    
1bcu_ligand_327     6.23    
1bcu_ligand_335     6.19    
1bcu_ligand_337     6.22    
1bcu_ligand_338     6.19    
1bcu_ligand_340     6.14    
1bcu_ligand_341     6.09    
1bcu_ligand_349     5.66    
1bcu_ligand_351     6.39    
1bcu_ligand_355     6.29    
1bcu_ligand_356     5.46    
1bcu_ligand_358     5.48    
1bcu_ligand_362     5.67    
1bcu_ligand_363     6.22    
1bcu_ligand_365     6.13    
1bcu_ligand_366     5.63    
1bcu_ligand_367     6.16    
1bcu_ligand_372     5.51    
1bcu_ligand_373     6.13    
1bcu_ligand_374     6.07    
1bcu_ligand_376     5.44    
1bcu_ligand_377     5.49    
1bcu_ligand_378     5.98    
1bcu_ligand_379     6.12    
1bcu_ligand_380     6.12    
1bcu_ligand_381     6.24    
1bcu_ligand_382     5.80    
1bcu_ligand_384     5.83    
1bcu_ligand_385     5.53    
1bcu_ligand_386     5.44    
1bcu_ligand_387     5.49    
1bcu_ligand_388     5.61    
1bcu_ligand_389     5.46    
1bcu_ligand_391     6.08    
1bcu_ligand_392     5.99    
1bcu_ligand_393     5.80    
1bcu_ligand_395     5.77    
1bcu_ligand_396     6.18    
1bcu_ligand_397     5.57    
1bcu_ligand_398     6.25    
1bcu_ligand_399     6.15    
1bcu_ligand_400     5.38    
1bcu_ligand_405     5.52    
1bcu_ligand_406     5.99    
1bcu_ligand_408     6.40    
1bcu_ligand_409     5.52    
1bcu_ligand_412     6.33    
1bcu_ligand_421     5.60    
1bcu_ligand_429     6.13    
1bcu_ligand_434     6.18    
1bcu_ligand_441     6.25    
1bcu_ligand_447     5.51    
1bcu_ligand_448     5.62    
1bcu_ligand_453     6.26    
1bcu_ligand_456     6.26    
1bcu_ligand_467     6.15    
1bcu_ligand_486     5.53    
1bcu_ligand_487     6.12    
1bcu_ligand_489     6.22    
1bcu_ligand_491     5.44    
1bcu_ligand_495     5.95    
1bcu_ligand_499     5.27    
1bcu_ligand_65      6.22    
1bzc_ligand_10      6.24    
1bzc_ligand_102     6.63    
1bzc_ligand_110     6.63    
1bzc_ligand_113     6.43    
1bzc_ligand_118     6.71    
1bzc_ligand_120     6.55    
1bzc_ligand_122     6.77    
1bzc_ligand_134     6.69    
1bzc_ligand_136     6.10    
1bzc_ligand_150     6.48    
1bzc_ligand_165     6.05    
1bzc_ligand_167     6.28    
1bzc_ligand_174     6.23    
1bzc_ligand_180     6.18    
1bzc_ligand_181     5.96    
1bzc_ligand_186     6.30    
1bzc_ligand_191     6.29    
1bzc_ligand_195     5.85    
1bzc_ligand_198     6.14    
1bzc_ligand_2       6.15    
1bzc_ligand_203     6.54    
1bzc_ligand_205     6.40    
1bzc_ligand_213     6.38    
1bzc_ligand_216     6.26    
1bzc_ligand_217     6.05    
1bzc_ligand_218     6.41    
1bzc_ligand_220     6.11    
1bzc_ligand_221     6.23    
1bzc_ligand_225     5.95    
1bzc_ligand_227     6.17    
1bzc_ligand_229     5.99    
1bzc_ligand_230     5.95    
1bzc_ligand_231     5.97    
1bzc_ligand_232     5.86    
1bzc_ligand_233     6.10    
1bzc_ligand_234     5.83    
1bzc_ligand_237     6.78    
1bzc_ligand_246     5.81    
1bzc_ligand_248     5.74    
1bzc_ligand_250     5.49    
1bzc_ligand_251     6.43    
1bzc_ligand_259     5.95    
1bzc_ligand_260     6.37    
1bzc_ligand_262     6.22    
1bzc_ligand_265     6.20    
1bzc_ligand_267     6.01    
1bzc_ligand_268     6.19    
1bzc_ligand_27      6.89    
1bzc_ligand_273     6.20    
1bzc_ligand_284     5.93    
1bzc_ligand_298     6.15    
1bzc_ligand_299     6.42    
1bzc_ligand_302     6.22    
1bzc_ligand_309     6.04    
1bzc_ligand_31      6.73    
1bzc_ligand_310     6.33    
1bzc_ligand_311     6.05    
1bzc_ligand_312     6.17    
1bzc_ligand_314     6.06    
