#code_ligand_num    score   
2p15_ligand_391     8.70    
3b1m_ligand_424     8.69    
3b1m_ligand_381     8.64    
3e93_ligand_118     8.64    
3jvs_ligand_478     8.53    
2x00_ligand_151     8.49    
3e93_ligand_374     8.49    
3e93_ligand_92      8.48    
4gid_ligand_148     8.47    
3e93_ligand_116     8.46    
3e93_ligand_130     8.46    
2p15_ligand_441     8.44    
3e93_ligand_382     8.41    
4w9l_ligand_66      8.38    
3e93_ligand_139     8.38    
3e93_ligand_115     8.37    
3e93_ligand_135     8.36    
2x00_ligand_62      8.36    
3e93_ligand_405     8.36    
3e93_ligand_447     8.36    
3e93_ligand_107     8.34    
3jvs_ligand_455     8.33    
4w9l_ligand_127     8.30    
3e93_ligand_372     8.25    
2p15_ligand_83      8.25    
2p15_ligand_153     8.24    
3jvs_ligand_495     8.24    
3uo4_ligand_146     8.23    
3e93_ligand_122     8.23    
3zso_ligand_415     8.22    
3jvs_ligand_11      8.20    
3b1m_ligand_395     8.18    
3e93_ligand_213     8.18    
3e93_ligand_418     8.18    
4w9l_ligand_121     8.18    
3bv9_ligand_497     8.18    
3e93_ligand_4       8.16    
2x00_ligand_174     8.16    
3e93_ligand_422     8.16    
3uo4_ligand_56      8.15    
3e93_ligand_96      8.15    
2p15_ligand_392     8.15    
2p15_ligand_155     8.14    
4w9l_ligand_396     8.14    
3pww_ligand_408     8.14    
3zso_ligand_435     8.13    
3e93_ligand_199     8.13    
3e93_ligand_321     8.13    
3zso_ligand_360     8.13    
2wtv_ligand_370     8.13    
3jvs_ligand_205     8.12    
2zb1_ligand_20      8.12    
2zb1_ligand_129     8.11    
3e93_ligand_145     8.11    
3e93_ligand_388     8.11    
3jvs_ligand_54      8.10    
3e93_ligand_379     8.10    
3e93_ligand_31      8.10    
3uo4_ligand_106     8.09    
2p15_ligand_187     8.09    
2zb1_ligand_108     8.09    
3jvs_ligand_23      8.09    
3e93_ligand_393     8.09    
2p15_ligand_257     8.09    
4w9l_ligand_394     8.08    
3e92_ligand_181     8.07    
4gid_ligand_500     8.07    
3e93_ligand_360     8.07    
1o3f_ligand_211     8.07    
3qgy_ligand_66      8.07    
2zb1_ligand_6       8.06    
3jvs_ligand_184     8.06    
4w9l_ligand_390     8.06    
3jvs_ligand_151     8.06    
3tsk_ligand_351     8.06    
2zb1_ligand_138     8.06    
4w9l_ligand_442     8.06    
2zb1_ligand_453     8.06    
3bv9_ligand_488     8.06    
2zb1_ligand_50      8.06    
3jvs_ligand_363     8.06    
3nw9_ligand_413     8.05    
2p15_ligand_147     8.05    
2zb1_ligand_115     8.05    
