#code_ligand_num    score   
3pww_ligand_500     8.13    
3pww_ligand_460     8.13    
3pww_ligand_472     7.98    
4gid_ligand_406     7.95    
3pww_ligand_359     7.92    
4w9l_ligand_354     7.90    
4w9l_ligand_458     7.88    
2p15_ligand_366     7.88    
3gnw_ligand_89      7.86    
3b1m_ligand_374     7.85    
3gnw_ligand_388     7.84    
3prs_ligand_411     7.84    
2qnq_ligand_452     7.83    
2p15_ligand_388     7.80    
4w9l_ligand_365     7.75    
4w9l_ligand_479     7.74    
2p15_ligand_46      7.73    
3zso_ligand_365     7.72    
2p15_ligand_102     7.72    
4gid_ligand_413     7.71    
4gid_ligand_352     7.71    
1lpg_ligand_454     7.71    
4gr0_ligand_406     7.71    
3e93_ligand_54      7.70    
3e93_ligand_76      7.69    
4gr0_ligand_470     7.68    
3zso_ligand_352     7.68    
4w9l_ligand_435     7.67    
4x6p_ligand_141     7.67    
3b1m_ligand_489     7.66    
2p15_ligand_50      7.66    
3bv9_ligand_429     7.65    
4ogj_ligand_454     7.64    
4w9l_ligand_407     7.63    
4gid_ligand_483     7.62    
2p15_ligand_85      7.62    
2p15_ligand_15      7.62    
4w9l_ligand_487     7.61    
4x6p_ligand_35      7.61    
3e93_ligand_395     7.61    
4gid_ligand_399     7.60    
2qnq_ligand_488     7.60    
3b1m_ligand_380     7.60    
1k1i_ligand_480     7.59    
3e93_ligand_445     7.59    
4ogj_ligand_456     7.58    
1lpg_ligand_387     7.57    
2wtv_ligand_439     7.57    
4gid_ligand_401     7.57    
2x00_ligand_366     7.57    
2p15_ligand_413     7.57    
3pww_ligand_492     7.57    
3pww_ligand_33      7.56    
3b1m_ligand_68      7.56    
3pww_ligand_390     7.56    
2x00_ligand_374     7.55    
2p15_ligand_104     7.53    
5dwr_ligand_68      7.53    
1g2k_ligand_406     7.52    
2p15_ligand_33      7.52    
3gnw_ligand_106     7.52    
4gid_ligand_489     7.52    
3jvs_ligand_447     7.52    
3e93_ligand_53      7.51    
2p15_ligand_370     7.50    
2p15_ligand_356     7.50    
2p15_ligand_209     7.50    
2p15_ligand_257     7.50    
2qnq_ligand_389     7.50    
4crc_ligand_486     7.50    
3jvs_ligand_443     7.49    
4crc_ligand_137     7.49    
2p15_ligand_180     7.49    
2p15_ligand_198     7.49    
4ogj_ligand_450     7.48    
3e93_ligand_57      7.48    
3gnw_ligand_109     7.48    
2vkm_ligand_496     7.48    
4gid_ligand_448     7.48    
2p15_ligand_399     7.47    
3jvs_ligand_451     7.47    
3e93_ligand_338     7.46    
2p15_ligand_297     7.46    
2x00_ligand_384     7.46    
3jvs_ligand_414     7.46    
4gr0_ligand_364     7.46    
2p15_ligand_317     7.46    
3b1m_ligand_407     7.46    
2x00_ligand_450     7.45    
3prs_ligand_435     7.45    
4x6p_ligand_433     7.45    
4x6p_ligand_105     7.45    
2x00_ligand_389     7.45    
3e93_ligand_91      7.44    
2x00_ligand_385     7.44    
3uo4_ligand_395     7.44    
4crc_ligand_127     7.44    
4rfm_ligand_305     7.43    
4gid_ligand_419     7.43    
4gid_ligand_368     7.43    
4w9l_ligand_364     7.43    
2vkm_ligand_354     7.43    
4crc_ligand_176     7.43    
2p15_ligand_277     7.43    
2yki_ligand_380     7.42    
4crc_ligand_135     7.42    
2x00_ligand_123     7.42    
2qnq_ligand_480     7.42    
3arq_ligand_380     7.41    
3zso_ligand_381     7.41    
3jvs_ligand_366     7.41    
2wtv_ligand_47      7.41    
4x6p_ligand_422     7.41    
2x00_ligand_186     7.41    
2p15_ligand_175     7.41    
4ogj_ligand_141     7.41    
3utu_ligand_430     7.41    
4w9l_ligand_486     7.41    
4ty7_ligand_462     7.40    
2wtv_ligand_23      7.40    
3gnw_ligand_91      7.40    
2qbq_ligand_389     7.40    
4w9l_ligand_124     7.40    
2qnq_ligand_446     7.39    
4gid_ligand_409     7.39    
4gid_ligand_450     7.39    
2x00_ligand_177     7.39    
3e93_ligand_88      7.39    
4cra_ligand_417     7.39    
2p15_ligand_299     7.39    
2p15_ligand_414     7.38    
1g2k_ligand_413     7.38    
2x00_ligand_483     7.38    
2vkm_ligand_402     7.38    
3wz8_ligand_443     7.38    
4w9l_ligand_102     7.38    
4gid_ligand_491     7.38    
3uo4_ligand_31      7.38    
3jvs_ligand_382     7.37    
2wtv_ligand_28      7.37    
2vkm_ligand_148     7.37    
4x6p_ligand_450     7.37    
1eby_ligand_123     7.37    
2p15_ligand_337     7.37    
3fur_ligand_417     7.37    
3arq_ligand_151     7.36    
2p4y_ligand_5       7.36    
4w9h_ligand_353     7.36    
3utu_ligand_466     7.36    
3bv9_ligand_355     7.36    
3e93_ligand_14      7.36    
1eby_ligand_118     7.36    
3zsx_ligand_391     7.36    
4gid_ligand_377     7.36    
3b1m_ligand_294     7.35    
3b1m_ligand_117     7.35    
2x00_ligand_273     7.35    
2p15_ligand_249     7.35    
2p15_ligand_11      7.35    
1mq6_ligand_452     7.35    
2p4y_ligand_357     7.34    
3uo4_ligand_52      7.34    
2x00_ligand_373     7.34    
2qnq_ligand_398     7.34    
3jvs_ligand_375     7.34    
2x00_ligand_253     7.34    
3gnw_ligand_59      7.34    
3e93_ligand_143     7.34    
2vkm_ligand_30      7.34    
3gnw_ligand_185     7.34    
2p15_ligand_200     7.34    
3bv9_ligand_352     7.33    
3o9i_ligand_457     7.33    
1k1i_ligand_104     7.33    
1mq6_ligand_473     7.33    
1nvq_ligand_66      7.33    
3wz8_ligand_430     7.33    
2x00_ligand_391     7.33    
4w9l_ligand_125     7.33    
3zso_ligand_457     7.33    
5dwr_ligand_353     7.33    
2p15_ligand_17      7.33    
2p4y_ligand_4       7.33    
3jvs_ligand_439     7.32    
4ogj_ligand_393     7.32    
1nvq_ligand_414     7.32    
3jvs_ligand_211     7.32    
4cig_ligand_384     7.32    
3e93_ligand_61      7.32    
2wtv_ligand_191     7.32    
2x00_ligand_412     7.32    
3e93_ligand_155     7.31    
3uo4_ligand_470     7.31    
3fur_ligand_422     7.31    
1nvq_ligand_26      7.31    
4cra_ligand_386     7.31    
2xii_ligand_467     7.31    
2p15_ligand_199     7.31    
3b1m_ligand_375     7.31    
2qnq_ligand_490     7.31    
3e92_ligand_30      7.31    
4cig_ligand_477     7.31    
5dwr_ligand_50      7.31    
3utu_ligand_377     7.30    
4crc_ligand_387     7.30    
3pww_ligand_161     7.30    
2x00_ligand_390     7.30    
3bv9_ligand_122     7.30    
4cra_ligand_53      7.30    
4w9h_ligand_406     7.30    
3b1m_ligand_392     7.30    
4gid_ligand_152     7.30    
3zso_ligand_465     7.30    
4x6p_ligand_6       7.30    
2vkm_ligand_372     7.29    
4w9l_ligand_381     7.29    
3uo4_ligand_114     7.29    
4ogj_ligand_102     7.29    
4w9l_ligand_429     7.29    
3b1m_ligand_93      7.29    
2p15_ligand_234     7.29    
2qnq_ligand_391     7.29    
3e92_ligand_295     7.29    
2wtv_ligand_66      7.29    
1lpg_ligand_389     7.29    
2x00_ligand_398     7.28    
3fur_ligand_326     7.28    
3wz8_ligand_494     7.28    
3e93_ligand_69      7.28    
2wtv_ligand_276     7.28    
4ogj_ligand_63      7.28    
2p15_ligand_212     7.28    
1eby_ligand_112     7.28    
2yki_ligand_375     7.28    
4gid_ligand_132     7.28    
2qnq_ligand_120     7.28    
2vw5_ligand_460     7.28    
3jvs_ligand_420     7.28    
3zso_ligand_376     7.28    
3uo4_ligand_120     7.27    
3b1m_ligand_116     7.27    
2x00_ligand_160     7.27    
4w9l_ligand_497     7.27    
2xii_ligand_93      7.27    
3b1m_ligand_273     7.27    
2p4y_ligand_100     7.27    
3uo4_ligand_388     7.27    
4ogj_ligand_38      7.27    
2x00_ligand_438     7.27    
3gnw_ligand_150     7.27    
3bv9_ligand_445     7.27    
3arq_ligand_496     7.27    
4rfm_ligand_148     7.26    
1eby_ligand_352     7.26    
3utu_ligand_132     7.26    
2p15_ligand_222     7.26    
3b1m_ligand_178     7.26    
2x00_ligand_180     7.26    
4ty7_ligand_115     7.26    
3utu_ligand_389     7.26    
4ogj_ligand_390     7.26    
2p15_ligand_296     7.26    
3uo4_ligand_429     7.25    
2yki_ligand_389     7.25    
3e93_ligand_172     7.25    
3b1m_ligand_271     7.25    
3fur_ligand_71      7.25    
2p15_ligand_176     7.25    
3b1m_ligand_383     7.25    
2qbq_ligand_95      7.25    
3gnw_ligand_411     7.25    
3gnw_ligand_139     7.25    
3gnw_ligand_285     7.24    
3utu_ligand_362     7.24    
4ty7_ligand_499     7.24    
4gr0_ligand_260     7.24    
4qd6_ligand_149     7.24    
3zsx_ligand_370     7.24    
2yki_ligand_480     7.24    
1nvq_ligand_353     7.23    
2x00_ligand_61      7.23    
3e93_ligand_382     7.23    
3tsk_ligand_362     7.23    
4jia_ligand_101     7.23    
2x00_ligand_387     7.23    
2x00_ligand_376     7.23    
3jvs_ligand_276     7.23    
4w9l_ligand_352     7.23    
2qnq_ligand_139     7.23    
2vkm_ligand_111     7.23    
2yki_ligand_394     7.23    
3bv9_ligand_14      7.23    
2zb1_ligand_429     7.23    
2qbq_ligand_148     7.23    
4crc_ligand_163     7.23    
3e93_ligand_158     7.22    
3b1m_ligand_38      7.22    
1g2k_ligand_113     7.22    
3o9i_ligand_431     7.22    
2p15_ligand_190     7.22    
4crc_ligand_131     7.22    
2yki_ligand_280     7.22    
3qgy_ligand_64      7.22    
4jia_ligand_102     7.22    
4ty7_ligand_146     7.22    
4cra_ligand_75      7.22    
1eby_ligand_439     7.22    
4crc_ligand_278     7.22    
1eby_ligand_104     7.22    
2qbq_ligand_468     7.22    
2qnq_ligand_443     7.22    
1k1i_ligand_99      7.22    
2qbq_ligand_376     7.22    
3e93_ligand_134     7.21    
3jvs_ligand_194     7.21    
3pww_ligand_200     7.21    
4ogj_ligand_491     7.21    
2x00_ligand_469     7.21    
1g2k_ligand_106     7.21    
3e93_ligand_412     7.21    
4gr0_ligand_492     7.21    
4ogj_ligand_400     7.21    
3e93_ligand_426     7.21    
3utu_ligand_421     7.21    
3e93_ligand_160     7.21    
4qd6_ligand_106     7.21    
2x00_ligand_342     7.21    
1o3f_ligand_29      7.21    
3e93_ligand_106     7.21    
4wiv_ligand_360     7.20    
4crc_ligand_435     7.20    
4w9l_ligand_135     7.20    
2qbq_ligand_469     7.20    
4x6p_ligand_30      7.20    
3nw9_ligand_413     7.20    
2p15_ligand_163     7.20    
4crc_ligand_113     7.20    
3jvs_ligand_436     7.20    
3wz8_ligand_22      7.20    
3bv9_ligand_96      7.20    
4x6p_ligand_96      7.19    
4crc_ligand_368     7.19    
2p15_ligand_272     7.19    
3gnw_ligand_79      7.19    
4ty7_ligand_469     7.19    
1eby_ligand_147     7.19    
4gr0_ligand_288     7.19    
2p15_ligand_248     7.19    
2vw5_ligand_286     7.19    
3nw9_ligand_365     7.19    
1k1i_ligand_132     7.19    
2x00_ligand_498     7.18    
3jvs_ligand_255     7.18    
5dwr_ligand_412     7.18    
2yge_ligand_455     7.18    
3wz8_ligand_59      7.18    
3utu_ligand_467     7.18    
4ogj_ligand_397     7.18    
4rfm_ligand_487     7.18    
2p15_ligand_278     7.18    
2qnq_ligand_66      7.18    
3pww_ligand_149     7.18    
3fur_ligand_114     7.18    
3uri_ligand_425     7.18    
3prs_ligand_374     7.18    
4cra_ligand_83      7.18    
3uo4_ligand_74      7.18    
4x6p_ligand_48      7.18    
2qnq_ligand_383     7.18    
3e93_ligand_101     7.17    
4gid_ligand_391     7.17    
2yki_ligand_377     7.17    
1nvq_ligand_372     7.17    
3e93_ligand_405     7.17    
4w9l_ligand_356     7.17    
1nvq_ligand_163     7.17    
4cra_ligand_50      7.17    
2wtv_ligand_158     7.17    
4w9l_ligand_126     7.17    
2vkm_ligand_71      7.17    
3e92_ligand_247     7.17    
4cig_ligand_361     7.17    
3arq_ligand_197     7.16    
4ty7_ligand_497     7.16    
2x00_ligand_296     7.16    
2x00_ligand_394     7.16    
2xii_ligand_385     7.16    
4wiv_ligand_319     7.16    
2qbq_ligand_102     7.16    
5dwr_ligand_355     7.16    
2p15_ligand_328     7.16    
4gid_ligand_247     7.16    
2p15_ligand_338     7.16    
2p15_ligand_334     7.16    
5dwr_ligand_420     7.16    
2x00_ligand_5       7.16    
2vw5_ligand_415     7.16    
2wtv_ligand_49      7.16    
4ty7_ligand_32      7.15    
2qbq_ligand_121     7.15    
3utu_ligand_400     7.15    
4tmn_ligand_496     7.15    
3jvs_ligand_197     7.15    
3uri_ligand_418     7.15    
3uo4_ligand_57      7.15    
3fur_ligand_273     7.15    
3arq_ligand_356     7.15    
2qbq_ligand_35      7.15    
4qd6_ligand_98      7.15    
3jvs_ligand_232     7.15    
3jvs_ligand_155     7.15    
4k18_ligand_67      7.15    
1lpg_ligand_496     7.15    
3o9i_ligand_493     7.15    
2p15_ligand_161     7.15    
3b1m_ligand_399     7.15    
4twp_ligand_11      7.15    
3nw9_ligand_445     7.15    
2p15_ligand_276     7.15    
3qgy_ligand_244     7.15    
4w9i_ligand_391     7.15    
3e93_ligand_114     7.14    
4w9l_ligand_419     7.14    
1sqa_ligand_10      7.14    
2v7a_ligand_15      7.14    
4rfm_ligand_392     7.14    
3arq_ligand_446     7.14    
4w9l_ligand_312     7.14    
3qgy_ligand_65      7.14    
2x00_ligand_283     7.14    
4twp_ligand_399     7.14    
3uo4_ligand_148     7.14    
4crc_ligand_244     7.14    
3nw9_ligand_360     7.14    
3bv9_ligand_448     7.14    
2x00_ligand_447     7.14    
2zb1_ligand_183     7.14    
4qd6_ligand_315     7.14    
4f9w_ligand_448     7.14    
4w9h_ligand_358     7.14    
3uo4_ligand_352     7.14    
4cig_ligand_395     7.14    
3e92_ligand_251     7.14    
4ogj_ligand_39      7.14    
2p15_ligand_183     7.14    
1o3f_ligand_87      7.14    
3wz8_ligand_2       7.14    
2x00_ligand_377     7.14    
2qbq_ligand_129     7.14    
3e92_ligand_390     7.13    
4qd6_ligand_382     7.13    
1k1i_ligand_443     7.13    
4crc_ligand_440     7.13    
1nvq_ligand_82      7.13    
4f9w_ligand_430     7.13    
3arq_ligand_143     7.13    
3b1m_ligand_194     7.13    
2wtv_ligand_16      7.13    
3arq_ligand_372     7.13    
2wtv_ligand_413     7.13    
4ty7_ligand_483     7.13    
3zsx_ligand_490     7.13    
3e93_ligand_446     7.13    
