#code_ligand_num    score   
2wtv_ligand_384     7.56    
2x00_ligand_156     7.49    
3zso_ligand_491     7.42    
2p15_ligand_160     7.40    
3e93_ligand_200     7.38    
2wtv_ligand_303     7.37    
2p15_ligand_265     7.37    
4x6p_ligand_183     7.36    
4crc_ligand_179     7.36    
3e93_ligand_316     7.34    
4ogj_ligand_420     7.32    
3uo4_ligand_442     7.30    
2wtv_ligand_323     7.29    
3uo4_ligand_451     7.28    
2p15_ligand_277     7.27    
3e93_ligand_184     7.25    
2wtv_ligand_374     7.25    
3e93_ligand_136     7.24    
3bgz_ligand_251     7.22    
2p15_ligand_159     7.21    
1lpg_ligand_257     7.21    
2p15_ligand_190     7.20    
3b1m_ligand_397     7.20    
3e93_ligand_99      7.20    
3jvs_ligand_350     7.20    
3e93_ligand_344     7.20    
1nvq_ligand_200     7.19    
4k18_ligand_356     7.19    
4gr0_ligand_95      7.18    
4qd6_ligand_190     7.18    
2p15_ligand_185     7.17    
3jvs_ligand_435     7.17    
4ogj_ligand_497     7.17    
2yki_ligand_188     7.17    
4x6p_ligand_199     7.16    
2p15_ligand_80      7.16    
2p15_ligand_162     7.16    
3bgz_ligand_323     7.15    
2zb1_ligand_147     7.15    
3e93_ligand_354     7.14    
2p15_ligand_289     7.13    
3bgz_ligand_162     7.13    
2p15_ligand_488     7.13    
2p15_ligand_186     7.13    
2p15_ligand_308     7.13    
4gr0_ligand_175     7.13    
4x6p_ligand_174     7.13    
2p15_ligand_19      7.13    
4cra_ligand_363     7.12    
3b1m_ligand_275     7.11    
3bgz_ligand_304     7.11    
3e92_ligand_186     7.11    
3e93_ligand_160     7.10    
1o3f_ligand_142     7.10    
3wz8_ligand_480     7.10    
3b1m_ligand_61      7.10    
1lpg_ligand_153     7.10    
3uo4_ligand_151     7.09    
3e93_ligand_144     7.09    
3arq_ligand_183     7.09    
2p15_ligand_107     7.09    
2yki_ligand_152     7.09    
3bgz_ligand_217     7.09    
3jvs_ligand_187     7.09    
2x00_ligand_199     7.08    
3bgz_ligand_312     7.08    
3bgz_ligand_163     7.08    
3gnw_ligand_160     7.08    
3wz8_ligand_153     7.08    
3arq_ligand_152     7.08    
3e92_ligand_345     7.08    
2x00_ligand_452     7.08    
3uo4_ligand_415     7.07    
3e93_ligand_313     7.07    
1o3f_ligand_108     7.07    
2zb1_ligand_490     7.07    
3pww_ligand_271     7.07    
3b1m_ligand_425     7.06    
2p15_ligand_266     7.06    
2x00_ligand_251     7.06    
3jvs_ligand_373     7.06    
3gnw_ligand_167     7.05    
3uo4_ligand_413     7.05    
3uo4_ligand_103     7.05    
2v7a_ligand_133     7.05    
1lpg_ligand_194     7.05    
4f9w_ligand_301     7.04    
1o3f_ligand_367     7.04    
3u5j_ligand_260     7.04    
3b1m_ligand_99      7.03    
2yki_ligand_221     7.03    
3e93_ligand_312     7.03    
3e93_ligand_343     7.03    
4wiv_ligand_482     7.03    
2p15_ligand_187     7.03    
1sqa_ligand_170     7.02    
2p15_ligand_314     7.02    
3bgz_ligand_151     7.02    
3e93_ligand_110     7.02    
4gid_ligand_352     7.02    
3e93_ligand_183     7.02    
1k1i_ligand_151     7.02    
2xii_ligand_453     7.01    
2wtv_ligand_284     7.01    
3e93_ligand_43      7.01    
3prs_ligand_482     7.01    
3b1m_ligand_154     7.01    
3fur_ligand_307     7.00    
3b1m_ligand_369     7.00    
2wtv_ligand_176     7.00    
2vkm_ligand_132     7.00    
2qbp_ligand_428     7.00    
1o3f_ligand_314     7.00    
3b1m_ligand_382     7.00    
4crc_ligand_173     7.00    
3wz8_ligand_354     7.00    
3bgz_ligand_267     6.99    
2wtv_ligand_355     6.99    
2xii_ligand_456     6.99    
2p15_ligand_325     6.99    
1o3f_ligand_15      6.98    
3qgy_ligand_414     6.98    
2p15_ligand_316     6.98    
3wz8_ligand_486     6.98    
2p15_ligand_188     6.98    
3bgz_ligand_317     6.98    
3qgy_ligand_166     6.98    
3e93_ligand_265     6.97    
4qd6_ligand_200     6.97    
2wtv_ligand_177     6.97    
3e93_ligand_273     6.97    
3qgy_ligand_37      6.97    
3e93_ligand_180     6.97    
4gr0_ligand_188     6.97    
3jvs_ligand_189     6.96    
4qd6_ligand_305     6.96    
3arp_ligand_153     6.96    
4ty7_ligand_427     6.96    
3e93_ligand_158     6.96    
2qbr_ligand_151     6.96    
3o9i_ligand_374     6.96    
3bv9_ligand_443     6.96    
4crc_ligand_148     6.96    
3e93_ligand_145     6.96    
3bgz_ligand_311     6.96    
2x00_ligand_285     6.96    
2vkm_ligand_115     6.96    
2wtv_ligand_257     6.95    
3bgz_ligand_333     6.95    
3e93_ligand_181     6.95    
3gnw_ligand_165     6.95    
2x00_ligand_190     6.95    
2p15_ligand_178     6.95    
3bgz_ligand_309     6.94    
3arq_ligand_317     6.94    
4cra_ligand_187     6.94    
1sqa_ligand_159     6.94    
4ogj_ligand_9       6.94    
1nvq_ligand_179     6.94    
3b1m_ligand_17      6.94    
3prs_ligand_496     6.94    
2p4y_ligand_489     6.94    
3uo4_ligand_461     6.94    
4gr0_ligand_343     6.94    
4f9w_ligand_338     6.93    
3b1m_ligand_278     6.93    
3gnw_ligand_166     6.93    
3bgz_ligand_195     6.93    
3e93_ligand_105     6.93    
4gr0_ligand_190     6.93    
3gnw_ligand_153     6.93    
3jvs_ligand_355     6.93    
4eo8_ligand_184     6.93    
3gnw_ligand_342     6.93    
1o3f_ligand_425     6.93    
1o3f_ligand_272     6.92    
1lpg_ligand_494     6.92    
2zb1_ligand_318     6.92    
1sqa_ligand_254     6.92    
4ogj_ligand_157     6.92    
1nvq_ligand_154     6.92    
4w9h_ligand_474     6.92    
2p15_ligand_261     6.92    
1k1i_ligand_166     6.92    
4ogj_ligand_39      6.91    
3uo4_ligand_319     6.91    
1sqa_ligand_106     6.91    
2vkm_ligand_356     6.91    
1lpg_ligand_115     6.91    
2yki_ligand_349     6.91    
3e93_ligand_319     6.91    
4x6p_ligand_308     6.91    
3jvs_ligand_323     6.91    
3arq_ligand_311     6.91    
2wtv_ligand_347     6.91    
4ty7_ligand_307     6.91    
4crc_ligand_178     6.91    
3bgz_ligand_178     6.91    
3jvs_ligand_194     6.90    
4eo8_ligand_156     6.90    
3e92_ligand_157     6.90    
4ogj_ligand_489     6.90    
4crc_ligand_309     6.90    
3bgz_ligand_289     6.90    
2wtv_ligand_181     6.90    
3qgy_ligand_317     6.90    
3arp_ligand_131     6.90    
3qgy_ligand_201     6.90    
3jvs_ligand_196     6.90    
3uo4_ligand_195     6.90    
2vkm_ligand_34      6.89    
4qd6_ligand_220     6.89    
3e93_ligand_86      6.89    
4cra_ligand_121     6.89    
1o3f_ligand_362     6.89    
4qac_ligand_164     6.89    
3gnw_ligand_266     6.89    
2zb1_ligand_116     6.89    
2x00_ligand_268     6.89    
2p15_ligand_287     6.89    
2qbq_ligand_331     6.89    
3jvs_ligand_327     6.89    
2x00_ligand_154     6.89    
2xii_ligand_156     6.89    
3e93_ligand_141     6.89    
3jvs_ligand_183     6.89    
4wiv_ligand_185     6.89    
4gr0_ligand_126     6.89    
1o3f_ligand_151     6.89    
4eo8_ligand_274     6.89    
3e92_ligand_259     6.88    
2zb1_ligand_396     6.88    
1qkt_ligand_170     6.88    
2yki_ligand_99      6.88    
4hge_ligand_416     6.88    
4x6p_ligand_150     6.88    
2x00_ligand_315     6.88    
3qgy_ligand_55      6.88    
4x6p_ligand_163     6.87    
2p15_ligand_201     6.87    
3ebp_ligand_154     6.87    
2p15_ligand_310     6.87    
3ebp_ligand_439     6.87    
2p15_ligand_320     6.87    
3pww_ligand_157     6.87    
3e93_ligand_258     6.87    
3e92_ligand_303     6.86    
4ogj_ligand_383     6.86    
4hge_ligand_287     6.86    
3e93_ligand_27      6.86    
2brb_ligand_389     6.86    
3uo4_ligand_325     6.86    
1o3f_ligand_318     6.86    
3gnw_ligand_163     6.86    
3arq_ligand_273     6.86    
2qbp_ligand_132     6.86    
4crc_ligand_326     6.86    
3uo4_ligand_183     6.86    
4gr0_ligand_270     6.86    
4w9l_ligand_471     6.85    
3e93_ligand_176     6.85    
3b1m_ligand_182     6.85    
3uo4_ligand_258     6.85    
2wtv_ligand_183     6.85    
4ty7_ligand_155     6.85    
3uo4_ligand_158     6.85    
2p15_ligand_286     6.85    
3bgz_ligand_154     6.85    
2vkm_ligand_91      6.85    
3e92_ligand_173     6.85    
3bgz_ligand_345     6.85    
3qgy_ligand_192     6.85    
3u5j_ligand_309     6.84    
1o3f_ligand_320     6.84    
3e92_ligand_274     6.84    
4f9w_ligand_130     6.84    
1o3f_ligand_190     6.84    
3pww_ligand_437     6.84    
3qgy_ligand_297     6.84    
4jia_ligand_67      6.84    
3qgy_ligand_334     6.84    
4dli_ligand_107     6.84    
1nvq_ligand_196     6.84    
1o3f_ligand_258     6.84    
4cra_ligand_50      6.84    
4rfm_ligand_346     6.84    
4gr0_ligand_494     6.84    
4k18_ligand_184     6.84    
5dwr_ligand_151     6.83    
4crc_ligand_172     6.83    
1eby_ligand_395     6.83    
2yki_ligand_449     6.83    
2wtv_ligand_259     6.83    
4w9l_ligand_186     6.83    
4wiv_ligand_88      6.83    
3bgz_ligand_159     6.83    
3bv9_ligand_449     6.83    
2zb1_ligand_151     6.83    
1o3f_ligand_309     6.83    
4eo8_ligand_304     6.83    
3bgz_ligand_199     6.83    
3b1m_ligand_196     6.83    
3gnw_ligand_99      6.83    
3qgy_ligand_203     6.83    
4jia_ligand_107     6.82    
2p15_ligand_346     6.82    
4cra_ligand_157     6.82    
3bgz_ligand_200     6.82    
3tsk_ligand_399     6.82    
4jia_ligand_14      6.82    
3qgy_ligand_49      6.82    
1lpg_ligand_165     6.82    
4w9l_ligand_162     6.82    
1sqa_ligand_105     6.82    
3e92_ligand_156     6.82    
4de1_ligand_395     6.82    
2qbr_ligand_73      6.82    
4jia_ligand_142     6.82    
4dli_ligand_281     6.82    
3e93_ligand_424     6.82    
3ebp_ligand_151     6.82    
3pww_ligand_199     6.82    
5dwr_ligand_272     6.82    
4rfm_ligand_97      6.82    
4wiv_ligand_311     6.81    
4qd6_ligand_155     6.81    
2wtv_ligand_111     6.81    
3ebp_ligand_134     6.81    
4de3_ligand_261     6.81    
3gnw_ligand_151     6.81    
2zb1_ligand_182     6.81    
3e92_ligand_191     6.81    
2x00_ligand_180     6.81    
2vkm_ligand_52      6.81    
1owh_ligand_314     6.81    
3u5j_ligand_181     6.80    
5dwr_ligand_286     6.80    
2p15_ligand_448     6.80    
3e93_ligand_167     6.80    
3uo4_ligand_131     6.80    
2yki_ligand_255     6.80    
2xii_ligand_64      6.80    
3prs_ligand_448     6.80    
2p4y_ligand_66      6.80    
3arq_ligand_185     6.80    
3jvs_ligand_154     6.80    
4x6p_ligand_340     6.80    
4ty7_ligand_162     6.80    
4w9l_ligand_473     6.79    
3qgy_ligand_318     6.79    
2wtv_ligand_206     6.79    
1o3f_ligand_110     6.79    
4gr0_ligand_180     6.79    
1yc1_ligand_112     6.79    
1sqa_ligand_334     6.79    
2zcr_ligand_369     6.79    
1o3f_ligand_394     6.79    
3uo4_ligand_154     6.79    
4ty7_ligand_382     6.79    
1mq6_ligand_151     6.79    
1o3f_ligand_336     6.78    
3e93_ligand_256     6.78    
3e93_ligand_231     6.78    
3e92_ligand_262     6.78    
