#code_ligand_num    score   
1lpg_ligand_395     8.52    
4gr0_ligand_82      8.48    
3jvs_ligand_383     8.39    
4cra_ligand_413     8.33    
1lpg_ligand_393     8.32    
3e93_ligand_68      8.32    
4gr0_ligand_131     8.31    
3e93_ligand_131     8.29    
2x00_ligand_156     8.29    
3e93_ligand_379     8.27    
3e93_ligand_441     8.27    
3e93_ligand_182     8.26    
4gr0_ligand_70      8.25    
3e93_ligand_126     8.25    
3e93_ligand_121     8.24    
3e93_ligand_118     8.22    
3e93_ligand_146     8.19    
3e93_ligand_128     8.19    
3jvs_ligand_144     8.17    
4gr0_ligand_155     8.14    
4ogj_ligand_376     8.12    
2x00_ligand_173     8.12    
3e93_ligand_84      8.11    
3e93_ligand_369     8.10    
3e93_ligand_135     8.09    
4x6p_ligand_159     8.08    
2x00_ligand_177     8.08    
3uo4_ligand_370     8.07    
2x00_ligand_181     8.07    
3e93_ligand_147     8.06    
4gid_ligand_129     8.05    
2p15_ligand_135     8.04    
3e93_ligand_122     8.04    
3tsk_ligand_125     8.03    
3arp_ligand_381     8.02    
3pww_ligand_152     8.02    
1z6e_ligand_374     8.01    
3e92_ligand_477     8.01    
3b1m_ligand_163     8.00    
2zb1_ligand_389     7.99    
2x00_ligand_200     7.99    
4crc_ligand_168     7.99    
3arp_ligand_368     7.99    
3utu_ligand_125     7.98    
2qbp_ligand_377     7.98    
3e93_ligand_97      7.98    
3pww_ligand_413     7.98    
3e93_ligand_179     7.97    
3uo4_ligand_480     7.96    
1lpg_ligand_489     7.95    
3arp_ligand_376     7.95    
3jvs_ligand_292     7.95    
2v7a_ligand_467     7.93    
3nw9_ligand_500     7.92    
3jvs_ligand_334     7.92    
4w9l_ligand_371     7.92    
2x00_ligand_187     7.91    
3e93_ligand_332     7.91    
4ogj_ligand_499     7.90    
1o3f_ligand_379     7.90    
3e93_ligand_193     7.89    
2v7a_ligand_452     7.89    
4crc_ligand_326     7.89    
3uo4_ligand_76      7.88    
3jvs_ligand_312     7.88    
2vkm_ligand_73      7.88    
2wtv_ligand_169     7.88    
3arp_ligand_421     7.88    
1lpg_ligand_394     7.88    
2p15_ligand_177     7.87    
4cra_ligand_168     7.87    
