#code_ligand_num    score   
1a30_ligand_112     5.53    
1a30_ligand_116     5.66    
1a30_ligand_117     5.98    
1a30_ligand_120     5.71    
1a30_ligand_124     5.82    
1a30_ligand_126     5.52    
1a30_ligand_127     5.53    
1a30_ligand_129     5.76    
1a30_ligand_131     5.33    
1a30_ligand_135     5.44    
1a30_ligand_141     5.82    
1a30_ligand_143     5.35    
1a30_ligand_147     5.55    
1a30_ligand_151     5.64    
1a30_ligand_162     5.33    
1a30_ligand_163     5.94    
1a30_ligand_170     5.47    
1a30_ligand_176     5.55    
1a30_ligand_185     5.41    
1a30_ligand_195     5.39    
1a30_ligand_197     5.63    
1a30_ligand_20      5.58    
1a30_ligand_201     5.76    
1a30_ligand_202     4.96    
1a30_ligand_206     5.21    
1a30_ligand_210     5.31    
1a30_ligand_212     4.92    
1a30_ligand_220     5.51    
1a30_ligand_223     5.13    
1a30_ligand_226     5.24    
1a30_ligand_228     5.18    
1a30_ligand_23      6.05    
1a30_ligand_232     5.57    
1a30_ligand_233     5.42    
1a30_ligand_234     5.48    
1a30_ligand_236     5.44    
1a30_ligand_237     5.45    
1a30_ligand_238     5.39    
1a30_ligand_241     5.04    
1a30_ligand_242     5.40    
1a30_ligand_244     5.51    
1a30_ligand_245     5.25    
1a30_ligand_247     5.44    
1a30_ligand_248     5.10    
1a30_ligand_250     5.35    
1a30_ligand_255     5.53    
1a30_ligand_259     5.35    
1a30_ligand_26      5.67    
1a30_ligand_265     5.44    
1a30_ligand_266     5.42    
1a30_ligand_267     5.38    
1a30_ligand_276     5.67    
1a30_ligand_28      6.03    
1a30_ligand_282     5.23    
1a30_ligand_283     5.38    
1a30_ligand_284     5.63    
1a30_ligand_286     5.41    
1a30_ligand_289     5.48    
1a30_ligand_291     5.44    
1a30_ligand_295     5.27    
1a30_ligand_297     5.33    
1a30_ligand_304     5.81    
1a30_ligand_306     5.37    
1a30_ligand_31      5.93    
1a30_ligand_316     5.64    
1a30_ligand_325     5.38    
1a30_ligand_335     5.55    
1a30_ligand_346     5.73    
1a30_ligand_349     5.27    
1a30_ligand_359     5.81    
1a30_ligand_368     6.00    
1a30_ligand_369     5.94    
1a30_ligand_381     6.01    
1a30_ligand_384     5.90    
1a30_ligand_408     5.92    
1a30_ligand_412     5.87    
1a30_ligand_427     5.73    
1a30_ligand_429     5.90    
1a30_ligand_443     5.83    
1a30_ligand_444     5.85    
1a30_ligand_446     5.88    
1a30_ligand_45      6.04    
1a30_ligand_458     6.14    
1a30_ligand_479     6.07    
1a30_ligand_480     5.94    
1a30_ligand_49      5.90    
1a30_ligand_51      5.06    
1a30_ligand_53      5.68    
1a30_ligand_54      5.07    
1a30_ligand_56      5.64    
1a30_ligand_57      5.50    
1a30_ligand_66      5.77    
1a30_ligand_68      5.33    
1a30_ligand_7       5.95    
1a30_ligand_71      5.22    
1a30_ligand_75      5.46    
1a30_ligand_78      5.25    
1a30_ligand_79      5.69    
1a30_ligand_83      5.06    
1a30_ligand_91      5.80    
1bcu_ligand_138     6.26    
1bcu_ligand_140     6.13    
1bcu_ligand_146     6.37    
1bcu_ligand_149     6.11    
1bcu_ligand_151     6.19    
1bcu_ligand_152     6.09    
1bcu_ligand_163     6.20    
1bcu_ligand_166     6.17    
1bcu_ligand_186     5.97    
1bcu_ligand_213     6.12    
1bcu_ligand_214     6.17    
1bcu_ligand_216     6.23    
1bcu_ligand_218     6.03    
1bcu_ligand_223     6.05    
1bcu_ligand_224     6.05    
1bcu_ligand_233     6.04    
1bcu_ligand_234     5.97    
1bcu_ligand_237     6.06    
1bcu_ligand_246     6.09    
1bcu_ligand_249     6.10    
1bcu_ligand_266     5.95    
