#code_ligand_num    score   
1a30_ligand_102     5.28    
1a30_ligand_104     4.84    
1a30_ligand_105     4.79    
1a30_ligand_107     4.78    
1a30_ligand_111     4.66    
1a30_ligand_116     5.28    
1a30_ligand_122     5.30    
1a30_ligand_123     5.20    
1a30_ligand_124     5.56    
1a30_ligand_130     5.53    
1a30_ligand_141     4.72    
1a30_ligand_144     5.46    
1a30_ligand_147     5.16    
1a30_ligand_15      5.11    
1a30_ligand_150     5.41    
1a30_ligand_153     5.36    
1a30_ligand_161     5.24    
1a30_ligand_173     5.22    
1a30_ligand_174     5.40    
1a30_ligand_175     5.30    
1a30_ligand_178     5.32    
1a30_ligand_18      4.90    
1a30_ligand_181     5.16    
1a30_ligand_185     5.30    
1a30_ligand_186     5.20    
1a30_ligand_201     4.68    
1a30_ligand_202     4.94    
1a30_ligand_206     4.77    
1a30_ligand_207     4.49    
1a30_ligand_208     4.94    
1a30_ligand_209     4.96    
1a30_ligand_21      5.35    
1a30_ligand_210     4.71    
1a30_ligand_211     4.81    
1a30_ligand_213     5.08    
1a30_ligand_216     4.78    
1a30_ligand_217     4.72    
1a30_ligand_221     4.72    
1a30_ligand_222     4.81    
1a30_ligand_223     4.91    
1a30_ligand_226     4.80    
1a30_ligand_228     4.69    
1a30_ligand_231     4.72    
1a30_ligand_232     4.69    
1a30_ligand_237     4.79    
1a30_ligand_238     4.90    
1a30_ligand_241     4.60    
1a30_ligand_243     4.44    
1a30_ligand_245     4.88    
1a30_ligand_246     4.93    
1a30_ligand_247     4.72    
1a30_ligand_249     4.66    
1a30_ligand_250     4.74    
1a30_ligand_259     5.04    
1a30_ligand_26      4.95    
1a30_ligand_261     5.60    
1a30_ligand_278     4.81    
1a30_ligand_280     5.13    
1a30_ligand_287     5.44    
1a30_ligand_292     5.06    
1a30_ligand_294     5.02    
1a30_ligand_297     5.23    
1a30_ligand_301     5.29    
1a30_ligand_322     5.08    
1a30_ligand_328     5.12    
1a30_ligand_329     4.77    
1a30_ligand_33      4.75    
1a30_ligand_339     5.21    
1a30_ligand_34      5.10    
1a30_ligand_340     5.23    
1a30_ligand_345     5.34    
1a30_ligand_350     5.02    
1a30_ligand_351     5.85    
1a30_ligand_38      4.91    
1a30_ligand_388     5.36    
1a30_ligand_395     5.45    
1a30_ligand_398     5.52    
1a30_ligand_412     5.55    
1a30_ligand_43      4.86    
1a30_ligand_441     5.64    
1a30_ligand_448     5.50    
1a30_ligand_449     5.43    
1a30_ligand_452     5.64    
1a30_ligand_46      5.09    
1a30_ligand_469     5.66    
1a30_ligand_484     5.73    
1a30_ligand_488     5.40    
1a30_ligand_500     5.42    
1a30_ligand_59      5.12    
1a30_ligand_60      5.44    
1a30_ligand_62      4.54    
1a30_ligand_63      5.16    
1a30_ligand_76      5.35    
1a30_ligand_78      5.18    
1a30_ligand_82      5.32    
1a30_ligand_84      5.34    
1a30_ligand_85      4.77    
1a30_ligand_88      5.12    
1a30_ligand_95      4.73    
1a30_ligand_99      5.15    
1bcu_ligand_152     6.08    
1bcu_ligand_156     6.14    
1bcu_ligand_173     6.10    
1bcu_ligand_175     6.23    
1bcu_ligand_181     6.01    
1bcu_ligand_184     6.20    
1bcu_ligand_19      6.27    
1bcu_ligand_191     5.91    
1bcu_ligand_194     6.26    
1bcu_ligand_196     5.86    
1bcu_ligand_197     6.01    
1bcu_ligand_202     6.22    
1bcu_ligand_210     6.27    
1bcu_ligand_216     6.08    
1bcu_ligand_217     6.24    
1bcu_ligand_220     5.69    
1bcu_ligand_226     6.18    
1bcu_ligand_228     6.14    
1bcu_ligand_229     5.69    
1bcu_ligand_230     6.05    
1bcu_ligand_232     6.08    
1bcu_ligand_241     5.62    
1bcu_ligand_243     5.89    
1bcu_ligand_244     5.68    
1bcu_ligand_245     5.70    
1bcu_ligand_247     5.79    
1bcu_ligand_248     5.72    
1bcu_ligand_250     5.66    
1bcu_ligand_251     5.51    
1bcu_ligand_254     5.48    
1bcu_ligand_263     5.52    
1bcu_ligand_264     6.28    
1bcu_ligand_272     5.68    
1bcu_ligand_274     5.40    
