#code_ligand_num    score   
1a30_ligand_10      5.72    
1a30_ligand_103     5.20    
1a30_ligand_106     5.71    
1a30_ligand_107     5.53    
1a30_ligand_111     5.91    
1a30_ligand_119     5.79    
1a30_ligand_121     5.79    
1a30_ligand_123     5.81    
1a30_ligand_128     5.42    
1a30_ligand_130     5.64    
1a30_ligand_159     5.20    
1a30_ligand_163     5.36    
1a30_ligand_167     5.36    
1a30_ligand_173     5.42    
1a30_ligand_176     5.55    
1a30_ligand_179     5.38    
1a30_ligand_181     5.39    
1a30_ligand_182     5.41    
1a30_ligand_195     5.45    
1a30_ligand_209     5.16    
1a30_ligand_214     5.60    
1a30_ligand_217     5.16    
1a30_ligand_22      5.61    
1a30_ligand_220     5.28    
1a30_ligand_221     5.16    
1a30_ligand_222     4.80    
1a30_ligand_223     5.04    
1a30_ligand_224     5.71    
1a30_ligand_228     4.99    
1a30_ligand_230     5.14    
1a30_ligand_232     5.22    
1a30_ligand_235     4.92    
1a30_ligand_236     5.90    
1a30_ligand_238     5.38    
1a30_ligand_239     4.73    
1a30_ligand_247     5.21    
1a30_ligand_257     5.03    
1a30_ligand_258     5.64    
1a30_ligand_259     5.20    
1a30_ligand_264     5.56    
1a30_ligand_266     5.33    
1a30_ligand_279     5.44    
1a30_ligand_284     5.63    
1a30_ligand_288     4.99    
1a30_ligand_29      6.00    
1a30_ligand_291     5.06    
1a30_ligand_292     4.97    
1a30_ligand_294     5.24    
1a30_ligand_300     5.87    
1a30_ligand_305     5.00    
1a30_ligand_306     5.36    
1a30_ligand_313     4.97    
1a30_ligand_315     4.88    
1a30_ligand_321     4.88    
1a30_ligand_324     4.96    
1a30_ligand_325     4.97    
1a30_ligand_326     4.98    
1a30_ligand_33      5.71    
1a30_ligand_330     5.25    
1a30_ligand_336     4.83    
1a30_ligand_34      5.81    
1a30_ligand_340     5.18    
1a30_ligand_342     5.04    
1a30_ligand_349     5.36    
1a30_ligand_352     5.10    
1a30_ligand_36      5.62    
1a30_ligand_364     5.29    
1a30_ligand_365     5.30    
1a30_ligand_366     5.26    
1a30_ligand_370     5.58    
1a30_ligand_371     5.69    
1a30_ligand_38      5.73    
1a30_ligand_382     5.36    
1a30_ligand_383     5.64    
1a30_ligand_387     5.81    
1a30_ligand_394     5.79    
1a30_ligand_397     5.36    
1a30_ligand_399     5.73    
1a30_ligand_4       5.43    
1a30_ligand_408     5.74    
1a30_ligand_41      5.48    
1a30_ligand_417     5.70    
1a30_ligand_429     5.45    
1a30_ligand_448     5.33    
1a30_ligand_449     5.18    
1a30_ligand_45      5.47    
1a30_ligand_48      5.67    
1a30_ligand_483     5.56    
1a30_ligand_49      5.57    
1a30_ligand_50      5.77    
1a30_ligand_56      5.43    
1a30_ligand_58      5.62    
1a30_ligand_61      5.60    
1a30_ligand_71      5.62    
1a30_ligand_74      5.44    
1a30_ligand_78      5.69    
1a30_ligand_81      5.43    
1a30_ligand_83      5.55    
1a30_ligand_9       5.64    
1a30_ligand_96      5.55    
1bcu_ligand_152     5.85    
1bcu_ligand_153     5.98    
1bcu_ligand_155     5.87    
1bcu_ligand_161     5.78    
1bcu_ligand_171     5.96    
1bcu_ligand_176     6.08    
1bcu_ligand_185     5.71    
1bcu_ligand_186     6.14    
1bcu_ligand_187     6.31    
1bcu_ligand_194     5.91    
1bcu_ligand_197     6.29    
1bcu_ligand_204     6.27    
1bcu_ligand_210     6.38    
1bcu_ligand_225     6.34    
1bcu_ligand_232     6.34    
1bcu_ligand_235     6.44    
1bcu_ligand_236     6.30    
1bcu_ligand_241     6.27    
1bcu_ligand_248     6.24    
1bcu_ligand_249     6.22    
1bcu_ligand_252     5.46    
1bcu_ligand_254     5.20    
1bcu_ligand_259     5.54    
1bcu_ligand_266     6.33    
1bcu_ligand_270     6.32    
1bcu_ligand_277     5.37    
1bcu_ligand_284     6.17    
1bcu_ligand_294     5.35    
1bcu_ligand_296     5.95    
1bcu_ligand_302     5.62    
1bcu_ligand_303     6.36    
1bcu_ligand_308     5.54    
1bcu_ligand_309     5.38    
1bcu_ligand_312     5.66    
1bcu_ligand_316     6.15    
1bcu_ligand_317     6.22    
1bcu_ligand_319     6.36    
1bcu_ligand_325     6.18    
1bcu_ligand_327     6.32    
1bcu_ligand_335     6.28    
1bcu_ligand_337     6.37    
1bcu_ligand_338     6.28    
1bcu_ligand_340     6.27    
1bcu_ligand_341     6.19    
1bcu_ligand_349     5.71    
1bcu_ligand_351     6.45    
1bcu_ligand_355     6.45    
1bcu_ligand_356     5.30    
1bcu_ligand_358     5.33    
1bcu_ligand_362     5.48    
1bcu_ligand_363     6.32    
1bcu_ligand_365     6.29    
1bcu_ligand_366     5.42    
1bcu_ligand_367     6.24    
1bcu_ligand_372     5.34    
1bcu_ligand_373     6.23    
1bcu_ligand_374     6.14    
1bcu_ligand_376     5.32    
1bcu_ligand_377     5.34    
1bcu_ligand_378     6.08    
1bcu_ligand_379     6.28    
1bcu_ligand_380     6.25    
1bcu_ligand_381     6.34    
1bcu_ligand_382     5.73    
1bcu_ligand_384     5.85    
1bcu_ligand_385     5.41    
1bcu_ligand_386     5.27    
1bcu_ligand_387     5.31    
1bcu_ligand_388     5.46    
1bcu_ligand_389     5.29    
1bcu_ligand_391     6.08    
1bcu_ligand_392     6.01    
1bcu_ligand_393     5.73    
1bcu_ligand_395     5.73    
1bcu_ligand_396     6.39    
1bcu_ligand_397     5.43    
1bcu_ligand_398     6.34    
1bcu_ligand_399     6.23    
1bcu_ligand_400     5.28    
1bcu_ligand_405     5.43    
1bcu_ligand_406     6.09    
1bcu_ligand_408     6.46    
1bcu_ligand_409     5.34    
