#code_ligand_num    score   
1a30_ligand_10      4.83    
1a30_ligand_100     4.48    
1a30_ligand_103     4.83    
1a30_ligand_107     4.82    
1a30_ligand_110     4.79    
1a30_ligand_111     4.90    
1a30_ligand_118     5.02    
1a30_ligand_12      5.04    
1a30_ligand_128     5.07    
1a30_ligand_130     5.05    
1a30_ligand_136     5.02    
1a30_ligand_140     5.31    
1a30_ligand_142     4.81    
1a30_ligand_143     5.04    
1a30_ligand_146     5.21    
1a30_ligand_148     5.15    
1a30_ligand_149     5.26    
1a30_ligand_16      5.10    
1a30_ligand_17      5.09    
1a30_ligand_187     4.97    
1a30_ligand_191     5.32    
1a30_ligand_194     5.46    
1a30_ligand_214     4.90    
1a30_ligand_215     4.97    
1a30_ligand_219     4.94    
1a30_ligand_229     4.85    
1a30_ligand_23      5.24    
1a30_ligand_232     4.55    
1a30_ligand_238     5.49    
1a30_ligand_24      5.28    
1a30_ligand_240     4.53    
1a30_ligand_244     5.02    
1a30_ligand_251     5.34    
1a30_ligand_256     5.21    
1a30_ligand_265     5.15    
1a30_ligand_269     4.79    
1a30_ligand_275     5.19    
1a30_ligand_277     4.78    
1a30_ligand_285     5.04    
1a30_ligand_287     5.31    
1a30_ligand_289     4.92    
1a30_ligand_290     5.00    
1a30_ligand_291     5.04    
1a30_ligand_299     4.80    
1a30_ligand_3       5.14    
1a30_ligand_30      5.30    
1a30_ligand_301     4.81    
1a30_ligand_302     4.83    
1a30_ligand_305     4.70    
1a30_ligand_310     5.09    
1a30_ligand_311     4.59    
1a30_ligand_319     5.54    
1a30_ligand_321     4.76    
1a30_ligand_322     4.68    
1a30_ligand_324     5.09    
1a30_ligand_325     4.88    
1a30_ligand_33      5.22    
1a30_ligand_335     4.62    
1a30_ligand_337     5.16    
1a30_ligand_340     4.59    
1a30_ligand_341     4.62    
1a30_ligand_342     4.79    
1a30_ligand_344     4.88    
1a30_ligand_345     4.83    
1a30_ligand_349     4.71    
1a30_ligand_354     5.63    
1a30_ligand_361     5.42    
1a30_ligand_372     5.08    
1a30_ligand_38      4.77    
1a30_ligand_382     5.41    
1a30_ligand_385     5.02    
1a30_ligand_39      5.20    
1a30_ligand_394     4.99    
1a30_ligand_401     5.50    
1a30_ligand_41      4.72    
1a30_ligand_412     5.30    
1a30_ligand_414     5.63    
1a30_ligand_424     5.45    
1a30_ligand_429     5.05    
1a30_ligand_45      4.83    
1a30_ligand_46      4.77    
1a30_ligand_48      4.88    
1a30_ligand_5       5.53    
1a30_ligand_50      5.15    
1a30_ligand_51      5.19    
1a30_ligand_55      4.92    
1a30_ligand_58      5.04    
1a30_ligand_63      4.78    
1a30_ligand_70      4.90    
1a30_ligand_74      4.61    
1a30_ligand_76      4.80    
1a30_ligand_79      4.78    
1a30_ligand_8       4.73    
1a30_ligand_82      4.92    
1a30_ligand_83      4.92    
1a30_ligand_85      4.92    
1a30_ligand_88      4.85    
1a30_ligand_92      4.89    
1a30_ligand_96      4.91    
1a30_ligand_98      4.89    
1bcu_ligand_104     5.81    
1bcu_ligand_119     6.12    
1bcu_ligand_155     5.95    
1bcu_ligand_160     6.08    
1bcu_ligand_169     6.04    
1bcu_ligand_181     5.40    
1bcu_ligand_184     5.94    
1bcu_ligand_186     5.88    
1bcu_ligand_189     5.92    
1bcu_ligand_196     5.14    
1bcu_ligand_197     5.73    
1bcu_ligand_204     6.21    
1bcu_ligand_209     6.16    
1bcu_ligand_224     6.30    
1bcu_ligand_232     5.67    
1bcu_ligand_242     5.33    
1bcu_ligand_243     6.15    
1bcu_ligand_247     5.75    
1bcu_ligand_258     5.15    
1bcu_ligand_264     5.16    
1bcu_ligand_276     5.49    
1bcu_ligand_285     5.64    
1bcu_ligand_294     6.07    
1bcu_ligand_296     5.86    
1bcu_ligand_299     5.82    
1bcu_ligand_300     5.50    
1bcu_ligand_302     5.89    
1bcu_ligand_308     6.22    
1bcu_ligand_319     5.96    
1bcu_ligand_322     5.74    
1bcu_ligand_332     5.33    
1bcu_ligand_341     6.09    
1bcu_ligand_343     5.95    
1bcu_ligand_349     6.16    
1bcu_ligand_352     6.00    
1bcu_ligand_354     6.18    
1bcu_ligand_356     6.08    
1bcu_ligand_357     5.12    
1bcu_ligand_359     5.00    
1bcu_ligand_360     5.44    
1bcu_ligand_361     5.13    
1bcu_ligand_362     6.18    
1bcu_ligand_364     4.99    
1bcu_ligand_365     5.79    
