#code_ligand_num    score   
1a30_ligand_100     5.31    
1a30_ligand_104     4.96    
1a30_ligand_107     5.29    
1a30_ligand_109     4.84    
1a30_ligand_111     5.74    
1a30_ligand_113     5.46    
1a30_ligand_119     4.56    
1a30_ligand_122     5.78    
1a30_ligand_126     4.87    
1a30_ligand_127     5.05    
1a30_ligand_136     5.11    
1a30_ligand_139     5.38    
1a30_ligand_146     5.62    
1a30_ligand_149     5.02    
1a30_ligand_150     4.78    
1a30_ligand_156     6.02    
1a30_ligand_171     5.19    
1a30_ligand_186     5.58    
1a30_ligand_187     5.45    
1a30_ligand_188     5.26    
1a30_ligand_194     5.42    
1a30_ligand_2       5.45    
1a30_ligand_206     4.50    
1a30_ligand_207     4.50    
1a30_ligand_208     4.65    
1a30_ligand_209     4.69    
1a30_ligand_210     5.06    
1a30_ligand_211     5.42    
1a30_ligand_214     4.48    
1a30_ligand_215     5.10    
1a30_ligand_217     4.63    
1a30_ligand_218     4.44    
1a30_ligand_222     4.86    
1a30_ligand_223     4.44    
1a30_ligand_224     4.78    
1a30_ligand_231     4.62    
1a30_ligand_233     4.58    
1a30_ligand_236     4.40    
1a30_ligand_239     4.55    
1a30_ligand_240     4.64    
1a30_ligand_241     4.68    
1a30_ligand_243     4.70    
1a30_ligand_246     4.21    
1a30_ligand_248     4.66    
1a30_ligand_249     5.06    
1a30_ligand_25      5.03    
1a30_ligand_258     5.25    
1a30_ligand_260     5.19    
1a30_ligand_275     5.16    
1a30_ligand_287     5.39    
1a30_ligand_296     5.28    
1a30_ligand_306     5.01    
1a30_ligand_31      4.89    
1a30_ligand_314     5.41    
1a30_ligand_324     5.31    
1a30_ligand_325     5.08    
1a30_ligand_334     5.31    
1a30_ligand_337     4.51    
1a30_ligand_341     5.06    
1a30_ligand_345     5.18    
1a30_ligand_350     4.94    
1a30_ligand_36      4.98    
1a30_ligand_364     6.03    
1a30_ligand_368     6.11    
1a30_ligand_37      5.34    
1a30_ligand_370     6.20    
1a30_ligand_388     5.88    
1a30_ligand_393     5.41    
1a30_ligand_400     5.69    
1a30_ligand_42      5.05    
1a30_ligand_425     5.44    
1a30_ligand_426     6.06    
1a30_ligand_437     6.29    
1a30_ligand_44      4.96    
1a30_ligand_467     5.77    
1a30_ligand_48      4.96    
1a30_ligand_5       5.61    
1a30_ligand_52      4.86    
1a30_ligand_54      5.20    
1a30_ligand_57      4.85    
1a30_ligand_59      4.73    
1a30_ligand_61      4.80    
1a30_ligand_62      4.98    
1a30_ligand_65      4.64    
1a30_ligand_68      4.94    
1a30_ligand_71      5.20    
1a30_ligand_73      4.71    
1a30_ligand_76      5.05    
1a30_ligand_77      4.71    
1a30_ligand_78      5.05    
1a30_ligand_81      4.54    
1a30_ligand_86      5.28    
1a30_ligand_87      4.36    
1a30_ligand_9       5.34    
1a30_ligand_91      4.88    
1a30_ligand_92      5.08    
1a30_ligand_93      4.85    
1a30_ligand_94      4.83    
1a30_ligand_97      5.08    
1a30_ligand_99      4.74    
1bcu_ligand_105     5.79    
1bcu_ligand_127     5.70    
1bcu_ligand_14      6.09    
1bcu_ligand_15      6.31    
1bcu_ligand_160     5.99    
1bcu_ligand_163     5.93    
1bcu_ligand_171     6.38    
1bcu_ligand_174     5.82    
1bcu_ligand_191     6.22    
1bcu_ligand_196     5.75    
1bcu_ligand_199     5.76    
1bcu_ligand_201     6.59    
1bcu_ligand_203     6.02    
1bcu_ligand_215     5.93    
1bcu_ligand_216     5.77    
1bcu_ligand_218     6.17    
1bcu_ligand_219     6.00    
1bcu_ligand_220     5.83    
1bcu_ligand_222     6.06    
1bcu_ligand_231     5.91    
1bcu_ligand_232     5.90    
1bcu_ligand_234     6.00    
1bcu_ligand_236     5.94    
1bcu_ligand_237     5.77    
1bcu_ligand_240     6.02    
1bcu_ligand_241     6.04    
1bcu_ligand_243     5.96    
1bcu_ligand_263     5.61    
1bcu_ligand_264     5.59    
1bcu_ligand_269     5.69    
1bcu_ligand_280     5.70    
1bcu_ligand_282     5.64    
1bcu_ligand_283     6.30    
1bcu_ligand_284     5.66    
1bcu_ligand_295     5.72    
1bcu_ligand_300     5.72    
1bcu_ligand_312     5.97    
1bcu_ligand_317     6.17    
1bcu_ligand_327     5.85    
1bcu_ligand_33      6.15    
1bcu_ligand_335     5.96    
1bcu_ligand_348     6.07    
1bcu_ligand_350     5.73    
1bcu_ligand_355     5.47    
1bcu_ligand_359     5.52    
1bcu_ligand_360     5.58    
1bcu_ligand_361     5.46    
1bcu_ligand_362     5.47    
1bcu_ligand_364     5.49    
1bcu_ligand_365     5.46    
1bcu_ligand_369     5.56    
1bcu_ligand_372     5.64    
1bcu_ligand_377     5.62    
1bcu_ligand_379     5.61    
1bcu_ligand_380     5.39    
1bcu_ligand_382     5.46    
1bcu_ligand_384     5.49    
1bcu_ligand_386     5.54    
1bcu_ligand_387     5.44    
1bcu_ligand_388     5.61    
1bcu_ligand_389     5.63    
1bcu_ligand_390     5.49    
1bcu_ligand_391     5.57    
1bcu_ligand_393     5.31    
1bcu_ligand_394     5.41    
1bcu_ligand_398     5.22    
1bcu_ligand_4       6.26    
1bcu_ligand_400     5.24    
1bcu_ligand_403     5.85    
1bcu_ligand_409     5.56    
1bcu_ligand_410     5.69    
1bcu_ligand_412     5.73    
1bcu_ligand_413     5.58    
1bcu_ligand_417     5.56    
1bcu_ligand_423     5.68    
1bcu_ligand_427     5.62    
1bcu_ligand_434     5.62    
1bcu_ligand_438     5.56    
1bcu_ligand_440     5.70    
1bcu_ligand_444     5.84    
1bcu_ligand_446     5.67    
1bcu_ligand_447     5.52    
1bcu_ligand_448     5.53    
1bcu_ligand_451     6.06    
1bcu_ligand_453     5.90    
1bcu_ligand_454     5.71    
1bcu_ligand_456     5.81    
1bcu_ligand_459     5.67    
1bcu_ligand_463     5.71    
1bcu_ligand_478     5.69    
1bcu_ligand_479     5.59    
1bcu_ligand_483     5.78    
1bcu_ligand_484     5.81    
1bcu_ligand_486     5.57    
1bcu_ligand_494     5.63    
1bcu_ligand_495     5.88    
1bcu_ligand_50      6.25    
1bcu_ligand_60      6.06    
1bcu_ligand_90      6.07    
1bcu_ligand_97      5.82    
1bzc_ligand_100     6.22    
1bzc_ligand_110     6.18    
1bzc_ligand_122     5.28    
1bzc_ligand_125     6.11    
1bzc_ligand_136     6.42    
1bzc_ligand_137     6.35    
1bzc_ligand_138     6.10    
1bzc_ligand_14      6.33    
1bzc_ligand_167     6.03    
1bzc_ligand_187     5.87    
1bzc_ligand_188     5.72    
1bzc_ligand_19      6.13    
1bzc_ligand_192     6.13    
1bzc_ligand_196     6.14    
1bzc_ligand_200     6.10    
1bzc_ligand_202     5.64    
1bzc_ligand_204     6.15    
1bzc_ligand_206     6.16    
1bzc_ligand_207     5.95    
1bzc_ligand_209     5.76    
1bzc_ligand_21      6.24    
1bzc_ligand_210     6.13    
1bzc_ligand_211     5.78    
1bzc_ligand_212     5.57    
1bzc_ligand_213     5.61    
1bzc_ligand_214     6.12    
1bzc_ligand_215     5.53    
1bzc_ligand_216     5.75    
1bzc_ligand_218     5.49    
1bzc_ligand_219     5.81    
1bzc_ligand_220     5.40    
1bzc_ligand_221     5.70    
1bzc_ligand_223     5.96    
1bzc_ligand_224     5.79    
1bzc_ligand_226     5.92    
1bzc_ligand_228     5.73    
1bzc_ligand_229     5.58    
1bzc_ligand_231     5.74    
1bzc_ligand_233     5.86    
1bzc_ligand_236     5.68    
1bzc_ligand_237     5.54    
1bzc_ligand_238     5.85    
1bzc_ligand_239     5.69    
1bzc_ligand_241     5.50    
1bzc_ligand_242     5.77    
1bzc_ligand_243     5.66    
1bzc_ligand_245     5.52    
1bzc_ligand_246     5.53    
1bzc_ligand_256     6.23    
1bzc_ligand_263     5.91    
1bzc_ligand_269     6.17    
1bzc_ligand_27      6.20    
1bzc_ligand_280     5.81    
1bzc_ligand_281     5.98    
1bzc_ligand_284     6.10    
1bzc_ligand_289     6.08    
1bzc_ligand_290     6.26    
1bzc_ligand_3       6.88    
1bzc_ligand_30      6.63    
1bzc_ligand_304     5.92    
1bzc_ligand_307     6.03    
1bzc_ligand_308     5.94    
1bzc_ligand_310     6.00    
1bzc_ligand_312     5.75    
1bzc_ligand_317     5.52    
1bzc_ligand_318     5.75    
1bzc_ligand_328     6.13    
1bzc_ligand_329     5.96    
1bzc_ligand_335     5.67    
1bzc_ligand_336     5.89    
1bzc_ligand_341     5.80    
1bzc_ligand_350     5.80    
1bzc_ligand_353     6.33    
1bzc_ligand_363     6.57    
1bzc_ligand_376     6.73    
1bzc_ligand_38      6.23    
1bzc_ligand_384     6.21    
1bzc_ligand_4       6.16    
1bzc_ligand_44      6.74    
1bzc_ligand_48      6.19    
1bzc_ligand_50      6.19    
1bzc_ligand_51      6.16    
1bzc_ligand_58      6.14    
1bzc_ligand_60      6.12    
1bzc_ligand_65      6.20    
1bzc_ligand_68      5.99    
1bzc_ligand_69      6.14    
1bzc_ligand_7       5.95    
1bzc_ligand_71      6.43    
1bzc_ligand_73      5.91    
1bzc_ligand_74      6.46    
1bzc_ligand_8       6.23    
1bzc_ligand_80      6.31    
1bzc_ligand_83      5.92    
1bzc_ligand_86      5.46    
1bzc_ligand_89      5.69    
1bzc_ligand_93      6.36    
1bzc_ligand_95      6.50    
1bzc_ligand_98      6.02    
1bzc_ligand_99      6.15    
1c5z_ligand_105     5.59    
1c5z_ligand_106     5.17    
1c5z_ligand_11      5.68    
1c5z_ligand_127     5.47    
1c5z_ligand_153     5.49    
1c5z_ligand_158     5.30    
1c5z_ligand_160     5.24    
1c5z_ligand_162     5.31    
1c5z_ligand_163     5.47    
1c5z_ligand_170     5.59    
1c5z_ligand_172     5.29    
1c5z_ligand_178     5.33    
1c5z_ligand_185     5.66    
1c5z_ligand_188     5.19    
1c5z_ligand_191     5.09    
1c5z_ligand_193     5.28    
1c5z_ligand_195     5.29    
1c5z_ligand_197     5.35    
1c5z_ligand_200     5.48    
1c5z_ligand_201     5.54    
1c5z_ligand_205     5.58    
1c5z_ligand_206     5.52    
1c5z_ligand_208     5.39    
1c5z_ligand_21      5.57    
1c5z_ligand_210     5.44    
1c5z_ligand_219     5.52    
1c5z_ligand_221     5.45    
1c5z_ligand_222     5.24    
1c5z_ligand_223     5.32    
1c5z_ligand_225     5.44    
1c5z_ligand_226     5.37    
1c5z_ligand_229     5.55    
1c5z_ligand_230     5.70    
1c5z_ligand_233     5.45    
1c5z_ligand_234     5.57    
1c5z_ligand_237     5.33    
1c5z_ligand_242     5.34    
1c5z_ligand_243     5.44    
1c5z_ligand_245     5.22    
1c5z_ligand_246     5.32    
1c5z_ligand_247     5.25    
1c5z_ligand_248     5.32    
1c5z_ligand_252     5.39    
1c5z_ligand_253     5.18    
1c5z_ligand_256     5.34    
1c5z_ligand_257     5.09    
1c5z_ligand_261     5.24    
1c5z_ligand_263     5.47    
1c5z_ligand_266     5.14    
1c5z_ligand_267     5.23    
1c5z_ligand_268     5.13    
1c5z_ligand_271     5.07    
1c5z_ligand_274     5.11    
1c5z_ligand_275     5.19    
1c5z_ligand_276     5.45    
1c5z_ligand_277     5.11    
1c5z_ligand_278     5.13    
1c5z_ligand_285     5.06    
1c5z_ligand_287     5.31    
1c5z_ligand_289     5.40    
1c5z_ligand_290     4.95    
1c5z_ligand_294     5.14    
1c5z_ligand_295     5.22    
1c5z_ligand_296     5.41    
1c5z_ligand_300     5.08    
1c5z_ligand_301     5.01    
1c5z_ligand_305     5.06    
1c5z_ligand_308     4.94    
1c5z_ligand_309     5.07    
1c5z_ligand_312     4.90    
1c5z_ligand_313     5.14    
1c5z_ligand_316     5.05    
1c5z_ligand_320     5.13    
1c5z_ligand_328     5.17    
1c5z_ligand_329     5.05    
1c5z_ligand_330     5.25    
1c5z_ligand_335     4.89    
1c5z_ligand_337     5.45    
1c5z_ligand_34      5.51    
1c5z_ligand_342     5.32    
1c5z_ligand_347     5.33    
1c5z_ligand_349     4.95    
1c5z_ligand_361     5.05    
1c5z_ligand_384     5.20    
1c5z_ligand_387     5.11    
1c5z_ligand_390     5.27    
1c5z_ligand_394     5.32    
1c5z_ligand_396     5.11    
1c5z_ligand_398     5.23    
1c5z_ligand_400     5.30    
1c5z_ligand_401     5.10    
1c5z_ligand_402     5.16    
1c5z_ligand_409     5.41    
1c5z_ligand_410     5.22    
1c5z_ligand_428     5.09    
1c5z_ligand_451     5.21    
1c5z_ligand_488     5.49    
1c5z_ligand_81      5.41    
1c5z_ligand_89      5.50    
1c5z_ligand_98      5.48    
1e66_ligand_102     6.96    
1e66_ligand_129     6.39    
1e66_ligand_165     6.25    
1e66_ligand_170     6.61    
1e66_ligand_172     6.34    
1e66_ligand_174     6.45    
1e66_ligand_175     6.13    
1e66_ligand_188     6.32    
1e66_ligand_19      6.50    
1e66_ligand_192     6.94    
1e66_ligand_193     6.41    
1e66_ligand_194     6.40    
1e66_ligand_196     6.31    
1e66_ligand_198     5.96    
1e66_ligand_200     6.27    
1e66_ligand_202     6.18    
1e66_ligand_204     6.11    
1e66_ligand_205     6.00    
1e66_ligand_207     5.95    
1e66_ligand_208     6.14    
1e66_ligand_209     5.99    
1e66_ligand_212     5.75    
1e66_ligand_215     5.69    
1e66_ligand_216     5.98    
1e66_ligand_218     5.93    
1e66_ligand_219     5.92    
1e66_ligand_22      6.39    
1e66_ligand_220     5.88    
1e66_ligand_221     5.55    
1e66_ligand_224     5.98    
1e66_ligand_225     5.62    
1e66_ligand_228     5.53    
1e66_ligand_229     5.86    
1e66_ligand_230     6.11    
1e66_ligand_231     6.26    
1e66_ligand_232     5.97    
1e66_ligand_233     5.85    
1e66_ligand_238     5.89    
1e66_ligand_239     6.20    
1e66_ligand_241     6.61    
1e66_ligand_242     5.85    
1e66_ligand_244     5.79    
1e66_ligand_245     6.28    
1e66_ligand_248     5.67    
1e66_ligand_25      6.53    
1e66_ligand_250     5.47    
1e66_ligand_254     6.22    
1e66_ligand_255     6.17    
1e66_ligand_257     6.02    
1e66_ligand_258     6.05    
1e66_ligand_264     6.13    
1e66_ligand_267     6.71    
1e66_ligand_268     6.30    
1e66_ligand_270     6.66    
1e66_ligand_272     6.22    
1e66_ligand_273     6.69    
1e66_ligand_277     6.12    
1e66_ligand_281     6.40    
1e66_ligand_283     6.17    
1e66_ligand_286     6.04    
1e66_ligand_287     6.32    
1e66_ligand_288     5.76    
1e66_ligand_289     6.56    
1e66_ligand_290     6.15    
1e66_ligand_292     6.57    
1e66_ligand_294     6.44    
1e66_ligand_295     6.17    
1e66_ligand_298     5.94    
1e66_ligand_299     6.54    
1e66_ligand_30      6.37    
1e66_ligand_310     6.83    
1e66_ligand_320     6.54    
1e66_ligand_321     6.50    
1e66_ligand_322     6.43    
1e66_ligand_330     6.40    
1e66_ligand_333     6.36    
1e66_ligand_334     6.22    
1e66_ligand_338     6.60    
1e66_ligand_340     6.13    
1e66_ligand_341     6.30    
1e66_ligand_346     6.21    
1e66_ligand_347     6.10    
1e66_ligand_350     6.64    
1e66_ligand_352     6.60    
1e66_ligand_364     5.95    
1e66_ligand_366     6.37    
1e66_ligand_369     6.20    
1e66_ligand_372     6.02    
1e66_ligand_384     6.11    
1e66_ligand_387     6.38    
1e66_ligand_389     6.15    
1e66_ligand_392     6.07    
1e66_ligand_393     6.24    
1e66_ligand_396     6.66    
1e66_ligand_413     6.42    
1e66_ligand_416     6.33    
1e66_ligand_440     6.35    
1e66_ligand_45      6.51    
1e66_ligand_463     6.26    
1e66_ligand_486     6.55    
1eby_ligand_101     6.62    
1eby_ligand_105     6.48    
1eby_ligand_106     6.62    
1eby_ligand_107     6.69    
1eby_ligand_109     6.37    
1eby_ligand_110     6.60    
1eby_ligand_111     6.54    
1eby_ligand_112     7.35    
1eby_ligand_116     6.29    
1eby_ligand_117     6.36    
1eby_ligand_12      6.89    
1eby_ligand_121     6.03    
1eby_ligand_124     6.56    
1eby_ligand_125     6.59    
1eby_ligand_128     6.74    
1eby_ligand_134     6.66    
1eby_ligand_136     6.46    
1eby_ligand_138     6.92    
1eby_ligand_141     6.22    
1eby_ligand_145     6.76    
1eby_ligand_147     6.42    
1eby_ligand_148     6.53    
1eby_ligand_149     6.88    
1eby_ligand_150     6.16    
1eby_ligand_154     6.76    
1eby_ligand_180     6.83    
1eby_ligand_183     6.58    
1eby_ligand_185     6.73    
1eby_ligand_194     7.07    
1eby_ligand_195     7.16    
1eby_ligand_200     7.61    
1eby_ligand_207     5.94    
1eby_ligand_208     6.29    
1eby_ligand_21      6.62    
1eby_ligand_211     6.70    
1eby_ligand_213     6.31    
1eby_ligand_214     5.84    
1eby_ligand_215     6.09    
1eby_ligand_216     5.90    
1eby_ligand_217     6.08    
1eby_ligand_224     6.22    
1eby_ligand_229     5.89    
1eby_ligand_230     6.29    
1eby_ligand_232     6.08    
1eby_ligand_234     6.32    
1eby_ligand_235     6.19    
1eby_ligand_236     6.74    
1eby_ligand_238     6.59    
1eby_ligand_240     6.00    
1eby_ligand_243     5.79    
1eby_ligand_247     6.14    
1eby_ligand_249     5.98    
1eby_ligand_266     7.01    
1eby_ligand_272     6.13    
1eby_ligand_277     7.22    
1eby_ligand_280     6.63    
1eby_ligand_282     6.00    
1eby_ligand_296     5.98    
1eby_ligand_3       6.84    
1eby_ligand_320     6.50    
1eby_ligand_324     6.22    
1eby_ligand_333     6.92    
1eby_ligand_340     6.65    
1eby_ligand_348     6.43    
1eby_ligand_351     8.38    
1eby_ligand_352     7.18    
1eby_ligand_368     7.39    
1eby_ligand_369     7.32    
1eby_ligand_38      6.96    
1eby_ligand_380     6.71    
1eby_ligand_381     7.47    
1eby_ligand_383     7.03    
1eby_ligand_385     7.33    
1eby_ligand_388     7.27    
1eby_ligand_390     7.48    
1eby_ligand_399     8.22    
1eby_ligand_40      6.59    
1eby_ligand_413     7.42    
1eby_ligand_416     7.49    
1eby_ligand_42      6.66    
1eby_ligand_432     8.09    
1eby_ligand_450     7.44    
1eby_ligand_51      6.94    
1eby_ligand_52      7.07    
1eby_ligand_57      6.45    
1eby_ligand_58      6.78    
1eby_ligand_62      6.93    
1eby_ligand_68      6.72    
1eby_ligand_69      6.58    
1eby_ligand_70      6.45    
1eby_ligand_72      6.82    
1eby_ligand_77      7.02    
1eby_ligand_80      6.72    
1eby_ligand_84      6.87    
1eby_ligand_85      7.12    
1eby_ligand_90      6.93    
1eby_ligand_91      7.19    
1eby_ligand_95      6.74    
1eby_ligand_96      7.29    
1eby_ligand_99      6.40    
1g2k_ligand_105     6.99    
1g2k_ligand_106     6.55    
1g2k_ligand_113     6.63    
1g2k_ligand_114     6.57    
1g2k_ligand_12      6.55    
1g2k_ligand_122     6.59    
1g2k_ligand_126     6.03    
1g2k_ligand_135     6.17    
1g2k_ligand_137     7.02    
1g2k_ligand_141     6.39    
1g2k_ligand_145     6.28    
1g2k_ligand_151     6.82    
1g2k_ligand_166     6.46    
1g2k_ligand_17      6.46    
1g2k_ligand_182     6.26    
1g2k_ligand_187     6.79    
1g2k_ligand_189     6.60    
1g2k_ligand_19      6.18    
1g2k_ligand_194     6.48    
1g2k_ligand_20      6.06    
1g2k_ligand_201     6.39    
1g2k_ligand_206     5.76    
1g2k_ligand_208     5.84    
1g2k_ligand_209     5.98    
1g2k_ligand_21      6.71    
1g2k_ligand_210     5.96    
1g2k_ligand_211     5.92    
1g2k_ligand_212     6.20    
1g2k_ligand_214     6.31    
1g2k_ligand_216     6.04    
1g2k_ligand_217     6.36    
1g2k_ligand_218     6.20    
1g2k_ligand_229     6.38    
1g2k_ligand_23      6.16    
1g2k_ligand_231     6.03    
1g2k_ligand_232     6.23    
1g2k_ligand_233     5.99    
1g2k_ligand_234     5.77    
1g2k_ligand_235     5.98    
1g2k_ligand_236     5.94    
1g2k_ligand_240     6.03    
1g2k_ligand_245     5.77    
1g2k_ligand_246     5.91    
1g2k_ligand_249     6.40    
1g2k_ligand_268     6.14    
1g2k_ligand_271     6.66    
1g2k_ligand_273     6.73    
1g2k_ligand_278     6.13    
1g2k_ligand_279     6.14    
1g2k_ligand_286     6.54    
1g2k_ligand_288     6.39    
1g2k_ligand_29      6.71    
1g2k_ligand_292     6.35    
1g2k_ligand_295     6.56    
1g2k_ligand_297     6.13    
1g2k_ligand_300     6.21    
1g2k_ligand_304     7.12    
1g2k_ligand_306     6.52    
1g2k_ligand_317     6.88    
1g2k_ligand_32      6.73    
1g2k_ligand_325     6.41    
1g2k_ligand_326     6.65    
1g2k_ligand_328     6.52    
1g2k_ligand_335     6.20    
1g2k_ligand_339     6.47    
1g2k_ligand_34      7.00    
1g2k_ligand_340     6.25    
1g2k_ligand_344     6.31    
1g2k_ligand_346     6.79    
1g2k_ligand_347     6.67    
1g2k_ligand_36      6.64    
1g2k_ligand_37      6.27    
1g2k_ligand_371     6.66    
1g2k_ligand_39      6.73    
1g2k_ligand_394     7.44    
1g2k_ligand_420     7.92    
1g2k_ligand_434     6.62    
1g2k_ligand_443     6.53    
1g2k_ligand_445     6.46    
1g2k_ligand_458     6.96    
1g2k_ligand_460     6.70    
1g2k_ligand_465     7.49    
1g2k_ligand_47      6.47    
1g2k_ligand_470     7.85    
1g2k_ligand_478     6.81    
1g2k_ligand_490     6.80    
1g2k_ligand_497     7.16    
1g2k_ligand_53      6.98    
1g2k_ligand_60      6.29    
1g2k_ligand_63      6.57    
1g2k_ligand_64      6.83    
1g2k_ligand_67      6.95    
1g2k_ligand_68      6.37    
1g2k_ligand_7       6.89    
1g2k_ligand_76      7.03    
1g2k_ligand_78      6.30    
1g2k_ligand_82      6.25    
1g2k_ligand_9       6.55    
1g2k_ligand_95      7.00    
1g2k_ligand_97      6.46    
1gpk_ligand_160     5.62    
1gpk_ligand_166     5.58    
1gpk_ligand_167     5.96    
1gpk_ligand_169     5.49    
1gpk_ligand_180     5.53    
1gpk_ligand_189     6.17    
1gpk_ligand_191     6.21    
1gpk_ligand_192     5.28    
1gpk_ligand_195     5.77    
1gpk_ligand_207     5.62    
1gpk_ligand_210     5.69    
1gpk_ligand_217     5.61    
1gpk_ligand_218     5.30    
