#code_ligand_num    score   
1a30_ligand_101     5.11    
1a30_ligand_106     5.18    
1a30_ligand_110     5.09    
1a30_ligand_113     4.92    
1a30_ligand_118     5.29    
1a30_ligand_119     5.00    
1a30_ligand_121     4.93    
1a30_ligand_122     5.09    
1a30_ligand_123     5.27    
1a30_ligand_128     5.08    
1a30_ligand_130     5.02    
1a30_ligand_135     5.19    
1a30_ligand_136     5.00    
1a30_ligand_14      5.20    
1a30_ligand_148     4.82    
1a30_ligand_158     5.32    
1a30_ligand_160     5.05    
1a30_ligand_168     4.99    
1a30_ligand_170     4.84    
1a30_ligand_186     4.87    
1a30_ligand_187     4.85    
1a30_ligand_188     5.05    
1a30_ligand_20      5.20    
1a30_ligand_208     4.59    
1a30_ligand_211     5.04    
1a30_ligand_212     5.09    
1a30_ligand_213     4.92    
1a30_ligand_215     5.00    
1a30_ligand_218     5.11    
1a30_ligand_220     4.51    
1a30_ligand_222     4.89    
1a30_ligand_224     5.01    
1a30_ligand_226     4.85    
1a30_ligand_229     4.73    
1a30_ligand_234     4.62    
1a30_ligand_237     4.78    
1a30_ligand_244     4.65    
1a30_ligand_247     4.80    
1a30_ligand_248     4.62    
1a30_ligand_249     4.76    
1a30_ligand_250     4.83    
1a30_ligand_265     5.30    
1a30_ligand_273     5.13    
1a30_ligand_275     5.10    
1a30_ligand_282     4.72    
1a30_ligand_285     4.85    
1a30_ligand_287     5.18    
1a30_ligand_296     5.17    
1a30_ligand_299     4.84    
1a30_ligand_30      4.95    
1a30_ligand_300     4.81    
1a30_ligand_304     4.84    
1a30_ligand_305     4.83    
1a30_ligand_307     4.85    
1a30_ligand_308     5.06    
1a30_ligand_310     5.16    
1a30_ligand_318     5.15    
1a30_ligand_319     5.05    
1a30_ligand_335     5.11    
1a30_ligand_337     4.99    
1a30_ligand_34      5.21    
1a30_ligand_344     5.10    
1a30_ligand_351     5.32    
1a30_ligand_360     5.26    
1a30_ligand_369     5.31    
1a30_ligand_38      5.13    
1a30_ligand_383     5.34    
1a30_ligand_389     5.25    
1a30_ligand_393     4.88    
1a30_ligand_403     5.08    
1a30_ligand_42      5.09    
1a30_ligand_423     5.24    
1a30_ligand_427     4.97    
1a30_ligand_435     5.39    
1a30_ligand_442     4.91    
1a30_ligand_444     5.35    
1a30_ligand_445     5.29    
1a30_ligand_447     5.06    
1a30_ligand_467     5.38    
1a30_ligand_5       5.01    
1a30_ligand_51      4.59    
1a30_ligand_52      4.85    
1a30_ligand_53      5.03    
1a30_ligand_56      4.56    
1a30_ligand_58      5.04    
1a30_ligand_59      4.76    
1a30_ligand_64      5.10    
1a30_ligand_66      5.21    
1a30_ligand_69      4.63    
1a30_ligand_7       5.02    
1a30_ligand_74      4.62    
1a30_ligand_76      5.05    
1a30_ligand_79      4.60    
1a30_ligand_81      4.98    
1a30_ligand_85      4.46    
1a30_ligand_87      4.98    
1a30_ligand_88      4.76    
1a30_ligand_9       5.02    
1a30_ligand_94      4.81    
1a30_ligand_96      4.97    
1bcu_ligand_1       5.41    
1bcu_ligand_104     5.53    
1bcu_ligand_107     5.62    
1bcu_ligand_118     5.43    
1bcu_ligand_150     5.52    
1bcu_ligand_161     5.31    
1bcu_ligand_181     5.43    
1bcu_ligand_188     5.22    
1bcu_ligand_195     5.29    
1bcu_ligand_212     5.31    
1bcu_ligand_213     5.42    
1bcu_ligand_214     5.52    
1bcu_ligand_228     5.37    
1bcu_ligand_23      5.71    
1bcu_ligand_231     5.50    
1bcu_ligand_232     5.44    
1bcu_ligand_233     5.77    
1bcu_ligand_235     5.39    
1bcu_ligand_236     5.68    
1bcu_ligand_239     5.43    
1bcu_ligand_24      5.71    
1bcu_ligand_241     5.33    
1bcu_ligand_243     5.59    
1bcu_ligand_247     5.50    
1bcu_ligand_255     5.44    
1bcu_ligand_265     5.73    
1bcu_ligand_284     5.29    
1bcu_ligand_290     5.27    
1bcu_ligand_30      5.61    
1bcu_ligand_301     5.43    
1bcu_ligand_308     5.13    
1bcu_ligand_316     5.21    
1bcu_ligand_320     5.42    
1bcu_ligand_321     5.41    
1bcu_ligand_330     5.35    
1bcu_ligand_335     5.20    
1bcu_ligand_341     5.56    
1bcu_ligand_343     5.35    
1bcu_ligand_345     5.47    
1bcu_ligand_351     5.26    
1bcu_ligand_352     5.12    
1bcu_ligand_357     5.25    
1bcu_ligand_362     4.85    
1bcu_ligand_363     5.21    
1bcu_ligand_369     5.31    
1bcu_ligand_370     5.11    
1bcu_ligand_371     4.98    
1bcu_ligand_373     5.28    
1bcu_ligand_375     5.22    
1bcu_ligand_377     5.22    
1bcu_ligand_378     5.05    
1bcu_ligand_380     5.26    
1bcu_ligand_383     5.08    
1bcu_ligand_385     5.00    
1bcu_ligand_386     5.23    
1bcu_ligand_387     5.19    
1bcu_ligand_388     5.07    
1bcu_ligand_39      5.65    
1bcu_ligand_390     5.03    
1bcu_ligand_392     4.67    
1bcu_ligand_393     5.38    
1bcu_ligand_395     4.72    
1bcu_ligand_396     5.33    
1bcu_ligand_397     5.18    
1bcu_ligand_399     4.94    
1bcu_ligand_400     4.97    
1bcu_ligand_401     5.11    
1bcu_ligand_403     5.02    
1bcu_ligand_405     5.40    
1bcu_ligand_408     5.20    
1bcu_ligand_410     5.58    
1bcu_ligand_413     5.01    
1bcu_ligand_414     5.32    
1bcu_ligand_415     4.89    
1bcu_ligand_417     5.27    
1bcu_ligand_420     5.51    
1bcu_ligand_421     4.99    
1bcu_ligand_422     5.01    
1bcu_ligand_425     5.00    
1bcu_ligand_429     5.26    
1bcu_ligand_430     4.98    
1bcu_ligand_433     4.76    
1bcu_ligand_439     4.56    
1bcu_ligand_442     4.97    
1bcu_ligand_447     5.45    
1bcu_ligand_449     5.14    
1bcu_ligand_456     5.54    
1bcu_ligand_459     5.40    
1bcu_ligand_46      5.64    
1bcu_ligand_460     5.44    
1bcu_ligand_462     4.99    
1bcu_ligand_48      5.69    
1bcu_ligand_480     5.40    
1bcu_ligand_482     5.52    
1bcu_ligand_483     5.45    
1bcu_ligand_485     5.04    
1bcu_ligand_488     5.20    
1bcu_ligand_494     5.15    
1bcu_ligand_7       5.39    
1bcu_ligand_86      5.00    
1bzc_ligand_1       5.71    
1bzc_ligand_115     5.67    
1bzc_ligand_117     5.59    
1bzc_ligand_120     5.74    
1bzc_ligand_123     5.66    
1bzc_ligand_15      5.62    
1bzc_ligand_152     5.52    
1bzc_ligand_16      5.79    
1bzc_ligand_176     5.44    
1bzc_ligand_18      5.61    
1bzc_ligand_191     5.64    
1bzc_ligand_192     5.60    
1bzc_ligand_198     5.39    
1bzc_ligand_200     5.44    
1bzc_ligand_202     5.18    
1bzc_ligand_204     5.52    
1bzc_ligand_206     5.39    
1bzc_ligand_208     5.35    
1bzc_ligand_210     5.37    
1bzc_ligand_212     5.55    
1bzc_ligand_217     5.50    
1bzc_ligand_218     5.36    
1bzc_ligand_219     5.60    
1bzc_ligand_221     5.53    
1bzc_ligand_222     5.31    
1bzc_ligand_225     5.19    
1bzc_ligand_227     5.34    
1bzc_ligand_228     5.50    
1bzc_ligand_229     5.31    
1bzc_ligand_233     5.20    
1bzc_ligand_235     5.34    
1bzc_ligand_238     5.35    
1bzc_ligand_245     5.00    
1bzc_ligand_246     5.39    
1bzc_ligand_247     5.35    
