#code_ligand_num    score   
1a30_ligand_100     4.43    
1a30_ligand_102     6.10    
1a30_ligand_104     5.14    
1a30_ligand_110     5.03    
1a30_ligand_113     6.30    
1a30_ligand_115     4.71    
1a30_ligand_119     5.63    
1a30_ligand_12      5.05    
1a30_ligand_121     6.23    
1a30_ligand_124     5.68    
1a30_ligand_125     6.41    
1a30_ligand_127     5.17    
1a30_ligand_132     4.65    
1a30_ligand_133     4.86    
1a30_ligand_134     4.94    
1a30_ligand_137     6.34    
1a30_ligand_15      5.59    
1a30_ligand_16      4.83    
1a30_ligand_160     5.61    
1a30_ligand_18      4.60    
1a30_ligand_185     5.70    
1a30_ligand_19      4.92    
1a30_ligand_2       4.96    
1a30_ligand_20      4.25    
1a30_ligand_201     4.65    
1a30_ligand_202     4.95    
1a30_ligand_204     4.75    
1a30_ligand_206     4.97    
1a30_ligand_208     4.45    
1a30_ligand_209     4.69    
1a30_ligand_212     4.45    
1a30_ligand_216     4.79    
1a30_ligand_217     4.41    
1a30_ligand_218     4.53    
1a30_ligand_219     4.37    
1a30_ligand_22      5.06    
1a30_ligand_220     4.89    
1a30_ligand_221     4.79    
1a30_ligand_223     4.37    
1a30_ligand_224     4.61    
1a30_ligand_226     4.20    
1a30_ligand_227     4.52    
1a30_ligand_228     4.52    
1a30_ligand_230     4.66    
1a30_ligand_231     4.45    
1a30_ligand_236     4.35    
1a30_ligand_24      5.18    
1a30_ligand_240     4.76    
1a30_ligand_244     4.74    
1a30_ligand_245     4.64    
1a30_ligand_246     4.59    
1a30_ligand_247     4.37    
1a30_ligand_249     4.42    
1a30_ligand_253     5.11    
1a30_ligand_26      4.92    
1a30_ligand_267     4.99    
1a30_ligand_27      5.88    
1a30_ligand_270     5.28    
1a30_ligand_272     5.88    
1a30_ligand_278     4.85    
1a30_ligand_281     5.12    
1a30_ligand_289     4.92    
1a30_ligand_297     4.97    
1a30_ligand_298     5.05    
1a30_ligand_299     5.32    
1a30_ligand_300     4.69    
1a30_ligand_313     5.59    
1a30_ligand_32      4.97    
1a30_ligand_322     4.81    
1a30_ligand_327     5.43    
1a30_ligand_341     5.09    
1a30_ligand_343     4.95    
1a30_ligand_347     5.30    
1a30_ligand_348     5.48    
1a30_ligand_357     6.43    
1a30_ligand_38      4.80    
1a30_ligand_384     6.35    
1a30_ligand_389     6.35    
1a30_ligand_40      4.48    
1a30_ligand_42      4.75    
1a30_ligand_46      5.11    
