#code_ligand_num    score   
1a30_ligand_101     5.61    
1a30_ligand_102     5.51    
1a30_ligand_103     5.47    
1a30_ligand_107     5.49    
1a30_ligand_109     5.47    
1a30_ligand_110     5.67    
1a30_ligand_112     5.45    
1a30_ligand_115     5.59    
1a30_ligand_117     5.34    
1a30_ligand_12      5.05    
1a30_ligand_120     5.39    
1a30_ligand_128     5.22    
1a30_ligand_13      5.01    
1a30_ligand_131     5.46    
1a30_ligand_133     5.66    
1a30_ligand_134     5.72    
1a30_ligand_136     5.28    
1a30_ligand_140     5.59    
1a30_ligand_141     5.53    
1a30_ligand_142     5.64    
1a30_ligand_15      5.39    
1a30_ligand_179     5.12    
1a30_ligand_183     5.31    
1a30_ligand_188     5.28    
1a30_ligand_193     5.19    
1a30_ligand_2       5.11    
1a30_ligand_202     4.65    
1a30_ligand_203     4.81    
1a30_ligand_204     5.03    
1a30_ligand_207     5.10    
1a30_ligand_209     4.65    
1a30_ligand_211     4.95    
1a30_ligand_212     5.17    
1a30_ligand_216     4.89    
1a30_ligand_219     4.91    
1a30_ligand_221     5.25    
1a30_ligand_224     4.88    
1a30_ligand_228     4.72    
1a30_ligand_230     5.27    
1a30_ligand_231     4.82    
1a30_ligand_232     5.23    
1a30_ligand_233     5.24    
1a30_ligand_234     4.75    
1a30_ligand_235     5.07    
1a30_ligand_238     4.81    
1a30_ligand_245     4.84    
1a30_ligand_247     5.12    
1a30_ligand_248     4.96    
1a30_ligand_254     5.04    
1a30_ligand_26      5.16    
1a30_ligand_274     5.03    
1a30_ligand_275     5.16    
1a30_ligand_28      5.05    
1a30_ligand_281     5.45    
1a30_ligand_286     5.21    
1a30_ligand_289     5.14    
1a30_ligand_294     4.87    
1a30_ligand_295     5.20    
1a30_ligand_3       5.37    
1a30_ligand_301     5.01    
1a30_ligand_309     5.22    
1a30_ligand_312     4.98    
1a30_ligand_316     5.19    
1a30_ligand_320     4.82    
1a30_ligand_328     5.08    
1a30_ligand_33      5.11    
1a30_ligand_337     5.12    
1a30_ligand_338     5.30    
1a30_ligand_34      5.19    
1a30_ligand_347     5.09    
1a30_ligand_350     5.05    
1a30_ligand_375     5.61    
1a30_ligand_377     5.69    
1a30_ligand_38      5.15    
1a30_ligand_382     5.50    
1a30_ligand_387     5.64    
1a30_ligand_39      5.20    
1a30_ligand_397     5.44    
1a30_ligand_40      5.45    
1a30_ligand_418     5.10    
1a30_ligand_42      5.20    
1a30_ligand_43      5.04    
1a30_ligand_441     5.45    
1a30_ligand_468     5.75    
1a30_ligand_47      5.03    
1a30_ligand_48      5.27    
1a30_ligand_488     5.68    
1a30_ligand_49      5.15    
1a30_ligand_51      5.29    
1a30_ligand_56      5.00    
1a30_ligand_61      5.54    
1a30_ligand_63      5.47    
1a30_ligand_7       5.21    
1a30_ligand_73      5.13    
1a30_ligand_8       5.25    
1a30_ligand_81      5.25    
1a30_ligand_84      5.17    
1a30_ligand_88      5.33    
1a30_ligand_90      5.21    
1a30_ligand_97      5.47    
1bcu_ligand_102     5.69    
1bcu_ligand_111     6.44    
1bcu_ligand_154     6.26    
1bcu_ligand_155     6.12    
1bcu_ligand_16      6.34    
1bcu_ligand_161     6.22    
1bcu_ligand_164     6.24    
1bcu_ligand_166     6.16    
1bcu_ligand_177     6.22    
1bcu_ligand_178     6.21    
1bcu_ligand_182     6.09    
1bcu_ligand_191     6.02    
1bcu_ligand_192     6.25    
1bcu_ligand_195     6.25    
1bcu_ligand_199     6.25    
1bcu_ligand_200     6.18    
1bcu_ligand_207     6.23    
1bcu_ligand_21      6.47    
1bcu_ligand_222     6.35    
1bcu_ligand_224     6.17    
1bcu_ligand_226     6.13    
1bcu_ligand_227     6.29    
1bcu_ligand_235     6.21    
1bcu_ligand_236     6.02    
1bcu_ligand_24      6.42    
1bcu_ligand_240     6.21    
1bcu_ligand_244     6.33    
1bcu_ligand_254     6.09    
1bcu_ligand_259     5.95    
1bcu_ligand_26      6.36    
1bcu_ligand_261     5.90    
1bcu_ligand_266     6.17    
1bcu_ligand_269     6.03    
1bcu_ligand_270     6.25    
1bcu_ligand_274     6.21    
1bcu_ligand_282     6.25    
1bcu_ligand_286     6.17    
1bcu_ligand_289     6.09    
1bcu_ligand_295     6.29    
1bcu_ligand_297     6.24    
1bcu_ligand_299     6.08    
1bcu_ligand_324     6.30    
1bcu_ligand_326     6.42    
1bcu_ligand_327     6.26    
1bcu_ligand_330     6.45    
1bcu_ligand_336     6.16    
1bcu_ligand_340     5.99    
1bcu_ligand_342     6.36    
1bcu_ligand_346     5.94    
1bcu_ligand_347     6.23    
1bcu_ligand_348     6.09    
1bcu_ligand_351     6.52    
1bcu_ligand_357     6.33    
1bcu_ligand_362     6.38    
1bcu_ligand_364     5.42    
1bcu_ligand_368     6.06    
1bcu_ligand_369     5.96    
1bcu_ligand_370     6.30    
1bcu_ligand_371     5.39    
1bcu_ligand_374     5.98    
1bcu_ligand_375     5.27    
1bcu_ligand_377     6.24    
1bcu_ligand_378     5.27    
1bcu_ligand_379     5.15    
1bcu_ligand_380     6.20    
1bcu_ligand_382     5.42    
1bcu_ligand_383     5.83    
1bcu_ligand_384     5.32    
1bcu_ligand_385     5.41    
1bcu_ligand_386     5.53    
1bcu_ligand_387     5.48    
1bcu_ligand_389     4.78    
1bcu_ligand_390     5.90    
1bcu_ligand_391     5.72    
1bcu_ligand_392     5.68    
1bcu_ligand_394     4.63    
1bcu_ligand_395     4.90    
1bcu_ligand_396     5.46    
1bcu_ligand_397     4.79    
1bcu_ligand_398     5.28    
1bcu_ligand_399     5.92    
1bcu_ligand_400     5.08    
1bcu_ligand_408     6.29    
1bcu_ligand_414     5.44    
1bcu_ligand_418     5.63    
1bcu_ligand_422     5.98    
1bcu_ligand_425     6.37    
1bcu_ligand_437     5.81    
1bcu_ligand_445     5.88    
1bcu_ligand_449     5.88    
1bcu_ligand_450     6.26    
1bcu_ligand_465     6.41    
1bcu_ligand_468     6.36    
1bcu_ligand_471     5.37    
1bcu_ligand_477     6.28    
1bcu_ligand_485     6.13    
1bcu_ligand_490     6.33    
1bcu_ligand_497     5.16    
1bcu_ligand_63      5.74    
1bcu_ligand_99      6.29    
1bzc_ligand_106     6.07    
1bzc_ligand_111     6.84    
1bzc_ligand_117     6.14    
1bzc_ligand_12      6.74    
1bzc_ligand_135     6.49    
1bzc_ligand_139     6.68    
1bzc_ligand_149     6.46    
1bzc_ligand_15      6.24    
1bzc_ligand_150     6.63    
1bzc_ligand_151     6.36    
1bzc_ligand_153     6.46    
1bzc_ligand_155     6.13    
1bzc_ligand_16      6.53    
1bzc_ligand_160     6.00    
1bzc_ligand_161     6.30    
