#code_ligand_num    score   
2p15_ligand_369     8.55    
3prs_ligand_380     8.58    
2p15_ligand_151     8.44    
2p15_ligand_375     8.41    
1lpg_ligand_116     8.59    
3e93_ligand_112     8.54    
1lpg_ligand_30      8.70    
4gr0_ligand_55      8.43    
3jvs_ligand_353     8.56    
1lpg_ligand_66      8.80    
2x00_ligand_160     7.87    
4qd6_ligand_133     8.55    
2wtv_ligand_376     8.40    
2x00_ligand_386     8.02    
3b1m_ligand_265     8.24    
2p15_ligand_164     8.24    
2qnq_ligand_380     8.44    
3e93_ligand_157     8.23    
2x00_ligand_153     7.80    
4gid_ligand_423     8.35    
2p15_ligand_174     8.10    
3wz8_ligand_427     7.99    
3e93_ligand_304     8.30    
2yki_ligand_399     8.52    
3e93_ligand_253     8.12    
2p15_ligand_168     8.10    
3uo4_ligand_119     8.47    
3uo4_ligand_77      8.38    
2p15_ligand_155     7.94    
2p15_ligand_252     8.28    
2p15_ligand_180     7.83    
3gnw_ligand_393     8.20    
2p15_ligand_313     7.96    
3pww_ligand_167     7.92    
4ogj_ligand_413     8.02    
3e93_ligand_270     8.19    
3uo4_ligand_104     8.17    
3e93_ligand_152     7.86    
3e93_ligand_345     7.92    
2p15_ligand_269     8.12    
2x00_ligand_163     7.68    
3e92_ligand_25      7.85    
3e93_ligand_265     8.03    
3uo4_ligand_132     8.14    
3pww_ligand_452     8.32    
3zsx_ligand_135     8.23    
2p15_ligand_176     7.88    
2p15_ligand_183     7.92    
4cra_ligand_495     7.85    
4gr0_ligand_132     8.36    
2p15_ligand_307     8.08    
2p15_ligand_306     7.74    
4crc_ligand_383     8.05    
3b1m_ligand_82      7.94    
2p15_ligand_199     7.80    
1sqa_ligand_450     8.21    
4cra_ligand_112     7.86    
2x00_ligand_317     7.69    
2qnq_ligand_389     8.16    
3e93_ligand_180     7.97    
3uo4_ligand_172     8.05    
2x00_ligand_165     7.59    
3b1m_ligand_446     7.84    
4qd6_ligand_149     7.82    
3jvs_ligand_308     8.10    
3gnw_ligand_156     7.56    
2p15_ligand_309     7.73    
3b1m_ligand_290     7.85    
4gr0_ligand_102     7.74    
2p15_ligand_399     7.98    
2yki_ligand_393     8.09    
2p15_ligand_162     7.72    
1sqa_ligand_469     8.06    
3e92_ligand_385     7.86    
2qbq_ligand_310     7.96    
2p15_ligand_215     7.91    
3e93_ligand_276     7.97    
3jvs_ligand_171     8.01    
2x00_ligand_166     7.42    
1lpg_ligand_137     8.07    
1o3f_ligand_99      8.03    
2x00_ligand_380     7.66    
2yki_ligand_398     8.12    
2yki_ligand_307     8.04    
3e92_ligand_310     7.80    
3zsx_ligand_445     7.86    
3e5a_ligand_144     7.74    
3e93_ligand_169     7.81    
4gr0_ligand_59      7.95    
1o3f_ligand_400     7.96    
2x00_ligand_395     7.61    
2x00_ligand_297     7.76    
3zso_ligand_482     7.99    
4ty7_ligand_84      7.86    
2zb1_ligand_210     7.69    
2p15_ligand_301     7.69    
2p15_ligand_197     7.59    
4crc_ligand_158     7.97    
3jvs_ligand_397     8.17    
2wtv_ligand_64      8.22    
3e93_ligand_178     7.80    
2p15_ligand_258     7.97    
4f9w_ligand_451     8.06    
2p15_ligand_273     7.94    
2p15_ligand_302     7.78    
3e93_ligand_278     7.76    
3uo4_ligand_158     7.89    
2p15_ligand_203     7.97    
2yki_ligand_368     7.99    
3e92_ligand_83      7.73    
2zb1_ligand_492     7.77    
3e93_ligand_405     8.14    
2yki_ligand_161     7.86    
3e92_ligand_314     7.55    
2p15_ligand_165     7.52    
2yki_ligand_318     7.83    
3e92_ligand_57      7.79    
3e92_ligand_309     7.65    
2zb1_ligand_304     7.79    
2p15_ligand_320     7.65    
4w9l_ligand_133     8.03    
2qnq_ligand_382     7.99    
4cra_ligand_89      7.86    
4crc_ligand_167     7.77    
2x00_ligand_338     7.50    
3e93_ligand_36      7.74    
3e93_ligand_254     7.77    
3e92_ligand_110     7.65    
2xii_ligand_424     7.96    
3arp_ligand_375     7.68    
2xii_ligand_352     7.86    
3tsk_ligand_86      7.49    
3qgy_ligand_180     7.69    
2vkm_ligand_99      7.94    
4crc_ligand_307     7.77    
3arq_ligand_385     7.79    
2zb1_ligand_489     7.70    
3e92_ligand_187     7.63    
2yki_ligand_171     7.81    
3e93_ligand_220     8.06    
4cra_ligand_98      7.91    
3e93_ligand_330     7.83    
2yki_ligand_199     7.81    
2zb1_ligand_468     7.66    
3e92_ligand_330     7.59    
3e92_ligand_186     7.61    
3e5a_ligand_65      7.73    
2p15_ligand_284     7.80    
3e92_ligand_305     7.53    
3zsx_ligand_98      7.82    
1k1i_ligand_121     7.81    
2zb1_ligand_15      7.81    
2r9w_ligand_393     7.87    
3jvs_ligand_317     7.90    
3zsx_ligand_376     8.01    
2wtv_ligand_308     7.83    
2yki_ligand_472     8.07    
4x6p_ligand_86      8.06    
2yki_ligand_337     7.78    
2wtv_ligand_347     7.88    
3jvs_ligand_173     7.95    
2xii_ligand_56      7.85    
2qnq_ligand_374     8.10    
2p15_ligand_292     7.62    
2zb1_ligand_154     7.54    
4qd6_ligand_266     7.72    
2yki_ligand_192     7.89    
3pww_ligand_30      7.86    
2yki_ligand_164     7.77    
2qbp_ligand_351     7.75    
2xii_ligand_385     7.89    
3qgy_ligand_307     7.61    
1o3f_ligand_469     7.78    
2qnq_ligand_383     8.03    
3p5o_ligand_144     7.74    
2p15_ligand_285     7.92    
3bgz_ligand_78      7.72    
3e93_ligand_179     7.86    
3wz8_ligand_121     7.72    
2qbq_ligand_145     7.71    
3jvs_ligand_155     7.74    
2xii_ligand_144     7.85    
4crc_ligand_304     7.68    
3b1m_ligand_158     7.53    
3e93_ligand_195     7.68    
4wiv_ligand_381     7.69    
2r9w_ligand_390     7.82    
3b1m_ligand_242     7.76    
2zcr_ligand_490     7.67    
2x00_ligand_379     7.54    
2zb1_ligand_310     7.49    
3jvs_ligand_266     8.01    
2zb1_ligand_488     7.63    
5dwr_ligand_97      7.73    
4x6p_ligand_391     7.76    
2wtv_ligand_162     7.95    
3uo4_ligand_351     7.70    
2wtv_ligand_170     7.84    
2r9w_ligand_497     7.78    
2p15_ligand_336     7.58    
1o3f_ligand_450     7.72    
3jvs_ligand_183     8.00    
3jvs_ligand_243     8.08    
3e93_ligand_99      7.83    
3jvs_ligand_151     7.63    
2x00_ligand_400     7.47    
4agp_ligand_80      7.87    
3jvs_ligand_64      8.06    
3wz8_ligand_159     7.23    
1o3f_ligand_382     7.75    
3zsx_ligand_354     7.77    
1o3f_ligand_472     7.89    
3e92_ligand_325     7.59    
2r9w_ligand_376     7.63    
3e92_ligand_52      7.70    
4gr0_ligand_154     7.49    
2yki_ligand_190     7.72    
3uo4_ligand_155     7.63    
3e93_ligand_346     7.84    
5dwr_ligand_418     7.72    
1k1i_ligand_301     7.57    
3fur_ligand_158     7.84    
3arp_ligand_326     7.49    
1sqa_ligand_442     7.77    
4x6p_ligand_152     7.66    
3bv9_ligand_468     7.80    
3e92_ligand_182     7.59    
2yki_ligand_311     7.72    
2zcr_ligand_466     7.73    
2qbq_ligand_7       7.75    
3fur_ligand_69      7.90    
3jvs_ligand_154     7.90    
3fur_ligand_385     7.99    
3uo4_ligand_182     7.60    
4w9h_ligand_448     7.69    
2p15_ligand_341     7.78    
3fur_ligand_422     7.91    
2zb1_ligand_470     7.58    
3arp_ligand_441     7.25    
2zb1_ligand_315     7.48    
4x6p_ligand_164     7.63    
3uo4_ligand_152     7.62    
1nvq_ligand_187     7.91    
1o3f_ligand_321     7.76    
2zb1_ligand_366     7.62    
2qbp_ligand_400     7.69    
3e92_ligand_49      7.67    
3prs_ligand_73      7.44    
3fur_ligand_199     7.77    
3wz8_ligand_100     7.76    
2zb1_ligand_379     7.71    
3e92_ligand_335     7.40    
4x6p_ligand_161     7.63    
2yki_ligand_346     7.82    
2zb1_ligand_322     7.56    
2r9w_ligand_105     7.73    
2zb1_ligand_155     7.40    
3uo4_ligand_5       7.79    
3e92_ligand_154     7.34    
1o3f_ligand_153     7.71    
4eo8_ligand_408     7.60    
2p15_ligand_349     7.47    
3gnw_ligand_159     7.48    
1lpg_ligand_112     7.76    
1o3f_ligand_391     7.64    
4x6p_ligand_159     7.73    
2yki_ligand_159     7.62    
3jvs_ligand_174     7.70    
2r9w_ligand_264     7.74    
3jvs_ligand_169     7.63    
3jvs_ligand_152     7.80    
3e92_ligand_192     7.42    
3e92_ligand_160     7.30    
2wtv_ligand_83      7.77    
2yki_ligand_370     7.95    
2vkm_ligand_154     7.56    
3zsx_ligand_430     7.69    
3e92_ligand_175     7.45    
4x6p_ligand_162     7.57    
3e93_ligand_115     8.07    
2p15_ligand_140     7.62    
2zb1_ligand_331     7.33    
2zcr_ligand_494     7.53    
1sqa_ligand_259     7.67    
3b1m_ligand_251     7.69    
3b1m_ligand_389     7.64    
3arp_ligand_138     7.86    
5c2h_ligand_399     7.47    
2vkm_ligand_177     7.87    
3uo4_ligand_495     7.57    
3nw9_ligand_353     7.76    
4gr0_ligand_107     8.03    
3gnw_ligand_173     7.56    
3e93_ligand_294     7.69    
3jvs_ligand_385     7.81    
2zcr_ligand_458     7.51    
4twp_ligand_19      7.51    
2zb1_ligand_253     7.54    
2zb1_ligand_175     7.42    
2zb1_ligand_168     7.40    
3uo4_ligand_194     7.60    
3e92_ligand_189     7.42    
3uo4_ligand_284     7.72    
2x00_ligand_190     7.19    
1sqa_ligand_168     7.76    
4twp_ligand_444     7.58    
3jvs_ligand_181     7.76    
1eby_ligand_447     7.73    
2yki_ligand_349     7.66    
3b1m_ligand_256     7.61    
3fur_ligand_162     7.79    
3e92_ligand_301     7.25    
4k18_ligand_105     7.58    
3e5a_ligand_146     7.53    
1o3f_ligand_485     7.64    
3jvs_ligand_197     7.85    
1qkt_ligand_307     7.42    
4djv_ligand_186     7.59    
4rfm_ligand_77      7.52    
2wtv_ligand_183     7.75    
3jvs_ligand_84      7.62    
3e92_ligand_194     7.43    
3qgy_ligand_155     7.39    
1sqa_ligand_433     7.67    
3jvs_ligand_167     7.79    
3bv9_ligand_102     7.30    
4ogj_ligand_122     7.92    
3bv9_ligand_379     7.59    
3e93_ligand_350     7.73    
1o3f_ligand_312     7.55    
3uo4_ligand_26      7.86    
3ebp_ligand_123     7.69    
4j3l_ligand_485     7.64    
3nw9_ligand_400     7.65    
1o3f_ligand_302     7.65    
3arp_ligand_303     7.31    
4gr0_ligand_155     7.62    
3fur_ligand_188     7.77    
2yki_ligand_182     7.56    
2r9w_ligand_321     7.65    
3b1m_ligand_200     7.52    
1owh_ligand_152     7.77    
3jvs_ligand_175     7.68    
2p15_ligand_343     7.51    
3gnw_ligand_310     7.73    
2yki_ligand_165     7.58    
2p15_ligand_386     7.90    
2zcr_ligand_10      7.46    
2xii_ligand_58      7.59    
2xii_ligand_9       7.59    
3e92_ligand_332     7.33    
3e92_ligand_185     7.40    
2qbp_ligand_122     7.80    
2yki_ligand_198     7.61    
3e93_ligand_105     8.00    
3uo4_ligand_188     7.48    
1o3f_ligand_342     7.56    
3arq_ligand_387     7.47    
4wiv_ligand_321     7.56    
2zb1_ligand_197     7.42    
2wtv_ligand_399     7.70    
3uo4_ligand_299     7.39    
4ogj_ligand_254     7.54    
3jvs_ligand_161     7.74    
1sqa_ligand_371     7.77    
3e5a_ligand_89      7.36    
3bgz_ligand_84      7.63    
3fur_ligand_253     7.75    
2qbq_ligand_173     7.68    
2wtv_ligand_319     7.67    
1sqa_ligand_328     7.68    
3e92_ligand_350     7.40    
3b1m_ligand_292     7.51    
2qbp_ligand_84      7.84    
4w9l_ligand_179     7.53    
3jvs_ligand_275     7.83    
1o3f_ligand_199     7.50    
2zcr_ligand_452     7.51    
3bgz_ligand_309     7.51    
2p15_ligand_324     7.52    
3ejr_ligand_2       7.56    
2yki_ligand_38      7.63    
4gr0_ligand_271     7.92    
2zb1_ligand_166     7.30    
3ejr_ligand_396     7.58    
3zsx_ligand_406     7.80    
3qgy_ligand_320     7.39    
4wiv_ligand_318     7.51    
1o3f_ligand_113     7.64    
3pww_ligand_156     7.64    
4twp_ligand_397     7.53    
4qd6_ligand_334     7.62    
1o3f_ligand_260     7.53    
3jvs_ligand_310     7.90    
2zb1_ligand_93      7.41    
3e92_ligand_276     7.36    
3bv9_ligand_118     7.22    
5dwr_ligand_187     7.48    
4rfm_ligand_21      7.74    
2p4y_ligand_81      7.56    
1sqa_ligand_309     7.72    
2r9w_ligand_322     7.51    
3qgy_ligand_140     7.44    
4djv_ligand_171     7.70    
3tsk_ligand_431     7.30    
2r9w_ligand_313     7.60    
1oyt_ligand_455     7.49    
3bgz_ligand_279     7.53    
2zb1_ligand_269     7.41    
4gr0_ligand_7       7.75    
2zb1_ligand_307     7.31    
2x00_ligand_399     7.41    
1o3f_ligand_326     7.68    
3e92_ligand_331     7.38    
3arq_ligand_397     7.59    
4agq_ligand_128     7.82    
1k1i_ligand_153     7.45    
3gnw_ligand_269     7.51    
1o3f_ligand_304     7.48    
3qgy_ligand_291     7.45    
4djv_ligand_57      7.70    
3bgz_ligand_115     7.77    
1o3f_ligand_242     7.49    
3tsk_ligand_121     7.25    
3jvs_ligand_288     7.69    
1o3f_ligand_305     7.64    
3tsk_ligand_101     7.17    
1owh_ligand_321     7.69    
4twp_ligand_41      7.51    
4twp_ligand_447     7.52    
3pww_ligand_346     7.46    
2zb1_ligand_172     7.28    
2qbr_ligand_357     7.64    
2wtv_ligand_352     7.76    
3jvs_ligand_196     7.69    
4cra_ligand_390     7.37    
