#code_ligand_num    score   
2p15_ligand_113     8.15    
1eby_ligand_402     8.04    
3gnw_ligand_111     8.31    
3e93_ligand_415     8.28    
2x00_ligand_126     7.87    
4gr0_ligand_413     8.38    
3e93_ligand_71      8.26    
3e93_ligand_467     8.26    
2x00_ligand_378     7.71    
3e93_ligand_316     8.37    
2x00_ligand_448     7.79    
3e93_ligand_395     8.25    
3e93_ligand_128     8.20    
3e93_ligand_27      8.19    
3e93_ligand_306     8.17    
3zso_ligand_370     7.96    
3bv9_ligand_387     8.24    
4w9l_ligand_495     8.38    
2x00_ligand_316     7.74    
3e93_ligand_207     8.18    
3pww_ligand_439     8.03    
4gr0_ligand_130     8.22    
2p15_ligand_315     7.81    
3e93_ligand_236     8.11    
2p15_ligand_161     7.87    
4x6p_ligand_105     8.19    
3bv9_ligand_395     8.21    
3pww_ligand_495     8.01    
2x00_ligand_263     7.50    
2vkm_ligand_358     7.80    
3fur_ligand_138     8.19    
2p15_ligand_234     7.91    
4gr0_ligand_276     8.11    
3b1m_ligand_472     8.06    
2p15_ligand_170     7.94    
3prs_ligand_398     7.78    
3e93_ligand_259     8.06    
2p15_ligand_60      7.70    
4gid_ligand_424     8.13    
1k1i_ligand_101     7.88    
2p15_ligand_192     7.87    
2p15_ligand_195     8.12    
1g2k_ligand_380     7.67    
3e93_ligand_350     7.97    
2p15_ligand_186     7.81    
3e93_ligand_310     7.93    
2p15_ligand_163     7.68    
4cra_ligand_319     7.75    
2x00_ligand_184     7.36    
3e93_ligand_160     7.73    
3e93_ligand_163     7.87    
3uo4_ligand_127     7.87    
2p15_ligand_175     7.71    
4x6p_ligand_173     7.66    
2p15_ligand_336     7.64    
2p15_ligand_197     7.54    
3jvs_ligand_383     7.92    
2p15_ligand_283     7.56    
3e93_ligand_330     7.76    
3wz8_ligand_493     7.35    
1o3f_ligand_13      7.93    
3e92_ligand_76      7.80    
3e93_ligand_169     7.79    
3e93_ligand_264     7.84    
2x00_ligand_163     7.37    
2vkm_ligand_434     8.07    
3e93_ligand_194     7.83    
3e93_ligand_212     7.78    
2x00_ligand_176     7.41    
2x00_ligand_154     7.24    
2p15_ligand_311     7.45    
3e93_ligand_197     7.64    
4gr0_ligand_77      8.05    
3e92_ligand_73      7.80    
2p15_ligand_133     7.56    
3e93_ligand_170     7.75    
2p15_ligand_310     7.61    
2wtv_ligand_313     7.92    
3e93_ligand_268     7.81    
2p15_ligand_182     7.55    
2p15_ligand_136     7.48    
3e93_ligand_256     7.74    
2qbq_ligand_447     7.87    
1eby_ligand_387     7.68    
1k1i_ligand_386     7.90    
2p15_ligand_229     7.86    
3e93_ligand_352     7.69    
3uo4_ligand_144     7.70    
3pww_ligand_173     7.52    
3e93_ligand_321     7.74    
1sqa_ligand_185     7.94    
4ogj_ligand_405     7.94    
2x00_ligand_158     7.31    
2p15_ligand_116     7.46    
2p15_ligand_305     7.48    
4ogj_ligand_500     7.80    
2qnq_ligand_391     8.00    
3e93_ligand_299     7.68    
3qgy_ligand_40      7.69    
2p15_ligand_291     7.76    
4crc_ligand_152     7.59    
3e92_ligand_305     7.67    
5dwr_ligand_407     7.64    
2qnq_ligand_401     7.67    
4ogj_ligand_359     7.86    
2p15_ligand_166     7.41    
2x00_ligand_394     7.23    
3bv9_ligand_399     7.54    
3e92_ligand_23      7.66    
3e92_ligand_398     7.60    
4crc_ligand_15      7.82    
3pww_ligand_400     8.05    
3e93_ligand_210     7.56    
3uo4_ligand_153     7.42    
3pww_ligand_178     7.16    
3uo4_ligand_176     7.87    
4gr0_ligand_177     7.60    
3e93_ligand_325     7.62    
2p15_ligand_233     7.42    
3e92_ligand_2       7.58    
2zb1_ligand_105     7.69    
3e93_ligand_206     7.75    
2x00_ligand_171     7.43    
4cra_ligand_189     7.66    
3qgy_ligand_21      7.63    
4ty7_ligand_328     7.55    
4crc_ligand_188     7.41    
3e93_ligand_252     7.60    
3uo4_ligand_233     7.66    
3e93_ligand_288     7.69    
3e93_ligand_192     7.60    
3e93_ligand_249     7.66    
3uo4_ligand_369     7.73    
1g2k_ligand_393     7.46    
3qgy_ligand_80      7.56    
2p15_ligand_325     7.40    
3wz8_ligand_361     7.42    
2p15_ligand_396     7.49    
2r9w_ligand_32      7.60    
2qbp_ligand_113     7.90    
3e92_ligand_246     7.58    
3gnw_ligand_62      7.65    
4gr0_ligand_332     7.56    
3gnw_ligand_166     7.27    
3e93_ligand_303     7.44    
2qbp_ligand_143     7.81    
2zb1_ligand_126     7.67    
3gnw_ligand_179     7.06    
3qgy_ligand_87      7.61    
2p15_ligand_224     7.41    
3uo4_ligand_66      7.65    
2wtv_ligand_111     7.72    
3uri_ligand_395     7.76    
3zso_ligand_441     7.39    
3bv9_ligand_398     7.45    
2p15_ligand_281     7.41    
3e93_ligand_178     7.70    
2p15_ligand_244     7.51    
3e93_ligand_278     7.61    
2x00_ligand_200     7.25    
4cra_ligand_92      7.71    
3e93_ligand_400     7.99    
3e93_ligand_300     7.52    
2qbp_ligand_448     7.78    
1eby_ligand_399     7.48    
4jia_ligand_72      7.81    
3qgy_ligand_120     7.55    
3e92_ligand_344     7.47    
3e92_ligand_282     7.58    
3b1m_ligand_400     7.36    
3pww_ligand_272     7.47    
4cra_ligand_194     7.53    
2wtv_ligand_389     7.77    
3e93_ligand_233     7.52    
2zb1_ligand_139     7.50    
3qgy_ligand_36      7.54    
3prs_ligand_465     7.70    
3e93_ligand_230     7.51    
2p4y_ligand_451     7.51    
2zb1_ligand_304     7.42    
3e93_ligand_224     7.51    
2zb1_ligand_26      7.52    
3e93_ligand_317     7.54    
3e93_ligand_349     7.48    
3jvs_ligand_365     7.63    
1sqa_ligand_344     7.68    
3fur_ligand_19      7.89    
3jvs_ligand_256     7.83    
3qgy_ligand_344     7.47    
3e92_ligand_378     7.44    
3pww_ligand_63      7.60    
2x00_ligand_196     7.09    
4gr0_ligand_57      7.76    
2zcr_ligand_144     7.72    
3e92_ligand_224     7.48    
3e92_ligand_7       7.43    
2zb1_ligand_4       7.60    
3uo4_ligand_187     7.81    
3uo4_ligand_276     7.62    
4cra_ligand_56      7.33    
2zb1_ligand_202     7.47    
4gid_ligand_454     7.37    
2zcr_ligand_359     7.51    
3e93_ligand_305     7.44    
2vkm_ligand_11      7.78    
4gr0_ligand_160     7.59    
2xii_ligand_73      7.64    
3b1m_ligand_203     7.57    
3gnw_ligand_165     7.30    
3uo4_ligand_283     7.68    
2qbp_ligand_419     7.60    
3e93_ligand_298     7.52    
2zb1_ligand_224     7.50    
4qd6_ligand_383     7.68    
3e93_ligand_209     7.69    
2wtv_ligand_196     7.64    
3jvs_ligand_359     7.52    
4ty7_ligand_90      7.34    
4gr0_ligand_274     7.56    
3uo4_ligand_170     7.62    
2vw5_ligand_151     7.33    
4w9l_ligand_384     7.33    
2yki_ligand_286     7.62    
3uri_ligand_409     7.42    
1o3f_ligand_366     7.58    
2x00_ligand_364     7.20    
2p4y_ligand_367     7.58    
4gr0_ligand_275     7.51    
2zb1_ligand_482     7.42    
4ogj_ligand_112     7.41    
3e92_ligand_97      7.40    
3e93_ligand_337     7.43    
4jia_ligand_87      7.52    
3uo4_ligand_303     7.47    
3b1m_ligand_385     7.39    
1o3f_ligand_311     7.64    
2p15_ligand_181     7.39    
2qnq_ligand_396     7.30    
3bv9_ligand_497     7.38    
3uo4_ligand_32      7.50    
2wtv_ligand_388     7.70    
3e92_ligand_342     7.41    
2wtv_ligand_334     7.58    
4x6p_ligand_170     7.38    
4w9l_ligand_179     7.53    
3e93_ligand_239     7.43    
4f9w_ligand_93      7.68    
3jvs_ligand_347     7.84    
3e93_ligand_235     7.59    
3e93_ligand_301     7.66    
4gr0_ligand_109     7.93    
1oyt_ligand_93      7.29    
3qgy_ligand_54      7.53    
3jvs_ligand_317     7.61    
3ejr_ligand_6       7.44    
3gnw_ligand_197     7.11    
3bv9_ligand_453     7.48    
3qgy_ligand_17      7.40    
3uo4_ligand_197     7.48    
3e92_ligand_201     7.37    
3e92_ligand_309     7.44    
2zb1_ligand_329     7.40    
2zb1_ligand_75      7.43    
3jvs_ligand_254     7.74    
3b1m_ligand_387     7.60    
3e92_ligand_317     7.40    
3jvs_ligand_376     7.81    
3qgy_ligand_110     7.42    
4w9l_ligand_72      7.36    
4gr0_ligand_155     7.55    
2wtv_ligand_187     7.62    
2xii_ligand_50      7.58    
2r9w_ligand_495     7.36    
3fur_ligand_77      7.73    
3e92_ligand_321     7.27    
3qgy_ligand_147     7.37    
4crc_ligand_200     7.42    
3jvs_ligand_292     7.72    
1oyt_ligand_87      7.28    
2qbq_ligand_184     7.53    
4gr0_ligand_110     7.67    
3qgy_ligand_156     7.44    
1oyt_ligand_351     7.20    
3e93_ligand_291     7.48    
4qd6_ligand_180     7.33    
2xii_ligand_119     7.58    
3uo4_ligand_397     7.27    
3e93_ligand_151     7.63    
4cig_ligand_376     7.28    
3uo4_ligand_377     7.47    
3bgz_ligand_317     7.41    
3uo4_ligand_335     7.46    
3e92_ligand_234     7.34    
4crc_ligand_172     7.34    
1o3f_ligand_225     7.54    
4f9w_ligand_64      7.62    
3e93_ligand_295     7.41    
3arq_ligand_177     7.40    
2vw5_ligand_154     7.28    
4crc_ligand_171     7.63    
1lpg_ligand_52      7.35    
1g2k_ligand_365     7.12    
