#code_ligand_num    score   
1a30_ligand_10      5.27    
1a30_ligand_100     5.45    
1a30_ligand_104     5.47    
1a30_ligand_106     5.47    
1a30_ligand_110     5.43    
1a30_ligand_115     5.13    
1a30_ligand_120     4.83    
1a30_ligand_121     5.40    
1a30_ligand_122     5.29    
1a30_ligand_124     5.71    
1a30_ligand_125     5.33    
1a30_ligand_127     5.71    
1a30_ligand_14      4.66    
1a30_ligand_140     5.25    
1a30_ligand_15      5.24    
1a30_ligand_152     5.20    
1a30_ligand_16      4.96    
1a30_ligand_162     5.61    
1a30_ligand_164     5.32    
1a30_ligand_171     5.34    
1a30_ligand_173     5.01    
1a30_ligand_179     5.23    
1a30_ligand_183     5.14    
1a30_ligand_19      5.03    
1a30_ligand_197     5.36    
1a30_ligand_203     4.28    
1a30_ligand_204     4.66    
1a30_ligand_205     4.55    
1a30_ligand_207     5.02    
1a30_ligand_209     4.73    
1a30_ligand_215     4.73    
1a30_ligand_220     4.90    
1a30_ligand_222     4.61    
1a30_ligand_224     4.78    
1a30_ligand_226     4.60    
1a30_ligand_227     4.47    
1a30_ligand_229     4.83    
1a30_ligand_231     5.30    
1a30_ligand_235     4.68    
1a30_ligand_236     4.67    
1a30_ligand_24      5.22    
1a30_ligand_240     4.81    
1a30_ligand_241     4.56    
1a30_ligand_262     5.13    
1a30_ligand_265     5.29    
1a30_ligand_268     4.68    
1a30_ligand_27      5.46    
1a30_ligand_279     5.38    
1a30_ligand_28      4.94    
1a30_ligand_283     5.12    
1a30_ligand_285     5.17    
1a30_ligand_289     5.07    
1a30_ligand_290     4.65    
1a30_ligand_296     5.10    
1a30_ligand_30      5.16    
1a30_ligand_300     4.93    
1a30_ligand_301     4.92    
1a30_ligand_302     5.26    
1a30_ligand_31      4.90    
1a30_ligand_310     5.29    
1a30_ligand_313     4.50    
1a30_ligand_314     5.11    
1a30_ligand_317     5.18    
1a30_ligand_319     4.90    
1a30_ligand_320     5.00    
1a30_ligand_323     4.90    
1a30_ligand_327     5.15    
1a30_ligand_33      5.35    
1a30_ligand_330     4.81    
1a30_ligand_332     5.04    
1a30_ligand_335     4.94    
1a30_ligand_337     5.20    
1a30_ligand_341     5.25    
1a30_ligand_346     5.14    
1a30_ligand_349     4.67    
1a30_ligand_35      5.32    
1a30_ligand_369     5.53    
1a30_ligand_378     5.62    
1a30_ligand_38      4.96    
1a30_ligand_387     5.49    
1a30_ligand_4       4.85    
1a30_ligand_403     5.39    
1a30_ligand_42      4.55    
1a30_ligand_441     4.43    
1a30_ligand_446     5.18    
1a30_ligand_463     5.63    
1a30_ligand_48      5.17    
1a30_ligand_490     4.76    
1a30_ligand_5       4.79    
1a30_ligand_54      5.05    
1a30_ligand_59      5.33    
1a30_ligand_61      5.27    
1a30_ligand_64      4.93    
1a30_ligand_66      4.54    
1a30_ligand_68      5.43    
1a30_ligand_70      4.89    
1a30_ligand_8       4.89    
1a30_ligand_86      5.54    
1a30_ligand_87      5.30    
1a30_ligand_9       5.09    
1bcu_ligand_122     6.08    
1bcu_ligand_137     6.25    
1bcu_ligand_154     5.72    
1bcu_ligand_158     5.85    
1bcu_ligand_160     6.01    
1bcu_ligand_167     5.74    
1bcu_ligand_168     5.82    
1bcu_ligand_199     6.05    
1bcu_ligand_202     6.15    
1bcu_ligand_214     5.82    
1bcu_ligand_215     6.18    
1bcu_ligand_223     5.89    
1bcu_ligand_227     6.05    
1bcu_ligand_231     5.91    
1bcu_ligand_233     6.03    
1bcu_ligand_234     6.09    
1bcu_ligand_241     5.97    
1bcu_ligand_259     5.88    
1bcu_ligand_277     5.98    
1bcu_ligand_283     5.77    
1bcu_ligand_284     5.49    
1bcu_ligand_285     5.83    
1bcu_ligand_301     5.71    
1bcu_ligand_309     5.96    
1bcu_ligand_310     5.77    
1bcu_ligand_328     5.63    
1bcu_ligand_335     5.78    
1bcu_ligand_351     6.11    
1bcu_ligand_352     5.74    
1bcu_ligand_354     4.86    
1bcu_ligand_357     4.77    
1bcu_ligand_358     5.00    
1bcu_ligand_364     4.73    
1bcu_ligand_365     4.90    
1bcu_ligand_366     4.79    
1bcu_ligand_367     4.63    
1bcu_ligand_368     4.90    
1bcu_ligand_369     4.73    
1bcu_ligand_370     4.82    
1bcu_ligand_371     5.40    
1bcu_ligand_372     4.81    
1bcu_ligand_373     4.68    
1bcu_ligand_374     4.70    
1bcu_ligand_376     4.68    
1bcu_ligand_377     4.84    
1bcu_ligand_378     4.70    
1bcu_ligand_379     4.55    
1bcu_ligand_380     4.94    
1bcu_ligand_381     4.70    
1bcu_ligand_384     4.98    
1bcu_ligand_385     4.79    
1bcu_ligand_386     5.08    
1bcu_ligand_387     4.97    
1bcu_ligand_388     5.39    
1bcu_ligand_389     5.12    
1bcu_ligand_390     4.75    
1bcu_ligand_391     4.49    
1bcu_ligand_392     4.76    
1bcu_ligand_393     5.03    
1bcu_ligand_395     4.72    
1bcu_ligand_397     4.64    
1bcu_ligand_398     4.87    
1bcu_ligand_399     4.55    
1bcu_ligand_400     4.94    
1bcu_ligand_407     5.92    
1bcu_ligand_409     5.02    
1bcu_ligand_415     5.65    
1bcu_ligand_417     5.82    
1bcu_ligand_418     5.74    
1bcu_ligand_419     5.78    
1bcu_ligand_421     4.83    
1bcu_ligand_424     5.55    
1bcu_ligand_426     5.01    
1bcu_ligand_428     4.97    
1bcu_ligand_429     4.78    
1bcu_ligand_432     4.88    
1bcu_ligand_433     4.98    
1bcu_ligand_435     4.69    
1bcu_ligand_438     5.26    
1bcu_ligand_442     4.89    
1bcu_ligand_444     4.95    
1bcu_ligand_446     4.66    
1bcu_ligand_448     5.01    
1bcu_ligand_450     4.57    
1bcu_ligand_452     6.16    
1bcu_ligand_453     5.97    
1bcu_ligand_456     6.29    
1bcu_ligand_458     5.57    
1bcu_ligand_466     5.81    
1bcu_ligand_467     5.55    
1bcu_ligand_468     5.51    
1bcu_ligand_473     5.77    
1bcu_ligand_474     5.47    
1bcu_ligand_481     5.62    
1bcu_ligand_485     5.50    
1bcu_ligand_488     5.78    
1bcu_ligand_493     5.55    
1bcu_ligand_497     5.65    
1bcu_ligand_499     5.05    
1bcu_ligand_64      6.28    
1bzc_ligand_1       5.96    
1bzc_ligand_100     6.22    
1bzc_ligand_105     6.19    
1bzc_ligand_110     6.29    
1bzc_ligand_115     6.55    
1bzc_ligand_122     5.44    
1bzc_ligand_149     6.19    
1bzc_ligand_154     5.82    
1bzc_ligand_157     6.24    
1bzc_ligand_158     5.97    
1bzc_ligand_161     5.67    
1bzc_ligand_163     5.96    
1bzc_ligand_166     5.90    
1bzc_ligand_167     6.33    
1bzc_ligand_170     5.69    
1bzc_ligand_173     5.54    
1bzc_ligand_177     5.85    
1bzc_ligand_179     6.07    
1bzc_ligand_18      6.03    
1bzc_ligand_180     5.80    
1bzc_ligand_181     5.75    
1bzc_ligand_182     5.88    
1bzc_ligand_183     5.77    
1bzc_ligand_187     5.81    
1bzc_ligand_19      6.25    
1bzc_ligand_190     5.89    
1bzc_ligand_196     6.17    
1bzc_ligand_198     5.66    
1bzc_ligand_201     5.85    
1bzc_ligand_206     5.48    
1bzc_ligand_212     5.52    
1bzc_ligand_217     5.59    
1bzc_ligand_220     5.85    
1bzc_ligand_223     5.56    
1bzc_ligand_225     5.31    
1bzc_ligand_226     5.63    
1bzc_ligand_230     5.67    
1bzc_ligand_231     5.31    
1bzc_ligand_238     5.55    
1bzc_ligand_239     5.35    
1bzc_ligand_242     5.48    
1bzc_ligand_244     5.51    
1bzc_ligand_245     5.28    
1bzc_ligand_246     5.18    
1bzc_ligand_247     5.22    
1bzc_ligand_248     5.20    
1bzc_ligand_249     4.94    
1bzc_ligand_250     5.64    
1bzc_ligand_251     5.76    
1bzc_ligand_258     6.20    
1bzc_ligand_260     5.91    
1bzc_ligand_262     5.89    
1bzc_ligand_264     6.25    
1bzc_ligand_267     5.87    
1bzc_ligand_271     6.33    
1bzc_ligand_272     5.31    
1bzc_ligand_274     6.14    
1bzc_ligand_276     5.76    
1bzc_ligand_277     5.78    
1bzc_ligand_278     5.46    
1bzc_ligand_28      6.19    
1bzc_ligand_284     5.65    
1bzc_ligand_287     6.29    
1bzc_ligand_291     5.54    
1bzc_ligand_296     5.91    
1bzc_ligand_297     5.87    
1bzc_ligand_298     6.08    
1bzc_ligand_30      5.91    
1bzc_ligand_300     5.77    
1bzc_ligand_301     5.25    
1bzc_ligand_302     5.04    
1bzc_ligand_306     5.70    
1bzc_ligand_310     5.49    
1bzc_ligand_313     5.82    
1bzc_ligand_318     6.09    
1bzc_ligand_321     5.76    
1bzc_ligand_322     5.74    
1bzc_ligand_323     5.31    
1bzc_ligand_325     5.78    
1bzc_ligand_33      5.83    
1bzc_ligand_339     5.31    
1bzc_ligand_341     5.54    
1bzc_ligand_342     6.62    
1bzc_ligand_36      6.17    
1bzc_ligand_37      6.23    
1bzc_ligand_38      6.21    
1bzc_ligand_380     6.37    
1bzc_ligand_386     5.98    
1bzc_ligand_4       6.24    
1bzc_ligand_40      5.91    
1bzc_ligand_62      6.18    
1bzc_ligand_67      5.91    
1bzc_ligand_69      5.71    
1bzc_ligand_7       5.50    
1bzc_ligand_75      6.07    
1bzc_ligand_80      6.38    
1bzc_ligand_81      6.05    
1bzc_ligand_90      5.95    
1bzc_ligand_95      5.83    
1bzc_ligand_98      5.98    
1c5z_ligand_125     5.50    
1c5z_ligand_134     5.28    
1c5z_ligand_153     5.31    
1c5z_ligand_160     4.92    
1c5z_ligand_161     4.95    
1c5z_ligand_162     5.21    
1c5z_ligand_164     5.44    
1c5z_ligand_169     5.32    
1c5z_ligand_173     5.22    
1c5z_ligand_183     5.04    
1c5z_ligand_184     4.88    
1c5z_ligand_185     5.02    
1c5z_ligand_192     5.04    
1c5z_ligand_193     5.23    
1c5z_ligand_198     4.96    
1c5z_ligand_199     5.32    
1c5z_ligand_202     5.19    
1c5z_ligand_203     5.38    
1c5z_ligand_204     5.38    
1c5z_ligand_205     5.41    
1c5z_ligand_206     5.40    
1c5z_ligand_207     5.40    
1c5z_ligand_208     5.22    
1c5z_ligand_219     4.95    
1c5z_ligand_220     5.18    
1c5z_ligand_225     5.16    
1c5z_ligand_229     5.23    
1c5z_ligand_232     5.09    
1c5z_ligand_235     5.34    
1c5z_ligand_236     5.06    
1c5z_ligand_237     5.43    
1c5z_ligand_238     5.15    
1c5z_ligand_239     5.03    
1c5z_ligand_240     5.10    
1c5z_ligand_241     5.54    
1c5z_ligand_242     5.35    
1c5z_ligand_251     5.23    
1c5z_ligand_252     5.02    
1c5z_ligand_257     5.12    
1c5z_ligand_267     5.29    
1c5z_ligand_269     5.14    
1c5z_ligand_271     5.18    
1c5z_ligand_272     5.17    
1c5z_ligand_273     4.87    
1c5z_ligand_276     4.90    
1c5z_ligand_278     5.06    
1c5z_ligand_281     5.01    
1c5z_ligand_287     4.73    
1c5z_ligand_289     5.31    
1c5z_ligand_291     4.87    
1c5z_ligand_292     4.98    
1c5z_ligand_294     5.20    
1c5z_ligand_296     5.08    
1c5z_ligand_297     5.01    
1c5z_ligand_298     4.86    
1c5z_ligand_299     4.90    
1c5z_ligand_301     5.07    
1c5z_ligand_302     5.07    
1c5z_ligand_305     5.09    
1c5z_ligand_311     5.24    
1c5z_ligand_313     4.95    
1c5z_ligand_314     4.84    
1c5z_ligand_315     5.44    
1c5z_ligand_318     5.00    
1c5z_ligand_320     5.32    
1c5z_ligand_322     5.08    
1c5z_ligand_323     4.87    
1c5z_ligand_324     4.94    
1c5z_ligand_325     4.95    
1c5z_ligand_328     4.95    
1c5z_ligand_329     5.03    
1c5z_ligand_330     5.08    
1c5z_ligand_334     5.17    
1c5z_ligand_335     5.00    
1c5z_ligand_338     5.01    
1c5z_ligand_341     5.13    
1c5z_ligand_343     5.56    
1c5z_ligand_344     4.90    
1c5z_ligand_346     5.05    
1c5z_ligand_347     4.95    
1c5z_ligand_348     4.80    
1c5z_ligand_367     4.88    
1c5z_ligand_371     4.59    
1c5z_ligand_376     4.45    
1c5z_ligand_377     4.57    
1c5z_ligand_380     4.45    
1c5z_ligand_383     4.55    
1c5z_ligand_384     4.56    
1c5z_ligand_388     4.61    
1c5z_ligand_391     4.44    
1c5z_ligand_396     4.68    
1c5z_ligand_397     4.54    
1c5z_ligand_428     4.67    
1c5z_ligand_437     4.80    
1c5z_ligand_445     4.77    
1c5z_ligand_446     4.45    
1c5z_ligand_72      5.35    
1c5z_ligand_90      5.46    
1c5z_ligand_92      5.54    
1c5z_ligand_98      5.32    
1e66_ligand_123     5.97    
1e66_ligand_129     6.26    
1e66_ligand_162     6.30    
1e66_ligand_173     5.99    
1e66_ligand_176     6.39    
1e66_ligand_18      5.88    
1e66_ligand_184     6.21    
1e66_ligand_185     6.14    
1e66_ligand_192     6.17    
1e66_ligand_193     5.96    
1e66_ligand_194     6.08    
1e66_ligand_197     6.51    
1e66_ligand_198     6.11    
1e66_ligand_199     6.06    
1e66_ligand_200     6.29    
1e66_ligand_201     5.73    
1e66_ligand_204     5.26    
1e66_ligand_205     5.56    
1e66_ligand_208     5.76    
1e66_ligand_213     5.39    
1e66_ligand_215     5.37    
1e66_ligand_216     5.61    
1e66_ligand_219     5.41    
1e66_ligand_224     5.36    
1e66_ligand_226     5.27    
1e66_ligand_227     5.31    
1e66_ligand_228     5.39    
1e66_ligand_232     5.62    
1e66_ligand_236     5.23    
1e66_ligand_237     5.53    
1e66_ligand_242     5.05    
1e66_ligand_243     5.87    
1e66_ligand_245     5.40    
1e66_ligand_246     5.95    
1e66_ligand_247     5.35    
1e66_ligand_253     5.57    
1e66_ligand_255     5.34    
1e66_ligand_256     5.78    
1e66_ligand_259     5.85    
1e66_ligand_260     6.11    
1e66_ligand_267     5.66    
1e66_ligand_268     6.02    
1e66_ligand_274     5.80    
1e66_ligand_275     5.32    
1e66_ligand_277     5.97    
1e66_ligand_279     5.46    
1e66_ligand_281     6.17    
1e66_ligand_282     6.49    
1e66_ligand_285     5.65    
1e66_ligand_296     6.04    
1e66_ligand_3       5.41    
1e66_ligand_302     6.76    
1e66_ligand_303     6.72    
1e66_ligand_306     6.23    
1e66_ligand_307     6.07    
1e66_ligand_310     6.33    
1e66_ligand_315     6.12    
1e66_ligand_316     6.71    
1e66_ligand_332     6.33    
1e66_ligand_338     5.65    
1e66_ligand_345     5.84    
1e66_ligand_347     6.05    
1e66_ligand_349     5.98    
1e66_ligand_350     5.82    
1e66_ligand_351     5.63    
1e66_ligand_355     5.73    
1e66_ligand_361     5.80    
1e66_ligand_368     5.53    
1e66_ligand_37      6.00    
1e66_ligand_371     5.69    
1e66_ligand_374     5.84    
1e66_ligand_376     5.56    
1e66_ligand_379     5.11    
1e66_ligand_38      5.65    
1e66_ligand_380     5.37    
1e66_ligand_382     5.60    
1e66_ligand_383     5.11    
1e66_ligand_385     4.97    
1e66_ligand_388     5.84    
1e66_ligand_390     5.41    
1e66_ligand_392     5.74    
1e66_ligand_393     5.63    
1e66_ligand_394     5.85    
1e66_ligand_395     4.93    
1e66_ligand_396     5.15    
1e66_ligand_398     5.73    
1e66_ligand_399     5.27    
1e66_ligand_400     5.05    
1e66_ligand_402     6.23    
1e66_ligand_406     5.96    
1e66_ligand_412     6.30    
1e66_ligand_434     5.71    
1e66_ligand_439     5.36    
1e66_ligand_441     5.99    
1e66_ligand_448     6.17    
1e66_ligand_457     6.22    
1e66_ligand_469     6.08    
1e66_ligand_493     5.60    
1e66_ligand_5       5.85    
1e66_ligand_89      6.38    
1eby_ligand_10      5.60    
1eby_ligand_103     5.93    
1eby_ligand_104     5.94    
1eby_ligand_105     6.50    
1eby_ligand_106     7.72    
1eby_ligand_109     6.45    
1eby_ligand_110     6.98    
1eby_ligand_113     7.36    
