#code_ligand_num    score   
3pww_ligand_415     6.87    
4x6p_ligand_7       7.01    
4gr0_ligand_116     6.73    
3pww_ligand_301     6.77    
3pww_ligand_390     6.62    
1eby_ligand_428     6.67    
4gid_ligand_122     6.69    
1lpg_ligand_127     6.89    
2vkm_ligand_114     6.67    
3pww_ligand_120     6.63    
3e93_ligand_447     6.76    
4x6p_ligand_196     6.66    
4gid_ligand_414     6.63    
3jvs_ligand_288     6.60    
4gid_ligand_433     6.51    
3pww_ligand_324     6.64    
4x6p_ligand_157     6.56    
1lpg_ligand_121     6.80    
3arp_ligand_490     6.72    
4crc_ligand_308     6.64    
2vkm_ligand_453     6.70    
4qd6_ligand_308     6.74    
3pww_ligand_174     6.61    
4gr0_ligand_184     6.49    
4crc_ligand_336     6.61    
3pww_ligand_272     6.52    
4crc_ligand_364     6.44    
2wtv_ligand_122     6.53    
2p15_ligand_388     6.63    
1eby_ligand_198     6.76    
4gid_ligand_470     6.31    
2wtv_ligand_116     6.58    
3bv9_ligand_462     6.55    
4crc_ligand_103     6.59    
2wtv_ligand_174     6.62    
4x6p_ligand_310     6.62    
3pww_ligand_307     6.30    
4x6p_ligand_65      6.64    
2x00_ligand_158     6.64    
4crc_ligand_14      6.67    
1lpg_ligand_117     6.79    
4gid_ligand_275     6.39    
3jvs_ligand_461     6.34    
3jvs_ligand_349     6.55    
3zso_ligand_197     6.63    
4ogj_ligand_147     6.36    
3jvs_ligand_158     6.47    
3jvs_ligand_391     6.44    
3nw9_ligand_459     6.57    
4gr0_ligand_401     6.33    
3gnw_ligand_170     6.28    
3jvs_ligand_102     6.42    
2vkm_ligand_6       6.53    
3uo4_ligand_145     6.58    
3gnw_ligand_354     6.35    
4w9l_ligand_409     6.06    
4cra_ligand_488     6.55    
2p15_ligand_140     6.53    
3b1m_ligand_316     6.51    
4x6p_ligand_402     6.49    
4gr0_ligand_285     6.31    
4rfm_ligand_481     6.58    
4x6p_ligand_315     6.42    
3b1m_ligand_401     6.54    
4x6p_ligand_366     6.37    
3arq_ligand_405     6.59    
2p15_ligand_401     6.55    
4ty7_ligand_392     6.54    
3jvs_ligand_460     6.48    
3prs_ligand_182     6.22    
4crc_ligand_255     6.38    
2vkm_ligand_375     6.47    
4crc_ligand_473     6.41    
4crc_ligand_361     6.41    
2p15_ligand_393     6.48    
4x6p_ligand_435     6.36    
3arp_ligand_432     6.46    
3pww_ligand_173     6.20    
3jvs_ligand_200     6.45    
3jvs_ligand_334     6.28    
3bv9_ligand_359     6.45    
4crc_ligand_316     6.31    
4gr0_ligand_411     6.13    
4gr0_ligand_172     6.39    
4x6p_ligand_416     6.35    
3fur_ligand_84      6.32    
4gr0_ligand_25      6.25    
4gid_ligand_21      6.40    
2p15_ligand_461     6.46    
2p15_ligand_443     6.59    
3gnw_ligand_190     6.38    
4crc_ligand_277     6.51    
2vkm_ligand_401     6.37    
2x00_ligand_342     6.50    
3jvs_ligand_355     6.24    
4qd6_ligand_123     6.52    
3jvs_ligand_191     6.50    
4x6p_ligand_258     6.27    
4cra_ligand_125     6.48    
3e93_ligand_419     6.44    
4rfm_ligand_348     6.49    
4x6p_ligand_313     6.50    
4x6p_ligand_18      6.63    
4qd6_ligand_376     6.40    
4cra_ligand_68      6.60    
4x6p_ligand_265     6.28    
3uo4_ligand_178     6.54    
3gnw_ligand_487     6.31    
4crc_ligand_194     6.45    
3pww_ligand_419     6.18    
3fur_ligand_307     6.24    
4cig_ligand_439     6.44    
2qnq_ligand_71      6.33    
3arp_ligand_438     6.41    
2p15_ligand_307     6.42    
4qd6_ligand_316     6.43    
2wtv_ligand_400     6.46    
4gid_ligand_336     6.06    
4x6p_ligand_348     6.38    
3nw9_ligand_453     6.52    
4crc_ligand_295     6.36    
3b1m_ligand_406     6.51    
4crc_ligand_13      6.50    
3pww_ligand_313     6.32    
4gr0_ligand_496     6.00    
3fur_ligand_440     6.15    
3prs_ligand_479     6.29    
3jvs_ligand_257     6.41    
3arp_ligand_462     6.51    
3e93_ligand_16      6.61    
4x6p_ligand_180     6.22    
3jvs_ligand_356     6.40    
4cra_ligand_174     6.46    
2wtv_ligand_314     6.34    
3gnw_ligand_142     6.32    
4ty7_ligand_318     6.51    
3bv9_ligand_354     6.26    
4w9l_ligand_68      6.07    
4qd6_ligand_106     6.47    
3e93_ligand_351     6.33    
2p15_ligand_44      6.47    
3e93_ligand_73      6.55    
2yki_ligand_192     6.45    
4x6p_ligand_72      6.47    
4gr0_ligand_467     6.22    
2x00_ligand_384     6.32    
4w9l_ligand_151     6.17    
4ty7_ligand_499     6.31    
2p15_ligand_281     6.42    
3jvs_ligand_23      6.30    
2x00_ligand_152     6.37    
2p15_ligand_406     6.37    
4qd6_ligand_475     6.34    
4gr0_ligand_446     6.15    
4crc_ligand_340     6.38    
4gid_ligand_438     6.27    
3jvs_ligand_307     6.42    
3gnw_ligand_25      6.39    
3b1m_ligand_417     6.41    
3e93_ligand_227     6.40    
3e93_ligand_2       6.50    
3jvs_ligand_175     6.18    
4crc_ligand_318     6.29    
4crc_ligand_137     6.31    
3jvs_ligand_316     6.38    
4ty7_ligand_66      6.48    
3qgy_ligand_210     6.43    
3uo4_ligand_33      6.42    
3gnw_ligand_28      6.22    
3e93_ligand_200     6.36    
3jvs_ligand_277     6.29    
4crc_ligand_170     6.41    
2xbv_ligand_459     6.28    
3b1m_ligand_203     6.32    
1g2k_ligand_412     6.35    
4cra_ligand_48      6.45    
2yki_ligand_101     6.43    
5dwr_ligand_346     6.39    
4qd6_ligand_334     6.49    
1sqa_ligand_249     6.45    
1sqa_ligand_214     6.48    
1eby_ligand_314     6.59    
3e93_ligand_17      6.48    
3pww_ligand_172     6.20    
2p15_ligand_233     6.30    
4gr0_ligand_407     5.96    
3e93_ligand_135     6.28    
4w9l_ligand_376     5.90    
4qd6_ligand_125     6.41    
3e93_ligand_70      6.55    
4gr0_ligand_108     6.24    
4wiv_ligand_410     6.13    
1lpg_ligand_264     6.64    
2xbv_ligand_403     6.31    
3nw9_ligand_471     6.39    
2wtv_ligand_155     6.28    
3gnw_ligand_385     6.10    
4cig_ligand_473     6.48    
1lpg_ligand_252     6.40    
2xbv_ligand_414     6.30    
4qd6_ligand_15      6.37    
2qnq_ligand_358     6.23    
4qd6_ligand_310     6.20    
3jvs_ligand_145     6.28    
2vkm_ligand_480     6.41    
4cra_ligand_89      6.44    
2wtv_ligand_220     6.28    
5dwr_ligand_428     6.54    
1lpg_ligand_9       6.39    
3zso_ligand_37      6.24    
4rfm_ligand_383     6.38    
2p15_ligand_33      6.30    
3prs_ligand_404     6.15    
1sqa_ligand_302     6.47    
1eby_ligand_416     6.34    
3gnw_ligand_193     6.17    
2vkm_ligand_50      6.14    
2wtv_ligand_26      6.28    
1g2k_ligand_134     6.23    
3b1m_ligand_364     6.30    
4x6p_ligand_104     6.36    
2p15_ligand_79      6.22    
3e93_ligand_148     6.44    
3e93_ligand_88      6.40    
2wtv_ligand_325     6.32    
4gid_ligand_319     6.15    
3pww_ligand_111     6.14    
4crc_ligand_99      6.38    
4crc_ligand_215     6.16    
4ogj_ligand_411     6.09    
2v7a_ligand_479     6.44    
2p15_ligand_194     6.45    
3wz8_ligand_352     6.25    
5c2h_ligand_238     6.17    
3b1m_ligand_463     6.38    
1sqa_ligand_141     6.42    
2qbp_ligand_60      6.26    
3e93_ligand_338     6.34    
3fur_ligand_490     6.05    
2p15_ligand_452     6.31    
2vkm_ligand_394     6.22    
3jvs_ligand_318     6.19    
4gr0_ligand_491     5.99    
4crc_ligand_366     6.23    
4cra_ligand_368     6.42    
2p15_ligand_50      6.43    
3pww_ligand_63      6.29    
2wtv_ligand_313     6.30    
3nw9_ligand_481     6.34    
3e93_ligand_72      6.36    
2yki_ligand_262     6.37    
3bv9_ligand_371     6.21    
4x6p_ligand_335     6.29    
2p15_ligand_304     6.54    
4ty7_ligand_14      6.29    
3gnw_ligand_314     6.21    
4rfm_ligand_346     6.41    
2xii_ligand_356     6.19    
3b1m_ligand_485     6.27    
4x6p_ligand_306     6.30    
4w9l_ligand_192     6.14    
1eby_ligand_130     6.40    
2vkm_ligand_351     6.23    
4gr0_ligand_113     6.23    
2p15_ligand_280     6.32    
4crc_ligand_88      6.33    
4rfm_ligand_156     6.22    
2wtv_ligand_117     6.31    
2vkm_ligand_2       6.24    
2qnq_ligand_429     6.04    
2p15_ligand_160     6.29    
3gnw_ligand_157     6.16    
4qd6_ligand_50      6.41    
4crc_ligand_104     6.16    
3jvs_ligand_49      6.32    
2wtv_ligand_499     6.19    
4qd6_ligand_16      6.30    
2p15_ligand_103     6.53    
4gid_ligand_146     6.14    
3fur_ligand_412     6.06    
1k1i_ligand_286     6.45    
1k1i_ligand_459     6.36    
4x6p_ligand_185     6.34    
2p15_ligand_438     6.38    
1lpg_ligand_481     6.43    
3qgy_ligand_21      6.30    
2x00_ligand_154     6.15    
2vkm_ligand_85      6.39    
4rfm_ligand_135     6.29    
3fur_ligand_329     6.03    
3b68_ligand_484     6.25    
2p15_ligand_64      6.48    
3e93_ligand_22      6.35    
4cra_ligand_40      6.41    
3pww_ligand_481     6.19    
4qd6_ligand_493     6.15    
3arq_ligand_433     6.22    
1o3f_ligand_57      6.43    
3fur_ligand_235     6.03    
3qgy_ligand_328     6.31    
3b1m_ligand_115     6.20    
3jvs_ligand_35      6.23    
3uo4_ligand_101     6.24    
3pww_ligand_58      6.15    
3ejr_ligand_142     6.11    
1eby_ligand_97      6.30    
3qgy_ligand_77      6.29    
3e93_ligand_147     6.35    
3pww_ligand_14      6.28    
2yki_ligand_21      6.41    
3e93_ligand_27      6.35    
3pww_ligand_176     6.16    
3gnw_ligand_177     6.11    
4rfm_ligand_182     6.36    
4ty7_ligand_295     6.40    
3e93_ligand_144     6.29    
3e93_ligand_43      6.35    
1lpg_ligand_101     6.39    
3e93_ligand_176     6.44    
3gnw_ligand_178     6.13    
3jvs_ligand_417     6.07    
