#code_ligand_num    score   
1a30_ligand_1       4.54    
1a30_ligand_10      4.60    
1a30_ligand_102     4.77    
1a30_ligand_107     4.71    
1a30_ligand_109     4.16    
1a30_ligand_11      4.75    
1a30_ligand_112     5.31    
1a30_ligand_114     4.60    
1a30_ligand_12      4.78    
1a30_ligand_120     4.91    
1a30_ligand_123     4.97    
1a30_ligand_128     4.86    
1a30_ligand_129     5.02    
1a30_ligand_13      4.66    
1a30_ligand_136     4.99    
1a30_ligand_14      4.91    
1a30_ligand_144     5.27    
1a30_ligand_17      4.91    
1a30_ligand_176     4.95    
1a30_ligand_177     4.84    
1a30_ligand_180     4.86    
1a30_ligand_184     4.96    
1a30_ligand_185     4.94    
1a30_ligand_191     4.84    
1a30_ligand_193     4.85    
1a30_ligand_200     5.10    
1a30_ligand_201     4.85    
1a30_ligand_206     4.54    
1a30_ligand_209     4.59    
1a30_ligand_210     4.63    
1a30_ligand_216     4.37    
1a30_ligand_22      4.73    
1a30_ligand_222     4.16    
1a30_ligand_225     4.74    
1a30_ligand_226     4.22    
1a30_ligand_230     4.55    
1a30_ligand_233     4.26    
1a30_ligand_240     4.63    
1a30_ligand_243     4.50    
1a30_ligand_244     4.29    
1a30_ligand_250     4.40    
1a30_ligand_254     4.90    
1a30_ligand_257     4.91    
1a30_ligand_261     4.73    
1a30_ligand_262     5.01    
1a30_ligand_27      4.85    
1a30_ligand_271     4.54    
1a30_ligand_274     4.72    
1a30_ligand_277     4.93    
1a30_ligand_28      4.99    
1a30_ligand_281     4.59    
1a30_ligand_283     4.77    
1a30_ligand_284     4.87    
1a30_ligand_285     4.62    
1a30_ligand_286     4.57    
1a30_ligand_293     4.85    
1a30_ligand_297     4.76    
1a30_ligand_298     4.93    
1a30_ligand_299     4.71    
1a30_ligand_31      5.05    
1a30_ligand_312     4.80    
1a30_ligand_313     4.41    
1a30_ligand_314     5.28    
1a30_ligand_32      4.61    
1a30_ligand_329     4.40    
1a30_ligand_330     4.59    
1a30_ligand_341     4.79    
1a30_ligand_345     4.64    
1a30_ligand_368     4.88    
1a30_ligand_37      4.83    
1a30_ligand_375     5.18    
1a30_ligand_387     4.64    
1a30_ligand_395     4.71    
1a30_ligand_405     5.17    
1a30_ligand_426     5.55    
1a30_ligand_434     5.16    
1a30_ligand_45      4.47    
1a30_ligand_46      4.60    
1a30_ligand_50      4.89    
1a30_ligand_52      4.31    
1a30_ligand_55      4.36    
1a30_ligand_56      4.42    
1a30_ligand_57      4.33    
1a30_ligand_59      4.48    
1a30_ligand_61      4.21    
1a30_ligand_63      4.34    
1a30_ligand_69      4.64    
1a30_ligand_70      4.72    
1a30_ligand_75      4.70    
1a30_ligand_76      4.31    
1a30_ligand_77      4.19    
1a30_ligand_78      4.38    
1a30_ligand_79      4.14    
