#code_ligand_num    score   
1a30_ligand_1       6.18    
1a30_ligand_104     6.22    
1a30_ligand_117     6.19    
1a30_ligand_120     6.11    
1a30_ligand_138     6.10    
1a30_ligand_139     6.06    
1a30_ligand_15      6.20    
1a30_ligand_152     5.77    
1a30_ligand_153     5.40    
1a30_ligand_155     5.63    
1a30_ligand_157     5.74    
1a30_ligand_158     5.62    
1a30_ligand_16      6.20    
1a30_ligand_170     5.68    
1a30_ligand_171     5.68    
1a30_ligand_187     5.86    
1a30_ligand_188     5.58    
1a30_ligand_191     5.81    
1a30_ligand_192     5.78    
1a30_ligand_196     5.89    
1a30_ligand_197     5.67    
1a30_ligand_198     5.58    
1a30_ligand_200     5.66    
1a30_ligand_21      6.01    
1a30_ligand_210     5.70    
1a30_ligand_215     5.64    
1a30_ligand_218     5.67    
1a30_ligand_219     5.69    
1a30_ligand_22      6.08    
1a30_ligand_220     5.89    
1a30_ligand_223     5.83    
1a30_ligand_225     5.77    
1a30_ligand_226     5.64    
1a30_ligand_228     5.87    
1a30_ligand_229     5.78    
1a30_ligand_230     5.54    
1a30_ligand_231     5.63    
1a30_ligand_232     5.88    
1a30_ligand_233     5.68    
1a30_ligand_234     5.57    
1a30_ligand_235     5.60    
1a30_ligand_236     5.69    
1a30_ligand_237     5.65    
1a30_ligand_238     5.58    
1a30_ligand_239     5.62    
1a30_ligand_240     5.69    
1a30_ligand_242     5.60    
1a30_ligand_243     5.85    
1a30_ligand_245     5.72    
1a30_ligand_248     5.82    
1a30_ligand_250     5.67    
1a30_ligand_253     5.90    
1a30_ligand_255     5.51    
1a30_ligand_260     5.60    
1a30_ligand_261     5.50    
1a30_ligand_263     5.64    
1a30_ligand_265     5.78    
1a30_ligand_270     5.53    
1a30_ligand_271     5.75    
1a30_ligand_273     5.71    
1a30_ligand_274     5.81    
1a30_ligand_275     5.51    
1a30_ligand_278     5.70    
1a30_ligand_283     5.56    
1a30_ligand_284     5.71    
1a30_ligand_291     5.67    
1a30_ligand_292     5.79    
1a30_ligand_294     5.63    
1a30_ligand_295     5.78    
1a30_ligand_297     5.67    
1a30_ligand_298     5.70    
1a30_ligand_3       6.08    
1a30_ligand_301     5.49    
1a30_ligand_31      6.21    
1a30_ligand_311     5.60    
1a30_ligand_316     5.86    
1a30_ligand_317     5.66    
1a30_ligand_323     5.74    
1a30_ligand_327     5.62    
1a30_ligand_329     5.79    
1a30_ligand_338     5.61    
1a30_ligand_341     5.64    
1a30_ligand_348     5.82    
1a30_ligand_361     6.18    
1a30_ligand_364     5.93    
1a30_ligand_374     6.01    
1a30_ligand_393     5.86    
1a30_ligand_400     6.16    
1a30_ligand_412     6.10    
1a30_ligand_42      6.28    
1a30_ligand_420     5.98    
1a30_ligand_44      6.19    
1a30_ligand_52      6.02    
1a30_ligand_59      5.88    
1a30_ligand_62      6.16    
1a30_ligand_66      6.19    
1a30_ligand_70      6.06    
1a30_ligand_74      6.08    
1a30_ligand_86      5.96    
1a30_ligand_98      6.15    
1bcu_ligand_103     6.27    
1bcu_ligand_11      6.46    
1bcu_ligand_111     6.39    
1bcu_ligand_115     6.52    
1bcu_ligand_117     6.61    
1bcu_ligand_12      6.51    
1bcu_ligand_13      6.65    
1bcu_ligand_140     6.11    
1bcu_ligand_15      6.12    
1bcu_ligand_161     6.13    
1bcu_ligand_164     6.08    
1bcu_ligand_175     6.16    
1bcu_ligand_180     5.96    
1bcu_ligand_186     6.00    
1bcu_ligand_191     6.26    
1bcu_ligand_193     6.31    
1bcu_ligand_202     6.17    
1bcu_ligand_205     6.05    
1bcu_ligand_208     6.20    
1bcu_ligand_210     6.17    
1bcu_ligand_211     6.44    
1bcu_ligand_217     6.07    
1bcu_ligand_221     6.16    
1bcu_ligand_224     6.01    
1bcu_ligand_231     6.22    
1bcu_ligand_239     6.11    
1bcu_ligand_240     6.14    
1bcu_ligand_246     6.12    
1bcu_ligand_247     6.39    
1bcu_ligand_248     6.24    
1bcu_ligand_255     6.06    
1bcu_ligand_26      6.66    
1bcu_ligand_263     5.89    
1bcu_ligand_264     6.20    
1bcu_ligand_269     6.13    
1bcu_ligand_271     6.01    
1bcu_ligand_272     6.05    
1bcu_ligand_281     6.24    
1bcu_ligand_283     6.08    
1bcu_ligand_286     6.27    
1bcu_ligand_287     6.13    
1bcu_ligand_288     6.31    
1bcu_ligand_294     6.27    
1bcu_ligand_295     6.19    
1bcu_ligand_3       6.25    
1bcu_ligand_300     5.90    
1bcu_ligand_301     6.58    
1bcu_ligand_303     6.15    
1bcu_ligand_304     6.56    
1bcu_ligand_305     6.44    
1bcu_ligand_308     6.42    
1bcu_ligand_318     6.42    
1bcu_ligand_320     6.06    
1bcu_ligand_321     6.60    
1bcu_ligand_325     6.17    
1bcu_ligand_326     6.03    
1bcu_ligand_331     6.03    
